opposingHand,winningChance,drawChance,lostChance
HEARTS SIX DIAMONDS SEVEN
CLUBS SIX SPADES THREE,0.5742,0.1994,0.2264
SPADES JACK CLUBS SIX,0.2854,0.0572,0.6574
SPADES FOUR SPADES TWO,0.542,0.0892,0.3688
DIAMONDS NINE SPADES TWO,0.4336,0.0488,0.5176
HEARTS SEVEN CLUBS ACE,0.2764,0.0248,0.6988
SPADES QUEEN CLUBS SEVEN,0.2916,0.0458,0.6626
HEARTS KING DIAMONDS NINE,0.3584,0.0074,0.6342
DIAMONDS JACK HEARTS TEN,0.3466,0.015,0.6384
DIAMONDS ACE SPADES SIX,0.2822,0.023,0.6948
CLUBS THREE CLUBS ACE,0.4012,0.0044,0.5944
SPADES KING DIAMONDS EIGHT,0.3698,0.0064,0.6238
CLUBS TEN DIAMONDS FOUR,0.426,0.029,0.545
CLUBS JACK SPADES TEN,0.3578,0.0132,0.629
SPADES THREE DIAMONDS FIVE,0.579,0.0958,0.3252
CLUBS NINE DIAMONDS ACE,0.3804,0.0034,0.6162
SPADES JACK DIAMONDS NINE,0.3422,0.014,0.6438
CLUBS SEVEN HEARTS NINE,0.246,0.1216,0.6324
SPADES EIGHT HEARTS ACE,0.3708,0.0026,0.6266
DIAMONDS THREE SPADES QUEEN,0.4282,0.0104,0.5614
SPADES SIX CLUBS QUEEN,0.2876,0.0456,0.6668
DIAMONDS TWO CLUBS THREE,0.5816,0.1052,0.3132
HEARTS EIGHT HEARTS FOUR,0.4038,0.0636,0.5326
CLUBS FOUR SPADES THREE,0.566,0.097,0.337
SPADES NINE SPADES EIGHT,0.3272,0.0362,0.6366
CLUBS ACE CLUBS QUEEN,0.3498,0.0036,0.6466
CLUBS FIVE SPADES THREE,0.5784,0.093,0.3286
HEARTS THREE HEARTS TEN,0.414,0.0268,0.5592
CLUBS TEN SPADES TWO,0.4482,0.0288,0.523
DIAMONDS ACE CLUBS KING,0.3708,0.0026,0.6266
SPADES ACE DIAMONDS EIGHT,0.3634,0.0032,0.6334
CLUBS EIGHT SPADES SIX,0.2568,0.139,0.6042
CLUBS EIGHT CLUBS THREE,0.4054,0.0614,0.5332
CLUBS SIX CLUBS FOUR,0.5276,0.1966,0.2758
HEARTS JACK DIAMONDS FIVE,0.423,0.0206,0.5564
HEARTS FOUR DIAMONDS NINE,0.4424,0.0438,0.5138
DIAMONDS TEN DIAMONDS FOUR,0.4018,0.0286,0.5696
HEARTS FOUR SPADES SEVEN,0.4056,0.3782,0.2162
CLUBS JACK CLUBS NINE,0.3464,0.0154,0.6382
DIAMONDS JACK DIAMONDS EIGHT,0.3506,0.015,0.6344
DIAMONDS NINE DIAMONDS SIX,0.2638,0.0972,0.639
CLUBS TEN SPADES EIGHT,0.3642,0.0232,0.6126
HEARTS SEVEN CLUBS QUEEN,0.2956,0.0416,0.6628
DIAMONDS KING HEARTS QUEEN,0.3634,0.0068,0.6298
CLUBS KING HEARTS TEN,0.3598,0.0064,0.6338
HEARTS ACE CLUBS KING,0.3604,0.0024,0.6372
HEARTS EIGHT HEARTS NINE,0.3246,0.0388,0.6366
DIAMONDS ACE SPADES FIVE,0.409,0.0048,0.5862
CLUBS SEVEN CLUBS FIVE,0.388,0.3442,0.2678
DIAMONDS TEN HEARTS KING,0.3688,0.0092,0.622
DIAMONDS TWO CLUBS SIX,0.5862,0.2052,0.2086
SPADES SEVEN DIAMONDS JACK,0.271,0.0588,0.6702
HEARTS TWO SPADES SEVEN,0.4164,0.3728,0.2108
HEARTS FIVE DIAMONDS FOUR,0.5762,0.0992,0.3246
SPADES KING CLUBS KING,0.1934,0.015,0.7916
DIAMONDS EIGHT HEARTS JACK,0.358,0.0182,0.6238
HEARTS FOUR HEARTS TEN,0.4076,0.0262,0.5662
SPADES ACE CLUBS FIVE,0.4178,0.0036,0.5786
DIAMONDS THREE DIAMONDS ACE,0.4076,0.0054,0.587
CLUBS JACK DIAMONDS FIVE,0.4192,0.018,0.5628
CLUBS JACK DIAMONDS TWO,0.4404,0.0176,0.542
HEARTS TEN HEARTS NINE,0.3314,0.022,0.6466
SPADES JACK HEARTS FOUR,0.4198,0.0188,0.5614
CLUBS EIGHT HEARTS FOUR,0.4302,0.0624,0.5074
DIAMONDS EIGHT CLUBS QUEEN,0.3686,0.0118,0.6196
DIAMONDS QUEEN CLUBS KING,0.359,0.0078,0.6332
DIAMONDS THREE DIAMONDS SIX,0.5544,0.1884,0.2572
CLUBS SEVEN HEARTS KING,0.2876,0.0358,0.6766
SPADES SIX CLUBS TWO,0.587,0.19,0.223
HEARTS EIGHT DIAMONDS NINE,0.3234,0.039,0.6376
