opposingHand,winningChance,drawChance,lostChance
HEARTS SIX HEARTS FOUR
CLUBS EIGHT CLUBS SIX,0.287,0.1396,0.5734
SPADES SEVEN DIAMONDS EIGHT,0.359,0.0644,0.5766
DIAMONDS JACK DIAMONDS TEN,0.3628,0.014,0.6232
CLUBS KING DIAMONDS FOUR,0.323,0.029,0.648
SPADES EIGHT DIAMONDS FOUR,0.3066,0.1318,0.5616
SPADES QUEEN SPADES THREE,0.4296,0.009,0.5614
CLUBS FOUR SPADES FIVE,0.5112,0.2544,0.2344
HEARTS ACE HEARTS QUEEN,0.345,0.0048,0.6502
DIAMONDS TWO DIAMONDS ACE,0.4248,0.0042,0.571
SPADES KING DIAMONDS FIVE,0.4176,0.0092,0.5732
SPADES SIX DIAMONDS SEVEN,0.2776,0.1892,0.5332
CLUBS SEVEN SPADES TWO,0.452,0.0932,0.4548
HEARTS ACE DIAMONDS SEVEN,0.38,0.0042,0.6158
SPADES QUEEN SPADES TWO,0.4258,0.011,0.5632
HEARTS TEN DIAMONDS FOUR,0.2982,0.0814,0.6204
CLUBS FIVE SPADES FOUR,0.5058,0.2542,0.24
HEARTS TWO DIAMONDS EIGHT,0.463,0.0608,0.4762
SPADES SEVEN SPADES FOUR,0.2702,0.1802,0.5496
SPADES KING DIAMONDS TWO,0.4574,0.0084,0.5342
DIAMONDS THREE DIAMONDS TEN,0.4226,0.0266,0.5508
SPADES JACK DIAMONDS JACK,0.2108,0.0386,0.7506
DIAMONDS ACE SPADES FIVE,0.4148,0.0064,0.5788
CLUBS TWO DIAMONDS NINE,0.4614,0.0404,0.4982
SPADES EIGHT DIAMONDS TEN,0.4022,0.02,0.5778
HEARTS THREE DIAMONDS ACE,0.4302,0.0058,0.564
SPADES JACK HEARTS QUEEN,0.3688,0.01,0.6212
SPADES TEN DIAMONDS KING,0.3996,0.0074,0.593
CLUBS FOUR DIAMONDS FIVE,0.4942,0.2658,0.24
DIAMONDS ACE DIAMONDS NINE,0.366,0.0064,0.6276
DIAMONDS ACE SPADES EIGHT,0.4,0.0044,0.5956
SPADES TEN HEARTS NINE,0.363,0.0214,0.6156
CLUBS SIX CLUBS KING,0.2942,0.0388,0.667
SPADES JACK HEARTS JACK,0.193,0.0472,0.7598
CLUBS NINE CLUBS QUEEN,0.3794,0.0096,0.611
DIAMONDS NINE DIAMONDS EIGHT,0.3514,0.0354,0.6132
SPADES FOUR DIAMONDS FOUR,0.2948,0.0972,0.608
HEARTS KING HEARTS TEN,0.3472,0.0078,0.645
SPADES TEN HEARTS ACE,0.3938,0.005,0.6012
CLUBS JACK SPADES THREE,0.4492,0.0168,0.534
DIAMONDS SEVEN DIAMONDS FOUR,0.2756,0.185,0.5394
SPADES QUEEN SPADES FIVE,0.401,0.013,0.586
HEARTS THREE SPADES TWO,0.5534,0.1512,0.2954
HEARTS SEVEN DIAMONDS TEN,0.3852,0.0292,0.5856
CLUBS TEN CLUBS FOUR,0.2954,0.0734,0.6312
SPADES EIGHT HEARTS TEN,0.3648,0.0264,0.6088
SPADES KING DIAMONDS KING,0.2186,0.0156,0.7658
SPADES KING DIAMONDS FOUR,0.3162,0.0312,0.6526
DIAMONDS ACE CLUBS FIVE,0.4008,0.005,0.5942
HEARTS THREE CLUBS FOUR,0.5102,0.257,0.2328
HEARTS SEVEN DIAMONDS SEVEN,0.1844,0.1018,0.7138
CLUBS JACK SPADES TEN,0.3838,0.0134,0.6028
DIAMONDS THREE HEARTS TEN,0.4388,0.0248,0.5364
HEARTS EIGHT SPADES THREE,0.4336,0.0658,0.5006
HEARTS SEVEN CLUBS SIX,0.2752,0.183,0.5418
DIAMONDS TWO DIAMONDS SIX,0.3314,0.429,0.2396
SPADES TEN DIAMONDS JACK,0.3858,0.0144,0.5998
SPADES SIX HEARTS QUEEN,0.2964,0.0472,0.6564
CLUBS THREE DIAMONDS EIGHT,0.456,0.0626,0.4814
SPADES KING SPADES EIGHT,0.3746,0.0068,0.6186
DIAMONDS TWO SPADES SEVEN,0.4408,0.1046,0.4546
CLUBS JACK CLUBS FIVE,0.4056,0.015,0.5794
HEARTS QUEEN HEARTS JACK,0.3292,0.0102,0.6606
DIAMONDS EIGHT DIAMONDS SEVEN,0.3516,0.0538,0.5946
SPADES TWO HEARTS JACK,0.4352,0.0196,0.5452
HEARTS FIVE CLUBS THREE,0.5054,0.1562,0.3384
SPADES EIGHT SPADES FIVE,0.3744,0.0558,0.5698
HEARTS TWO SPADES FIVE,0.5328,0.1524,0.3148
SPADES KING SPADES NINE,0.3758,0.0066,0.6176
SPADES NINE DIAMONDS KING,0.3976,0.008,0.5944
DIAMONDS THREE CLUBS EIGHT,0.453,0.0666,0.4804
DIAMONDS THREE DIAMONDS KING,0.4264,0.0094,0.5642
CLUBS NINE SPADES JACK,0.3844,0.0152,0.6004
DIAMONDS TWO HEARTS THREE,0.539,0.153,0.308
SPADES ACE SPADES KING,0.3686,0.0044,0.627
CLUBS TWO DIAMONDS EIGHT,0.443,0.0658,0.4912
CLUBS EIGHT DIAMONDS TEN,0.3826,0.0216,0.5958
DIAMONDS NINE HEARTS NINE,0.2022,0.0754,0.7224
CLUBS JACK SPADES SEVEN,0.398,0.0162,0.5858
HEARTS SEVEN HEARTS QUEEN,0.3564,0.0098,0.6338
CLUBS TEN DIAMONDS QUEEN,0.399,0.008,0.593
HEARTS FIVE HEARTS THREE,0.5144,0.15,0.3356
CLUBS NINE HEARTS TEN,0.3722,0.022,0.6058
HEARTS FIVE DIAMONDS FIVE,0.2774,0.13,0.5926
CLUBS NINE DIAMONDS ACE,0.3898,0.0024,0.6078
SPADES FIVE DIAMONDS FIVE,0.281,0.124,0.595
CLUBS NINE DIAMONDS FOUR,0.3318,0.0972,0.571
CLUBS TEN CLUBS TWO,0.4306,0.0284,0.541
HEARTS EIGHT HEARTS NINE,0.3164,0.0396,0.644
DIAMONDS TWO SPADES EIGHT,0.4528,0.0652,0.482
DIAMONDS ACE CLUBS THREE,0.4398,0.0042,0.556
CLUBS SEVEN HEARTS KING,0.3994,0.0094,0.5912
HEARTS TWO CLUBS QUEEN,0.4608,0.0134,0.5258
HEARTS EIGHT SPADES JACK,0.3824,0.0188,0.5988
DIAMONDS ACE SPADES SIX,0.3184,0.0244,0.6572
CLUBS JACK DIAMONDS SEVEN,0.407,0.019,0.574
SPADES TEN HEARTS QUEEN,0.3752,0.0108,0.614
SPADES ACE SPADES QUEEN,0.3792,0.0046,0.6162
CLUBS SEVEN HEARTS TWO,0.454,0.0988,0.4472
HEARTS KING DIAMONDS EIGHT,0.3838,0.0074,0.6088
DIAMONDS NINE HEARTS JACK,0.3708,0.0148,0.6144
CLUBS TWO SPADES THREE,0.5474,0.1552,0.2974
CLUBS TEN SPADES EIGHT,0.3872,0.022,0.5908
CLUBS SEVEN DIAMONDS KING,0.409,0.0094,0.5816
CLUBS SIX DIAMONDS SIX,0.1582,0.1076,0.7342
SPADES KING SPADES JACK,0.377,0.0072,0.6158
DIAMONDS KING SPADES SIX,0.3118,0.037,0.6512
HEARTS JACK CLUBS QUEEN,0.3824,0.011,0.6066
CLUBS NINE CLUBS EIGHT,0.35,0.0416,0.6084
HEARTS FIVE DIAMONDS NINE,0.407,0.0434,0.5496
CLUBS EIGHT HEARTS TWO,0.4466,0.0638,0.4896
SPADES TEN SPADES THREE,0.4332,0.0298,0.537
SPADES SEVEN HEARTS QUEEN,0.3768,0.013,0.6102
CLUBS EIGHT DIAMONDS ACE,0.4072,0.0044,0.5884
SPADES NINE SPADES EIGHT,0.3624,0.0324,0.6052
SPADES SEVEN SPADES THREE,0.417,0.0942,0.4888
HEARTS FIVE DIAMONDS EIGHT,0.3814,0.0702,0.5484
SPADES ACE HEARTS TWO,0.436,0.0072,0.5568
SPADES JACK SPADES TWO,0.4306,0.017,0.5524
CLUBS TEN DIAMONDS KING,0.3838,0.0078,0.6084
SPADES ACE SPADES FOUR,0.2904,0.0194,0.6902
