opposingHand,winningChance,drawChance,lostChance
HEARTS SIX SPADES NINE
HEARTS FIVE SPADES TEN,0.412,0.0276,0.5604
SPADES JACK HEARTS FIVE,0.3976,0.0206,0.5818
SPADES FIVE CLUBS JACK,0.4116,0.0238,0.5646
CLUBS TEN SPADES FIVE,0.4096,0.0288,0.5616
CLUBS EIGHT CLUBS JACK,0.3446,0.0172,0.6382
CLUBS TEN CLUBS EIGHT,0.3196,0.0278,0.6526
CLUBS EIGHT CLUBS KING,0.3702,0.0074,0.6224
SPADES FIVE CLUBS ACE,0.4042,0.0044,0.5914
CLUBS EIGHT CLUBS QUEEN,0.3458,0.0088,0.6454
SPADES FIVE CLUBS KING,0.4124,0.0062,0.5814
SPADES FIVE CLUBS QUEEN,0.4164,0.011,0.5726
CLUBS EIGHT CLUBS ACE,0.3322,0.002,0.6658
DIAMONDS TWO DIAMONDS THREE,0.5628,0.0474,0.3898
DIAMONDS TWO DIAMONDS FIVE,0.5822,0.0408,0.377
SPADES KING HEARTS FIVE,0.4164,0.009,0.5746
DIAMONDS TWO DIAMONDS FOUR,0.5812,0.0446,0.3742
SPADES QUEEN HEARTS FIVE,0.395,0.0112,0.5938
DIAMONDS TWO DIAMONDS SEVEN,0.5888,0.042,0.3692
DIAMONDS TWO DIAMONDS SIX,0.6332,0.0996,0.2672
SPADES ACE HEARTS FIVE,0.3924,0.0058,0.6018
DIAMONDS TWO DIAMONDS NINE,0.3906,0.3412,0.2682
DIAMONDS TWO DIAMONDS EIGHT,0.5888,0.041,0.3702
DIAMONDS THREE DIAMONDS FOUR,0.5498,0.0476,0.4026
SPADES FOUR CLUBS TWO,0.608,0.0548,0.3372
DIAMONDS THREE DIAMONDS FIVE,0.567,0.0394,0.3936
SPADES FIVE CLUBS TWO,0.627,0.0416,0.3314
CLUBS TWO SPADES TWO,0.4162,0.0718,0.512
CLUBS TWO SPADES THREE,0.6074,0.0466,0.346
DIAMONDS THREE DIAMONDS EIGHT,0.5904,0.0382,0.3714
SPADES EIGHT CLUBS TWO,0.617,0.0408,0.3422
DIAMONDS THREE DIAMONDS NINE,0.3854,0.3468,0.2678
DIAMONDS THREE DIAMONDS SIX,0.6052,0.1108,0.284
SPADES SIX CLUBS TWO,0.6628,0.1122,0.225
DIAMONDS THREE DIAMONDS SEVEN,0.5696,0.0348,0.3956
SPADES SEVEN CLUBS TWO,0.6292,0.0402,0.3306
CLUBS SIX CLUBS TWO,0.6252,0.104,0.2708
CLUBS SEVEN CLUBS TWO,0.5878,0.0404,0.3718
CLUBS FOUR CLUBS TWO,0.579,0.0428,0.3782
CLUBS FIVE CLUBS TWO,0.5798,0.0396,0.3806
CLUBS TEN CLUBS JACK,0.3008,0.012,0.6872
DIAMONDS FOUR DIAMONDS SIX,0.5894,0.0992,0.3114
CLUBS TEN CLUBS QUEEN,0.3254,0.01,0.6646
DIAMONDS FOUR DIAMONDS SEVEN,0.5674,0.0368,0.3958
CLUBS TEN CLUBS KING,0.326,0.0062,0.6678
CLUBS TEN CLUBS ACE,0.318,0.0038,0.6782
CLUBS EIGHT CLUBS TWO,0.5808,0.0394,0.3798
