opposingHand,winningChance,drawChance,lostChance
HEARTS SIX SPADES QUEEN
SPADES TEN HEARTS FIVE,0.6388,0.0102,0.351
SPADES JACK HEARTS FIVE,0.6266,0.0126,0.3608
SPADES FIVE CLUBS JACK,0.6214,0.0128,0.3658
CLUBS TEN SPADES FIVE,0.6374,0.0122,0.3504
CLUBS EIGHT CLUBS JACK,0.5416,0.0096,0.4488
CLUBS TEN CLUBS EIGHT,0.533,0.0086,0.4584
CLUBS EIGHT CLUBS KING,0.3312,0.006,0.6628
SPADES FIVE CLUBS ACE,0.3898,0.0042,0.606
CLUBS EIGHT CLUBS QUEEN,0.212,0.203,0.585
SPADES FIVE CLUBS KING,0.385,0.0074,0.6076
SPADES FIVE CLUBS QUEEN,0.3932,0.3936,0.2132
CLUBS EIGHT CLUBS ACE,0.3454,0.003,0.6516
DIAMONDS TWO DIAMONDS THREE,0.6016,0.0126,0.3858
DIAMONDS TWO DIAMONDS FIVE,0.5942,0.014,0.3918
SPADES KING HEARTS FIVE,0.3726,0.0076,0.6198
DIAMONDS TWO DIAMONDS FOUR,0.603,0.0134,0.3836
DIAMONDS TWO DIAMONDS SEVEN,0.583,0.0112,0.4058
DIAMONDS TWO DIAMONDS SIX,0.6568,0.0456,0.2976
SPADES ACE HEARTS FIVE,0.3828,0.0056,0.6116
DIAMONDS TWO DIAMONDS NINE,0.5956,0.0114,0.393
DIAMONDS TWO DIAMONDS EIGHT,0.5852,0.012,0.4028
DIAMONDS THREE DIAMONDS FOUR,0.5864,0.014,0.3996
SPADES FOUR CLUBS TWO,0.6482,0.014,0.3378
DIAMONDS THREE DIAMONDS FIVE,0.5914,0.0104,0.3982
SPADES FIVE CLUBS TWO,0.6424,0.0138,0.3438
CLUBS TWO SPADES TWO,0.4408,0.0296,0.5296
CLUBS TWO SPADES THREE,0.6416,0.0164,0.342
DIAMONDS THREE DIAMONDS EIGHT,0.585,0.0104,0.4046
SPADES EIGHT CLUBS TWO,0.6226,0.0116,0.3658
DIAMONDS THREE DIAMONDS NINE,0.5958,0.0118,0.3924
SPADES NINE CLUBS TWO,0.6434,0.0134,0.3432
DIAMONDS THREE DIAMONDS SIX,0.6424,0.0532,0.3044
SPADES SIX CLUBS TWO,0.7108,0.054,0.2352
DIAMONDS THREE DIAMONDS SEVEN,0.5898,0.014,0.3962
SPADES SEVEN CLUBS TWO,0.644,0.0156,0.3404
CLUBS SIX CLUBS TWO,0.666,0.0486,0.2854
CLUBS SEVEN CLUBS TWO,0.5964,0.0112,0.3924
CLUBS FOUR CLUBS TWO,0.6052,0.0144,0.3804
CLUBS FIVE CLUBS TWO,0.5942,0.0128,0.393
CLUBS TEN CLUBS JACK,0.5004,0.0068,0.4928
DIAMONDS FOUR DIAMONDS SIX,0.6422,0.049,0.3088
CLUBS TEN CLUBS QUEEN,0.2328,0.1068,0.6604
DIAMONDS FOUR DIAMONDS SEVEN,0.58,0.0116,0.4084
CLUBS TEN CLUBS KING,0.316,0.0058,0.6782
CLUBS TEN CLUBS ACE,0.3282,0.0042,0.6676
CLUBS EIGHT CLUBS TWO,0.5902,0.0112,0.3986
DIAMONDS FIVE DIAMONDS FOUR,0.5744,0.0124,0.4132
CLUBS NINE CLUBS TWO,0.5792,0.0166,0.4042
DIAMONDS NINE DIAMONDS FOUR,0.578,0.0114,0.4106
DIAMONDS EIGHT DIAMONDS FOUR,0.5816,0.0108,0.4076
CLUBS THREE CLUBS TWO,0.605,0.0138,0.3812
DIAMONDS NINE DIAMONDS FIVE,0.5806,0.0118,0.4076
DIAMONDS TWO CLUBS JACK,0.62,0.0098,0.3702
DIAMONDS EIGHT DIAMONDS FIVE,0.5638,0.0082,0.428
CLUBS TEN DIAMONDS TWO,0.6244,0.0114,0.3642
DIAMONDS FIVE DIAMONDS SEVEN,0.5544,0.0136,0.432
DIAMONDS FIVE DIAMONDS SIX,0.6204,0.0492,0.3304
DIAMONDS TWO CLUBS ACE,0.3914,0.006,0.6026
DIAMONDS TWO CLUBS KING,0.3876,0.0074,0.605
DIAMONDS TWO CLUBS QUEEN,0.3844,0.3888,0.2268
DIAMONDS EIGHT DIAMONDS SIX,0.6294,0.0448,0.3258
DIAMONDS NINE DIAMONDS SIX,0.641,0.0476,0.3114
HEARTS ACE SPADES THREE,0.3904,0.0042,0.6054
SPADES THREE HEARTS KING,0.3828,0.0084,0.6088
DIAMONDS SEVEN DIAMONDS SIX,0.633,0.0438,0.3232
SPADES THREE HEARTS QUEEN,0.3912,0.3842,0.2246
SPADES THREE HEARTS JACK,0.6326,0.0114,0.356
SPADES THREE HEARTS TEN,0.6214,0.0136,0.365
DIAMONDS EIGHT DIAMONDS SEVEN,0.5308,0.0094,0.4598
DIAMONDS NINE DIAMONDS SEVEN,0.5408,0.0108,0.4484
DIAMONDS NINE DIAMONDS EIGHT,0.519,0.011,0.47
DIAMONDS KING HEARTS TEN,0.3358,0.0042,0.66
HEARTS THREE HEARTS TEN,0.5922,0.0106,0.3972
SPADES JACK CLUBS SIX,0.7188,0.0488,0.2324
DIAMONDS KING HEARTS JACK,0.337,0.0038,0.6592
HEARTS THREE HEARTS JACK,0.5918,0.0112,0.397
SPADES TEN CLUBS SIX,0.7048,0.0476,0.2476
SPADES JACK SPADES FIVE,0.5922,0.015,0.3928
SPADES TEN SPADES FIVE,0.5996,0.0106,0.3898
DIAMONDS KING HEARTS ACE,0.3172,0.004,0.6788
HEARTS THREE HEARTS ACE,0.3816,0.0054,0.613
SPADES ACE CLUBS SIX,0.2408,0.0284,0.7308
DIAMONDS KING HEARTS QUEEN,0.224,0.0302,0.7458
HEARTS THREE HEARTS QUEEN,0.373,0.3714,0.2556
SPADES KING CLUBS SIX,0.2366,0.0334,0.73
DIAMONDS KING HEARTS KING,0.1308,0.0028,0.8664
HEARTS THREE HEARTS KING,0.368,0.0064,0.6256
SPADES NINE HEARTS TEN,0.5466,0.0094,0.444
SPADES NINE HEARTS JACK,0.5544,0.0096,0.436
SPADES KING SPADES FIVE,0.3724,0.0076,0.62
SPADES ACE SPADES FIVE,0.3784,0.0032,0.6184
SPADES NINE HEARTS QUEEN,0.2192,0.1628,0.618
SPADES NINE HEARTS KING,0.3524,0.0086,0.639
SPADES NINE HEARTS ACE,0.3584,0.0044,0.6372
CLUBS TEN SPADES JACK,0.5344,0.0116,0.454
CLUBS TEN SPADES TEN,0.2886,0.0136,0.6978
SPADES ACE CLUBS TEN,0.3462,0.003,0.6508
SPADES KING CLUBS TEN,0.3418,0.0052,0.653
SPADES FIVE HEARTS QUEEN,0.3894,0.3884,0.2222
SPADES FIVE HEARTS KING,0.3872,0.007,0.6058
SPADES FIVE HEARTS ACE,0.3786,0.0056,0.6158
HEARTS THREE SPADES JACK,0.6344,0.0166,0.349
SPADES JACK DIAMONDS KING,0.3486,0.0068,0.6446
SPADES TEN CLUBS EIGHT,0.5694,0.0132,0.4174
SPADES JACK CLUBS EIGHT,0.5718,0.011,0.4172
HEARTS THREE SPADES TEN,0.6422,0.011,0.3468
SPADES TEN DIAMONDS KING,0.3398,0.0062,0.654
CLUBS SIX HEARTS ACE,0.2252,0.0282,0.7466
