opposingHand,winningChance,drawChance,lostChance
HEARTS SIX SPADES SEVEN
HEARTS FIVE SPADES TEN,0.4146,0.0286,0.5568
SPADES JACK HEARTS FIVE,0.4158,0.0216,0.5626
SPADES FIVE CLUBS JACK,0.4182,0.0182,0.5636
CLUBS TEN SPADES FIVE,0.4186,0.0244,0.557
CLUBS EIGHT CLUBS JACK,0.34,0.0136,0.6464
CLUBS TEN CLUBS EIGHT,0.3384,0.0218,0.6398
CLUBS EIGHT CLUBS KING,0.3574,0.0064,0.6362
SPADES FIVE CLUBS ACE,0.4134,0.005,0.5816
CLUBS EIGHT CLUBS QUEEN,0.35,0.0132,0.6368
SPADES FIVE CLUBS KING,0.4292,0.0086,0.5622
SPADES FIVE CLUBS QUEEN,0.4266,0.0132,0.5602
CLUBS EIGHT CLUBS ACE,0.3406,0.0044,0.655
DIAMONDS TWO DIAMONDS THREE,0.539,0.0904,0.3706
DIAMONDS TWO DIAMONDS FIVE,0.5466,0.098,0.3554
SPADES KING HEARTS FIVE,0.4276,0.009,0.5634
DIAMONDS TWO DIAMONDS FOUR,0.5326,0.0988,0.3686
SPADES QUEEN HEARTS FIVE,0.4116,0.014,0.5744
DIAMONDS TWO DIAMONDS SEVEN,0.397,0.3452,0.2578
DIAMONDS TWO DIAMONDS SIX,0.5456,0.1922,0.2622
SPADES ACE HEARTS FIVE,0.409,0.005,0.586
DIAMONDS TWO DIAMONDS NINE,0.4096,0.0358,0.5546
DIAMONDS TWO DIAMONDS EIGHT,0.4014,0.0662,0.5324
DIAMONDS THREE DIAMONDS FOUR,0.5182,0.0902,0.3916
SPADES FOUR CLUBS TWO,0.5942,0.098,0.3078
DIAMONDS THREE DIAMONDS FIVE,0.5466,0.0866,0.3668
SPADES FIVE CLUBS TWO,0.5944,0.093,0.3126
CLUBS TWO SPADES TWO,0.4074,0.1076,0.485
CLUBS TWO SPADES THREE,0.5692,0.1006,0.3302
DIAMONDS THREE DIAMONDS EIGHT,0.3986,0.0618,0.5396
SPADES EIGHT CLUBS TWO,0.4398,0.0658,0.4944
DIAMONDS THREE DIAMONDS NINE,0.4076,0.0394,0.553
SPADES NINE CLUBS TWO,0.4266,0.0404,0.533
DIAMONDS THREE DIAMONDS SIX,0.532,0.1896,0.2784
SPADES SIX CLUBS TWO,0.589,0.2072,0.2038
DIAMONDS THREE DIAMONDS SEVEN,0.4048,0.3406,0.2546
CLUBS SIX CLUBS TWO,0.5676,0.1706,0.2618
CLUBS SEVEN CLUBS TWO,0.3942,0.3486,0.2572
CLUBS FOUR CLUBS TWO,0.538,0.0916,0.3704
CLUBS FIVE CLUBS TWO,0.543,0.0866,0.3704
CLUBS TEN CLUBS JACK,0.3422,0.0122,0.6456
DIAMONDS FOUR DIAMONDS SIX,0.5376,0.1802,0.2822
CLUBS TEN CLUBS QUEEN,0.3442,0.0092,0.6466
DIAMONDS FOUR DIAMONDS SEVEN,0.3792,0.3494,0.2714
CLUBS TEN CLUBS KING,0.3548,0.0064,0.6388
CLUBS TEN CLUBS ACE,0.341,0.0036,0.6554
CLUBS EIGHT CLUBS TWO,0.4102,0.063,0.5268
DIAMONDS FIVE DIAMONDS FOUR,0.5198,0.0926,0.3876
CLUBS NINE CLUBS TWO,0.4256,0.0366,0.5378
DIAMONDS NINE DIAMONDS FOUR,0.3922,0.0418,0.566
DIAMONDS EIGHT DIAMONDS FOUR,0.3824,0.059,0.5586
CLUBS THREE CLUBS TWO,0.5388,0.089,0.3722
DIAMONDS NINE DIAMONDS FIVE,0.3824,0.0436,0.574
DIAMONDS TWO CLUBS JACK,0.4402,0.019,0.5408
DIAMONDS EIGHT DIAMONDS FIVE,0.3872,0.061,0.5518
CLUBS TEN DIAMONDS TWO,0.4428,0.0244,0.5328
DIAMONDS FIVE DIAMONDS SEVEN,0.3736,0.3646,0.2618
DIAMONDS FIVE DIAMONDS SIX,0.534,0.174,0.292
DIAMONDS TWO CLUBS ACE,0.4108,0.0044,0.5848
DIAMONDS TWO CLUBS KING,0.4348,0.0074,0.5578
DIAMONDS TWO CLUBS QUEEN,0.4492,0.01,0.5408
DIAMONDS EIGHT DIAMONDS SIX,0.2358,0.1298,0.6344
DIAMONDS NINE DIAMONDS SIX,0.251,0.1008,0.6482
HEARTS ACE SPADES THREE,0.4188,0.0048,0.5764
SPADES THREE HEARTS KING,0.4326,0.0092,0.5582
DIAMONDS SEVEN DIAMONDS SIX,0.0232,0.9022,0.0746
SPADES THREE HEARTS QUEEN,0.434,0.0164,0.5496
SPADES THREE HEARTS JACK,0.4194,0.0174,0.5632
SPADES THREE HEARTS TEN,0.4298,0.0302,0.54
DIAMONDS EIGHT DIAMONDS SEVEN,0.2358,0.133,0.6312
DIAMONDS NINE DIAMONDS SEVEN,0.2446,0.1026,0.6528
DIAMONDS NINE DIAMONDS EIGHT,0.3182,0.0362,0.6456
DIAMONDS KING HEARTS TEN,0.3686,0.0038,0.6276
HEARTS THREE HEARTS TEN,0.415,0.0274,0.5576
SPADES JACK CLUBS SIX,0.2852,0.0626,0.6522
DIAMONDS KING HEARTS JACK,0.3608,0.0056,0.6336
HEARTS THREE HEARTS JACK,0.4,0.0186,0.5814
SPADES TEN CLUBS SIX,0.29,0.0756,0.6344
SPADES JACK SPADES FIVE,0.392,0.0226,0.5854
SPADES TEN SPADES FIVE,0.4074,0.0294,0.5632
DIAMONDS KING HEARTS ACE,0.3696,0.0042,0.6262
HEARTS THREE HEARTS ACE,0.4068,0.0052,0.588
SPADES ACE CLUBS SIX,0.286,0.0228,0.6912
DIAMONDS KING HEARTS QUEEN,0.3626,0.0066,0.6308
HEARTS THREE HEARTS QUEEN,0.4012,0.0114,0.5874
SPADES KING CLUBS SIX,0.287,0.0296,0.6834
DIAMONDS KING HEARTS KING,0.2014,0.0146,0.784
HEARTS THREE HEARTS KING,0.4108,0.01,0.5792
SPADES QUEEN CLUBS SIX,0.2928,0.043,0.6642
SPADES NINE HEARTS TEN,0.3382,0.024,0.6378
SPADES NINE HEARTS JACK,0.3418,0.0172,0.641
SPADES QUEEN SPADES FIVE,0.4142,0.0104,0.5754
SPADES KING SPADES FIVE,0.4026,0.0084,0.589
SPADES ACE SPADES FIVE,0.3888,0.0054,0.6058
SPADES NINE HEARTS QUEEN,0.3512,0.0154,0.6334
SPADES NINE HEARTS KING,0.3636,0.0076,0.6288
SPADES NINE HEARTS ACE,0.3694,0.0036,0.627
CLUBS TEN SPADES JACK,0.3478,0.0138,0.6384
CLUBS TEN SPADES TEN,0.1868,0.0636,0.7496
SPADES ACE CLUBS TEN,0.3712,0.0038,0.625
SPADES KING CLUBS TEN,0.3672,0.004,0.6288
CLUBS TEN SPADES QUEEN,0.3564,0.0108,0.6328
SPADES FIVE HEARTS QUEEN,0.421,0.014,0.565
SPADES FIVE HEARTS KING,0.4228,0.0074,0.5698
SPADES FIVE HEARTS ACE,0.4006,0.006,0.5934
CLUBS EIGHT SPADES TEN,0.3436,0.027,0.6294
HEARTS THREE SPADES JACK,0.4364,0.0182,0.5454
SPADES JACK DIAMONDS KING,0.364,0.0068,0.6292
SPADES TEN DIAMONDS KING,0.3734,0.0086,0.618
HEARTS THREE SPADES TEN,0.4424,0.0258,0.5318
SPADES JACK CLUBS EIGHT,0.3666,0.0176,0.6158
CLUBS SIX HEARTS ACE,0.2914,0.0212,0.6874
SPADES ACE CLUBS EIGHT,0.3664,0.0026,0.631
HEARTS FIVE CLUBS JACK,0.4156,0.0198,0.5646
CLUBS TEN HEARTS FIVE,0.4268,0.0276,0.5456
CLUBS SIX HEARTS QUEEN,0.2892,0.0474,0.6634
SPADES QUEEN CLUBS EIGHT,0.372,0.0092,0.6188
CLUBS TEN SPADES THREE,0.441,0.0302,0.5288
CLUBS SIX HEARTS KING,0.29,0.0342,0.6758
SPADES KING CLUBS EIGHT,0.3672,0.0056,0.6272
SPADES THREE CLUBS JACK,0.4328,0.0166,0.5506
DIAMONDS TWO HEARTS JACK,0.4378,0.019,0.5432
SPADES THREE CLUBS QUEEN,0.4342,0.0128,0.553
DIAMONDS TWO HEARTS TEN,0.4372,0.0276,0.5352
SPADES THREE CLUBS KING,0.4342,0.009,0.5568
HEARTS FIVE CLUBS ACE,0.4204,0.0026,0.577
SPADES FIVE HEARTS TEN,0.4318,0.0258,0.5424
SPADES THREE CLUBS ACE,0.4372,0.005,0.5578
HEARTS FIVE CLUBS KING,0.4494,0.0062,0.5444
SPADES FIVE HEARTS JACK,0.4266,0.0214,0.552
HEARTS FIVE CLUBS QUEEN,0.4212,0.0124,0.5664
HEARTS THREE CLUBS KING,0.4402,0.0114,0.5484
DIAMONDS KING CLUBS KING,0.1994,0.016,0.7846
HEARTS THREE CLUBS QUEEN,0.4406,0.0134,0.546
DIAMONDS KING CLUBS QUEEN,0.3724,0.0034,0.6242
HEARTS FIVE HEARTS JACK,0.397,0.0196,0.5834
HEARTS FIVE HEARTS TEN,0.3964,0.034,0.5696
