opposingHand,winningChance,drawChance,lostChance
HEARTS SIX SPADES THREE
HEARTS FIVE SPADES TEN,0.3678,0.034,0.5982
SPADES JACK HEARTS FIVE,0.3604,0.02,0.6196
SPADES FIVE CLUBS JACK,0.3646,0.0188,0.6166
CLUBS TEN SPADES FIVE,0.361,0.0296,0.6094
CLUBS EIGHT CLUBS JACK,0.3208,0.0166,0.6626
CLUBS TEN CLUBS EIGHT,0.3164,0.0244,0.6592
CLUBS EIGHT CLUBS KING,0.3202,0.0078,0.672
SPADES FIVE CLUBS ACE,0.3468,0.0046,0.6486
CLUBS EIGHT CLUBS QUEEN,0.3228,0.0104,0.6668
SPADES FIVE CLUBS KING,0.3604,0.0086,0.631
SPADES FIVE CLUBS QUEEN,0.3556,0.0148,0.6296
CLUBS EIGHT CLUBS ACE,0.3162,0.0042,0.6796
DIAMONDS TWO DIAMONDS THREE,0.4634,0.257,0.2796
DIAMONDS TWO DIAMONDS FIVE,0.4606,0.1616,0.3778
SPADES KING HEARTS FIVE,0.3586,0.0108,0.6306
DIAMONDS TWO DIAMONDS FOUR,0.4612,0.1578,0.381
SPADES QUEEN HEARTS FIVE,0.3716,0.0166,0.6118
DIAMONDS TWO DIAMONDS SEVEN,0.3714,0.1,0.5286
DIAMONDS TWO DIAMONDS SIX,0.2498,0.4796,0.2706
SPADES ACE HEARTS FIVE,0.3514,0.0076,0.641
DIAMONDS TWO DIAMONDS NINE,0.38,0.0416,0.5784
DIAMONDS TWO DIAMONDS EIGHT,0.3672,0.0624,0.5704
DIAMONDS THREE DIAMONDS FOUR,0.4544,0.2554,0.2902
CLUBS TWO SPADES FOUR,0.4844,0.1598,0.3558
DIAMONDS THREE DIAMONDS FIVE,0.4566,0.2476,0.2958
SPADES FIVE CLUBS TWO,0.48,0.1682,0.3518
CLUBS TWO SPADES TWO,0.3346,0.1468,0.5186
DIAMONDS THREE DIAMONDS EIGHT,0.247,0.134,0.619
SPADES EIGHT CLUBS TWO,0.382,0.0674,0.5506
DIAMONDS THREE DIAMONDS NINE,0.241,0.1048,0.6542
SPADES NINE CLUBS TWO,0.4014,0.0478,0.5508
DIAMONDS THREE DIAMONDS SIX,0.022,0.9066,0.0714
SPADES SIX CLUBS TWO,0.2618,0.5194,0.2188
DIAMONDS THREE DIAMONDS SEVEN,0.2246,0.1984,0.577
SPADES SEVEN CLUBS TWO,0.3888,0.1146,0.4966
CLUBS SIX CLUBS TWO,0.2536,0.4728,0.2736
