opposingHand,winningChance,drawChance,lostChance
HEARTS THREE CLUBS FOUR
HEARTS ACE DIAMONDS NINE,0.3474,0.0052,0.6474
HEARTS SEVEN DIAMONDS TEN,0.37,0.0268,0.6032
DIAMONDS NINE SPADES THREE,0.2782,0.1046,0.6172
DIAMONDS KING CLUBS KING,0.1674,0.0224,0.8102
DIAMONDS TEN DIAMONDS SIX,0.3402,0.026,0.6338
CLUBS EIGHT HEARTS TEN,0.3446,0.0276,0.6278
CLUBS FIVE DIAMONDS SEVEN,0.3222,0.1038,0.574
CLUBS JACK SPADES TWO,0.4154,0.0226,0.562
SPADES ACE SPADES EIGHT,0.3408,0.0048,0.6544
CLUBS EIGHT SPADES FOUR,0.2524,0.1524,0.5952
SPADES EIGHT HEARTS EIGHT,0.1554,0.0978,0.7468
SPADES FOUR HEARTS EIGHT,0.2498,0.1508,0.5994
SPADES JACK SPADES EIGHT,0.3136,0.0186,0.6678
DIAMONDS KING CLUBS ACE,0.3562,0.0052,0.6386
CLUBS TEN HEARTS ACE,0.346,0.0036,0.6504
SPADES JACK CLUBS ACE,0.3584,0.0058,0.6358
SPADES FIVE DIAMONDS FIVE,0.1286,0.1506,0.7208
DIAMONDS THREE DIAMONDS FOUR,0.02,0.914,0.066
DIAMONDS THREE SPADES THREE,0.26,0.137,0.603
SPADES FOUR DIAMONDS FOUR,0.108,0.138,0.754
CLUBS JACK DIAMONDS TEN,0.3432,0.0172,0.6396
DIAMONDS SIX HEARTS EIGHT,0.3476,0.0696,0.5828
DIAMONDS TWO DIAMONDS KING,0.3804,0.0098,0.6098
CLUBS TWO SPADES FIVE,0.396,0.2462,0.3578
CLUBS SEVEN CLUBS THREE,0.2434,0.197,0.5596
SPADES FIVE DIAMONDS SEVEN,0.3348,0.101,0.5642
CLUBS TEN CLUBS QUEEN,0.3338,0.0126,0.6536
SPADES NINE SPADES THREE,0.2452,0.1042,0.6506
DIAMONDS QUEEN DIAMONDS FOUR,0.267,0.0442,0.6888
CLUBS NINE HEARTS TEN,0.3464,0.0238,0.6298
HEARTS ACE SPADES FOUR,0.25,0.0234,0.7266
CLUBS NINE CLUBS THREE,0.2618,0.1034,0.6348
CLUBS SEVEN DIAMONDS QUEEN,0.3552,0.0134,0.6314
HEARTS FOUR DIAMONDS FOUR,0.099,0.1332,0.7678
DIAMONDS NINE DIAMONDS SEVEN,0.3294,0.042,0.6286
DIAMONDS NINE DIAMONDS FIVE,0.339,0.0444,0.6166
CLUBS SIX DIAMONDS FOUR,0.2432,0.2734,0.4834
SPADES SEVEN HEARTS QUEEN,0.3636,0.0096,0.6268
DIAMONDS KING SPADES TWO,0.4116,0.0078,0.5806
HEARTS FIVE DIAMONDS SEVEN,0.3178,0.103,0.5792
HEARTS FIVE HEARTS JACK,0.3472,0.018,0.6348
DIAMONDS TWO CLUBS ACE,0.3946,0.005,0.6004
HEARTS TWO HEARTS KING,0.382,0.0126,0.6054
SPADES QUEEN DIAMONDS QUEEN,0.1758,0.0328,0.7914
SPADES SEVEN CLUBS KING,0.3564,0.0096,0.634
SPADES JACK CLUBS THREE,0.2702,0.0538,0.676
CLUBS EIGHT SPADES SIX,0.3374,0.068,0.5946
DIAMONDS ACE DIAMONDS FOUR,0.2452,0.0216,0.7332
DIAMONDS THREE CLUBS SIX,0.2492,0.283,0.4678
HEARTS SEVEN SPADES THREE,0.2538,0.2004,0.5458
SPADES TEN DIAMONDS FIVE,0.3632,0.028,0.6088
DIAMONDS TWO DIAMONDS NINE,0.3804,0.043,0.5766
HEARTS ACE DIAMONDS EIGHT,0.346,0.0068,0.6472
HEARTS JACK HEARTS NINE,0.3318,0.019,0.6492
CLUBS TWO HEARTS EIGHT,0.4156,0.0766,0.5078
HEARTS KING DIAMONDS FOUR,0.275,0.0416,0.6834
HEARTS FOUR CLUBS QUEEN,0.2466,0.047,0.7064
SPADES QUEEN DIAMONDS EIGHT,0.349,0.0104,0.6406
CLUBS NINE SPADES TEN,0.3416,0.0232,0.6352
SPADES QUEEN DIAMONDS FOUR,0.267,0.0456,0.6874
CLUBS JACK HEARTS KING,0.3372,0.0082,0.6546
SPADES ACE DIAMONDS THREE,0.2594,0.0172,0.7234
HEARTS QUEEN DIAMONDS FOUR,0.2628,0.0484,0.6888
SPADES EIGHT DIAMONDS FOUR,0.2506,0.1442,0.6052
DIAMONDS TWO SPADES EIGHT,0.416,0.0676,0.5164
DIAMONDS ACE DIAMONDS TEN,0.339,0.0056,0.6554
CLUBS NINE SPADES NINE,0.1622,0.0944,0.7434
SPADES SIX CLUBS KING,0.3636,0.0072,0.6292
CLUBS NINE CLUBS KING,0.339,0.008,0.653
CLUBS SEVEN CLUBS QUEEN,0.3512,0.0122,0.6366
SPADES FIVE DIAMONDS SIX,0.321,0.1472,0.5318
HEARTS FOUR SPADES FOUR,0.09,0.1342,0.7758
DIAMONDS TEN DIAMONDS NINE,0.3208,0.0228,0.6564
HEARTS SIX SPADES TWO,0.402,0.1642,0.4338
DIAMONDS QUEEN DIAMONDS EIGHT,0.3376,0.0136,0.6488
DIAMONDS THREE SPADES TEN,0.2984,0.0704,0.6312
DIAMONDS JACK DIAMONDS EIGHT,0.3346,0.0208,0.6446
SPADES FIVE HEARTS KING,0.3516,0.012,0.6364
CLUBS TEN HEARTS TWO,0.4142,0.0288,0.557
DIAMONDS SIX CLUBS KING,0.3488,0.009,0.6422
DIAMONDS JACK SPADES TWO,0.4226,0.0168,0.5606
CLUBS JACK HEARTS ACE,0.3588,0.0056,0.6356
SPADES JACK CLUBS KING,0.3424,0.009,0.6486
HEARTS SIX DIAMONDS EIGHT,0.344,0.0708,0.5852
HEARTS FOUR CLUBS KING,0.2642,0.0324,0.7034
CLUBS TEN CLUBS ACE,0.3286,0.0072,0.6642
HEARTS FOUR SPADES THREE,0.009,0.976,0.015
HEARTS SEVEN DIAMONDS FIVE,0.3322,0.1092,0.5586
CLUBS NINE HEARTS EIGHT,0.3312,0.0408,0.628
SPADES ACE CLUBS JACK,0.3556,0.0048,0.6396
HEARTS TWO HEARTS JACK,0.3922,0.0248,0.583
CLUBS EIGHT DIAMONDS FOUR,0.246,0.1512,0.6028
SPADES KING SPADES QUEEN,0.334,0.01,0.656
HEARTS SIX DIAMONDS FIVE,0.3202,0.1538,0.526
SPADES SIX HEARTS NINE,0.345,0.043,0.612
CLUBS TWO HEARTS KING,0.413,0.0122,0.5748
SPADES THREE HEARTS EIGHT,0.279,0.154,0.567
DIAMONDS TWO SPADES TWO,0.3256,0.165,0.5094
HEARTS QUEEN CLUBS ACE,0.3488,0.004,0.6472
CLUBS SIX HEARTS EIGHT,0.3322,0.0708,0.597
SPADES JACK DIAMONDS SEVEN,0.3592,0.0194,0.6214
DIAMONDS THREE SPADES SEVEN,0.2762,0.1902,0.5336
DIAMONDS NINE HEARTS TEN,0.3416,0.0268,0.6316
CLUBS JACK DIAMONDS NINE,0.355,0.015,0.63
HEARTS FOUR SPADES FIVE,0.2118,0.3776,0.4106
DIAMONDS JACK SPADES FOUR,0.2748,0.0568,0.6684
DIAMONDS THREE HEARTS NINE,0.279,0.106,0.615
HEARTS FIVE HEARTS QUEEN,0.3474,0.0128,0.6398
HEARTS TWO HEARTS ACE,0.3812,0.005,0.6138
SPADES EIGHT DIAMONDS TEN,0.3474,0.029,0.6236
DIAMONDS NINE CLUBS KING,0.3476,0.006,0.6464
CLUBS THREE HEARTS TEN,0.2648,0.0786,0.6566
SPADES JACK DIAMONDS SIX,0.3738,0.0182,0.608
CLUBS SEVEN CLUBS ACE,0.332,0.0052,0.6628
HEARTS FIVE DIAMONDS NINE,0.3486,0.0462,0.6052
CLUBS TWO CLUBS KING,0.3886,0.012,0.5994
DIAMONDS EIGHT CLUBS QUEEN,0.362,0.0142,0.6238
DIAMONDS TEN HEARTS JACK,0.3406,0.0172,0.6422
HEARTS SIX SPADES QUEEN,0.3622,0.0138,0.624
SPADES SEVEN DIAMONDS FOUR,0.2502,0.2118,0.538
DIAMONDS SEVEN CLUBS ACE,0.354,0.0046,0.6414
CLUBS EIGHT DIAMONDS JACK,0.3532,0.0164,0.6304
HEARTS TWO DIAMONDS ACE,0.4046,0.005,0.5904
SPADES NINE CLUBS QUEEN,0.3448,0.011,0.6442
SPADES FOUR HEARTS KING,0.2774,0.033,0.6896
SPADES SEVEN CLUBS TWO,0.4194,0.1086,0.472
CLUBS KING DIAMONDS FOUR,0.2698,0.0372,0.693
CLUBS TEN DIAMONDS TWO,0.4002,0.0304,0.5694
HEARTS TWO HEARTS NINE,0.3714,0.0456,0.583
CLUBS TEN CLUBS SIX,0.3336,0.0284,0.638
HEARTS SEVEN CLUBS SIX,0.3186,0.1054,0.576
HEARTS TWO CLUBS FIVE,0.387,0.2472,0.3658
CLUBS NINE CLUBS FIVE,0.3338,0.0472,0.619
HEARTS SIX SPADES FIVE,0.317,0.1526,0.5304
SPADES TEN SPADES TWO,0.3812,0.0302,0.5886
SPADES SIX HEARTS TEN,0.3504,0.0314,0.6182
SPADES TEN SPADES FOUR,0.2638,0.0818,0.6544
SPADES NINE DIAMONDS NINE,0.171,0.0822,0.7468
