opposingHand,winningChance,drawChance,lostChance
HEARTS THREE CLUBS KING
HEARTS FIVE SPADES TEN,0.586,0.008,0.406
HEARTS FIVE SPADES JACK,0.5904,0.0072,0.4024
SPADES FIVE CLUBS JACK,0.597,0.0102,0.3928
CLUBS TEN SPADES FIVE,0.6022,0.009,0.3888
CLUBS EIGHT CLUBS JACK,0.542,0.009,0.449
CLUBS TEN CLUBS EIGHT,0.5342,0.0074,0.4584
SPADES FIVE CLUBS ACE,0.3328,0.0056,0.6616
CLUBS EIGHT CLUBS QUEEN,0.5566,0.009,0.4344
SPADES FIVE CLUBS QUEEN,0.6026,0.008,0.3894
CLUBS EIGHT CLUBS ACE,0.349,0.0076,0.6434
DIAMONDS TWO DIAMONDS THREE,0.6638,0.0332,0.303
DIAMONDS TWO DIAMONDS FIVE,0.5774,0.0104,0.4122
HEARTS FIVE SPADES KING,0.2142,0.461,0.3248
DIAMONDS TWO DIAMONDS FOUR,0.568,0.0072,0.4248
HEARTS FIVE SPADES QUEEN,0.6028,0.0074,0.3898
DIAMONDS TWO DIAMONDS SEVEN,0.5952,0.0088,0.396
DIAMONDS TWO DIAMONDS SIX,0.5826,0.0084,0.409
SPADES ACE HEARTS FIVE,0.332,0.0038,0.6642
DIAMONDS TWO DIAMONDS NINE,0.588,0.0068,0.4052
DIAMONDS TWO DIAMONDS EIGHT,0.6026,0.0092,0.3882
DIAMONDS THREE DIAMONDS FOUR,0.6548,0.0272,0.318
CLUBS TWO SPADES FOUR,0.628,0.0114,0.3606
DIAMONDS THREE DIAMONDS FIVE,0.6468,0.0316,0.3216
SPADES FIVE CLUBS TWO,0.6188,0.009,0.3722
CLUBS TWO SPADES TWO,0.4266,0.0226,0.5508
CLUBS TWO SPADES THREE,0.722,0.033,0.245
DIAMONDS THREE DIAMONDS EIGHT,0.6822,0.024,0.2938
SPADES EIGHT CLUBS TWO,0.6306,0.0096,0.3598
DIAMONDS THREE DIAMONDS NINE,0.6728,0.0312,0.296
SPADES NINE CLUBS TWO,0.6374,0.0076,0.355
DIAMONDS THREE DIAMONDS SIX,0.6694,0.0238,0.3068
SPADES SIX CLUBS TWO,0.6348,0.0068,0.3584
DIAMONDS THREE DIAMONDS SEVEN,0.6796,0.0268,0.2936
SPADES SEVEN CLUBS TWO,0.6304,0.0118,0.3578
CLUBS SIX CLUBS TWO,0.6106,0.0096,0.3798
CLUBS SEVEN CLUBS TWO,0.5984,0.0106,0.391
CLUBS FOUR CLUBS TWO,0.5994,0.01,0.3906
CLUBS FIVE CLUBS TWO,0.5876,0.0082,0.4042
CLUBS TEN CLUBS JACK,0.517,0.0098,0.4732
DIAMONDS FOUR DIAMONDS SIX,0.5462,0.0088,0.445
CLUBS TEN CLUBS QUEEN,0.5302,0.008,0.4618
