opposingHand,winningChance,drawChance,lostChance
HEARTS THREE HEARTS ACE
HEARTS FIVE SPADES TEN,0.6354,0.0032,0.3614
HEARTS FIVE SPADES JACK,0.6336,0.0042,0.3622
CLUBS JACK SPADES FIVE,0.6262,0.0032,0.3706
CLUBS TEN SPADES FIVE,0.6372,0.0048,0.358
CLUBS JACK CLUBS EIGHT,0.5602,0.0046,0.4352
CLUBS TEN CLUBS EIGHT,0.5658,0.0044,0.4298
CLUBS EIGHT CLUBS KING,0.583,0.0036,0.4134
SPADES FIVE CLUBS ACE,0.2628,0.4276,0.3096
CLUBS EIGHT CLUBS QUEEN,0.5812,0.0036,0.4152
SPADES FIVE CLUBS KING,0.6374,0.0044,0.3582
SPADES FIVE CLUBS QUEEN,0.6322,0.005,0.3628
CLUBS EIGHT CLUBS ACE,0.2734,0.2048,0.5218
DIAMONDS TWO DIAMONDS THREE,0.7122,0.0218,0.266
DIAMONDS TWO DIAMONDS FIVE,0.619,0.0056,0.3754
HEARTS FIVE SPADES KING,0.6296,0.007,0.3634
DIAMONDS TWO DIAMONDS FOUR,0.6164,0.0048,0.3788
HEARTS FIVE SPADES QUEEN,0.6402,0.0052,0.3546
DIAMONDS TWO DIAMONDS SEVEN,0.6252,0.0046,0.3702
DIAMONDS TWO DIAMONDS SIX,0.6178,0.0048,0.3774
SPADES ACE HEARTS FIVE,0.2522,0.4386,0.3092
DIAMONDS TWO DIAMONDS NINE,0.6208,0.0068,0.3724
DIAMONDS TWO DIAMONDS EIGHT,0.6256,0.0058,0.3686
DIAMONDS THREE DIAMONDS FOUR,0.7042,0.0176,0.2782
CLUBS TWO SPADES FOUR,0.6632,0.0052,0.3316
DIAMONDS THREE DIAMONDS FIVE,0.6948,0.0208,0.2844
CLUBS TWO SPADES FIVE,0.6494,0.0048,0.3458
CLUBS TWO SPADES TWO,0.4992,0.005,0.4958
CLUBS TWO SPADES THREE,0.7616,0.0218,0.2166
DIAMONDS THREE DIAMONDS EIGHT,0.7206,0.0142,0.2652
SPADES EIGHT CLUBS TWO,0.6712,0.0056,0.3232
DIAMONDS THREE DIAMONDS NINE,0.7208,0.0192,0.26
SPADES NINE CLUBS TWO,0.6746,0.0042,0.3212
DIAMONDS THREE DIAMONDS SIX,0.7156,0.0134,0.271
SPADES SIX CLUBS TWO,0.6754,0.0056,0.319
DIAMONDS THREE DIAMONDS SEVEN,0.7054,0.0138,0.2808
SPADES SEVEN CLUBS TWO,0.669,0.006,0.325
CLUBS SIX CLUBS TWO,0.6264,0.0034,0.3702
CLUBS SEVEN CLUBS TWO,0.6362,0.0064,0.3574
CLUBS FOUR CLUBS TWO,0.6138,0.008,0.3782
CLUBS FIVE CLUBS TWO,0.602,0.005,0.393
CLUBS TEN CLUBS JACK,0.5564,0.0064,0.4372
DIAMONDS FOUR DIAMONDS SIX,0.5778,0.0036,0.4186
CLUBS TEN CLUBS QUEEN,0.5562,0.0046,0.4392
DIAMONDS FOUR DIAMONDS SEVEN,0.5934,0.0064,0.4002
CLUBS TEN CLUBS KING,0.5584,0.0058,0.4358
CLUBS TEN CLUBS ACE,0.2774,0.1086,0.614
CLUBS EIGHT CLUBS TWO,0.6344,0.0034,0.3622
DIAMONDS FIVE DIAMONDS FOUR,0.5644,0.0058,0.4298
CLUBS NINE CLUBS TWO,0.6188,0.0048,0.3764
DIAMONDS NINE DIAMONDS FOUR,0.6052,0.0064,0.3884
DIAMONDS EIGHT DIAMONDS FOUR,0.587,0.0056,0.4074
CLUBS TWO CLUBS THREE,0.7128,0.0202,0.267
DIAMONDS NINE DIAMONDS FIVE,0.5952,0.0026,0.4022
CLUBS JACK DIAMONDS TWO,0.6766,0.004,0.3194
DIAMONDS EIGHT DIAMONDS FIVE,0.575,0.0054,0.4196
CLUBS TEN DIAMONDS TWO,0.6564,0.0072,0.3364
DIAMONDS FIVE DIAMONDS SEVEN,0.5658,0.0054,0.4288
DIAMONDS FIVE DIAMONDS SIX,0.5844,0.0042,0.4114
DIAMONDS TWO CLUBS ACE,0.2994,0.4932,0.2074
DIAMONDS TWO CLUBS KING,0.6674,0.0074,0.3252
DIAMONDS TWO CLUBS QUEEN,0.6684,0.0056,0.326
DIAMONDS EIGHT DIAMONDS SIX,0.5626,0.0052,0.4322
DIAMONDS NINE DIAMONDS SIX,0.5694,0.0054,0.4252
SPADES THREE HEARTS KING,0.7632,0.0212,0.2156
DIAMONDS SEVEN DIAMONDS SIX,0.5526,0.0048,0.4426
HEARTS QUEEN SPADES THREE,0.7546,0.0204,0.225
SPADES THREE HEARTS JACK,0.7496,0.0216,0.2288
SPADES THREE HEARTS TEN,0.7458,0.0194,0.2348
DIAMONDS EIGHT DIAMONDS SEVEN,0.5454,0.0046,0.45
DIAMONDS NINE DIAMONDS SEVEN,0.572,0.0052,0.4228
DIAMONDS NINE DIAMONDS EIGHT,0.5552,0.0038,0.441
DIAMONDS KING HEARTS TEN,0.5898,0.0058,0.4044
SPADES JACK CLUBS SIX,0.6328,0.0032,0.364
DIAMONDS KING HEARTS JACK,0.59,0.0056,0.4044
SPADES TEN CLUBS SIX,0.6166,0.0042,0.3792
SPADES JACK SPADES FIVE,0.6002,0.0044,0.3954
SPADES TEN SPADES FIVE,0.5928,0.0046,0.4026
SPADES ACE CLUBS SIX,0.2858,0.3574,0.3568
DIAMONDS KING HEARTS QUEEN,0.5908,0.004,0.4052
SPADES KING CLUBS SIX,0.6208,0.0036,0.3756
DIAMONDS KING HEARTS KING,0.3198,0.0046,0.6756
SPADES QUEEN CLUBS SIX,0.6264,0.0034,0.3702
SPADES NINE HEARTS TEN,0.5682,0.0048,0.427
SPADES NINE HEARTS JACK,0.5862,0.0044,0.4094
SPADES QUEEN SPADES FIVE,0.5978,0.0044,0.3978
SPADES KING SPADES FIVE,0.5908,0.0062,0.403
SPADES ACE SPADES FIVE,0.248,0.4198,0.3322
SPADES NINE HEARTS QUEEN,0.6034,0.0064,0.3902
SPADES NINE HEARTS KING,0.6032,0.0044,0.3924
CLUBS TEN SPADES JACK,0.582,0.0036,0.4144
CLUBS TEN SPADES TEN,0.3738,0.0034,0.6228
SPADES ACE CLUBS TEN,0.2906,0.1152,0.5942
CLUBS TEN SPADES KING,0.5954,0.0064,0.3982
CLUBS TEN SPADES QUEEN,0.5744,0.005,0.4206
SPADES FIVE HEARTS QUEEN,0.6366,0.006,0.3574
SPADES FIVE HEARTS KING,0.63,0.0068,0.3632
CLUBS EIGHT SPADES TEN,0.5872,0.0036,0.4092
SPADES JACK DIAMONDS KING,0.5982,0.0062,0.3956
SPADES TEN DIAMONDS KING,0.605,0.005,0.39
CLUBS EIGHT SPADES JACK,0.5982,0.0038,0.398
SPADES ACE CLUBS EIGHT,0.2784,0.2108,0.5108
HEARTS FIVE CLUBS JACK,0.624,0.0072,0.3688
CLUBS TEN HEARTS FIVE,0.6206,0.0044,0.375
CLUBS SIX HEARTS QUEEN,0.6142,0.0038,0.382
SPADES QUEEN CLUBS EIGHT,0.6204,0.0048,0.3748
CLUBS TEN SPADES THREE,0.7488,0.02,0.2312
CLUBS SIX HEARTS KING,0.607,0.006,0.387
SPADES KING CLUBS EIGHT,0.6248,0.0046,0.3706
CLUBS JACK SPADES THREE,0.7538,0.0178,0.2284
DIAMONDS TWO HEARTS JACK,0.666,0.0048,0.3292
SPADES THREE CLUBS QUEEN,0.7644,0.0206,0.215
DIAMONDS TWO HEARTS TEN,0.661,0.0052,0.3338
SPADES THREE CLUBS KING,0.7582,0.0162,0.2256
HEARTS FIVE CLUBS ACE,0.2532,0.4322,0.3146
SPADES FIVE HEARTS TEN,0.6372,0.0046,0.3582
SPADES THREE CLUBS ACE,0.0634,0.9162,0.0204
HEARTS FIVE CLUBS KING,0.6214,0.007,0.3716
SPADES FIVE HEARTS JACK,0.6222,0.0046,0.3732
HEARTS FIVE CLUBS QUEEN,0.644,0.0046,0.3514
DIAMONDS KING CLUBS KING,0.3248,0.0034,0.6718
DIAMONDS KING CLUBS QUEEN,0.5992,0.0056,0.3952
HEARTS FIVE HEARTS JACK,0.6198,0.0076,0.3726
HEARTS FIVE HEARTS TEN,0.6366,0.0072,0.3562
DIAMONDS KING CLUBS ACE,0.302,0.0446,0.6534
SPADES ACE CLUBS QUEEN,0.2946,0.066,0.6394
SPADES KING CLUBS QUEEN,0.5902,0.0062,0.4036
CLUBS JACK DIAMONDS KING,0.5956,0.0042,0.4002
SPADES QUEEN CLUBS QUEEN,0.3362,0.006,0.6578
CLUBS TEN DIAMONDS KING,0.602,0.0042,0.3938
SPADES JACK CLUBS QUEEN,0.5874,0.0046,0.408
CLUBS SIX CLUBS QUEEN,0.6026,0.005,0.3924
SPADES TEN CLUBS QUEEN,0.5864,0.0036,0.41
CLUBS SIX CLUBS KING,0.6034,0.0042,0.3924
CLUBS SIX CLUBS ACE,0.273,0.3332,0.3938
HEARTS FIVE HEARTS KING,0.6258,0.0054,0.3688
HEARTS FIVE HEARTS QUEEN,0.626,0.0044,0.3696
CLUBS TEN CLUBS SIX,0.5836,0.0056,0.4108
CLUBS JACK CLUBS SIX,0.597,0.0062,0.3968
SPADES SEVEN HEARTS JACK,0.6124,0.007,0.3806
SPADES SEVEN HEARTS TEN,0.6004,0.0044,0.3952
DIAMONDS TWO CLUBS TWO,0.4988,0.0084,0.4928
DIAMONDS TWO CLUBS THREE,0.7536,0.0206,0.2258
DIAMONDS TWO HEARTS SIX,0.6626,0.0074,0.33
DIAMONDS TWO HEARTS QUEEN,0.6458,0.007,0.3472
HEARTS SEVEN DIAMONDS TWO,0.6666,0.007,0.3264
DIAMONDS TWO HEARTS KING,0.6626,0.007,0.3304
DIAMONDS TWO HEARTS EIGHT,0.6536,0.0046,0.3418
DIAMONDS TWO HEARTS NINE,0.6558,0.0074,0.3368
DIAMONDS TWO DIAMONDS QUEEN,0.62,0.0056,0.3744
DIAMONDS TWO HEARTS TWO,0.4854,0.0084,0.5062
DIAMONDS TWO DIAMONDS KING,0.6276,0.006,0.3664
DIAMONDS TWO DIAMONDS ACE,0.2846,0.4632,0.2522
HEARTS FOUR DIAMONDS TWO,0.6518,0.0086,0.3396
HEARTS FIVE DIAMONDS TWO,0.6386,0.0058,0.3556
DIAMONDS TWO DIAMONDS TEN,0.6158,0.0056,0.3786
SPADES SEVEN HEARTS KING,0.6172,0.0046,0.3782
DIAMONDS TWO DIAMONDS JACK,0.6342,0.0046,0.3612
SPADES SEVEN HEARTS QUEEN,0.6258,0.0042,0.37
