opposingHand,winningChance,drawChance,lostChance
HEARTS THREE SPADES FIVE
HEARTS FIVE SPADES TEN,0.2602,0.0874,0.6524
HEARTS FIVE SPADES JACK,0.2692,0.0674,0.6634
CLUBS EIGHT CLUBS JACK,0.3358,0.018,0.6462
CLUBS TEN CLUBS EIGHT,0.3254,0.0258,0.6488
CLUBS EIGHT CLUBS KING,0.3424,0.0076,0.65
CLUBS EIGHT CLUBS QUEEN,0.3438,0.0106,0.6456
CLUBS EIGHT CLUBS ACE,0.3338,0.006,0.6602
DIAMONDS TWO DIAMONDS THREE,0.3838,0.3438,0.2724
DIAMONDS TWO DIAMONDS FIVE,0.2604,0.48,0.2596
HEARTS FIVE SPADES KING,0.2442,0.0422,0.7136
DIAMONDS TWO DIAMONDS FOUR,0.4096,0.23,0.3604
HEARTS FIVE SPADES QUEEN,0.2608,0.0494,0.6898
DIAMONDS TWO DIAMONDS SEVEN,0.3898,0.0948,0.5154
DIAMONDS TWO DIAMONDS SIX,0.3796,0.161,0.4594
SPADES ACE HEARTS FIVE,0.2424,0.0252,0.7324
DIAMONDS TWO DIAMONDS NINE,0.3876,0.0394,0.573
DIAMONDS TWO DIAMONDS EIGHT,0.3778,0.063,0.5592
DIAMONDS THREE DIAMONDS FOUR,0.392,0.3524,0.2556
SPADES FOUR CLUBS TWO,0.4282,0.2518,0.32
DIAMONDS THREE DIAMONDS FIVE,0.0222,0.9038,0.074
CLUBS TWO SPADES TWO,0.341,0.1566,0.5024
CLUBS TWO SPADES THREE,0.4218,0.3666,0.2116
DIAMONDS THREE DIAMONDS EIGHT,0.2598,0.1342,0.606
SPADES EIGHT CLUBS TWO,0.411,0.0656,0.5234
DIAMONDS THREE DIAMONDS NINE,0.2592,0.1088,0.632
SPADES NINE CLUBS TWO,0.4136,0.0494,0.537
DIAMONDS THREE DIAMONDS SIX,0.2438,0.2546,0.5016
SPADES SIX CLUBS TWO,0.3868,0.1724,0.4408
DIAMONDS THREE DIAMONDS SEVEN,0.2454,0.1876,0.567
SPADES SEVEN CLUBS TWO,0.4218,0.1066,0.4716
CLUBS SIX CLUBS TWO,0.368,0.1494,0.4826
CLUBS SEVEN CLUBS TWO,0.3958,0.0954,0.5088
CLUBS FOUR CLUBS TWO,0.387,0.2378,0.3752
CLUBS FIVE CLUBS TWO,0.2544,0.478,0.2676
CLUBS TEN CLUBS JACK,0.3284,0.0144,0.6572
DIAMONDS FOUR DIAMONDS SIX,0.3272,0.1492,0.5236
CLUBS TEN CLUBS QUEEN,0.318,0.0094,0.6726
DIAMONDS FOUR DIAMONDS SEVEN,0.3422,0.1,0.5578
CLUBS TEN CLUBS KING,0.3228,0.0098,0.6674
CLUBS TEN CLUBS ACE,0.3364,0.0062,0.6574
CLUBS EIGHT CLUBS TWO,0.3864,0.0628,0.5508
DIAMONDS FIVE DIAMONDS FOUR,0.211,0.4838,0.3052
CLUBS NINE CLUBS TWO,0.3844,0.0404,0.5752
DIAMONDS NINE DIAMONDS FOUR,0.3776,0.043,0.5794
DIAMONDS EIGHT DIAMONDS FOUR,0.353,0.0648,0.5822
CLUBS THREE CLUBS TWO,0.3916,0.3504,0.258
DIAMONDS NINE DIAMONDS FIVE,0.249,0.1096,0.6414
DIAMONDS TWO CLUBS JACK,0.4124,0.0216,0.566
DIAMONDS EIGHT DIAMONDS FIVE,0.2424,0.1478,0.6098
CLUBS TEN DIAMONDS TWO,0.4192,0.0314,0.5494
DIAMONDS FIVE DIAMONDS SEVEN,0.2364,0.1966,0.567
DIAMONDS FIVE DIAMONDS SIX,0.2236,0.2494,0.527
DIAMONDS TWO CLUBS ACE,0.4038,0.0046,0.5916
DIAMONDS TWO CLUBS KING,0.4252,0.0092,0.5656
DIAMONDS TWO CLUBS QUEEN,0.4264,0.0138,0.5598
DIAMONDS EIGHT DIAMONDS SIX,0.3172,0.0634,0.6194
DIAMONDS NINE DIAMONDS SIX,0.3384,0.0406,0.621
HEARTS ACE SPADES THREE,0.246,0.0166,0.7374
SPADES THREE HEARTS KING,0.2692,0.035,0.6958
DIAMONDS SEVEN DIAMONDS SIX,0.3078,0.0862,0.606
SPADES THREE HEARTS QUEEN,0.276,0.0458,0.6782
SPADES THREE HEARTS JACK,0.287,0.0566,0.6564
SPADES THREE HEARTS TEN,0.2816,0.0754,0.643
DIAMONDS EIGHT DIAMONDS SEVEN,0.3122,0.0578,0.63
DIAMONDS NINE DIAMONDS SEVEN,0.3152,0.0424,0.6424
DIAMONDS NINE DIAMONDS EIGHT,0.3234,0.0364,0.6402
