opposingHand,winningChance,drawChance,lostChance
HEARTS THREE SPADES TWO
HEARTS FIVE SPADES TEN,0.3342,0.0346,0.6312
HEARTS FIVE SPADES JACK,0.3404,0.0204,0.6392
SPADES FIVE CLUBS JACK,0.3362,0.0204,0.6434
CLUBS TEN SPADES FIVE,0.3374,0.0302,0.6324
CLUBS EIGHT CLUBS JACK,0.3056,0.0178,0.6766
CLUBS TEN CLUBS EIGHT,0.3138,0.03,0.6562
CLUBS EIGHT CLUBS KING,0.3184,0.0088,0.6728
SPADES FIVE CLUBS ACE,0.3264,0.0072,0.6664
CLUBS EIGHT CLUBS QUEEN,0.3106,0.0102,0.6792
SPADES FIVE CLUBS KING,0.3354,0.01,0.6546
SPADES FIVE CLUBS QUEEN,0.3396,0.0148,0.6456
CLUBS EIGHT CLUBS ACE,0.3168,0.0058,0.6774
DIAMONDS TWO DIAMONDS THREE,0.0218,0.9036,0.0746
DIAMONDS TWO DIAMONDS FIVE,0.214,0.3546,0.4314
HEARTS FIVE SPADES KING,0.3334,0.0106,0.656
DIAMONDS TWO DIAMONDS FOUR,0.2096,0.4798,0.3106
HEARTS FIVE SPADES QUEEN,0.333,0.0156,0.6514
DIAMONDS TWO DIAMONDS SEVEN,0.2358,0.196,0.5682
DIAMONDS TWO DIAMONDS SIX,0.2396,0.258,0.5024
SPADES ACE HEARTS FIVE,0.3164,0.0076,0.676
DIAMONDS TWO DIAMONDS NINE,0.2384,0.099,0.6626
DIAMONDS TWO DIAMONDS EIGHT,0.2368,0.1376,0.6256
DIAMONDS THREE DIAMONDS FOUR,0.192,0.478,0.33
CLUBS TWO SPADES FOUR,0.2178,0.514,0.2682
DIAMONDS THREE DIAMONDS FIVE,0.2036,0.3492,0.4472
SPADES FIVE CLUBS TWO,0.2172,0.3828,0.4
CLUBS TWO SPADES THREE,0.009,0.9716,0.0194
DIAMONDS THREE DIAMONDS EIGHT,0.251,0.1388,0.6102
SPADES EIGHT CLUBS TWO,0.2506,0.1448,0.6046
DIAMONDS THREE DIAMONDS NINE,0.2456,0.1004,0.654
SPADES NINE CLUBS TWO,0.2554,0.1022,0.6424
DIAMONDS THREE DIAMONDS SIX,0.2266,0.2516,0.5218
SPADES SIX CLUBS TWO,0.2448,0.2794,0.4758
DIAMONDS THREE DIAMONDS SEVEN,0.2144,0.2012,0.5844
SPADES SEVEN CLUBS TWO,0.2608,0.194,0.5452
CLUBS SIX CLUBS TWO,0.244,0.2516,0.5044
CLUBS SEVEN CLUBS TWO,0.2408,0.183,0.5762
CLUBS FOUR CLUBS TWO,0.2128,0.4712,0.316
CLUBS FIVE CLUBS TWO,0.2066,0.351,0.4424
CLUBS TEN CLUBS JACK,0.3178,0.0138,0.6684
DIAMONDS FOUR DIAMONDS SIX,0.3006,0.1534,0.546
CLUBS TEN CLUBS QUEEN,0.3074,0.0128,0.6798
DIAMONDS FOUR DIAMONDS SEVEN,0.307,0.103,0.59
CLUBS TEN CLUBS KING,0.314,0.007,0.679
CLUBS TEN CLUBS ACE,0.3164,0.0044,0.6792
CLUBS EIGHT CLUBS TWO,0.2424,0.1448,0.6128
DIAMONDS FIVE DIAMONDS FOUR,0.2728,0.2308,0.4964
CLUBS NINE CLUBS TWO,0.249,0.0986,0.6524
DIAMONDS NINE DIAMONDS FOUR,0.3246,0.0426,0.6328
DIAMONDS EIGHT DIAMONDS FOUR,0.3214,0.0748,0.6038
CLUBS THREE CLUBS TWO,0.0218,0.9128,0.0654
DIAMONDS NINE DIAMONDS FIVE,0.3258,0.0404,0.6338
DIAMONDS TWO CLUBS JACK,0.271,0.0566,0.6724
DIAMONDS EIGHT DIAMONDS FIVE,0.316,0.064,0.62
CLUBS TEN DIAMONDS TWO,0.2676,0.0746,0.6578
DIAMONDS FIVE DIAMONDS SEVEN,0.2906,0.098,0.6114
DIAMONDS FIVE DIAMONDS SIX,0.2958,0.1402,0.564
DIAMONDS TWO CLUBS ACE,0.2388,0.0156,0.7456
DIAMONDS TWO CLUBS KING,0.2698,0.0284,0.7018
DIAMONDS TWO CLUBS QUEEN,0.2538,0.0412,0.705
DIAMONDS EIGHT DIAMONDS SIX,0.3096,0.0626,0.6278
DIAMONDS NINE DIAMONDS SIX,0.3262,0.04,0.6338
HEARTS ACE SPADES THREE,0.2194,0.0192,0.7614
SPADES THREE HEARTS KING,0.2514,0.0342,0.7144
DIAMONDS SEVEN DIAMONDS SIX,0.3064,0.0964,0.5972
HEARTS QUEEN SPADES THREE,0.2454,0.0458,0.7088
SPADES THREE HEARTS JACK,0.2474,0.0606,0.692
SPADES THREE HEARTS TEN,0.2394,0.0876,0.673
DIAMONDS EIGHT DIAMONDS SEVEN,0.295,0.054,0.651
DIAMONDS NINE DIAMONDS SEVEN,0.3182,0.0396,0.6422
DIAMONDS NINE DIAMONDS EIGHT,0.3116,0.0444,0.644
DIAMONDS KING HEARTS TEN,0.3484,0.008,0.6436
SPADES JACK CLUBS SIX,0.3488,0.0212,0.63
DIAMONDS KING HEARTS JACK,0.3372,0.009,0.6538
SPADES TEN CLUBS SIX,0.3444,0.0294,0.6262
SPADES JACK SPADES FIVE,0.328,0.0196,0.6524
SPADES TEN SPADES FIVE,0.3202,0.0318,0.648
DIAMONDS KING HEARTS ACE,0.3374,0.0058,0.6568
SPADES ACE CLUBS SIX,0.348,0.0064,0.6456
DIAMONDS KING HEARTS QUEEN,0.3392,0.0088,0.652
SPADES KING CLUBS SIX,0.3472,0.0112,0.6416
DIAMONDS KING HEARTS KING,0.1512,0.0178,0.831
SPADES QUEEN CLUBS SIX,0.3432,0.0132,0.6436
SPADES NINE HEARTS TEN,0.3152,0.0248,0.66
SPADES NINE HEARTS JACK,0.345,0.0172,0.6378
SPADES QUEEN SPADES FIVE,0.32,0.0174,0.6626
SPADES KING SPADES FIVE,0.3272,0.0108,0.662
SPADES ACE SPADES FIVE,0.3194,0.0064,0.6742
SPADES NINE HEARTS QUEEN,0.3296,0.0098,0.6606
SPADES NINE HEARTS KING,0.329,0.0118,0.6592
SPADES NINE HEARTS ACE,0.3244,0.0052,0.6704
CLUBS TEN SPADES JACK,0.3376,0.0132,0.6492
CLUBS TEN SPADES TEN,0.14,0.0736,0.7864
SPADES ACE CLUBS TEN,0.336,0.0048,0.6592
SPADES KING CLUBS TEN,0.3342,0.009,0.6568
CLUBS TEN SPADES QUEEN,0.3292,0.0104,0.6604
SPADES FIVE HEARTS QUEEN,0.3388,0.0164,0.6448
SPADES FIVE HEARTS KING,0.3324,0.013,0.6546
HEARTS ACE SPADES FIVE,0.3232,0.0064,0.6704
CLUBS EIGHT SPADES TEN,0.324,0.0262,0.6498
SPADES JACK DIAMONDS KING,0.329,0.0092,0.6618
SPADES TEN DIAMONDS KING,0.3324,0.0068,0.6608
SPADES JACK CLUBS EIGHT,0.3334,0.0196,0.647
CLUBS SIX HEARTS ACE,0.3496,0.0068,0.6436
SPADES ACE CLUBS EIGHT,0.3364,0.0042,0.6594
HEARTS FIVE CLUBS JACK,0.3488,0.0214,0.6298
HEARTS FIVE CLUBS TEN,0.345,0.0304,0.6246
CLUBS SIX HEARTS QUEEN,0.3354,0.0128,0.6518
SPADES QUEEN CLUBS EIGHT,0.3394,0.014,0.6466
CLUBS TEN SPADES THREE,0.2508,0.079,0.6702
