opposingHand,winningChance,drawChance,lostChance
HEARTS TWO CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.5792,0.0166,0.4042
HEARTS FIVE SPADES JACK,0.5918,0.0122,0.396
SPADES FIVE CLUBS JACK,0.5868,0.011,0.4022
CLUBS TEN SPADES FIVE,0.5898,0.0136,0.3966
CLUBS EIGHT CLUBS JACK,0.5518,0.0096,0.4386
CLUBS TEN CLUBS EIGHT,0.5258,0.01,0.4642
CLUBS EIGHT CLUBS KING,0.3362,0.0076,0.6562
SPADES FIVE CLUBS ACE,0.334,0.0064,0.6596
SPADES FIVE CLUBS KING,0.3494,0.0076,0.643
CLUBS EIGHT CLUBS ACE,0.3264,0.0048,0.6688
DIAMONDS TWO DIAMONDS THREE,0.6546,0.0378,0.3076
DIAMONDS TWO DIAMONDS FIVE,0.6506,0.0396,0.3098
HEARTS FIVE SPADES KING,0.3406,0.0096,0.6498
DIAMONDS TWO DIAMONDS FOUR,0.6514,0.0398,0.3088
HEARTS FIVE SPADES QUEEN,0.2148,0.4608,0.3244
DIAMONDS TWO DIAMONDS SEVEN,0.6776,0.0384,0.284
DIAMONDS TWO DIAMONDS SIX,0.6562,0.0348,0.309
SPADES ACE HEARTS FIVE,0.3426,0.0048,0.6526
DIAMONDS TWO DIAMONDS NINE,0.6716,0.0348,0.2936
DIAMONDS TWO DIAMONDS EIGHT,0.6748,0.0348,0.2904
DIAMONDS THREE DIAMONDS FOUR,0.5268,0.0164,0.4568
CLUBS TWO SPADES FOUR,0.6952,0.0416,0.2632
DIAMONDS THREE DIAMONDS FIVE,0.531,0.0166,0.4524
SPADES FIVE CLUBS TWO,0.7016,0.0422,0.2562
CLUBS TWO SPADES TWO,0.3046,0.026,0.6694
CLUBS TWO SPADES THREE,0.7044,0.0404,0.2552
DIAMONDS THREE DIAMONDS EIGHT,0.5538,0.0128,0.4334
SPADES EIGHT CLUBS TWO,0.722,0.041,0.237
DIAMONDS THREE DIAMONDS NINE,0.5596,0.016,0.4244
SPADES NINE CLUBS TWO,0.7252,0.043,0.2318
DIAMONDS THREE DIAMONDS SIX,0.532,0.0122,0.4558
SPADES SIX CLUBS TWO,0.7114,0.0318,0.2568
DIAMONDS THREE DIAMONDS SEVEN,0.5424,0.0146,0.443
SPADES SEVEN CLUBS TWO,0.7244,0.0386,0.237
CLUBS SIX CLUBS TWO,0.684,0.0374,0.2786
CLUBS SEVEN CLUBS TWO,0.7056,0.039,0.2554
CLUBS FOUR CLUBS TWO,0.6692,0.0394,0.2914
CLUBS FIVE CLUBS TWO,0.6456,0.0436,0.3108
CLUBS TEN CLUBS JACK,0.511,0.0106,0.4784
DIAMONDS FOUR DIAMONDS SIX,0.5288,0.014,0.4572
DIAMONDS FOUR DIAMONDS SEVEN,0.5366,0.0128,0.4506
CLUBS TEN CLUBS KING,0.3246,0.0092,0.6662
CLUBS TEN CLUBS ACE,0.3176,0.0064,0.676
CLUBS EIGHT CLUBS TWO,0.6902,0.0408,0.269
DIAMONDS FIVE DIAMONDS FOUR,0.5112,0.015,0.4738
CLUBS NINE CLUBS TWO,0.6988,0.0394,0.2618
DIAMONDS NINE DIAMONDS FOUR,0.555,0.014,0.431
DIAMONDS EIGHT DIAMONDS FOUR,0.5438,0.0138,0.4424
CLUBS THREE CLUBS TWO,0.6732,0.034,0.2928
DIAMONDS NINE DIAMONDS FIVE,0.5426,0.012,0.4454
DIAMONDS TWO CLUBS JACK,0.7322,0.0372,0.2306
DIAMONDS EIGHT DIAMONDS FIVE,0.5338,0.0098,0.4564
CLUBS TEN DIAMONDS TWO,0.7204,0.0418,0.2378
DIAMONDS FIVE DIAMONDS SEVEN,0.5186,0.0116,0.4698
DIAMONDS FIVE DIAMONDS SIX,0.5082,0.0154,0.4764
DIAMONDS TWO CLUBS ACE,0.2252,0.0194,0.7554
DIAMONDS TWO CLUBS KING,0.2476,0.0296,0.7228
DIAMONDS EIGHT DIAMONDS SIX,0.5234,0.0104,0.4662
DIAMONDS NINE DIAMONDS SIX,0.5392,0.0108,0.45
HEARTS ACE SPADES THREE,0.3352,0.0062,0.6586
SPADES THREE HEARTS KING,0.3552,0.0076,0.6372
DIAMONDS SEVEN DIAMONDS SIX,0.508,0.0118,0.4802
HEARTS QUEEN SPADES THREE,0.2114,0.5238,0.2648
SPADES THREE HEARTS JACK,0.6028,0.0124,0.3848
SPADES THREE HEARTS TEN,0.5942,0.0136,0.3922
DIAMONDS EIGHT DIAMONDS SEVEN,0.5168,0.0116,0.4716
DIAMONDS NINE DIAMONDS SEVEN,0.5098,0.0112,0.479
DIAMONDS NINE DIAMONDS EIGHT,0.508,0.0106,0.4814
DIAMONDS KING HEARTS TEN,0.3358,0.0072,0.657
HEARTS THREE HEARTS TEN,0.5536,0.0112,0.4352
SPADES JACK CLUBS SIX,0.5948,0.012,0.3932
DIAMONDS KING HEARTS JACK,0.3234,0.008,0.6686
HEARTS THREE HEARTS JACK,0.5582,0.0144,0.4274
SPADES TEN CLUBS SIX,0.5808,0.0128,0.4064
SPADES JACK SPADES FIVE,0.5514,0.0124,0.4362
SPADES TEN SPADES FIVE,0.5542,0.0116,0.4342
DIAMONDS KING HEARTS ACE,0.313,0.0026,0.6844
HEARTS THREE HEARTS ACE,0.3294,0.0034,0.6672
SPADES ACE CLUBS SIX,0.3628,0.0038,0.6334
DIAMONDS KING HEARTS QUEEN,0.2244,0.0254,0.7502
HEARTS THREE HEARTS QUEEN,0.2078,0.502,0.2902
SPADES KING CLUBS SIX,0.3514,0.0088,0.6398
DIAMONDS KING HEARTS KING,0.1248,0.0052,0.87
HEARTS THREE HEARTS KING,0.3404,0.0106,0.649
SPADES QUEEN CLUBS SIX,0.2182,0.3932,0.3886
SPADES NINE HEARTS TEN,0.5272,0.012,0.4608
SPADES NINE HEARTS JACK,0.5504,0.0098,0.4398
SPADES QUEEN SPADES FIVE,0.2084,0.4438,0.3478
SPADES KING SPADES FIVE,0.3394,0.0082,0.6524
SPADES ACE SPADES FIVE,0.3218,0.0048,0.6734
SPADES NINE HEARTS QUEEN,0.2276,0.171,0.6014
SPADES NINE HEARTS KING,0.3546,0.0078,0.6376
SPADES NINE HEARTS ACE,0.3602,0.0046,0.6352
CLUBS TEN SPADES JACK,0.532,0.0122,0.4558
CLUBS TEN SPADES TEN,0.2846,0.016,0.6994
SPADES ACE CLUBS TEN,0.3332,0.0048,0.662
SPADES KING CLUBS TEN,0.3356,0.0084,0.656
CLUBS TEN SPADES QUEEN,0.2324,0.1182,0.6494
SPADES FIVE HEARTS QUEEN,0.206,0.4626,0.3314
SPADES FIVE HEARTS KING,0.3534,0.0084,0.6382
HEARTS ACE SPADES FIVE,0.3374,0.007,0.6556
CLUBS EIGHT SPADES TEN,0.5554,0.0126,0.432
SPADES JACK HEARTS THREE,0.6004,0.015,0.3846
SPADES JACK DIAMONDS KING,0.3492,0.0056,0.6452
SPADES TEN DIAMONDS KING,0.3418,0.0054,0.6528
SPADES TEN HEARTS THREE,0.593,0.0126,0.3944
SPADES JACK CLUBS EIGHT,0.5734,0.0114,0.4152
CLUBS SIX HEARTS ACE,0.3586,0.0068,0.6346
SPADES ACE CLUBS EIGHT,0.3684,0.0052,0.6264
HEARTS FIVE CLUBS JACK,0.5926,0.0138,0.3936
HEARTS FIVE CLUBS TEN,0.585,0.0146,0.4004
CLUBS SIX HEARTS QUEEN,0.219,0.3894,0.3916
SPADES QUEEN CLUBS EIGHT,0.2232,0.2282,0.5486
CLUBS TEN SPADES THREE,0.601,0.012,0.387
CLUBS SIX HEARTS KING,0.351,0.0086,0.6404
SPADES KING CLUBS EIGHT,0.3624,0.0084,0.6292
SPADES THREE CLUBS JACK,0.5982,0.0122,0.3896
DIAMONDS TWO HEARTS JACK,0.7308,0.0412,0.228
DIAMONDS TWO HEARTS TEN,0.7116,0.0466,0.2418
SPADES THREE CLUBS KING,0.3378,0.0106,0.6516
HEARTS FIVE CLUBS ACE,0.325,0.0048,0.6702
SPADES FIVE HEARTS TEN,0.5916,0.0108,0.3976
SPADES THREE CLUBS ACE,0.3414,0.0082,0.6504
HEARTS FIVE CLUBS KING,0.3454,0.008,0.6466
SPADES FIVE HEARTS JACK,0.5904,0.0098,0.3998
HEARTS THREE CLUBS KING,0.3486,0.01,0.6414
DIAMONDS KING CLUBS KING,0.1144,0.0068,0.8788
HEARTS FIVE HEARTS JACK,0.555,0.0112,0.4338
HEARTS FIVE HEARTS TEN,0.5616,0.0114,0.427
HEARTS THREE CLUBS ACE,0.3308,0.0076,0.6616
DIAMONDS KING CLUBS ACE,0.3024,0.0056,0.692
HEARTS THREE CLUBS JACK,0.5996,0.0148,0.3856
DIAMONDS KING CLUBS JACK,0.3462,0.0076,0.6462
CLUBS TEN HEARTS THREE,0.5982,0.0142,0.3876
CLUBS TEN DIAMONDS KING,0.3356,0.008,0.6564
CLUBS SIX CLUBS KING,0.3394,0.0086,0.652
CLUBS SIX CLUBS ACE,0.3384,0.0068,0.6548
HEARTS FIVE HEARTS KING,0.3326,0.0086,0.6588
HEARTS FIVE HEARTS QUEEN,0.206,0.4458,0.3482
CLUBS TEN CLUBS SIX,0.5602,0.01,0.4298
HEARTS FIVE HEARTS ACE,0.321,0.0064,0.6726
CLUBS SIX CLUBS JACK,0.5734,0.0078,0.4188
SPADES SEVEN HEARTS JACK,0.5686,0.014,0.4174
SPADES SEVEN HEARTS TEN,0.5618,0.0098,0.4284
DIAMONDS TWO CLUBS TWO,0.3026,0.0274,0.67
DIAMONDS TWO CLUBS THREE,0.717,0.0436,0.2394
DIAMONDS TWO HEARTS SIX,0.7108,0.034,0.2552
DIAMONDS TWO HEARTS QUEEN,0.0094,0.9764,0.0142
HEARTS SEVEN DIAMONDS TWO,0.712,0.0406,0.2474
DIAMONDS TWO HEARTS KING,0.2448,0.032,0.7232
DIAMONDS TWO HEARTS EIGHT,0.7138,0.0454,0.2408
DIAMONDS TWO HEARTS ACE,0.2248,0.0184,0.7568
DIAMONDS TWO HEARTS NINE,0.7186,0.041,0.2404
DIAMONDS TWO DIAMONDS QUEEN,0.0194,0.906,0.0746
DIAMONDS TWO DIAMONDS KING,0.2164,0.0268,0.7568
DIAMONDS TWO HEARTS THREE,0.6978,0.04,0.2622
DIAMONDS TWO DIAMONDS ACE,0.2198,0.0178,0.7624
HEARTS FOUR DIAMONDS TWO,0.6926,0.0472,0.2602
HEARTS FIVE DIAMONDS TWO,0.6852,0.041,0.2738
SPADES SEVEN HEARTS ACE,0.3448,0.0044,0.6508
DIAMONDS TWO DIAMONDS TEN,0.6714,0.0368,0.2918
SPADES SEVEN HEARTS KING,0.3508,0.0062,0.643
DIAMONDS TWO DIAMONDS JACK,0.6738,0.0394,0.2868
SPADES SEVEN HEARTS QUEEN,0.2178,0.3046,0.4776
DIAMONDS TWO SPADES NINE,0.7242,0.04,0.2358
DIAMONDS TWO SPADES EIGHT,0.722,0.0372,0.2408
DIAMONDS TWO SPADES SEVEN,0.7232,0.0322,0.2446
DIAMONDS TWO SPADES SIX,0.698,0.036,0.266
DIAMONDS TWO SPADES FIVE,0.7024,0.0334,0.2642
DIAMONDS TWO SPADES FOUR,0.6998,0.0334,0.2668
DIAMONDS TWO SPADES THREE,0.6964,0.038,0.2656
DIAMONDS TWO SPADES TWO,0.3078,0.0246,0.6676
CLUBS NINE DIAMONDS TWO,0.7264,0.043,0.2306
DIAMONDS TWO CLUBS EIGHT,0.7202,0.0404,0.2394
CLUBS SEVEN DIAMONDS TWO,0.72,0.038,0.242
DIAMONDS TWO CLUBS SIX,0.709,0.036,0.255
DIAMONDS TWO CLUBS FIVE,0.7028,0.0332,0.264
DIAMONDS TWO CLUBS FOUR,0.6906,0.0444,0.265
CLUBS FOUR SPADES FIVE,0.558,0.0146,0.4274
CLUBS FOUR SPADES FOUR,0.319,0.0378,0.6432
CLUBS FOUR SPADES THREE,0.5702,0.0198,0.41
CLUBS FOUR SPADES TWO,0.7088,0.0376,0.2536
SPADES NINE CLUBS FOUR,0.5978,0.0114,0.3908
SPADES EIGHT CLUBS FOUR,0.595,0.0108,0.3942
SPADES SEVEN CLUBS FOUR,0.58,0.0128,0.4072
CLUBS FOUR SPADES SIX,0.58,0.0128,0.4072
SPADES ACE DIAMONDS SIX,0.3678,0.0054,0.6268
SPADES QUEEN DIAMONDS SIX,0.224,0.3842,0.3918
SPADES KING DIAMONDS SIX,0.3668,0.006,0.6272
SPADES TEN DIAMONDS SIX,0.5718,0.009,0.4192
SPADES JACK DIAMONDS SIX,0.5928,0.0114,0.3958
SPADES QUEEN SPADES TWO,0.0226,0.9022,0.0752
SPADES KING SPADES TWO,0.2232,0.0262,0.7506
SPADES ACE SPADES TWO,0.2124,0.0136,0.774
DIAMONDS JACK CLUBS JACK,0.2696,0.0112,0.7192
CLUBS TEN DIAMONDS JACK,0.5384,0.0122,0.4494
DIAMONDS JACK CLUBS KING,0.3342,0.0076,0.6582
DIAMONDS THREE DIAMONDS JACK,0.562,0.0138,0.4242
DIAMONDS THREE DIAMONDS TEN,0.5584,0.0098,0.4318
DIAMONDS JACK CLUBS ACE,0.3422,0.0072,0.6506
DIAMONDS THREE DIAMONDS KING,0.3232,0.0084,0.6684
DIAMONDS THREE HEARTS THREE,0.3168,0.0336,0.6496
DIAMONDS THREE DIAMONDS QUEEN,0.2064,0.4862,0.3074
HEARTS FIVE DIAMONDS THREE,0.5698,0.0152,0.415
DIAMONDS THREE DIAMONDS ACE,0.3158,0.0054,0.6788
HEARTS FOUR DIAMONDS THREE,0.572,0.0166,0.4114
HEARTS SEVEN DIAMONDS THREE,0.582,0.013,0.405
SPADES TEN SPADES NINE,0.5152,0.0098,0.475
HEARTS SIX DIAMONDS THREE,0.5694,0.0124,0.4182
SPADES JACK SPADES NINE,0.527,0.0102,0.4628
