opposingHand,winningChance,drawChance,lostChance
HEARTS TWO CLUBS SEVEN
HEARTS FIVE SPADES TEN,0.348,0.0318,0.6202
HEARTS FIVE SPADES JACK,0.3424,0.0182,0.6394
CLUBS JACK SPADES FIVE,0.3414,0.0194,0.6392
CLUBS TEN SPADES FIVE,0.3598,0.026,0.6142
CLUBS JACK CLUBS EIGHT,0.2914,0.0198,0.6888
CLUBS TEN CLUBS EIGHT,0.2764,0.0264,0.6972
CLUBS EIGHT CLUBS KING,0.3102,0.0082,0.6816
SPADES FIVE CLUBS ACE,0.322,0.0046,0.6734
CLUBS EIGHT CLUBS QUEEN,0.3028,0.013,0.6842
SPADES FIVE CLUBS KING,0.353,0.0112,0.6358
SPADES FIVE CLUBS QUEEN,0.337,0.0166,0.6464
CLUBS EIGHT CLUBS ACE,0.295,0.0038,0.7012
DIAMONDS TWO DIAMONDS THREE,0.5202,0.1918,0.288
DIAMONDS TWO DIAMONDS FIVE,0.511,0.1884,0.3006
HEARTS FIVE SPADES KING,0.3378,0.012,0.6502
DIAMONDS TWO DIAMONDS FOUR,0.5138,0.1846,0.3016
HEARTS FIVE SPADES QUEEN,0.35,0.0126,0.6374
DIAMONDS TWO DIAMONDS SEVEN,0.0176,0.917,0.0654
DIAMONDS TWO DIAMONDS SIX,0.5174,0.186,0.2966
SPADES ACE HEARTS FIVE,0.3326,0.0058,0.6616
DIAMONDS TWO DIAMONDS NINE,0.2244,0.097,0.6786
DIAMONDS TWO DIAMONDS EIGHT,0.2172,0.1374,0.6454
DIAMONDS THREE DIAMONDS FOUR,0.4468,0.1016,0.4516
CLUBS TWO SPADES FOUR,0.5482,0.2004,0.2514
DIAMONDS THREE DIAMONDS FIVE,0.438,0.102,0.46
SPADES FIVE CLUBS TWO,0.546,0.197,0.257
CLUBS TWO SPADES TWO,0.242,0.0862,0.6718
CLUBS TWO SPADES THREE,0.5416,0.1994,0.259
DIAMONDS THREE DIAMONDS EIGHT,0.3274,0.0668,0.6058
SPADES EIGHT CLUBS TWO,0.2396,0.1336,0.6268
DIAMONDS THREE DIAMONDS NINE,0.3232,0.0406,0.6362
