opposingHand,winningChance,drawChance,lostChance
HEARTS TWO DIAMONDS ACE
HEARTS EIGHT DIAMONDS KING,0.6046,0.0072,0.3882
SPADES EIGHT SPADES TWO,0.7016,0.0176,0.2808
DIAMONDS QUEEN SPADES SIX,0.5934,0.007,0.3996
DIAMONDS JACK HEARTS ACE,0.2334,0.0952,0.6714
CLUBS TEN CLUBS KING,0.5284,0.0054,0.4662
CLUBS EIGHT CLUBS SIX,0.5368,0.005,0.4582
SPADES QUEEN HEARTS JACK,0.5526,0.007,0.4404
HEARTS FOUR HEARTS JACK,0.5776,0.0062,0.4162
SPADES NINE DIAMONDS NINE,0.3512,0.0042,0.6446
SPADES NINE SPADES SEVEN,0.5358,0.0028,0.4614
SPADES NINE CLUBS ACE,0.2442,0.168,0.5878
CLUBS NINE HEARTS QUEEN,0.5814,0.006,0.4126
CLUBS SIX HEARTS QUEEN,0.6026,0.0076,0.3898
DIAMONDS SEVEN HEARTS JACK,0.5862,0.0052,0.4086
DIAMONDS JACK HEARTS NINE,0.5668,0.005,0.4282
CLUBS THREE DIAMONDS SIX,0.6096,0.0072,0.3832
DIAMONDS THREE HEARTS KING,0.6216,0.0052,0.3732
CLUBS JACK HEARTS FIVE,0.6064,0.0048,0.3888
CLUBS SIX DIAMONDS EIGHT,0.5708,0.006,0.4232
SPADES TWO DIAMONDS FOUR,0.7386,0.014,0.2474
HEARTS EIGHT DIAMONDS EIGHT,0.3364,0.0046,0.659
SPADES TEN DIAMONDS FOUR,0.5976,0.0034,0.399
HEARTS EIGHT DIAMONDS JACK,0.5796,0.006,0.4144
SPADES KING DIAMONDS SEVEN,0.6126,0.0054,0.382
HEARTS SIX SPADES SIX,0.3522,0.0052,0.6426
SPADES JACK DIAMONDS FIVE,0.6174,0.0074,0.3752
SPADES TEN HEARTS NINE,0.557,0.0044,0.4386
SPADES TWO DIAMONDS FIVE,0.7312,0.0172,0.2516
CLUBS FIVE DIAMONDS QUEEN,0.6018,0.0078,0.3904
HEARTS QUEEN CLUBS KING,0.5708,0.0034,0.4258
HEARTS EIGHT DIAMONDS FOUR,0.6056,0.0056,0.3888
SPADES THREE HEARTS NINE,0.6056,0.006,0.3884
SPADES JACK HEARTS JACK,0.3038,0.0034,0.6928
SPADES ACE DIAMONDS NINE,0.2404,0.1744,0.5852
CLUBS TEN CLUBS SEVEN,0.5402,0.0056,0.4542
CLUBS THREE DIAMONDS TEN,0.617,0.0048,0.3782
DIAMONDS TWO SPADES FOUR,0.7496,0.0156,0.2348
