opposingHand,winningChance,drawChance,lostChance
HEARTS TWO DIAMONDS JACK
CLUBS TEN CLUBS SEVEN,0.5196,0.0146,0.4658
CLUBS NINE DIAMONDS FIVE,0.5724,0.0156,0.412
HEARTS FOUR CLUBS THREE,0.5578,0.0226,0.4196
SPADES NINE SPADES THREE,0.5472,0.019,0.4338
CLUBS JACK HEARTS SIX,0.2256,0.3962,0.3782
HEARTS SEVEN HEARTS FOUR,0.5378,0.0182,0.444
SPADES QUEEN CLUBS TWO,0.246,0.0356,0.7184
SPADES TWO DIAMONDS FOUR,0.6632,0.0634,0.2734
CLUBS NINE SPADES SEVEN,0.5528,0.019,0.4282
DIAMONDS QUEEN HEARTS TEN,0.3216,0.0112,0.6672
HEARTS EIGHT HEARTS ACE,0.331,0.0044,0.6646
SPADES SEVEN HEARTS JACK,0.2182,0.292,0.4898
SPADES TEN HEARTS QUEEN,0.3256,0.0082,0.6662
SPADES KING SPADES FIVE,0.3362,0.0072,0.6566
CLUBS JACK HEARTS EIGHT,0.227,0.2134,0.5596
HEARTS EIGHT SPADES QUEEN,0.3456,0.0122,0.6422
SPADES KING DIAMONDS ACE,0.3136,0.0056,0.6808
HEARTS ACE DIAMONDS FOUR,0.353,0.0056,0.6414
HEARTS SIX HEARTS TEN,0.55,0.017,0.433
SPADES NINE SPADES FOUR,0.5512,0.0188,0.43
HEARTS FIVE SPADES FIVE,0.3066,0.0418,0.6516
HEARTS EIGHT CLUBS ACE,0.3544,0.0044,0.6412
SPADES QUEEN CLUBS SEVEN,0.3704,0.0122,0.6174
CLUBS JACK DIAMONDS ACE,0.2116,0.0208,0.7676
HEARTS KING HEARTS TEN,0.309,0.011,0.68
CLUBS EIGHT CLUBS SIX,0.5152,0.017,0.4678
CLUBS EIGHT SPADES FOUR,0.5792,0.0178,0.403
CLUBS JACK DIAMONDS KING,0.2182,0.0314,0.7504
HEARTS FIVE HEARTS TEN,0.545,0.0218,0.4332
DIAMONDS QUEEN SPADES FOUR,0.3622,0.016,0.6218
HEARTS FIVE HEARTS KING,0.3418,0.0074,0.6508
HEARTS SIX DIAMONDS NINE,0.574,0.0156,0.4104
DIAMONDS TEN HEARTS QUEEN,0.3192,0.0122,0.6686
SPADES KING HEARTS NINE,0.3456,0.0074,0.647
DIAMONDS KING HEARTS JACK,0.2044,0.0344,0.7612
SPADES EIGHT DIAMONDS KING,0.3566,0.008,0.6354
CLUBS JACK HEARTS JACK,0.069,0.0378,0.8932
SPADES ACE SPADES QUEEN,0.3006,0.006,0.6934
SPADES KING CLUBS EIGHT,0.3632,0.007,0.6298
CLUBS TEN HEARTS QUEEN,0.3178,0.0108,0.6714
HEARTS FIVE SPADES TEN,0.5844,0.0182,0.3974
CLUBS TEN HEARTS SEVEN,0.5572,0.0182,0.4246
HEARTS FIVE DIAMONDS EIGHT,0.5622,0.0206,0.4172
DIAMONDS SEVEN CLUBS ACE,0.3598,0.0048,0.6354
DIAMONDS TEN DIAMONDS SEVEN,0.5314,0.018,0.4506
DIAMONDS EIGHT DIAMONDS FIVE,0.5348,0.0226,0.4426
HEARTS JACK DIAMONDS FIVE,0.208,0.4638,0.3282
SPADES EIGHT SPADES SIX,0.5108,0.0182,0.471
SPADES EIGHT DIAMONDS FOUR,0.5834,0.0188,0.3978
DIAMONDS FIVE DIAMONDS FOUR,0.5176,0.024,0.4584
SPADES FOUR DIAMONDS NINE,0.587,0.0224,0.3906
CLUBS NINE HEARTS ACE,0.3582,0.0048,0.637
SPADES NINE CLUBS TWO,0.7066,0.0526,0.2408
CLUBS FOUR DIAMONDS SIX,0.554,0.0206,0.4254
DIAMONDS TWO SPADES TWO,0.2868,0.036,0.6772
CLUBS EIGHT DIAMONDS FIVE,0.5694,0.0202,0.4104
CLUBS FIVE HEARTS NINE,0.5728,0.0182,0.409
SPADES JACK CLUBS EIGHT,0.2278,0.2284,0.5438
HEARTS THREE CLUBS FIVE,0.563,0.0222,0.4148
SPADES ACE DIAMONDS KING,0.309,0.006,0.685
SPADES TEN DIAMONDS EIGHT,0.545,0.0176,0.4374
DIAMONDS KING SPADES FIVE,0.3528,0.0082,0.639
DIAMONDS KING SPADES FOUR,0.363,0.0082,0.6288
DIAMONDS QUEEN DIAMONDS SIX,0.3464,0.0096,0.644
SPADES QUEEN SPADES SIX,0.3342,0.0128,0.653
CLUBS SIX DIAMONDS SEVEN,0.5452,0.0232,0.4316
CLUBS JACK CLUBS TWO,0.0212,0.912,0.0668
HEARTS KING CLUBS ACE,0.32,0.0048,0.6752
HEARTS SEVEN SPADES QUEEN,0.357,0.0126,0.6304
DIAMONDS QUEEN SPADES THREE,0.3644,0.0146,0.621
SPADES TEN CLUBS FIVE,0.586,0.0166,0.3974
DIAMONDS THREE DIAMONDS FOUR,0.5314,0.0254,0.4432
SPADES JACK HEARTS FIVE,0.2222,0.4572,0.3206
DIAMONDS THREE CLUBS KING,0.3622,0.0088,0.629
CLUBS THREE CLUBS TWO,0.6478,0.0558,0.2964
CLUBS FOUR HEARTS QUEEN,0.3498,0.0124,0.6378
DIAMONDS TWO DIAMONDS EIGHT,0.6722,0.0536,0.2742
CLUBS EIGHT DIAMONDS NINE,0.5486,0.0168,0.4346
CLUBS FIVE HEARTS ACE,0.3496,0.0054,0.645
HEARTS EIGHT HEARTS QUEEN,0.346,0.012,0.642
SPADES TEN HEARTS JACK,0.2198,0.1184,0.6618
SPADES ACE DIAMONDS SIX,0.3654,0.005,0.6296
DIAMONDS QUEEN CLUBS ACE,0.3154,0.006,0.6786
CLUBS KING DIAMONDS FOUR,0.3558,0.0092,0.635
HEARTS TEN CLUBS QUEEN,0.321,0.009,0.67
SPADES QUEEN HEARTS KING,0.3034,0.0092,0.6874
SPADES TWO DIAMONDS SIX,0.6994,0.0474,0.2532
CLUBS JACK HEARTS TEN,0.215,0.1256,0.6594
SPADES KING SPADES QUEEN,0.2962,0.0058,0.698
CLUBS SIX HEARTS THREE,0.573,0.0214,0.4056
CLUBS JACK SPADES FOUR,0.221,0.5004,0.2786
HEARTS SEVEN CLUBS NINE,0.5404,0.0242,0.4354
DIAMONDS ACE CLUBS FOUR,0.3488,0.0062,0.645
HEARTS FOUR HEARTS JACK,0.2112,0.4878,0.301
CLUBS TWO DIAMONDS SEVEN,0.7134,0.0516,0.235
SPADES QUEEN SPADES TEN,0.3008,0.0092,0.69
SPADES JACK SPADES FIVE,0.2046,0.4368,0.3586
CLUBS EIGHT SPADES NINE,0.5338,0.018,0.4482
DIAMONDS ACE SPADES TWO,0.229,0.016,0.755
DIAMONDS THREE CLUBS FOUR,0.577,0.0184,0.4046
HEARTS EIGHT DIAMONDS KING,0.3324,0.0074,0.6602
SPADES FOUR HEARTS NINE,0.5928,0.017,0.3902
CLUBS NINE HEARTS KING,0.355,0.0074,0.6376
DIAMONDS NINE DIAMONDS SEVEN,0.5252,0.0204,0.4544
SPADES KING DIAMONDS FOUR,0.356,0.0084,0.6356
SPADES JACK DIAMONDS SIX,0.224,0.3824,0.3936
CLUBS FIVE CLUBS FOUR,0.501,0.021,0.478
SPADES NINE SPADES SIX,0.5224,0.0184,0.4592
SPADES SEVEN DIAMONDS QUEEN,0.362,0.0114,0.6266
DIAMONDS EIGHT HEARTS QUEEN,0.3472,0.0114,0.6414
HEARTS FIVE DIAMONDS FIVE,0.2898,0.047,0.6632
HEARTS KING DIAMONDS EIGHT,0.3542,0.007,0.6388
