opposingHand,winningChance,drawChance,lostChance
HEARTS TWO HEARTS JACK
SPADES FOUR DIAMONDS FOUR,0.3324,0.0508,0.6168
HEARTS FIVE HEARTS FOUR,0.5604,0.0198,0.4198
CLUBS JACK HEARTS ACE,0.2516,0.0224,0.726
DIAMONDS TWO HEARTS TEN,0.7086,0.0544,0.237
CLUBS NINE SPADES EIGHT,0.5532,0.0176,0.4292
DIAMONDS ACE SPADES EIGHT,0.4022,0.0036,0.5942
HEARTS QUEEN DIAMONDS SIX,0.379,0.0108,0.6102
SPADES JACK HEARTS QUEEN,0.2534,0.0444,0.7022
CLUBS SEVEN HEARTS EIGHT,0.5648,0.0144,0.4208
DIAMONDS JACK HEARTS ACE,0.2592,0.0224,0.7184
DIAMONDS EIGHT HEARTS NINE,0.5502,0.0192,0.4306
CLUBS JACK DIAMONDS THREE,0.2682,0.4776,0.2542
CLUBS SEVEN SPADES TWO,0.7308,0.045,0.2242
HEARTS SIX HEARTS QUEEN,0.3542,0.0162,0.6296
DIAMONDS THREE HEARTS QUEEN,0.385,0.0128,0.6022
HEARTS THREE SPADES TWO,0.691,0.055,0.254
SPADES ACE DIAMONDS ACE,0.16,0.0036,0.8364
DIAMONDS THREE DIAMONDS TEN,0.5676,0.0176,0.4148
HEARTS SEVEN HEARTS FOUR,0.5786,0.0212,0.4002
HEARTS FOUR CLUBS TWO,0.6984,0.055,0.2466
DIAMONDS QUEEN DIAMONDS FOUR,0.3758,0.013,0.6112
SPADES TEN DIAMONDS FOUR,0.612,0.0152,0.3728
DIAMONDS ACE SPADES FOUR,0.4102,0.0058,0.584
DIAMONDS TWO CLUBS FIVE,0.6912,0.0512,0.2576
DIAMONDS SEVEN CLUBS KING,0.3926,0.0064,0.601
HEARTS SEVEN CLUBS ACE,0.3986,0.0062,0.5952
DIAMONDS JACK DIAMONDS NINE,0.2466,0.157,0.5964
SPADES TEN HEARTS TEN,0.3002,0.0222,0.6776
SPADES JACK SPADES EIGHT,0.2608,0.2044,0.5348
HEARTS FOUR DIAMONDS TEN,0.6102,0.014,0.3758
SPADES JACK SPADES FIVE,0.2538,0.4058,0.3404
HEARTS SIX DIAMONDS SIX,0.3488,0.0432,0.608
SPADES QUEEN CLUBS FOUR,0.4044,0.0098,0.5858
DIAMONDS JACK SPADES FIVE,0.2558,0.438,0.3062
CLUBS TEN CLUBS ACE,0.3654,0.005,0.6296
SPADES ACE DIAMONDS FIVE,0.4006,0.0052,0.5942
CLUBS FOUR DIAMONDS SEVEN,0.5776,0.0208,0.4016
HEARTS FIVE DIAMONDS FOUR,0.5804,0.0216,0.398
SPADES ACE DIAMONDS NINE,0.3962,0.005,0.5988
CLUBS KING HEARTS NINE,0.379,0.0074,0.6136
DIAMONDS TEN HEARTS QUEEN,0.3472,0.0102,0.6426
DIAMONDS SEVEN HEARTS TEN,0.5838,0.0172,0.399
SPADES ACE SPADES TEN,0.3568,0.0036,0.6396
DIAMONDS KING SPADES TWO,0.2832,0.028,0.6888
HEARTS THREE CLUBS ACE,0.3752,0.0062,0.6186
SPADES KING HEARTS EIGHT,0.3786,0.0056,0.6158
CLUBS JACK CLUBS TWO,0.0684,0.8572,0.0744
SPADES ACE HEARTS SIX,0.401,0.0046,0.5944
DIAMONDS QUEEN HEARTS EIGHT,0.3686,0.012,0.6194
SPADES EIGHT CLUBS FOUR,0.6076,0.0148,0.3776
CLUBS EIGHT DIAMONDS ACE,0.4132,0.0056,0.5812
HEARTS KING HEARTS NINE,0.329,0.01,0.661
SPADES KING DIAMONDS NINE,0.39,0.0054,0.6046
CLUBS TWO HEARTS QUEEN,0.2574,0.0398,0.7028
DIAMONDS KING HEARTS QUEEN,0.3334,0.0104,0.6562
HEARTS SEVEN DIAMONDS SEVEN,0.3252,0.0372,0.6376
SPADES FIVE CLUBS KING,0.4118,0.008,0.5802
