opposingHand,winningChance,drawChance,lostChance
SPADES ACE CLUBS TWO
SPADES TEN HEARTS FIVE,0.6226,0.0038,0.3736
SPADES JACK HEARTS FIVE,0.6224,0.0052,0.3724
SPADES FIVE CLUBS JACK,0.6076,0.0044,0.388
CLUBS TEN SPADES FIVE,0.618,0.0068,0.3752
CLUBS EIGHT CLUBS JACK,0.5548,0.006,0.4392
CLUBS TEN CLUBS EIGHT,0.538,0.0054,0.4566
CLUBS EIGHT CLUBS KING,0.556,0.0052,0.4388
SPADES FIVE CLUBS ACE,0.2096,0.4652,0.3252
CLUBS EIGHT CLUBS QUEEN,0.5556,0.0044,0.44
SPADES FIVE CLUBS KING,0.6092,0.0084,0.3824
SPADES FIVE CLUBS QUEEN,0.6124,0.005,0.3826
CLUBS EIGHT CLUBS ACE,0.2296,0.2212,0.5492
DIAMONDS TWO DIAMONDS THREE,0.6962,0.0166,0.2872
DIAMONDS TWO DIAMONDS FIVE,0.6908,0.0146,0.2946
SPADES KING HEARTS FIVE,0.6088,0.0056,0.3856
DIAMONDS TWO DIAMONDS FOUR,0.6966,0.0162,0.2872
SPADES QUEEN HEARTS FIVE,0.6032,0.0038,0.393
DIAMONDS TWO DIAMONDS SEVEN,0.7082,0.0118,0.28
DIAMONDS TWO DIAMONDS SIX,0.7106,0.0116,0.2778
DIAMONDS TWO DIAMONDS NINE,0.6952,0.014,0.2908
DIAMONDS TWO DIAMONDS EIGHT,0.6912,0.0156,0.2932
DIAMONDS THREE DIAMONDS FOUR,0.5592,0.0064,0.4344
DIAMONDS THREE DIAMONDS FIVE,0.545,0.0066,0.4484
DIAMONDS THREE DIAMONDS EIGHT,0.5818,0.005,0.4132
DIAMONDS THREE DIAMONDS NINE,0.5786,0.0064,0.415
DIAMONDS THREE DIAMONDS SIX,0.5688,0.0054,0.4258
DIAMONDS THREE DIAMONDS SEVEN,0.5688,0.0056,0.4256
CLUBS TEN CLUBS JACK,0.5158,0.0066,0.4776
DIAMONDS FOUR DIAMONDS SIX,0.551,0.004,0.445
CLUBS TEN CLUBS QUEEN,0.5206,0.0042,0.4752
DIAMONDS FOUR DIAMONDS SEVEN,0.5522,0.0044,0.4434
CLUBS TEN CLUBS KING,0.5438,0.0058,0.4504
CLUBS TEN CLUBS ACE,0.236,0.117,0.647
DIAMONDS FIVE DIAMONDS FOUR,0.5466,0.0068,0.4466
DIAMONDS NINE DIAMONDS FOUR,0.573,0.0042,0.4228
DIAMONDS EIGHT DIAMONDS FOUR,0.5608,0.0042,0.435
DIAMONDS NINE DIAMONDS FIVE,0.5638,0.0058,0.4304
DIAMONDS TWO CLUBS JACK,0.7442,0.0144,0.2414
DIAMONDS EIGHT DIAMONDS FIVE,0.5494,0.0038,0.4468
CLUBS TEN DIAMONDS TWO,0.7384,0.0162,0.2454
DIAMONDS FIVE DIAMONDS SEVEN,0.538,0.0062,0.4558
DIAMONDS FIVE DIAMONDS SIX,0.5452,0.0062,0.4486
DIAMONDS TWO CLUBS ACE,0.0084,0.973,0.0186
DIAMONDS TWO CLUBS KING,0.7494,0.0168,0.2338
DIAMONDS TWO CLUBS QUEEN,0.7542,0.02,0.2258
DIAMONDS EIGHT DIAMONDS SIX,0.5366,0.0054,0.458
DIAMONDS NINE DIAMONDS SIX,0.5442,0.0042,0.4516
HEARTS ACE SPADES THREE,0.2192,0.5362,0.2446
HEARTS KING SPADES THREE,0.6154,0.0052,0.3794
DIAMONDS SEVEN DIAMONDS SIX,0.5394,0.004,0.4566
SPADES THREE HEARTS QUEEN,0.6138,0.0076,0.3786
SPADES THREE HEARTS JACK,0.6232,0.0054,0.3714
SPADES THREE HEARTS TEN,0.6144,0.005,0.3806
DIAMONDS EIGHT DIAMONDS SEVEN,0.522,0.006,0.472
DIAMONDS NINE DIAMONDS SEVEN,0.5348,0.0026,0.4626
DIAMONDS NINE DIAMONDS EIGHT,0.5232,0.0058,0.471
DIAMONDS KING HEARTS TEN,0.5756,0.0044,0.42
HEARTS THREE HEARTS TEN,0.586,0.0058,0.4082
SPADES JACK CLUBS SIX,0.6182,0.0076,0.3742
DIAMONDS KING HEARTS JACK,0.571,0.004,0.425
HEARTS THREE HEARTS JACK,0.5762,0.005,0.4188
SPADES TEN CLUBS SIX,0.6056,0.0054,0.389
SPADES JACK SPADES FIVE,0.5742,0.0062,0.4196
SPADES TEN SPADES FIVE,0.5722,0.0068,0.421
DIAMONDS KING HEARTS ACE,0.2496,0.0508,0.6996
HEARTS THREE HEARTS ACE,0.2112,0.4878,0.301
DIAMONDS KING HEARTS QUEEN,0.578,0.0044,0.4176
HEARTS THREE HEARTS QUEEN,0.5796,0.0062,0.4142
SPADES KING CLUBS SIX,0.5966,0.005,0.3984
DIAMONDS KING HEARTS KING,0.2774,0.0048,0.7178
HEARTS THREE HEARTS KING,0.5732,0.0046,0.4222
SPADES QUEEN CLUBS SIX,0.6072,0.0032,0.3896
SPADES NINE HEARTS TEN,0.562,0.0038,0.4342
SPADES NINE HEARTS JACK,0.573,0.004,0.423
SPADES QUEEN SPADES FIVE,0.5902,0.0056,0.4042
SPADES KING SPADES FIVE,0.5804,0.0056,0.414
SPADES NINE HEARTS QUEEN,0.5804,0.0028,0.4168
SPADES NINE HEARTS KING,0.5904,0.0056,0.404
SPADES NINE HEARTS ACE,0.245,0.1726,0.5824
CLUBS TEN SPADES JACK,0.5456,0.006,0.4484
CLUBS TEN SPADES TEN,0.314,0.0048,0.6812
SPADES KING CLUBS TEN,0.58,0.0056,0.4144
SPADES QUEEN CLUBS TEN,0.562,0.0062,0.4318
SPADES FIVE HEARTS QUEEN,0.6102,0.0038,0.386
SPADES FIVE HEARTS KING,0.62,0.0054,0.3746
SPADES FIVE HEARTS ACE,0.217,0.4652,0.3178
HEARTS THREE SPADES JACK,0.615,0.0062,0.3788
SPADES JACK DIAMONDS KING,0.5722,0.006,0.4218
SPADES TEN CLUBS EIGHT,0.5542,0.0038,0.442
SPADES JACK CLUBS EIGHT,0.5666,0.0038,0.4296
HEARTS THREE SPADES TEN,0.623,0.0062,0.3708
SPADES TEN DIAMONDS KING,0.5748,0.0056,0.4196
CLUBS SIX HEARTS ACE,0.2398,0.3764,0.3838
HEARTS FIVE CLUBS JACK,0.6112,0.0062,0.3826
CLUBS TEN HEARTS FIVE,0.5978,0.0058,0.3964
CLUBS SIX HEARTS QUEEN,0.6036,0.0034,0.393
SPADES QUEEN CLUBS EIGHT,0.5842,0.0058,0.41
CLUBS TEN SPADES THREE,0.615,0.0062,0.3788
CLUBS SIX HEARTS KING,0.6028,0.0042,0.393
SPADES KING CLUBS EIGHT,0.6044,0.008,0.3876
SPADES THREE CLUBS JACK,0.6102,0.0054,0.3844
DIAMONDS TWO HEARTS JACK,0.7434,0.0164,0.2402
SPADES THREE CLUBS QUEEN,0.6148,0.0054,0.3798
DIAMONDS TWO HEARTS TEN,0.7432,0.0152,0.2416
SPADES THREE CLUBS KING,0.6122,0.0054,0.3824
HEARTS FIVE CLUBS ACE,0.2102,0.47,0.3198
SPADES FIVE HEARTS TEN,0.605,0.0064,0.3886
SPADES THREE CLUBS ACE,0.2208,0.5208,0.2584
HEARTS FIVE CLUBS KING,0.616,0.0064,0.3776
SPADES FIVE HEARTS JACK,0.6096,0.0048,0.3856
HEARTS FIVE CLUBS QUEEN,0.6094,0.0056,0.385
HEARTS THREE CLUBS KING,0.621,0.0058,0.3732
DIAMONDS KING CLUBS KING,0.281,0.0054,0.7136
HEARTS THREE CLUBS QUEEN,0.6016,0.007,0.3914
DIAMONDS KING CLUBS QUEEN,0.5694,0.0044,0.4262
HEARTS FIVE HEARTS JACK,0.5634,0.0048,0.4318
HEARTS FIVE HEARTS TEN,0.566,0.003,0.431
HEARTS THREE CLUBS ACE,0.2176,0.5262,0.2562
DIAMONDS KING CLUBS ACE,0.2564,0.0492,0.6944
SPADES KING CLUBS QUEEN,0.5766,0.0072,0.4162
HEARTS THREE CLUBS JACK,0.6122,0.0042,0.3836
DIAMONDS KING CLUBS JACK,0.565,0.0048,0.4302
SPADES QUEEN CLUBS QUEEN,0.2946,0.0054,0.7
CLUBS TEN HEARTS THREE,0.6074,0.0082,0.3844
CLUBS TEN DIAMONDS KING,0.5722,0.005,0.4228
SPADES JACK CLUBS QUEEN,0.5582,0.0032,0.4386
CLUBS SIX CLUBS QUEEN,0.562,0.0056,0.4324
SPADES TEN CLUBS QUEEN,0.5586,0.005,0.4364
CLUBS SIX CLUBS KING,0.57,0.0052,0.4248
CLUBS SIX CLUBS ACE,0.2156,0.3674,0.417
HEARTS FIVE HEARTS KING,0.5672,0.0048,0.428
HEARTS FIVE HEARTS QUEEN,0.5548,0.004,0.4412
CLUBS TEN CLUBS SIX,0.5498,0.0036,0.4466
HEARTS FIVE HEARTS ACE,0.1986,0.4338,0.3676
CLUBS SIX CLUBS JACK,0.5624,0.0062,0.4314
SPADES SEVEN HEARTS JACK,0.5868,0.0052,0.408
SPADES SEVEN HEARTS TEN,0.5894,0.0052,0.4054
DIAMONDS TWO CLUBS THREE,0.7444,0.0126,0.243
HEARTS SIX DIAMONDS TWO,0.7556,0.012,0.2324
DIAMONDS TWO HEARTS QUEEN,0.748,0.014,0.238
DIAMONDS TWO HEARTS SEVEN,0.7416,0.0128,0.2456
DIAMONDS TWO HEARTS KING,0.7532,0.019,0.2278
DIAMONDS TWO HEARTS EIGHT,0.737,0.0186,0.2444
DIAMONDS TWO HEARTS ACE,0.0226,0.9572,0.0202
DIAMONDS TWO HEARTS NINE,0.7502,0.0154,0.2344
DIAMONDS TWO DIAMONDS QUEEN,0.7092,0.0178,0.273
DIAMONDS TWO HEARTS TWO,0.322,0.013,0.665
DIAMONDS TWO DIAMONDS KING,0.7026,0.0148,0.2826
HEARTS THREE DIAMONDS TWO,0.741,0.014,0.245
