opposingHand,winningChance,drawChance,lostChance
SPADES ACE DIAMONDS FIVE
HEARTS FIVE SPADES TEN,0.7484,0.0224,0.2292
HEARTS FIVE SPADES JACK,0.7422,0.0288,0.229
SPADES FIVE CLUBS JACK,0.734,0.0314,0.2346
CLUBS TEN SPADES FIVE,0.7464,0.0264,0.2272
CLUBS EIGHT CLUBS JACK,0.5508,0.0032,0.446
CLUBS TEN CLUBS EIGHT,0.5314,0.0032,0.4654
CLUBS EIGHT CLUBS KING,0.554,0.005,0.441
SPADES FIVE CLUBS ACE,0.0194,0.97,0.0106
CLUBS EIGHT CLUBS QUEEN,0.556,0.0046,0.4394
SPADES FIVE CLUBS KING,0.7492,0.0322,0.2186
SPADES FIVE CLUBS QUEEN,0.7582,0.0238,0.218
CLUBS EIGHT CLUBS ACE,0.2374,0.2098,0.5528
DIAMONDS TWO DIAMONDS THREE,0.633,0.0054,0.3616
SPADES KING HEARTS FIVE,0.7514,0.0272,0.2214
DIAMONDS TWO DIAMONDS FOUR,0.6348,0.0048,0.3604
HEARTS FIVE SPADES QUEEN,0.7518,0.029,0.2192
DIAMONDS TWO DIAMONDS SEVEN,0.6158,0.0062,0.378
DIAMONDS TWO DIAMONDS SIX,0.6218,0.0038,0.3744
DIAMONDS TWO DIAMONDS NINE,0.618,0.0064,0.3756
DIAMONDS TWO DIAMONDS EIGHT,0.6166,0.0068,0.3766
DIAMONDS THREE DIAMONDS FOUR,0.625,0.0076,0.3674
SPADES FOUR CLUBS TWO,0.6704,0.0062,0.3234
SPADES FIVE CLUBS TWO,0.7436,0.0326,0.2238
CLUBS TWO SPADES TWO,0.4716,0.0052,0.5232
CLUBS TWO SPADES THREE,0.6656,0.0056,0.3288
DIAMONDS THREE DIAMONDS EIGHT,0.615,0.0042,0.3808
SPADES EIGHT CLUBS TWO,0.6534,0.0052,0.3414
DIAMONDS THREE DIAMONDS NINE,0.6114,0.005,0.3836
SPADES NINE CLUBS TWO,0.654,0.0066,0.3394
DIAMONDS THREE DIAMONDS SIX,0.602,0.0048,0.3932
SPADES SIX CLUBS TWO,0.6544,0.005,0.3406
DIAMONDS THREE DIAMONDS SEVEN,0.6132,0.0054,0.3814
SPADES SEVEN CLUBS TWO,0.6678,0.004,0.3282
CLUBS SIX CLUBS TWO,0.6068,0.0046,0.3886
CLUBS SEVEN CLUBS TWO,0.6126,0.0042,0.3832
CLUBS FOUR CLUBS TWO,0.6434,0.0056,0.351
CLUBS FIVE CLUBS TWO,0.682,0.026,0.292
CLUBS TEN CLUBS JACK,0.5138,0.0036,0.4826
DIAMONDS SIX DIAMONDS FOUR,0.6042,0.0064,0.3894
CLUBS TEN CLUBS QUEEN,0.5384,0.0042,0.4574
DIAMONDS FOUR DIAMONDS SEVEN,0.5944,0.0048,0.4008
CLUBS TEN CLUBS KING,0.5226,0.0052,0.4722
CLUBS TEN CLUBS ACE,0.2334,0.1124,0.6542
CLUBS EIGHT CLUBS TWO,0.6266,0.0042,0.3692
CLUBS NINE CLUBS TWO,0.6092,0.0056,0.3852
DIAMONDS NINE DIAMONDS FOUR,0.614,0.0058,0.3802
DIAMONDS FOUR DIAMONDS EIGHT,0.618,0.005,0.377
CLUBS THREE CLUBS TWO,0.6294,0.0042,0.3664
DIAMONDS TWO CLUBS JACK,0.6474,0.005,0.3476
CLUBS TEN DIAMONDS TWO,0.6532,0.0044,0.3424
DIAMONDS TWO CLUBS ACE,0.33,0.4626,0.2074
DIAMONDS TWO CLUBS KING,0.6592,0.0068,0.334
DIAMONDS TWO CLUBS QUEEN,0.6332,0.0072,0.3596
DIAMONDS SIX DIAMONDS EIGHT,0.5538,0.0056,0.4406
DIAMONDS NINE DIAMONDS SIX,0.5688,0.0044,0.4268
HEARTS ACE SPADES THREE,0.3228,0.4646,0.2126
SPADES THREE HEARTS KING,0.653,0.0044,0.3426
DIAMONDS SIX DIAMONDS SEVEN,0.546,0.0062,0.4478
SPADES THREE HEARTS QUEEN,0.6572,0.0048,0.338
SPADES THREE HEARTS JACK,0.6458,0.0022,0.352
SPADES THREE HEARTS TEN,0.639,0.0056,0.3554
DIAMONDS EIGHT DIAMONDS SEVEN,0.5486,0.0052,0.4462
DIAMONDS NINE DIAMONDS SEVEN,0.5492,0.008,0.4428
DIAMONDS NINE DIAMONDS EIGHT,0.5474,0.0052,0.4474
DIAMONDS KING HEARTS TEN,0.575,0.0044,0.4206
HEARTS THREE HEARTS TEN,0.6048,0.0016,0.3936
SPADES JACK CLUBS SIX,0.6048,0.0062,0.389
DIAMONDS KING HEARTS JACK,0.5744,0.0052,0.4204
HEARTS THREE HEARTS JACK,0.6054,0.0054,0.3892
SPADES TEN CLUBS SIX,0.602,0.0038,0.3942
SPADES JACK SPADES FIVE,0.7104,0.0272,0.2624
SPADES TEN SPADES FIVE,0.7088,0.024,0.2672
DIAMONDS KING HEARTS ACE,0.262,0.0516,0.6864
HEARTS THREE HEARTS ACE,0.3062,0.432,0.2618
DIAMONDS KING HEARTS QUEEN,0.5914,0.0042,0.4044
HEARTS THREE HEARTS QUEEN,0.6068,0.005,0.3882
SPADES KING CLUBS SIX,0.6262,0.0034,0.3704
DIAMONDS KING HEARTS KING,0.3038,0.0032,0.693
HEARTS THREE HEARTS KING,0.5986,0.0044,0.397
SPADES QUEEN CLUBS SIX,0.5998,0.004,0.3962
SPADES NINE HEARTS TEN,0.5522,0.0044,0.4434
SPADES NINE HEARTS JACK,0.5776,0.0056,0.4168
SPADES QUEEN SPADES FIVE,0.7,0.0292,0.2708
SPADES KING SPADES FIVE,0.7172,0.0244,0.2584
SPADES NINE HEARTS QUEEN,0.5822,0.0052,0.4126
SPADES NINE HEARTS KING,0.5866,0.0056,0.4078
SPADES NINE HEARTS ACE,0.246,0.1664,0.5876
CLUBS TEN SPADES JACK,0.568,0.0046,0.4274
CLUBS TEN SPADES TEN,0.3218,0.0054,0.6728
SPADES KING CLUBS TEN,0.5718,0.0046,0.4236
SPADES QUEEN CLUBS TEN,0.5586,0.0038,0.4376
SPADES FIVE HEARTS QUEEN,0.7324,0.0324,0.2352
SPADES FIVE HEARTS KING,0.7452,0.0322,0.2226
SPADES FIVE HEARTS ACE,0.017,0.9724,0.0106
SPADES JACK HEARTS THREE,0.6532,0.0042,0.3426
SPADES JACK DIAMONDS KING,0.5752,0.0062,0.4186
SPADES TEN CLUBS EIGHT,0.5644,0.003,0.4326
SPADES JACK CLUBS EIGHT,0.5864,0.0042,0.4094
SPADES TEN HEARTS THREE,0.6544,0.0044,0.3412
SPADES TEN DIAMONDS KING,0.5646,0.004,0.4314
CLUBS SIX HEARTS ACE,0.249,0.3734,0.3776
HEARTS FIVE CLUBS JACK,0.7252,0.0266,0.2482
HEARTS FIVE CLUBS TEN,0.7338,0.0216,0.2446
CLUBS SIX HEARTS QUEEN,0.6144,0.0038,0.3818
SPADES QUEEN CLUBS EIGHT,0.5986,0.0044,0.397
CLUBS TEN SPADES THREE,0.6398,0.0048,0.3554
CLUBS SIX HEARTS KING,0.6046,0.0034,0.392
SPADES KING CLUBS EIGHT,0.616,0.0054,0.3786
SPADES THREE CLUBS JACK,0.6522,0.0036,0.3442
DIAMONDS TWO HEARTS JACK,0.647,0.0036,0.3494
SPADES THREE CLUBS QUEEN,0.6604,0.0058,0.3338
DIAMONDS TWO HEARTS TEN,0.6458,0.0048,0.3494
SPADES THREE CLUBS KING,0.6502,0.0056,0.3442
HEARTS FIVE CLUBS ACE,0.0216,0.9554,0.023
SPADES FIVE HEARTS TEN,0.7468,0.0224,0.2308
SPADES THREE CLUBS ACE,0.327,0.4634,0.2096
HEARTS FIVE CLUBS KING,0.7382,0.0234,0.2384
SPADES FIVE HEARTS JACK,0.7402,0.0252,0.2346
HEARTS FIVE CLUBS QUEEN,0.7308,0.0306,0.2386
HEARTS THREE CLUBS KING,0.6398,0.0046,0.3556
DIAMONDS KING CLUBS KING,0.294,0.0054,0.7006
HEARTS THREE CLUBS QUEEN,0.6378,0.0036,0.3586
DIAMONDS KING CLUBS QUEEN,0.5816,0.004,0.4144
HEARTS FIVE HEARTS JACK,0.6818,0.0278,0.2904
HEARTS FIVE HEARTS TEN,0.6762,0.0242,0.2996
HEARTS THREE CLUBS ACE,0.3242,0.4558,0.22
DIAMONDS KING CLUBS ACE,0.265,0.0504,0.6846
SPADES KING CLUBS QUEEN,0.5894,0.0038,0.4068
HEARTS THREE CLUBS JACK,0.641,0.0042,0.3548
DIAMONDS KING CLUBS JACK,0.573,0.0042,0.4228
SPADES QUEEN CLUBS QUEEN,0.3076,0.0038,0.6886
CLUBS TEN HEARTS THREE,0.6422,0.0034,0.3544
CLUBS TEN DIAMONDS KING,0.5726,0.005,0.4224
SPADES JACK CLUBS QUEEN,0.5658,0.0058,0.4284
CLUBS SIX CLUBS QUEEN,0.5744,0.0032,0.4224
SPADES TEN CLUBS QUEEN,0.5586,0.0034,0.438
CLUBS SIX CLUBS KING,0.5866,0.0034,0.41
CLUBS SIX CLUBS ACE,0.2356,0.3432,0.4212
HEARTS FIVE HEARTS KING,0.694,0.0294,0.2766
HEARTS FIVE HEARTS QUEEN,0.6988,0.027,0.2742
CLUBS TEN CLUBS SIX,0.5594,0.0036,0.437
HEARTS FIVE HEARTS ACE,0.0212,0.9084,0.0704
CLUBS SIX CLUBS JACK,0.561,0.0052,0.4338
SPADES SEVEN HEARTS JACK,0.608,0.0048,0.3872
SPADES SEVEN HEARTS TEN,0.5706,0.0054,0.424
DIAMONDS TWO CLUBS TWO,0.4776,0.005,0.5174
DIAMONDS TWO CLUBS THREE,0.6714,0.0056,0.323
DIAMONDS TWO HEARTS SIX,0.6676,0.0038,0.3286
DIAMONDS TWO HEARTS QUEEN,0.6576,0.0034,0.339
HEARTS SEVEN DIAMONDS TWO,0.6696,0.0046,0.3258
DIAMONDS TWO HEARTS KING,0.6516,0.006,0.3424
DIAMONDS TWO HEARTS EIGHT,0.6584,0.0038,0.3378
DIAMONDS TWO HEARTS ACE,0.3272,0.4568,0.216
DIAMONDS TWO HEARTS NINE,0.6608,0.0042,0.335
DIAMONDS TWO DIAMONDS QUEEN,0.6232,0.0058,0.371
DIAMONDS TWO HEARTS TWO,0.4798,0.0048,0.5154
DIAMONDS TWO DIAMONDS KING,0.6176,0.0076,0.3748
DIAMONDS TWO HEARTS THREE,0.6854,0.0064,0.3082
DIAMONDS TWO DIAMONDS ACE,0.3058,0.45,0.2442
HEARTS FOUR DIAMONDS TWO,0.6666,0.0062,0.3272
HEARTS FIVE DIAMONDS TWO,0.7416,0.0266,0.2318
SPADES SEVEN HEARTS ACE,0.2456,0.3018,0.4526
DIAMONDS TWO DIAMONDS TEN,0.6182,0.004,0.3778
SPADES SEVEN HEARTS KING,0.6118,0.0034,0.3848
DIAMONDS TWO DIAMONDS JACK,0.6116,0.0064,0.382
SPADES SEVEN HEARTS QUEEN,0.6052,0.0046,0.3902
DIAMONDS TWO SPADES NINE,0.6716,0.0074,0.321
DIAMONDS TWO SPADES EIGHT,0.6602,0.0062,0.3336
DIAMONDS TWO SPADES SEVEN,0.6706,0.006,0.3234
DIAMONDS TWO SPADES SIX,0.6564,0.0072,0.3364
DIAMONDS TWO SPADES FIVE,0.7464,0.0312,0.2224
DIAMONDS TWO SPADES FOUR,0.6764,0.0064,0.3172
DIAMONDS TWO SPADES THREE,0.6846,0.0066,0.3088
DIAMONDS TWO SPADES TWO,0.4726,0.0082,0.5192
CLUBS NINE DIAMONDS TWO,0.6492,0.0056,0.3452
DIAMONDS TWO CLUBS EIGHT,0.6418,0.0048,0.3534
CLUBS SEVEN DIAMONDS TWO,0.6686,0.0044,0.327
DIAMONDS TWO CLUBS SIX,0.655,0.0056,0.3394
DIAMONDS TWO CLUBS FIVE,0.7386,0.0296,0.2318
DIAMONDS TWO CLUBS FOUR,0.6666,0.0056,0.3278
CLUBS FOUR SPADES FIVE,0.7004,0.0276,0.272
CLUBS FOUR SPADES FOUR,0.4552,0.0062,0.5386
CLUBS FOUR SPADES THREE,0.6494,0.0064,0.3442
CLUBS FOUR SPADES TWO,0.6752,0.0048,0.32
SPADES NINE CLUBS FOUR,0.6558,0.0064,0.3378
SPADES EIGHT CLUBS FOUR,0.6408,0.005,0.3542
SPADES SEVEN CLUBS FOUR,0.6476,0.0054,0.347
SPADES SIX CLUBS FOUR,0.6348,0.006,0.3592
SPADES QUEEN DIAMONDS SIX,0.6216,0.004,0.3744
SPADES KING DIAMONDS SIX,0.6092,0.0052,0.3856
SPADES TEN DIAMONDS SIX,0.6054,0.0056,0.389
SPADES JACK DIAMONDS SIX,0.607,0.004,0.389
SPADES QUEEN SPADES TWO,0.6254,0.0046,0.37
SPADES KING SPADES TWO,0.6168,0.005,0.3782
DIAMONDS JACK CLUBS JACK,0.3256,0.0038,0.6706
CLUBS TEN DIAMONDS JACK,0.5468,0.0036,0.4496
DIAMONDS JACK CLUBS KING,0.5764,0.0052,0.4184
DIAMONDS JACK CLUBS QUEEN,0.5506,0.0048,0.4446
DIAMONDS THREE DIAMONDS JACK,0.606,0.0048,0.3892
DIAMONDS THREE DIAMONDS TEN,0.6196,0.0048,0.3756
DIAMONDS JACK CLUBS ACE,0.2474,0.093,0.6596
DIAMONDS THREE DIAMONDS KING,0.62,0.007,0.373
DIAMONDS THREE HEARTS THREE,0.482,0.005,0.513
DIAMONDS THREE DIAMONDS QUEEN,0.6198,0.0046,0.3756
DIAMONDS THREE HEARTS TWO,0.6722,0.0066,0.3212
HEARTS FIVE DIAMONDS THREE,0.7402,0.026,0.2338
DIAMONDS THREE DIAMONDS ACE,0.311,0.4356,0.2534
HEARTS FOUR DIAMONDS THREE,0.6692,0.004,0.3268
HEARTS SEVEN DIAMONDS THREE,0.6476,0.007,0.3454
SPADES TEN SPADES NINE,0.5212,0.0056,0.4732
HEARTS SIX DIAMONDS THREE,0.6418,0.004,0.3542
SPADES JACK SPADES NINE,0.5458,0.0038,0.4504
DIAMONDS THREE HEARTS NINE,0.6506,0.0052,0.3442
HEARTS JACK DIAMONDS FOUR,0.654,0.0042,0.3418
HEARTS ACE HEARTS KING,0.2478,0.0394,0.7128
SPADES TEN SPADES TWO,0.612,0.0064,0.3816
DIAMONDS THREE HEARTS EIGHT,0.6626,0.0042,0.3332
HEARTS TEN DIAMONDS FOUR,0.6578,0.0042,0.338
SPADES JACK SPADES TWO,0.6246,0.0058,0.3696
HEARTS QUEEN DIAMONDS FOUR,0.6562,0.0032,0.3406
HEARTS KING DIAMONDS FOUR,0.6524,0.006,0.3416
HEARTS ACE DIAMONDS FOUR,0.3312,0.4614,0.2074
SPADES KING SPADES NINE,0.5644,0.0036,0.432
SPADES QUEEN SPADES NINE,0.555,0.003,0.442
DIAMONDS THREE SPADES NINE,0.6652,0.0072,0.3276
DIAMONDS THREE SPADES EIGHT,0.6614,0.005,0.3336
DIAMONDS THREE SPADES SEVEN,0.6576,0.0052,0.3372
DIAMONDS THREE SPADES SIX,0.6562,0.0062,0.3376
DIAMONDS THREE CLUBS SIX,0.6386,0.0048,0.3566
CLUBS FIVE CLUBS SIX,0.6658,0.0224,0.3118
CLUBS ACE DIAMONDS FOUR,0.3252,0.4592,0.2156
CLUBS SEVEN DIAMONDS THREE,0.6624,0.0046,0.333
CLUBS SEVEN CLUBS FIVE,0.653,0.0236,0.3234
DIAMONDS THREE CLUBS FOUR,0.6506,0.007,0.3424
DIAMONDS FOUR CLUBS QUEEN,0.6408,0.0052,0.354
DIAMONDS THREE CLUBS FIVE,0.732,0.0274,0.2406
CLUBS KING DIAMONDS FOUR,0.6552,0.0032,0.3416
DIAMONDS THREE CLUBS TWO,0.6634,0.0076,0.329
CLUBS TEN DIAMONDS FOUR,0.651,0.0034,0.3456
DIAMONDS THREE CLUBS THREE,0.4606,0.007,0.5324
DIAMONDS FOUR CLUBS JACK,0.6562,0.0038,0.34
DIAMONDS THREE SPADES FOUR,0.669,0.0064,0.3246
DIAMONDS THREE SPADES FIVE,0.7282,0.0266,0.2452
DIAMONDS THREE SPADES TWO,0.6816,0.0074,0.311
