opposingHand,winningChance,drawChance,lostChance
SPADES ACE DIAMONDS FOUR
HEARTS FIVE SPADES TEN,0.6154,0.005,0.3796
HEARTS FIVE SPADES JACK,0.6192,0.0042,0.3766
SPADES FIVE CLUBS JACK,0.6134,0.004,0.3826
CLUBS TEN SPADES FIVE,0.6312,0.004,0.3648
CLUBS EIGHT CLUBS JACK,0.5456,0.0044,0.45
CLUBS TEN CLUBS EIGHT,0.518,0.0034,0.4786
CLUBS EIGHT CLUBS KING,0.5722,0.0056,0.4222
SPADES FIVE CLUBS ACE,0.232,0.4492,0.3188
CLUBS EIGHT CLUBS QUEEN,0.5526,0.0032,0.4442
SPADES FIVE CLUBS KING,0.6212,0.0044,0.3744
SPADES FIVE CLUBS QUEEN,0.6152,0.0052,0.3796
CLUBS EIGHT CLUBS ACE,0.2228,0.2196,0.5576
DIAMONDS TWO DIAMONDS THREE,0.641,0.0074,0.3516
DIAMONDS TWO DIAMONDS FIVE,0.6066,0.0048,0.3886
SPADES KING HEARTS FIVE,0.612,0.0052,0.3828
HEARTS FIVE SPADES QUEEN,0.6246,0.0054,0.37
DIAMONDS TWO DIAMONDS SEVEN,0.6152,0.0052,0.3796
DIAMONDS TWO DIAMONDS SIX,0.6236,0.0068,0.3696
DIAMONDS TWO DIAMONDS NINE,0.6144,0.0054,0.3802
DIAMONDS TWO DIAMONDS EIGHT,0.6114,0.0056,0.383
SPADES FOUR CLUBS TWO,0.74,0.0246,0.2354
DIAMONDS THREE DIAMONDS FIVE,0.593,0.0072,0.3998
SPADES FIVE CLUBS TWO,0.6354,0.0078,0.3568
CLUBS TWO SPADES TWO,0.4744,0.0104,0.5152
CLUBS TWO SPADES THREE,0.6694,0.0072,0.3234
DIAMONDS THREE DIAMONDS EIGHT,0.6004,0.007,0.3926
SPADES EIGHT CLUBS TWO,0.6574,0.0056,0.337
DIAMONDS THREE DIAMONDS NINE,0.6188,0.0062,0.375
SPADES NINE CLUBS TWO,0.6596,0.0036,0.3368
DIAMONDS THREE DIAMONDS SIX,0.5916,0.0046,0.4038
SPADES SIX CLUBS TWO,0.6574,0.006,0.3366
DIAMONDS THREE DIAMONDS SEVEN,0.6074,0.0058,0.3868
SPADES SEVEN CLUBS TWO,0.6606,0.008,0.3314
CLUBS SIX CLUBS TWO,0.6032,0.0046,0.3922
CLUBS SEVEN CLUBS TWO,0.6068,0.005,0.3882
CLUBS FOUR CLUBS TWO,0.706,0.0226,0.2714
CLUBS FIVE CLUBS TWO,0.5978,0.0052,0.397
CLUBS TEN CLUBS JACK,0.5224,0.0048,0.4728
CLUBS TEN CLUBS QUEEN,0.5152,0.0038,0.481
CLUBS TEN CLUBS KING,0.5312,0.004,0.4648
CLUBS TEN CLUBS ACE,0.2408,0.1186,0.6406
CLUBS EIGHT CLUBS TWO,0.6018,0.0044,0.3938
CLUBS NINE CLUBS TWO,0.589,0.0044,0.4066
CLUBS THREE CLUBS TWO,0.6166,0.006,0.3774
DIAMONDS NINE DIAMONDS FIVE,0.5772,0.0054,0.4174
DIAMONDS TWO CLUBS JACK,0.6482,0.004,0.3478
DIAMONDS FIVE DIAMONDS EIGHT,0.56,0.0052,0.4348
CLUBS TEN DIAMONDS TWO,0.6466,0.0054,0.348
DIAMONDS FIVE DIAMONDS SEVEN,0.5614,0.0036,0.435
DIAMONDS SIX DIAMONDS FIVE,0.556,0.0054,0.4386
DIAMONDS TWO CLUBS ACE,0.268,0.5322,0.1998
DIAMONDS TWO CLUBS KING,0.646,0.0052,0.3488
DIAMONDS TWO CLUBS QUEEN,0.6356,0.0058,0.3586
DIAMONDS SIX DIAMONDS EIGHT,0.5472,0.0032,0.4496
DIAMONDS NINE DIAMONDS SIX,0.5536,0.0038,0.4426
HEARTS ACE SPADES THREE,0.259,0.5212,0.2198
SPADES THREE HEARTS KING,0.6512,0.0064,0.3424
DIAMONDS SIX DIAMONDS SEVEN,0.5406,0.006,0.4534
SPADES THREE HEARTS QUEEN,0.6606,0.0056,0.3338
SPADES THREE HEARTS JACK,0.6542,0.0042,0.3416
SPADES THREE HEARTS TEN,0.6474,0.0068,0.3458
DIAMONDS EIGHT DIAMONDS SEVEN,0.533,0.0064,0.4606
DIAMONDS NINE DIAMONDS SEVEN,0.5392,0.0046,0.4562
DIAMONDS NINE DIAMONDS EIGHT,0.5286,0.0046,0.4668
DIAMONDS KING HEARTS TEN,0.5604,0.0054,0.4342
HEARTS THREE HEARTS TEN,0.6112,0.0034,0.3854
SPADES JACK CLUBS SIX,0.6162,0.005,0.3788
DIAMONDS KING HEARTS JACK,0.5814,0.0046,0.414
HEARTS THREE HEARTS JACK,0.604,0.0054,0.3906
SPADES TEN CLUBS SIX,0.602,0.0038,0.3942
SPADES JACK SPADES FIVE,0.5866,0.0056,0.4078
SPADES TEN SPADES FIVE,0.5816,0.0064,0.412
DIAMONDS KING HEARTS ACE,0.2606,0.0444,0.695
HEARTS THREE HEARTS ACE,0.233,0.4946,0.2724
DIAMONDS KING HEARTS QUEEN,0.5822,0.0032,0.4146
HEARTS THREE HEARTS QUEEN,0.61,0.0058,0.3842
SPADES KING CLUBS SIX,0.6214,0.0046,0.374
DIAMONDS KING HEARTS KING,0.2982,0.0026,0.6992
HEARTS THREE HEARTS KING,0.619,0.0054,0.3756
SPADES QUEEN CLUBS SIX,0.6096,0.0018,0.3886
SPADES NINE HEARTS TEN,0.5698,0.0058,0.4244
SPADES NINE HEARTS JACK,0.5734,0.006,0.4206
SPADES QUEEN SPADES FIVE,0.583,0.0044,0.4126
SPADES KING SPADES FIVE,0.596,0.0046,0.3994
SPADES NINE HEARTS QUEEN,0.5808,0.0044,0.4148
SPADES NINE HEARTS KING,0.5872,0.0036,0.4092
SPADES NINE HEARTS ACE,0.2548,0.1822,0.563
CLUBS TEN SPADES JACK,0.5652,0.006,0.4288
CLUBS TEN SPADES TEN,0.3288,0.0026,0.6686
SPADES KING CLUBS TEN,0.57,0.0054,0.4246
SPADES QUEEN CLUBS TEN,0.5622,0.0054,0.4324
SPADES FIVE HEARTS QUEEN,0.619,0.0044,0.3766
SPADES FIVE HEARTS KING,0.6218,0.007,0.3712
SPADES FIVE HEARTS ACE,0.2212,0.4778,0.301
SPADES JACK HEARTS THREE,0.6528,0.0056,0.3416
SPADES JACK DIAMONDS KING,0.577,0.0052,0.4178
SPADES TEN CLUBS EIGHT,0.5856,0.0062,0.4082
SPADES JACK CLUBS EIGHT,0.5766,0.0048,0.4186
SPADES TEN HEARTS THREE,0.6476,0.0042,0.3482
SPADES TEN DIAMONDS KING,0.5708,0.0058,0.4234
CLUBS SIX HEARTS ACE,0.2442,0.3744,0.3814
HEARTS FIVE CLUBS JACK,0.6082,0.0048,0.387
HEARTS FIVE CLUBS TEN,0.6186,0.0036,0.3778
CLUBS SIX HEARTS QUEEN,0.604,0.0034,0.3926
SPADES QUEEN CLUBS EIGHT,0.5932,0.0056,0.4012
CLUBS TEN SPADES THREE,0.6612,0.0044,0.3344
CLUBS SIX HEARTS KING,0.6118,0.0038,0.3844
SPADES KING CLUBS EIGHT,0.6038,0.0068,0.3894
