opposingHand,winningChance,drawChance,lostChance
SPADES ACE DIAMONDS TEN
HEARTS FIVE SPADES TEN,0.7516,0.025,0.2234
HEARTS FIVE SPADES JACK,0.6516,0.0038,0.3446
SPADES FIVE CLUBS JACK,0.647,0.0054,0.3476
CLUBS TEN SPADES FIVE,0.756,0.0298,0.2142
CLUBS EIGHT CLUBS JACK,0.584,0.0054,0.4106
CLUBS TEN CLUBS EIGHT,0.6656,0.0192,0.3152
CLUBS EIGHT CLUBS KING,0.606,0.0046,0.3894
SPADES FIVE CLUBS ACE,0.633,0.1204,0.2466
CLUBS EIGHT CLUBS QUEEN,0.5874,0.0044,0.4082
SPADES FIVE CLUBS KING,0.6504,0.0056,0.344
SPADES FIVE CLUBS QUEEN,0.6536,0.006,0.3404
CLUBS EIGHT CLUBS ACE,0.6258,0.1044,0.2698
DIAMONDS TWO DIAMONDS THREE,0.6246,0.0066,0.3688
DIAMONDS TWO DIAMONDS FIVE,0.615,0.007,0.378
SPADES KING HEARTS FIVE,0.6464,0.005,0.3486
DIAMONDS TWO DIAMONDS FOUR,0.626,0.006,0.368
HEARTS FIVE SPADES QUEEN,0.6498,0.0028,0.3474
DIAMONDS TWO DIAMONDS SEVEN,0.6496,0.0062,0.3442
DIAMONDS TWO DIAMONDS SIX,0.6432,0.0022,0.3546
DIAMONDS TWO DIAMONDS NINE,0.6584,0.005,0.3366
DIAMONDS TWO DIAMONDS EIGHT,0.6474,0.0054,0.3472
DIAMONDS THREE DIAMONDS FOUR,0.608,0.0046,0.3874
SPADES FOUR CLUBS TWO,0.6536,0.0062,0.3402
DIAMONDS THREE DIAMONDS FIVE,0.6262,0.007,0.3668
SPADES FIVE CLUBS TWO,0.6616,0.0038,0.3346
CLUBS TWO SPADES TWO,0.4678,0.0054,0.5268
CLUBS TWO SPADES THREE,0.6568,0.0038,0.3394
DIAMONDS THREE DIAMONDS EIGHT,0.6444,0.0032,0.3524
SPADES EIGHT CLUBS TWO,0.674,0.0064,0.3196
DIAMONDS THREE DIAMONDS NINE,0.6446,0.0052,0.3502
SPADES NINE CLUBS TWO,0.6852,0.0046,0.3102
DIAMONDS THREE DIAMONDS SIX,0.6254,0.005,0.3696
SPADES SIX CLUBS TWO,0.67,0.0044,0.3256
DIAMONDS THREE DIAMONDS SEVEN,0.6496,0.0046,0.3458
SPADES SEVEN CLUBS TWO,0.677,0.0062,0.3168
CLUBS SIX CLUBS TWO,0.631,0.005,0.364
CLUBS SEVEN CLUBS TWO,0.6406,0.004,0.3554
CLUBS FOUR CLUBS TWO,0.6204,0.0052,0.3744
CLUBS FIVE CLUBS TWO,0.6054,0.0046,0.39
CLUBS TEN CLUBS JACK,0.6606,0.0194,0.32
DIAMONDS FOUR DIAMONDS SIX,0.6168,0.0052,0.378
CLUBS TEN CLUBS QUEEN,0.6766,0.0154,0.308
DIAMONDS FOUR DIAMONDS SEVEN,0.6232,0.0044,0.3724
CLUBS TEN CLUBS KING,0.6926,0.0198,0.2876
CLUBS TEN CLUBS ACE,0.0218,0.9068,0.0714
CLUBS EIGHT CLUBS TWO,0.6396,0.004,0.3564
DIAMONDS FIVE DIAMONDS FOUR,0.603,0.0046,0.3924
CLUBS NINE CLUBS TWO,0.6298,0.0048,0.3654
DIAMONDS NINE DIAMONDS FOUR,0.6452,0.0052,0.3496
DIAMONDS EIGHT DIAMONDS FOUR,0.6398,0.0054,0.3548
CLUBS THREE CLUBS TWO,0.6212,0.005,0.3738
DIAMONDS NINE DIAMONDS FIVE,0.6294,0.005,0.3656
