opposingHand,winningChance,drawChance,lostChance
SPADES ACE HEARTS NINE
SPADES TEN HEARTS FIVE,0.641,0.0068,0.3522
SPADES JACK HEARTS FIVE,0.6406,0.0058,0.3536
SPADES FIVE CLUBS JACK,0.6336,0.0042,0.3622
CLUBS TEN SPADES FIVE,0.6408,0.0042,0.355
CLUBS EIGHT CLUBS JACK,0.5808,0.0042,0.415
CLUBS TEN CLUBS EIGHT,0.5702,0.005,0.4248
CLUBS EIGHT CLUBS KING,0.599,0.004,0.397
SPADES FIVE CLUBS ACE,0.5818,0.17,0.2482
CLUBS EIGHT CLUBS QUEEN,0.5882,0.0036,0.4082
SPADES FIVE CLUBS KING,0.639,0.005,0.356
SPADES FIVE CLUBS QUEEN,0.6252,0.0046,0.3702
CLUBS EIGHT CLUBS ACE,0.562,0.1574,0.2806
DIAMONDS TWO DIAMONDS THREE,0.6104,0.0034,0.3862
DIAMONDS TWO DIAMONDS FIVE,0.6058,0.005,0.3892
SPADES KING HEARTS FIVE,0.6286,0.006,0.3654
DIAMONDS TWO DIAMONDS FOUR,0.6118,0.0038,0.3844
SPADES QUEEN HEARTS FIVE,0.6542,0.0074,0.3384
DIAMONDS TWO DIAMONDS SEVEN,0.633,0.0034,0.3636
DIAMONDS TWO DIAMONDS SIX,0.6266,0.0046,0.3688
DIAMONDS TWO DIAMONDS NINE,0.7014,0.0274,0.2712
DIAMONDS TWO DIAMONDS EIGHT,0.6228,0.0038,0.3734
DIAMONDS THREE DIAMONDS FOUR,0.6006,0.004,0.3954
SPADES FOUR CLUBS TWO,0.6488,0.007,0.3442
DIAMONDS THREE DIAMONDS FIVE,0.5892,0.005,0.4058
SPADES FIVE CLUBS TWO,0.6598,0.0036,0.3366
CLUBS TWO SPADES TWO,0.476,0.0048,0.5192
CLUBS TWO SPADES THREE,0.6592,0.0056,0.3352
DIAMONDS THREE DIAMONDS EIGHT,0.6272,0.0042,0.3686
SPADES EIGHT CLUBS TWO,0.6706,0.0054,0.324
DIAMONDS THREE DIAMONDS NINE,0.7078,0.0238,0.2684
SPADES NINE CLUBS TWO,0.7528,0.0302,0.217
DIAMONDS THREE DIAMONDS SIX,0.6084,0.0042,0.3874
SPADES SIX CLUBS TWO,0.6622,0.0038,0.334
DIAMONDS THREE DIAMONDS SEVEN,0.6154,0.004,0.3806
SPADES SEVEN CLUBS TWO,0.6754,0.0042,0.3204
CLUBS SIX CLUBS TWO,0.6184,0.0032,0.3784
CLUBS SEVEN CLUBS TWO,0.6346,0.0028,0.3626
CLUBS FOUR CLUBS TWO,0.6168,0.0058,0.3774
CLUBS FIVE CLUBS TWO,0.6134,0.004,0.3826
CLUBS TEN CLUBS JACK,0.5296,0.0052,0.4652
DIAMONDS FOUR DIAMONDS SIX,0.6046,0.004,0.3914
CLUBS TEN CLUBS QUEEN,0.5338,0.0026,0.4636
DIAMONDS FOUR DIAMONDS SEVEN,0.5946,0.004,0.4014
CLUBS TEN CLUBS KING,0.5486,0.0044,0.447
CLUBS TEN CLUBS ACE,0.2156,0.1134,0.671
CLUBS EIGHT CLUBS TWO,0.6236,0.0054,0.371
DIAMONDS FIVE DIAMONDS FOUR,0.584,0.0042,0.4118
CLUBS NINE CLUBS TWO,0.7138,0.0258,0.2604
DIAMONDS NINE DIAMONDS FOUR,0.7024,0.0278,0.2698
DIAMONDS EIGHT DIAMONDS FOUR,0.6158,0.0062,0.378
CLUBS THREE CLUBS TWO,0.6052,0.0044,0.3904
DIAMONDS NINE DIAMONDS FIVE,0.6856,0.0262,0.2882
DIAMONDS TWO CLUBS JACK,0.6422,0.0036,0.3542
DIAMONDS EIGHT DIAMONDS FIVE,0.6162,0.0052,0.3786
CLUBS TEN DIAMONDS TWO,0.6496,0.0032,0.3472
DIAMONDS FIVE DIAMONDS SEVEN,0.5994,0.0022,0.3984
DIAMONDS FIVE DIAMONDS SIX,0.5852,0.0042,0.4106
DIAMONDS TWO CLUBS ACE,0.5948,0.1708,0.2344
DIAMONDS TWO CLUBS KING,0.6412,0.0044,0.3544
DIAMONDS TWO CLUBS QUEEN,0.6336,0.0038,0.3626
DIAMONDS EIGHT DIAMONDS SIX,0.6026,0.0036,0.3938
DIAMONDS NINE DIAMONDS SIX,0.6888,0.023,0.2882
