opposingHand,winningChance,drawChance,lostChance
SPADES ACE SPADES FOUR
SPADES TEN HEARTS FIVE,0.637,0.0048,0.3582
SPADES JACK HEARTS FIVE,0.631,0.0044,0.3646
SPADES FIVE CLUBS JACK,0.6232,0.0072,0.3696
SPADES FIVE CLUBS TEN,0.6316,0.0044,0.364
CLUBS EIGHT CLUBS JACK,0.561,0.0068,0.4322
CLUBS EIGHT CLUBS TEN,0.5672,0.0056,0.4272
CLUBS EIGHT CLUBS KING,0.5852,0.0046,0.4102
SPADES FIVE CLUBS ACE,0.254,0.4488,0.2972
CLUBS EIGHT CLUBS QUEEN,0.5696,0.0054,0.425
SPADES FIVE CLUBS KING,0.6504,0.0064,0.3432
SPADES FIVE CLUBS QUEEN,0.6406,0.0054,0.354
CLUBS EIGHT CLUBS ACE,0.2732,0.2088,0.518
DIAMONDS TWO DIAMONDS THREE,0.645,0.0074,0.3476
DIAMONDS TWO DIAMONDS FIVE,0.6212,0.0046,0.3742
SPADES KING HEARTS FIVE,0.6394,0.0042,0.3564
DIAMONDS TWO DIAMONDS FOUR,0.708,0.0204,0.2716
SPADES QUEEN HEARTS FIVE,0.629,0.006,0.365
DIAMONDS TWO DIAMONDS SEVEN,0.6336,0.0058,0.3606
DIAMONDS TWO DIAMONDS SIX,0.624,0.0068,0.3692
DIAMONDS TWO DIAMONDS NINE,0.6292,0.0048,0.366
DIAMONDS TWO DIAMONDS EIGHT,0.6094,0.0042,0.3864
DIAMONDS THREE DIAMONDS FOUR,0.7032,0.0194,0.2774
DIAMONDS THREE DIAMONDS FIVE,0.6036,0.005,0.3914
CLUBS TWO SPADES FIVE,0.659,0.0056,0.3354
CLUBS TWO SPADES TWO,0.493,0.0066,0.5004
CLUBS TWO SPADES THREE,0.6836,0.0064,0.31
DIAMONDS THREE DIAMONDS EIGHT,0.6426,0.006,0.3514
SPADES EIGHT CLUBS TWO,0.6566,0.0074,0.336
DIAMONDS THREE DIAMONDS NINE,0.6258,0.004,0.3702
SPADES NINE CLUBS TWO,0.6686,0.0062,0.3252
DIAMONDS THREE DIAMONDS SIX,0.613,0.004,0.383
CLUBS TWO SPADES SIX,0.6644,0.0062,0.3294
DIAMONDS THREE DIAMONDS SEVEN,0.6326,0.0058,0.3616
SPADES SEVEN CLUBS TWO,0.6714,0.0064,0.3222
CLUBS SIX CLUBS TWO,0.6274,0.0052,0.3674
