opposingHand,winningChance,drawChance,lostChance
SPADES EIGHT CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.6236,0.0106,0.3658
SPADES JACK HEARTS FIVE,0.6264,0.0086,0.365
SPADES FIVE CLUBS JACK,0.6396,0.0136,0.3468
SPADES FIVE CLUBS TEN,0.6518,0.0098,0.3384
CLUBS EIGHT CLUBS JACK,0.677,0.0368,0.2862
CLUBS EIGHT CLUBS TEN,0.6632,0.0428,0.294
CLUBS EIGHT CLUBS KING,0.2302,0.032,0.7378
SPADES FIVE CLUBS ACE,0.4026,0.004,0.5934
SPADES FIVE CLUBS KING,0.4096,0.01,0.5804
CLUBS EIGHT CLUBS ACE,0.2262,0.0246,0.7492
DIAMONDS TWO DIAMONDS THREE,0.597,0.0112,0.3918
DIAMONDS TWO DIAMONDS FIVE,0.6004,0.0106,0.389
SPADES KING HEARTS FIVE,0.3944,0.0078,0.5978
DIAMONDS TWO DIAMONDS FOUR,0.5976,0.0108,0.3916
SPADES QUEEN HEARTS FIVE,0.5364,0.2358,0.2278
DIAMONDS TWO DIAMONDS SEVEN,0.628,0.01,0.362
DIAMONDS TWO DIAMONDS SIX,0.6256,0.013,0.3614
SPADES ACE HEARTS FIVE,0.401,0.004,0.595
DIAMONDS TWO DIAMONDS NINE,0.5938,0.0108,0.3954
DIAMONDS TWO DIAMONDS EIGHT,0.688,0.0488,0.2632
DIAMONDS THREE DIAMONDS FOUR,0.5874,0.0136,0.399
CLUBS TWO SPADES FOUR,0.6482,0.0124,0.3394
DIAMONDS THREE DIAMONDS FIVE,0.5834,0.0124,0.4042
CLUBS TWO SPADES FIVE,0.644,0.0134,0.3426
CLUBS TWO SPADES TWO,0.4552,0.0286,0.5162
CLUBS TWO SPADES THREE,0.6616,0.0158,0.3226
DIAMONDS THREE DIAMONDS EIGHT,0.6896,0.0404,0.27
DIAMONDS THREE DIAMONDS NINE,0.6002,0.0114,0.3884
SPADES NINE CLUBS TWO,0.6494,0.0124,0.3382
DIAMONDS THREE DIAMONDS SIX,0.597,0.0134,0.3896
CLUBS TWO SPADES SIX,0.6666,0.0138,0.3196
DIAMONDS THREE DIAMONDS SEVEN,0.6138,0.012,0.3742
SPADES SEVEN CLUBS TWO,0.69,0.0114,0.2986
CLUBS SIX CLUBS TWO,0.6216,0.014,0.3644
CLUBS SEVEN CLUBS TWO,0.6362,0.011,0.3528
CLUBS FOUR CLUBS TWO,0.6084,0.0146,0.377
CLUBS FIVE CLUBS TWO,0.5976,0.0112,0.3912
CLUBS JACK CLUBS TEN,0.5358,0.0108,0.4534
