opposingHand,winningChance,drawChance,lostChance
SPADES EIGHT DIAMONDS KING
HEARTS FIVE SPADES TEN,0.6194,0.0048,0.3758
HEARTS FIVE SPADES JACK,0.6264,0.0088,0.3648
SPADES FIVE CLUBS JACK,0.6338,0.0062,0.36
CLUBS TEN SPADES FIVE,0.633,0.008,0.359
CLUBS EIGHT CLUBS JACK,0.6584,0.0332,0.3084
CLUBS TEN CLUBS EIGHT,0.6554,0.0252,0.3194
CLUBS EIGHT CLUBS KING,0.0238,0.9106,0.0656
SPADES FIVE CLUBS ACE,0.3956,0.0048,0.5996
CLUBS EIGHT CLUBS QUEEN,0.6736,0.0304,0.296
SPADES FIVE CLUBS KING,0.5384,0.228,0.2336
SPADES FIVE CLUBS QUEEN,0.6266,0.0086,0.3648
CLUBS EIGHT CLUBS ACE,0.2166,0.0212,0.7622
DIAMONDS TWO DIAMONDS THREE,0.6218,0.0116,0.3666
DIAMONDS TWO DIAMONDS FIVE,0.6144,0.0084,0.3772
HEARTS FIVE SPADES KING,0.5432,0.2264,0.2304
DIAMONDS TWO DIAMONDS FOUR,0.6112,0.0088,0.38
HEARTS FIVE SPADES QUEEN,0.6298,0.0064,0.3638
DIAMONDS TWO DIAMONDS SEVEN,0.6422,0.0084,0.3494
DIAMONDS TWO DIAMONDS SIX,0.6458,0.0082,0.346
SPADES ACE HEARTS FIVE,0.3926,0.0044,0.603
DIAMONDS TWO DIAMONDS NINE,0.6164,0.0074,0.3762
DIAMONDS TWO DIAMONDS EIGHT,0.7068,0.0338,0.2594
DIAMONDS THREE DIAMONDS FOUR,0.598,0.0104,0.3916
SPADES FOUR CLUBS TWO,0.6458,0.0118,0.3424
DIAMONDS THREE DIAMONDS FIVE,0.6128,0.0082,0.379
SPADES FIVE CLUBS TWO,0.6404,0.0086,0.351
CLUBS TWO SPADES TWO,0.4586,0.0112,0.5302
CLUBS TWO SPADES THREE,0.653,0.0084,0.3386
DIAMONDS THREE DIAMONDS EIGHT,0.7024,0.0332,0.2644
DIAMONDS THREE DIAMONDS NINE,0.6056,0.0062,0.3882
SPADES NINE CLUBS TWO,0.6316,0.0078,0.3606
DIAMONDS THREE DIAMONDS SIX,0.6258,0.0088,0.3654
SPADES SIX CLUBS TWO,0.6646,0.0086,0.3268
DIAMONDS THREE DIAMONDS SEVEN,0.6172,0.0086,0.3742
SPADES SEVEN CLUBS TWO,0.668,0.01,0.322
CLUBS SIX CLUBS TWO,0.6136,0.0068,0.3796
CLUBS SEVEN CLUBS TWO,0.6228,0.006,0.3712
CLUBS FOUR CLUBS TWO,0.6032,0.0074,0.3894
CLUBS FIVE CLUBS TWO,0.5924,0.0072,0.4004
CLUBS TEN CLUBS JACK,0.5236,0.0092,0.4672
DIAMONDS FOUR DIAMONDS SIX,0.6068,0.0072,0.386
CLUBS TEN CLUBS QUEEN,0.5378,0.0046,0.4576
DIAMONDS FOUR DIAMONDS SEVEN,0.6054,0.01,0.3846
CLUBS TEN CLUBS KING,0.2144,0.108,0.6776
CLUBS TEN CLUBS ACE,0.3254,0.0048,0.6698
CLUBS EIGHT CLUBS TWO,0.6806,0.0372,0.2822
DIAMONDS FIVE DIAMONDS FOUR,0.5844,0.007,0.4086
CLUBS NINE CLUBS TWO,0.5992,0.0094,0.3914
DIAMONDS NINE DIAMONDS FOUR,0.5928,0.0086,0.3986
DIAMONDS EIGHT DIAMONDS FOUR,0.6796,0.0392,0.2812
CLUBS THREE CLUBS TWO,0.604,0.0056,0.3904
DIAMONDS NINE DIAMONDS FIVE,0.5846,0.0092,0.4062
DIAMONDS TWO CLUBS JACK,0.6406,0.0078,0.3516
DIAMONDS EIGHT DIAMONDS FIVE,0.6824,0.0378,0.2798
CLUBS TEN DIAMONDS TWO,0.6432,0.008,0.3488
DIAMONDS FIVE DIAMONDS SEVEN,0.6,0.0092,0.3908
