opposingHand,winningChance,drawChance,lostChance
SPADES EIGHT HEARTS JACK
HEARTS FIVE SPADES TEN,0.6352,0.0178,0.347
SPADES JACK HEARTS FIVE,0.5636,0.2202,0.2162
SPADES FIVE CLUBS JACK,0.5724,0.2144,0.2132
CLUBS TEN SPADES FIVE,0.642,0.0158,0.3422
CLUBS EIGHT CLUBS JACK,0.0218,0.9014,0.0768
CLUBS TEN CLUBS EIGHT,0.6472,0.0536,0.2992
CLUBS EIGHT CLUBS KING,0.2576,0.0292,0.7132
SPADES FIVE CLUBS ACE,0.4126,0.0038,0.5836
CLUBS EIGHT CLUBS QUEEN,0.2336,0.0386,0.7278
SPADES FIVE CLUBS KING,0.4152,0.0064,0.5784
SPADES FIVE CLUBS QUEEN,0.4222,0.012,0.5658
CLUBS EIGHT CLUBS ACE,0.242,0.0228,0.7352
DIAMONDS TWO DIAMONDS THREE,0.6026,0.0178,0.3796
DIAMONDS TWO DIAMONDS FIVE,0.6098,0.0168,0.3734
SPADES KING HEARTS FIVE,0.415,0.0074,0.5776
DIAMONDS TWO DIAMONDS FOUR,0.6014,0.016,0.3826
SPADES QUEEN HEARTS FIVE,0.413,0.0128,0.5742
DIAMONDS TWO DIAMONDS SEVEN,0.612,0.0222,0.3658
DIAMONDS TWO DIAMONDS SIX,0.6132,0.0164,0.3704
SPADES ACE HEARTS FIVE,0.4126,0.0048,0.5826
DIAMONDS TWO DIAMONDS NINE,0.6038,0.0158,0.3804
DIAMONDS TWO DIAMONDS EIGHT,0.6762,0.059,0.2648
DIAMONDS THREE DIAMONDS FOUR,0.5818,0.0176,0.4006
SPADES FOUR CLUBS TWO,0.641,0.0208,0.3382
DIAMONDS THREE DIAMONDS FIVE,0.5876,0.0156,0.3968
SPADES FIVE CLUBS TWO,0.645,0.02,0.335
CLUBS TWO SPADES TWO,0.4532,0.0364,0.5104
CLUBS TWO SPADES THREE,0.6472,0.022,0.3308
DIAMONDS THREE DIAMONDS EIGHT,0.674,0.058,0.268
DIAMONDS THREE DIAMONDS NINE,0.6026,0.0156,0.3818
SPADES NINE CLUBS TWO,0.6404,0.0172,0.3424
DIAMONDS THREE DIAMONDS SIX,0.6002,0.0172,0.3826
SPADES SIX CLUBS TWO,0.653,0.0192,0.3278
DIAMONDS THREE DIAMONDS SEVEN,0.6184,0.0144,0.3672
SPADES SEVEN CLUBS TWO,0.6706,0.0182,0.3112
CLUBS SIX CLUBS TWO,0.6222,0.015,0.3628
CLUBS SEVEN CLUBS TWO,0.6168,0.0178,0.3654
CLUBS FOUR CLUBS TWO,0.5956,0.0192,0.3852
CLUBS FIVE CLUBS TWO,0.5946,0.0176,0.3878
CLUBS TEN CLUBS JACK,0.2184,0.117,0.6646
DIAMONDS FOUR DIAMONDS SIX,0.5714,0.0186,0.41
CLUBS TEN CLUBS QUEEN,0.3302,0.0114,0.6584
DIAMONDS FOUR DIAMONDS SEVEN,0.6056,0.017,0.3774
CLUBS TEN CLUBS KING,0.332,0.0076,0.6604
CLUBS TEN CLUBS ACE,0.3378,0.003,0.6592
CLUBS EIGHT CLUBS TWO,0.6592,0.061,0.2798
DIAMONDS FIVE DIAMONDS FOUR,0.567,0.0192,0.4138
CLUBS NINE CLUBS TWO,0.5924,0.017,0.3906
DIAMONDS NINE DIAMONDS FOUR,0.6082,0.0138,0.378
DIAMONDS EIGHT DIAMONDS FOUR,0.647,0.0618,0.2912
CLUBS THREE CLUBS TWO,0.5954,0.0178,0.3868
DIAMONDS NINE DIAMONDS FIVE,0.5878,0.0204,0.3918
DIAMONDS TWO CLUBS JACK,0.5394,0.2238,0.2368
DIAMONDS EIGHT DIAMONDS FIVE,0.641,0.0554,0.3036
CLUBS TEN DIAMONDS TWO,0.6426,0.017,0.3404
DIAMONDS FIVE DIAMONDS SEVEN,0.5766,0.0166,0.4068
DIAMONDS FIVE DIAMONDS SIX,0.5784,0.0166,0.405
