opposingHand,winningChance,drawChance,lostChance
SPADES FIVE CLUBS THREE
HEARTS FIVE SPADES TEN,0.2636,0.079,0.6574
SPADES JACK HEARTS FIVE,0.2642,0.0666,0.6692
CLUBS EIGHT CLUBS JACK,0.3304,0.0202,0.6494
CLUBS TEN CLUBS EIGHT,0.335,0.0272,0.6378
CLUBS EIGHT CLUBS KING,0.3406,0.0072,0.6522
CLUBS EIGHT CLUBS QUEEN,0.3332,0.0106,0.6562
CLUBS EIGHT CLUBS ACE,0.3408,0.0038,0.6554
DIAMONDS TWO DIAMONDS THREE,0.3924,0.346,0.2616
DIAMONDS TWO DIAMONDS FIVE,0.2574,0.4754,0.2672
SPADES KING HEARTS FIVE,0.255,0.0428,0.7022
DIAMONDS TWO DIAMONDS FOUR,0.3984,0.224,0.3776
SPADES QUEEN HEARTS FIVE,0.2612,0.0456,0.6932
DIAMONDS TWO DIAMONDS SEVEN,0.3884,0.0968,0.5148
DIAMONDS TWO DIAMONDS SIX,0.367,0.1528,0.4802
SPADES ACE HEARTS FIVE,0.2362,0.028,0.7358
DIAMONDS TWO DIAMONDS NINE,0.3786,0.0434,0.578
DIAMONDS TWO DIAMONDS EIGHT,0.3912,0.0614,0.5474
DIAMONDS THREE DIAMONDS FOUR,0.373,0.3546,0.2724
CLUBS TWO SPADES FOUR,0.4252,0.2476,0.3272
DIAMONDS THREE DIAMONDS FIVE,0.0252,0.8956,0.0792
CLUBS TWO SPADES TWO,0.3448,0.1622,0.493
CLUBS TWO SPADES THREE,0.4162,0.368,0.2158
DIAMONDS THREE DIAMONDS EIGHT,0.268,0.1372,0.5948
SPADES EIGHT CLUBS TWO,0.4184,0.0726,0.509
DIAMONDS THREE DIAMONDS NINE,0.2584,0.1074,0.6342
SPADES NINE CLUBS TWO,0.4126,0.051,0.5364
DIAMONDS THREE DIAMONDS SIX,0.2434,0.2572,0.4994
CLUBS TWO SPADES SIX,0.399,0.1716,0.4294
DIAMONDS THREE DIAMONDS SEVEN,0.258,0.1888,0.5532
CLUBS TWO SPADES SEVEN,0.4182,0.1086,0.4732
CLUBS SIX CLUBS TWO,0.3866,0.1572,0.4562
CLUBS SEVEN CLUBS TWO,0.4058,0.0982,0.496
CLUBS TWO CLUBS FOUR,0.4076,0.232,0.3604
CLUBS FIVE CLUBS TWO,0.2576,0.4962,0.2462
CLUBS TEN CLUBS JACK,0.3294,0.0152,0.6554
DIAMONDS FOUR DIAMONDS SIX,0.3248,0.1542,0.521
CLUBS TEN CLUBS QUEEN,0.3334,0.011,0.6556
DIAMONDS FOUR DIAMONDS SEVEN,0.3378,0.1046,0.5576
CLUBS TEN CLUBS KING,0.34,0.005,0.655
CLUBS TEN CLUBS ACE,0.3316,0.0058,0.6626
CLUBS EIGHT CLUBS TWO,0.3904,0.0688,0.5408
DIAMONDS FIVE DIAMONDS FOUR,0.2002,0.4862,0.3136
CLUBS NINE CLUBS TWO,0.387,0.045,0.568
DIAMONDS NINE DIAMONDS FOUR,0.355,0.0424,0.6026
DIAMONDS EIGHT DIAMONDS FOUR,0.3472,0.0648,0.588
DIAMONDS NINE DIAMONDS FIVE,0.244,0.1096,0.6464
DIAMONDS TWO CLUBS JACK,0.4156,0.0222,0.5622
DIAMONDS EIGHT DIAMONDS FIVE,0.2378,0.1466,0.6156
CLUBS TEN DIAMONDS TWO,0.4192,0.0302,0.5506
DIAMONDS FIVE DIAMONDS SEVEN,0.245,0.1864,0.5686
DIAMONDS FIVE DIAMONDS SIX,0.2288,0.2534,0.5178
DIAMONDS TWO CLUBS ACE,0.4018,0.006,0.5922
DIAMONDS TWO CLUBS KING,0.42,0.0114,0.5686
DIAMONDS TWO CLUBS QUEEN,0.4108,0.0136,0.5756
DIAMONDS EIGHT DIAMONDS SIX,0.3094,0.0622,0.6284
DIAMONDS NINE DIAMONDS SIX,0.3238,0.0448,0.6314
HEARTS ACE SPADES THREE,0.2724,0.0184,0.7092
HEARTS KING SPADES THREE,0.2728,0.0316,0.6956
DIAMONDS SEVEN DIAMONDS SIX,0.3166,0.0848,0.5986
SPADES THREE HEARTS QUEEN,0.2894,0.041,0.6696
SPADES THREE HEARTS JACK,0.2812,0.061,0.6578
SPADES THREE HEARTS TEN,0.2794,0.0696,0.651
DIAMONDS EIGHT DIAMONDS SEVEN,0.311,0.0592,0.6298
DIAMONDS NINE DIAMONDS SEVEN,0.3296,0.0426,0.6278
DIAMONDS NINE DIAMONDS EIGHT,0.331,0.0348,0.6342
DIAMONDS KING HEARTS TEN,0.3616,0.0074,0.631
HEARTS THREE HEARTS TEN,0.2614,0.073,0.6656
SPADES JACK CLUBS SIX,0.3478,0.0228,0.6294
DIAMONDS KING HEARTS JACK,0.363,0.006,0.631
HEARTS THREE HEARTS JACK,0.265,0.0574,0.6776
SPADES TEN CLUBS SIX,0.3472,0.0304,0.6224
DIAMONDS KING HEARTS ACE,0.3552,0.005,0.6398
HEARTS THREE HEARTS ACE,0.2454,0.0156,0.739
SPADES ACE CLUBS SIX,0.353,0.0048,0.6422
DIAMONDS KING HEARTS QUEEN,0.3718,0.0066,0.6216
HEARTS THREE HEARTS QUEEN,0.2684,0.042,0.6896
SPADES KING CLUBS SIX,0.3484,0.0082,0.6434
DIAMONDS KING HEARTS KING,0.1782,0.0208,0.801
HEARTS THREE HEARTS KING,0.2492,0.029,0.7218
SPADES QUEEN CLUBS SIX,0.3586,0.0132,0.6282
SPADES NINE HEARTS TEN,0.3494,0.0228,0.6278
SPADES NINE HEARTS JACK,0.348,0.0136,0.6384
SPADES NINE HEARTS QUEEN,0.3506,0.0094,0.64
SPADES NINE HEARTS KING,0.3604,0.008,0.6316
SPADES NINE HEARTS ACE,0.3634,0.004,0.6326
CLUBS TEN SPADES JACK,0.337,0.0128,0.6502
CLUBS TEN SPADES TEN,0.1588,0.0684,0.7728
SPADES ACE CLUBS TEN,0.344,0.0054,0.6506
SPADES KING CLUBS TEN,0.3512,0.0086,0.6402
CLUBS TEN SPADES QUEEN,0.3286,0.0128,0.6586
CLUBS EIGHT SPADES TEN,0.3422,0.0304,0.6274
HEARTS THREE SPADES JACK,0.2844,0.0558,0.6598
SPADES JACK DIAMONDS KING,0.338,0.0074,0.6546
SPADES TEN DIAMONDS KING,0.3562,0.0098,0.634
HEARTS THREE SPADES TEN,0.2724,0.072,0.6556
SPADES JACK CLUBS EIGHT,0.355,0.0188,0.6262
CLUBS SIX HEARTS ACE,0.348,0.004,0.648
SPADES ACE CLUBS EIGHT,0.355,0.0056,0.6394
HEARTS FIVE CLUBS JACK,0.2756,0.069,0.6554
CLUBS TEN HEARTS FIVE,0.263,0.0796,0.6574
CLUBS SIX HEARTS QUEEN,0.3574,0.0118,0.6308
SPADES QUEEN CLUBS EIGHT,0.3546,0.0142,0.6312
CLUBS TEN SPADES THREE,0.2726,0.0786,0.6488
CLUBS SIX HEARTS KING,0.3574,0.0076,0.635
SPADES KING CLUBS EIGHT,0.349,0.0096,0.6414
SPADES THREE CLUBS JACK,0.2786,0.065,0.6564
DIAMONDS TWO HEARTS JACK,0.4284,0.0204,0.5512
SPADES THREE CLUBS QUEEN,0.266,0.0472,0.6868
DIAMONDS TWO HEARTS TEN,0.4104,0.0338,0.5558
SPADES THREE CLUBS KING,0.2738,0.0286,0.6976
HEARTS FIVE CLUBS ACE,0.25,0.0262,0.7238
SPADES THREE CLUBS ACE,0.2546,0.0168,0.7286
HEARTS FIVE CLUBS KING,0.258,0.042,0.7
HEARTS FIVE CLUBS QUEEN,0.2694,0.049,0.6816
HEARTS THREE CLUBS KING,0.292,0.0284,0.6796
DIAMONDS KING CLUBS KING,0.1804,0.021,0.7986
HEARTS THREE CLUBS QUEEN,0.2836,0.0418,0.6746
DIAMONDS KING CLUBS QUEEN,0.3514,0.0076,0.641
HEARTS FIVE HEARTS JACK,0.2652,0.0596,0.6752
HEARTS FIVE HEARTS TEN,0.2522,0.0792,0.6686
HEARTS THREE CLUBS ACE,0.2572,0.0196,0.7232
DIAMONDS KING CLUBS ACE,0.3466,0.004,0.6494
SPADES ACE CLUBS QUEEN,0.3482,0.0056,0.6462
SPADES KING CLUBS QUEEN,0.3524,0.0074,0.6402
HEARTS THREE CLUBS JACK,0.2776,0.0586,0.6638
DIAMONDS KING CLUBS JACK,0.3524,0.0072,0.6404
SPADES QUEEN CLUBS QUEEN,0.1476,0.0396,0.8128
CLUBS TEN HEARTS THREE,0.2756,0.0804,0.644
CLUBS TEN DIAMONDS KING,0.3416,0.008,0.6504
SPADES JACK CLUBS QUEEN,0.3576,0.0112,0.6312
CLUBS SIX CLUBS QUEEN,0.3466,0.0154,0.638
SPADES TEN CLUBS QUEEN,0.3418,0.011,0.6472
CLUBS SIX CLUBS KING,0.3504,0.0076,0.642
CLUBS SIX CLUBS ACE,0.3422,0.0062,0.6516
HEARTS FIVE HEARTS KING,0.2452,0.0362,0.7186
HEARTS FIVE HEARTS QUEEN,0.2564,0.0478,0.6958
CLUBS TEN CLUBS SIX,0.3404,0.0262,0.6334
HEARTS FIVE HEARTS ACE,0.2348,0.0272,0.738
CLUBS SIX CLUBS JACK,0.3472,0.0196,0.6332
SPADES SEVEN HEARTS JACK,0.3496,0.0222,0.6282
SPADES SEVEN HEARTS TEN,0.3372,0.0334,0.6294
DIAMONDS TWO CLUBS TWO,0.3414,0.1552,0.5034
HEARTS SIX DIAMONDS TWO,0.4026,0.1598,0.4376
DIAMONDS TWO HEARTS QUEEN,0.408,0.013,0.579
DIAMONDS TWO HEARTS SEVEN,0.4184,0.104,0.4776
DIAMONDS TWO HEARTS KING,0.4226,0.0082,0.5692
DIAMONDS TWO HEARTS EIGHT,0.4066,0.0732,0.5202
DIAMONDS TWO HEARTS ACE,0.396,0.0058,0.5982
DIAMONDS TWO HEARTS NINE,0.4172,0.049,0.5338
DIAMONDS TWO DIAMONDS QUEEN,0.3874,0.0178,0.5948
DIAMONDS TWO HEARTS TWO,0.3402,0.1638,0.496
DIAMONDS TWO DIAMONDS KING,0.387,0.0088,0.6042
HEARTS THREE DIAMONDS TWO,0.424,0.3592,0.2168
DIAMONDS TWO DIAMONDS ACE,0.378,0.0054,0.6166
HEARTS FOUR DIAMONDS TWO,0.4048,0.2552,0.34
DIAMONDS TWO HEARTS FIVE,0.2624,0.5198,0.2178
SPADES SEVEN HEARTS ACE,0.3594,0.0056,0.635
DIAMONDS TWO DIAMONDS TEN,0.3798,0.0284,0.5918
SPADES SEVEN HEARTS KING,0.3718,0.0086,0.6196
DIAMONDS TWO DIAMONDS JACK,0.392,0.0218,0.5862
SPADES SEVEN HEARTS QUEEN,0.3748,0.012,0.6132
DIAMONDS TWO SPADES NINE,0.4012,0.0506,0.5482
DIAMONDS TWO SPADES EIGHT,0.4084,0.0772,0.5144
DIAMONDS TWO SPADES SEVEN,0.419,0.1042,0.4768
DIAMONDS TWO SPADES SIX,0.4018,0.1686,0.4296
DIAMONDS TWO SPADES FOUR,0.4148,0.2638,0.3214
DIAMONDS TWO SPADES THREE,0.3998,0.3698,0.2304
DIAMONDS TWO SPADES TWO,0.3266,0.1616,0.5118
CLUBS NINE DIAMONDS TWO,0.4008,0.0434,0.5558
DIAMONDS TWO CLUBS EIGHT,0.4222,0.0698,0.508
CLUBS SEVEN DIAMONDS TWO,0.4144,0.114,0.4716
DIAMONDS TWO CLUBS SIX,0.394,0.1632,0.4428
DIAMONDS TWO CLUBS FIVE,0.2674,0.5114,0.2212
DIAMONDS TWO CLUBS FOUR,0.41,0.2606,0.3294
CLUBS FOUR SPADES FOUR,0.229,0.159,0.612
CLUBS FOUR SPADES THREE,0.3972,0.3894,0.2134
CLUBS FOUR SPADES TWO,0.4224,0.2436,0.334
SPADES NINE CLUBS FOUR,0.3702,0.044,0.5858
SPADES EIGHT CLUBS FOUR,0.3608,0.0714,0.5678
SPADES SEVEN CLUBS FOUR,0.3496,0.1118,0.5386
CLUBS FOUR SPADES SIX,0.33,0.161,0.509
SPADES ACE DIAMONDS SIX,0.3584,0.0056,0.636
SPADES QUEEN DIAMONDS SIX,0.3464,0.0128,0.6408
SPADES KING DIAMONDS SIX,0.3514,0.0074,0.6412
SPADES TEN DIAMONDS SIX,0.3506,0.03,0.6194
SPADES JACK DIAMONDS SIX,0.3566,0.0202,0.6232
SPADES QUEEN SPADES TWO,0.3854,0.0128,0.6018
SPADES KING SPADES TWO,0.3932,0.0096,0.5972
SPADES ACE SPADES TWO,0.3826,0.007,0.6104
DIAMONDS JACK CLUBS JACK,0.1662,0.0546,0.7792
