opposingHand,winningChance,drawChance,lostChance
SPADES FIVE DIAMONDS EIGHT
HEARTS FIVE SPADES TEN,0.2662,0.0788,0.655
HEARTS FIVE SPADES JACK,0.2618,0.0598,0.6784
CLUBS EIGHT CLUBS JACK,0.2524,0.0632,0.6844
CLUBS TEN CLUBS EIGHT,0.2236,0.0742,0.7022
CLUBS EIGHT CLUBS KING,0.251,0.029,0.72
CLUBS EIGHT CLUBS QUEEN,0.245,0.045,0.71
CLUBS EIGHT CLUBS ACE,0.2254,0.0276,0.747
DIAMONDS TWO DIAMONDS THREE,0.5648,0.0708,0.3644
DIAMONDS TWO DIAMONDS FIVE,0.5834,0.15,0.2666
HEARTS FIVE SPADES KING,0.2632,0.0368,0.7
DIAMONDS TWO DIAMONDS FOUR,0.5742,0.0672,0.3586
HEARTS FIVE SPADES QUEEN,0.2542,0.0436,0.7022
DIAMONDS TWO DIAMONDS SEVEN,0.6,0.0558,0.3442
DIAMONDS TWO DIAMONDS SIX,0.5702,0.0638,0.366
SPADES ACE HEARTS FIVE,0.2572,0.0208,0.722
DIAMONDS TWO DIAMONDS NINE,0.3932,0.0424,0.5644
DIAMONDS THREE DIAMONDS FOUR,0.5606,0.0674,0.372
SPADES FOUR CLUBS TWO,0.6018,0.0698,0.3284
DIAMONDS THREE DIAMONDS FIVE,0.5692,0.148,0.2828
CLUBS TWO SPADES TWO,0.399,0.0986,0.5024
CLUBS TWO SPADES THREE,0.6168,0.0654,0.3178
SPADES EIGHT CLUBS TWO,0.3326,0.4528,0.2146
DIAMONDS THREE DIAMONDS NINE,0.3932,0.0434,0.5634
SPADES NINE CLUBS TWO,0.3902,0.0488,0.561
DIAMONDS THREE DIAMONDS SIX,0.5652,0.0654,0.3694
SPADES SIX CLUBS TWO,0.5958,0.0672,0.337
DIAMONDS THREE DIAMONDS SEVEN,0.5718,0.0594,0.3688
SPADES SEVEN CLUBS TWO,0.6152,0.066,0.3188
CLUBS SIX CLUBS TWO,0.5606,0.062,0.3774
CLUBS SEVEN CLUBS TWO,0.581,0.0616,0.3574
CLUBS FOUR CLUBS TWO,0.573,0.0622,0.3648
CLUBS FIVE CLUBS TWO,0.5736,0.1348,0.2916
CLUBS TEN CLUBS JACK,0.3044,0.0146,0.681
DIAMONDS FOUR DIAMONDS SIX,0.5536,0.06,0.3864
CLUBS TEN CLUBS QUEEN,0.3228,0.011,0.6662
DIAMONDS FOUR DIAMONDS SEVEN,0.5528,0.062,0.3852
CLUBS TEN CLUBS KING,0.3118,0.0074,0.6808
CLUBS TEN CLUBS ACE,0.3132,0.0038,0.683
CLUBS EIGHT CLUBS TWO,0.3382,0.4062,0.2556
DIAMONDS FIVE DIAMONDS FOUR,0.5552,0.1496,0.2952
CLUBS NINE CLUBS TWO,0.3836,0.0424,0.574
DIAMONDS NINE DIAMONDS FOUR,0.3796,0.0418,0.5786
CLUBS THREE CLUBS TWO,0.5588,0.069,0.3722
