opposingHand,winningChance,drawChance,lostChance
SPADES FIVE DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.2462,0.0742,0.6796
HEARTS FIVE SPADES JACK,0.2518,0.0648,0.6834
CLUBS EIGHT CLUBS JACK,0.3244,0.0186,0.657
CLUBS TEN CLUBS EIGHT,0.3252,0.0252,0.6496
CLUBS EIGHT CLUBS KING,0.3482,0.0084,0.6434
CLUBS EIGHT CLUBS QUEEN,0.3446,0.0124,0.643
CLUBS EIGHT CLUBS ACE,0.3362,0.0052,0.6586
DIAMONDS TWO DIAMONDS THREE,0.5844,0.043,0.3726
DIAMONDS TWO DIAMONDS FIVE,0.612,0.1102,0.2778
HEARTS FIVE SPADES KING,0.2482,0.0372,0.7146
DIAMONDS TWO DIAMONDS FOUR,0.5896,0.0424,0.368
HEARTS FIVE SPADES QUEEN,0.2556,0.0436,0.7008
DIAMONDS TWO DIAMONDS SEVEN,0.6038,0.0398,0.3564
DIAMONDS TWO DIAMONDS SIX,0.5936,0.0442,0.3622
SPADES ACE HEARTS FIVE,0.245,0.0224,0.7326
DIAMONDS TWO DIAMONDS EIGHT,0.5822,0.0412,0.3766
DIAMONDS THREE DIAMONDS FOUR,0.5748,0.0452,0.38
SPADES FOUR CLUBS TWO,0.6224,0.0488,0.3288
DIAMONDS THREE DIAMONDS FIVE,0.5914,0.1076,0.301
CLUBS TWO SPADES TWO,0.3996,0.0878,0.5126
CLUBS TWO SPADES THREE,0.623,0.0482,0.3288
DIAMONDS THREE DIAMONDS EIGHT,0.5924,0.039,0.3686
SPADES EIGHT CLUBS TWO,0.6034,0.0448,0.3518
SPADES NINE CLUBS TWO,0.3256,0.46,0.2144
DIAMONDS THREE DIAMONDS SIX,0.5636,0.0424,0.394
SPADES SIX CLUBS TWO,0.6016,0.048,0.3504
DIAMONDS THREE DIAMONDS SEVEN,0.5804,0.0432,0.3764
SPADES SEVEN CLUBS TWO,0.6158,0.0468,0.3374
CLUBS SIX CLUBS TWO,0.5646,0.039,0.3964
CLUBS SEVEN CLUBS TWO,0.5762,0.0418,0.382
CLUBS FOUR CLUBS TWO,0.5814,0.0392,0.3794
CLUBS FIVE CLUBS TWO,0.6032,0.1128,0.284
CLUBS TEN CLUBS JACK,0.3002,0.0136,0.6862
DIAMONDS FOUR DIAMONDS SIX,0.5622,0.0422,0.3956
CLUBS TEN CLUBS QUEEN,0.299,0.0084,0.6926
