opposingHand,winningChance,drawChance,lostChance
SPADES FIVE DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.2822,0.0726,0.6452
HEARTS FIVE SPADES JACK,0.282,0.0576,0.6604
CLUBS EIGHT CLUBS JACK,0.3508,0.0172,0.632
CLUBS TEN CLUBS EIGHT,0.3136,0.0246,0.6618
CLUBS EIGHT CLUBS KING,0.3508,0.0078,0.6414
CLUBS EIGHT CLUBS QUEEN,0.3486,0.0138,0.6376
CLUBS EIGHT CLUBS ACE,0.3296,0.005,0.6654
DIAMONDS TWO DIAMONDS THREE,0.5408,0.1018,0.3574
DIAMONDS TWO DIAMONDS FIVE,0.5192,0.2204,0.2604
HEARTS FIVE SPADES KING,0.27,0.0324,0.6976
DIAMONDS TWO DIAMONDS FOUR,0.549,0.1046,0.3464
HEARTS FIVE SPADES QUEEN,0.2704,0.0482,0.6814
DIAMONDS TWO DIAMONDS SIX,0.5488,0.1088,0.3424
SPADES ACE HEARTS FIVE,0.2764,0.0244,0.6992
DIAMONDS TWO DIAMONDS NINE,0.4028,0.045,0.5522
DIAMONDS TWO DIAMONDS EIGHT,0.4068,0.0688,0.5244
DIAMONDS THREE DIAMONDS FOUR,0.5618,0.0976,0.3406
SPADES FOUR CLUBS TWO,0.5854,0.1058,0.3088
DIAMONDS THREE DIAMONDS FIVE,0.518,0.2,0.282
CLUBS TWO SPADES TWO,0.3966,0.1232,0.4802
CLUBS TWO SPADES THREE,0.5788,0.1074,0.3138
DIAMONDS THREE DIAMONDS EIGHT,0.4038,0.0666,0.5296
SPADES EIGHT CLUBS TWO,0.4178,0.0638,0.5184
DIAMONDS THREE DIAMONDS NINE,0.3904,0.0444,0.5652
SPADES NINE CLUBS TWO,0.42,0.044,0.536
DIAMONDS THREE DIAMONDS SIX,0.5418,0.0938,0.3644
SPADES SIX CLUBS TWO,0.5574,0.106,0.3366
SPADES SEVEN CLUBS TWO,0.333,0.4564,0.2106
CLUBS SIX CLUBS TWO,0.5314,0.106,0.3626
CLUBS SEVEN CLUBS TWO,0.3388,0.3998,0.2614
CLUBS FOUR CLUBS TWO,0.5442,0.098,0.3578
CLUBS FIVE CLUBS TWO,0.5262,0.2026,0.2712
CLUBS TEN CLUBS JACK,0.3186,0.0138,0.6676
DIAMONDS FOUR DIAMONDS SIX,0.5354,0.0972,0.3674
CLUBS TEN CLUBS QUEEN,0.331,0.0108,0.6582
CLUBS TEN CLUBS KING,0.3372,0.0056,0.6572
CLUBS TEN CLUBS ACE,0.3368,0.0032,0.66
CLUBS EIGHT CLUBS TWO,0.3928,0.068,0.5392
DIAMONDS FIVE DIAMONDS FOUR,0.5264,0.1936,0.28
CLUBS NINE CLUBS TWO,0.4068,0.0432,0.55
DIAMONDS NINE DIAMONDS FOUR,0.3868,0.0428,0.5704
DIAMONDS FOUR DIAMONDS EIGHT,0.3952,0.058,0.5468
CLUBS THREE CLUBS TWO,0.5234,0.0982,0.3784
DIAMONDS NINE DIAMONDS FIVE,0.2572,0.1048,0.638
