opposingHand,winningChance,drawChance,lostChance
SPADES FIVE DIAMONDS SIX
HEARTS FIVE SPADES TEN,0.2868,0.0724,0.6408
HEARTS FIVE SPADES JACK,0.2876,0.0646,0.6478
CLUBS EIGHT CLUBS JACK,0.36,0.018,0.622
CLUBS TEN CLUBS EIGHT,0.3346,0.0226,0.6428
CLUBS EIGHT CLUBS KING,0.3582,0.0092,0.6326
CLUBS EIGHT CLUBS QUEEN,0.3498,0.0102,0.64
CLUBS EIGHT CLUBS ACE,0.3508,0.0048,0.6444
DIAMONDS TWO DIAMONDS THREE,0.5192,0.1414,0.3394
DIAMONDS TWO DIAMONDS FIVE,0.4884,0.2404,0.2712
HEARTS FIVE SPADES KING,0.289,0.0342,0.6768
DIAMONDS TWO DIAMONDS FOUR,0.5118,0.1462,0.342
HEARTS FIVE SPADES QUEEN,0.2966,0.042,0.6614
DIAMONDS TWO DIAMONDS SEVEN,0.4122,0.1004,0.4874
SPADES ACE HEARTS FIVE,0.261,0.0192,0.7198
DIAMONDS TWO DIAMONDS NINE,0.4022,0.0456,0.5522
DIAMONDS TWO DIAMONDS EIGHT,0.4162,0.0698,0.514
DIAMONDS THREE DIAMONDS FOUR,0.4906,0.1528,0.3566
SPADES FOUR CLUBS TWO,0.5392,0.1506,0.3102
DIAMONDS THREE DIAMONDS FIVE,0.4674,0.254,0.2786
CLUBS TWO SPADES TWO,0.3744,0.1318,0.4938
CLUBS TWO SPADES THREE,0.537,0.159,0.304
DIAMONDS THREE DIAMONDS EIGHT,0.429,0.0562,0.5148
SPADES EIGHT CLUBS TWO,0.4172,0.066,0.5168
DIAMONDS THREE DIAMONDS NINE,0.413,0.0388,0.5482
SPADES NINE CLUBS TWO,0.4288,0.0482,0.523
SPADES SIX CLUBS TWO,0.3554,0.435,0.2096
DIAMONDS THREE DIAMONDS SEVEN,0.3954,0.0956,0.509
SPADES SEVEN CLUBS TWO,0.4296,0.1036,0.4668
CLUBS SIX CLUBS TWO,0.3334,0.413,0.2536
CLUBS SEVEN CLUBS TWO,0.4088,0.1,0.4912
CLUBS FOUR CLUBS TWO,0.508,0.1356,0.3564
CLUBS FIVE CLUBS TWO,0.456,0.2594,0.2846
CLUBS TEN CLUBS JACK,0.3252,0.015,0.6598
CLUBS TEN CLUBS QUEEN,0.3474,0.0102,0.6424
DIAMONDS FOUR DIAMONDS SEVEN,0.3798,0.099,0.5212
CLUBS TEN CLUBS KING,0.3404,0.0072,0.6524
CLUBS TEN CLUBS ACE,0.3486,0.0024,0.649
CLUBS EIGHT CLUBS TWO,0.4062,0.0624,0.5314
DIAMONDS FIVE DIAMONDS FOUR,0.4744,0.26,0.2656
CLUBS NINE CLUBS TWO,0.4106,0.041,0.5484
DIAMONDS NINE DIAMONDS FOUR,0.4022,0.0452,0.5526
DIAMONDS FOUR DIAMONDS EIGHT,0.382,0.06,0.558
CLUBS THREE CLUBS TWO,0.506,0.1398,0.3542
DIAMONDS NINE DIAMONDS FIVE,0.2722,0.1012,0.6266
DIAMONDS TWO CLUBS JACK,0.4338,0.018,0.5482
DIAMONDS FIVE DIAMONDS EIGHT,0.2478,0.149,0.6032
CLUBS TEN DIAMONDS TWO,0.4328,0.029,0.5382
DIAMONDS FIVE DIAMONDS SEVEN,0.234,0.1916,0.5744
DIAMONDS TWO CLUBS ACE,0.4114,0.0056,0.583
DIAMONDS TWO CLUBS KING,0.4374,0.0086,0.554
DIAMONDS TWO CLUBS QUEEN,0.431,0.0138,0.5552
HEARTS ACE SPADES THREE,0.4232,0.006,0.5708
SPADES THREE HEARTS KING,0.4276,0.0108,0.5616
SPADES THREE HEARTS QUEEN,0.4418,0.0122,0.546
SPADES THREE HEARTS JACK,0.4194,0.0196,0.561
SPADES THREE HEARTS TEN,0.431,0.0342,0.5348
DIAMONDS EIGHT DIAMONDS SEVEN,0.325,0.0562,0.6188
DIAMONDS NINE DIAMONDS SEVEN,0.343,0.041,0.616
DIAMONDS NINE DIAMONDS EIGHT,0.3414,0.0388,0.6198
DIAMONDS KING HEARTS TEN,0.355,0.0064,0.6386
HEARTS THREE HEARTS TEN,0.409,0.0228,0.5682
SPADES JACK CLUBS SIX,0.2876,0.058,0.6544
DIAMONDS KING HEARTS JACK,0.3618,0.006,0.6322
HEARTS THREE HEARTS JACK,0.4064,0.0204,0.5732
SPADES TEN CLUBS SIX,0.2668,0.0804,0.6528
DIAMONDS KING HEARTS ACE,0.3748,0.0038,0.6214
HEARTS THREE HEARTS ACE,0.3902,0.0052,0.6046
SPADES ACE CLUBS SIX,0.2798,0.0232,0.697
DIAMONDS KING HEARTS QUEEN,0.3686,0.0066,0.6248
HEARTS THREE HEARTS QUEEN,0.41,0.0112,0.5788
SPADES KING CLUBS SIX,0.2728,0.037,0.6902
