opposingHand,winningChance,drawChance,lostChance
SPADES FIVE DIAMONDS TEN
HEARTS FIVE SPADES TEN,0.01,0.9716,0.0184
HEARTS FIVE SPADES JACK,0.2376,0.0612,0.7012
CLUBS EIGHT CLUBS JACK,0.3174,0.0182,0.6644
CLUBS TEN CLUBS EIGHT,0.2152,0.2206,0.5642
CLUBS EIGHT CLUBS KING,0.3252,0.008,0.6668
CLUBS EIGHT CLUBS QUEEN,0.3364,0.0098,0.6538
CLUBS EIGHT CLUBS ACE,0.336,0.0036,0.6604
DIAMONDS TWO DIAMONDS THREE,0.6112,0.0298,0.359
DIAMONDS TWO DIAMONDS FIVE,0.6482,0.0758,0.276
HEARTS FIVE SPADES KING,0.2328,0.0382,0.729
DIAMONDS TWO DIAMONDS FOUR,0.6088,0.0324,0.3588
HEARTS FIVE SPADES QUEEN,0.2388,0.047,0.7142
DIAMONDS TWO DIAMONDS SEVEN,0.5878,0.025,0.3872
DIAMONDS TWO DIAMONDS SIX,0.5812,0.027,0.3918
SPADES ACE HEARTS FIVE,0.2392,0.0262,0.7346
DIAMONDS TWO DIAMONDS NINE,0.5778,0.0274,0.3948
DIAMONDS TWO DIAMONDS EIGHT,0.5936,0.0266,0.3798
DIAMONDS THREE DIAMONDS FOUR,0.592,0.0258,0.3822
SPADES FOUR CLUBS TWO,0.6228,0.0318,0.3454
DIAMONDS THREE DIAMONDS FIVE,0.613,0.0848,0.3022
CLUBS TWO SPADES TWO,0.412,0.066,0.522
CLUBS TWO SPADES THREE,0.6176,0.032,0.3504
DIAMONDS THREE DIAMONDS EIGHT,0.6006,0.0302,0.3692
SPADES EIGHT CLUBS TWO,0.6116,0.033,0.3554
DIAMONDS THREE DIAMONDS NINE,0.5824,0.0322,0.3854
SPADES NINE CLUBS TWO,0.6112,0.0272,0.3616
DIAMONDS THREE DIAMONDS SIX,0.5712,0.0306,0.3982
SPADES SIX CLUBS TWO,0.625,0.0282,0.3468
DIAMONDS THREE DIAMONDS SEVEN,0.5844,0.0268,0.3888
SPADES SEVEN CLUBS TWO,0.6186,0.0294,0.352
CLUBS SIX CLUBS TWO,0.5658,0.0318,0.4024
CLUBS SEVEN CLUBS TWO,0.5852,0.0248,0.39
CLUBS FOUR CLUBS TWO,0.581,0.0278,0.3912
CLUBS FIVE CLUBS TWO,0.6342,0.0724,0.2934
CLUBS TEN CLUBS JACK,0.224,0.0572,0.7188
DIAMONDS FOUR DIAMONDS SIX,0.5606,0.027,0.4124
CLUBS TEN CLUBS QUEEN,0.2166,0.041,0.7424
DIAMONDS FOUR DIAMONDS SEVEN,0.578,0.0326,0.3894
CLUBS TEN CLUBS KING,0.2254,0.0374,0.7372
CLUBS TEN CLUBS ACE,0.2198,0.0246,0.7556
CLUBS EIGHT CLUBS TWO,0.5714,0.0252,0.4034
DIAMONDS FIVE DIAMONDS FOUR,0.607,0.0722,0.3208
CLUBS NINE CLUBS TWO,0.582,0.0256,0.3924
DIAMONDS NINE DIAMONDS FOUR,0.5828,0.027,0.3902
DIAMONDS EIGHT DIAMONDS FOUR,0.5914,0.0278,0.3808
CLUBS THREE CLUBS TWO,0.5904,0.0314,0.3782
DIAMONDS NINE DIAMONDS FIVE,0.6436,0.0752,0.2812
DIAMONDS TWO CLUBS JACK,0.3934,0.0194,0.5872
DIAMONDS EIGHT DIAMONDS FIVE,0.6312,0.0806,0.2882
CLUBS TEN DIAMONDS TWO,0.3248,0.4624,0.2128
DIAMONDS FIVE DIAMONDS SEVEN,0.618,0.075,0.307
DIAMONDS FIVE DIAMONDS SIX,0.6178,0.0716,0.3106
DIAMONDS TWO CLUBS ACE,0.388,0.0062,0.6058
DIAMONDS TWO CLUBS KING,0.401,0.0054,0.5936
DIAMONDS TWO CLUBS QUEEN,0.3986,0.0126,0.5888
DIAMONDS EIGHT DIAMONDS SIX,0.5254,0.0242,0.4504
DIAMONDS NINE DIAMONDS SIX,0.5536,0.0242,0.4222
HEARTS ACE SPADES THREE,0.384,0.0048,0.6112
SPADES THREE HEARTS KING,0.4036,0.0076,0.5888
DIAMONDS SEVEN DIAMONDS SIX,0.5216,0.0258,0.4526
SPADES THREE HEARTS QUEEN,0.3894,0.0126,0.598
SPADES THREE HEARTS JACK,0.404,0.015,0.581
SPADES THREE HEARTS TEN,0.3246,0.457,0.2184
DIAMONDS EIGHT DIAMONDS SEVEN,0.513,0.025,0.462
DIAMONDS NINE DIAMONDS SEVEN,0.5354,0.0294,0.4352
DIAMONDS NINE DIAMONDS EIGHT,0.5108,0.0252,0.464
DIAMONDS KING HEARTS TEN,0.2202,0.041,0.7388
HEARTS THREE HEARTS TEN,0.2988,0.4268,0.2744
SPADES JACK CLUBS SIX,0.3538,0.0162,0.63
DIAMONDS KING HEARTS JACK,0.3016,0.0082,0.6902
HEARTS THREE HEARTS JACK,0.3618,0.0206,0.6176
SPADES TEN CLUBS SIX,0.2184,0.3752,0.4064
DIAMONDS KING HEARTS ACE,0.3298,0.003,0.6672
HEARTS THREE HEARTS ACE,0.3524,0.0046,0.643
SPADES ACE CLUBS SIX,0.3628,0.0054,0.6318
DIAMONDS KING HEARTS QUEEN,0.3208,0.0058,0.6734
HEARTS THREE HEARTS QUEEN,0.3702,0.0122,0.6176
SPADES KING CLUBS SIX,0.369,0.0068,0.6242
DIAMONDS KING HEARTS KING,0.1358,0.0136,0.8506
HEARTS THREE HEARTS KING,0.3676,0.0066,0.6258
SPADES QUEEN CLUBS SIX,0.3672,0.0096,0.6232
SPADES NINE HEARTS TEN,0.2258,0.1684,0.6058
SPADES NINE HEARTS JACK,0.3208,0.0168,0.6624
SPADES NINE HEARTS QUEEN,0.3384,0.0112,0.6504
SPADES NINE HEARTS KING,0.3412,0.0074,0.6514
SPADES NINE HEARTS ACE,0.3526,0.0048,0.6426
CLUBS TEN SPADES JACK,0.2252,0.0614,0.7134
CLUBS TEN SPADES TEN,0.085,0.0566,0.8584
SPADES ACE CLUBS TEN,0.2194,0.0244,0.7562
SPADES KING CLUBS TEN,0.2182,0.0334,0.7484
CLUBS TEN SPADES QUEEN,0.2222,0.0488,0.729
CLUBS EIGHT SPADES TEN,0.2072,0.2348,0.558
SPADES JACK HEARTS THREE,0.3908,0.0184,0.5908
SPADES JACK DIAMONDS KING,0.3,0.008,0.692
SPADES TEN DIAMONDS KING,0.2116,0.0358,0.7526
SPADES TEN HEARTS THREE,0.324,0.4576,0.2184
SPADES JACK CLUBS EIGHT,0.3374,0.0164,0.6462
CLUBS SIX HEARTS ACE,0.3482,0.0036,0.6482
SPADES ACE CLUBS EIGHT,0.352,0.0046,0.6434
HEARTS FIVE CLUBS JACK,0.2274,0.0634,0.7092
HEARTS FIVE CLUBS TEN,0.0208,0.955,0.0242
CLUBS SIX HEARTS QUEEN,0.3556,0.012,0.6324
SPADES QUEEN CLUBS EIGHT,0.3444,0.0098,0.6458
CLUBS TEN SPADES THREE,0.323,0.4654,0.2116
CLUBS SIX HEARTS KING,0.3604,0.006,0.6336
SPADES KING CLUBS EIGHT,0.3444,0.0074,0.6482
SPADES THREE CLUBS JACK,0.3962,0.0166,0.5872
DIAMONDS TWO HEARTS JACK,0.407,0.0166,0.5764
SPADES THREE CLUBS QUEEN,0.398,0.0118,0.5902
DIAMONDS TWO HEARTS TEN,0.313,0.4658,0.2212
SPADES THREE CLUBS KING,0.3898,0.0076,0.6026
HEARTS FIVE CLUBS ACE,0.249,0.0252,0.7258
SPADES THREE CLUBS ACE,0.392,0.004,0.604
HEARTS FIVE CLUBS KING,0.2376,0.0344,0.728
HEARTS FIVE CLUBS QUEEN,0.2372,0.053,0.7098
HEARTS THREE CLUBS KING,0.3974,0.008,0.5946
DIAMONDS KING CLUBS KING,0.1314,0.011,0.8576
HEARTS THREE CLUBS QUEEN,0.3926,0.014,0.5934
DIAMONDS KING CLUBS QUEEN,0.3058,0.007,0.6872
HEARTS FIVE HEARTS JACK,0.227,0.0598,0.7132
HEARTS FIVE HEARTS TEN,0.0184,0.9088,0.0728
HEARTS THREE CLUBS ACE,0.3794,0.0054,0.6152
DIAMONDS KING CLUBS ACE,0.3218,0.005,0.6732
SPADES ACE CLUBS QUEEN,0.333,0.0044,0.6626
SPADES KING CLUBS QUEEN,0.309,0.0086,0.6824
HEARTS THREE CLUBS JACK,0.3904,0.0162,0.5934
DIAMONDS KING CLUBS JACK,0.298,0.0056,0.6964
SPADES QUEEN CLUBS QUEEN,0.1358,0.018,0.8462
CLUBS TEN HEARTS THREE,0.3172,0.4576,0.2252
CLUBS TEN DIAMONDS KING,0.2312,0.0374,0.7314
SPADES JACK CLUBS QUEEN,0.3074,0.0102,0.6824
CLUBS SIX CLUBS QUEEN,0.345,0.011,0.644
SPADES TEN CLUBS QUEEN,0.229,0.0432,0.7278
CLUBS SIX CLUBS KING,0.3368,0.0076,0.6556
CLUBS SIX CLUBS ACE,0.3362,0.0034,0.6604
HEARTS FIVE HEARTS KING,0.2186,0.0342,0.7472
HEARTS FIVE HEARTS QUEEN,0.2354,0.0468,0.7178
CLUBS TEN CLUBS SIX,0.2096,0.3568,0.4336
HEARTS FIVE HEARTS ACE,0.22,0.0242,0.7558
CLUBS SIX CLUBS JACK,0.3366,0.019,0.6444
SPADES SEVEN HEARTS JACK,0.3532,0.0178,0.629
SPADES SEVEN HEARTS TEN,0.2202,0.304,0.4758
DIAMONDS TWO CLUBS TWO,0.397,0.0686,0.5344
DIAMONDS TWO CLUBS THREE,0.6246,0.0322,0.3432
DIAMONDS TWO HEARTS SIX,0.6282,0.0288,0.343
DIAMONDS TWO HEARTS QUEEN,0.4062,0.0146,0.5792
HEARTS SEVEN DIAMONDS TWO,0.6296,0.026,0.3444
DIAMONDS TWO HEARTS KING,0.3994,0.009,0.5916
DIAMONDS TWO HEARTS EIGHT,0.633,0.0282,0.3388
DIAMONDS TWO HEARTS ACE,0.3896,0.0028,0.6076
DIAMONDS TWO HEARTS NINE,0.6178,0.0272,0.355
DIAMONDS TWO DIAMONDS QUEEN,0.3796,0.0134,0.607
DIAMONDS TWO HEARTS TWO,0.3994,0.0618,0.5388
DIAMONDS TWO DIAMONDS KING,0.3872,0.007,0.6058
DIAMONDS TWO HEARTS THREE,0.6352,0.0282,0.3366
DIAMONDS TWO DIAMONDS ACE,0.3608,0.0052,0.634
HEARTS FOUR DIAMONDS TWO,0.622,0.0284,0.3496
HEARTS FIVE DIAMONDS TWO,0.6682,0.0838,0.248
SPADES SEVEN HEARTS ACE,0.3506,0.0044,0.645
SPADES SEVEN HEARTS KING,0.3518,0.007,0.6412
DIAMONDS TWO DIAMONDS JACK,0.381,0.0196,0.5994
SPADES SEVEN HEARTS QUEEN,0.3546,0.0112,0.6342
DIAMONDS TWO SPADES NINE,0.6304,0.0296,0.34
DIAMONDS TWO SPADES EIGHT,0.6032,0.033,0.3638
DIAMONDS TWO SPADES SEVEN,0.6322,0.0258,0.342
DIAMONDS TWO SPADES SIX,0.618,0.0292,0.3528
DIAMONDS TWO SPADES FOUR,0.6342,0.0298,0.336
DIAMONDS TWO SPADES THREE,0.6292,0.0326,0.3382
DIAMONDS TWO SPADES TWO,0.4104,0.0626,0.527
CLUBS NINE DIAMONDS TWO,0.6146,0.0302,0.3552
DIAMONDS TWO CLUBS EIGHT,0.6182,0.0284,0.3534
CLUBS SEVEN DIAMONDS TWO,0.622,0.0294,0.3486
DIAMONDS TWO CLUBS SIX,0.619,0.0276,0.3534
DIAMONDS TWO CLUBS FIVE,0.659,0.0856,0.2554
DIAMONDS TWO CLUBS FOUR,0.63,0.0324,0.3376
CLUBS FOUR SPADES FOUR,0.3964,0.0656,0.538
CLUBS FOUR SPADES THREE,0.626,0.0278,0.3462
CLUBS FOUR SPADES TWO,0.6258,0.0318,0.3424
SPADES NINE CLUBS FOUR,0.6192,0.027,0.3538
SPADES EIGHT CLUBS FOUR,0.6092,0.0292,0.3616
SPADES SEVEN CLUBS FOUR,0.5974,0.0304,0.3722
CLUBS FOUR SPADES SIX,0.5784,0.023,0.3986
SPADES ACE DIAMONDS SIX,0.35,0.0034,0.6466
SPADES QUEEN DIAMONDS SIX,0.3544,0.0106,0.635
SPADES KING DIAMONDS SIX,0.3642,0.0074,0.6284
SPADES TEN DIAMONDS SIX,0.2114,0.3892,0.3994
SPADES JACK DIAMONDS SIX,0.3654,0.0212,0.6134
SPADES QUEEN SPADES TWO,0.3814,0.013,0.6056
SPADES KING SPADES TWO,0.385,0.0084,0.6066
SPADES ACE SPADES TWO,0.3716,0.0064,0.622
DIAMONDS JACK CLUBS JACK,0.1446,0.023,0.8324
CLUBS TEN DIAMONDS JACK,0.2156,0.0536,0.7308
DIAMONDS JACK CLUBS KING,0.3198,0.0072,0.673
DIAMONDS JACK CLUBS QUEEN,0.3062,0.0076,0.6862
DIAMONDS THREE DIAMONDS JACK,0.373,0.018,0.609
DIAMONDS JACK CLUBS ACE,0.3188,0.0044,0.6768
DIAMONDS THREE DIAMONDS KING,0.371,0.0108,0.6182
DIAMONDS THREE HEARTS THREE,0.3912,0.0616,0.5472
DIAMONDS THREE DIAMONDS QUEEN,0.3792,0.014,0.6068
DIAMONDS THREE HEARTS TWO,0.6306,0.0366,0.3328
HEARTS FIVE DIAMONDS THREE,0.646,0.0882,0.2658
DIAMONDS THREE DIAMONDS ACE,0.3694,0.0052,0.6254
