opposingHand,winningChance,drawChance,lostChance
SPADES FIVE HEARTS KING
HEARTS FIVE SPADES TEN,0.7346,0.0376,0.2278
SPADES JACK HEARTS FIVE,0.7354,0.0412,0.2234
CLUBS EIGHT CLUBS JACK,0.541,0.0098,0.4492
CLUBS TEN CLUBS EIGHT,0.5294,0.0058,0.4648
CLUBS EIGHT CLUBS KING,0.2314,0.218,0.5506
CLUBS EIGHT CLUBS QUEEN,0.5436,0.008,0.4484
CLUBS EIGHT CLUBS ACE,0.3394,0.0044,0.6562
DIAMONDS TWO DIAMONDS THREE,0.6106,0.0088,0.3806
DIAMONDS TWO DIAMONDS FIVE,0.664,0.04,0.296
SPADES KING HEARTS FIVE,0.0064,0.988,0.0056
DIAMONDS TWO DIAMONDS FOUR,0.6114,0.0088,0.3798
SPADES QUEEN HEARTS FIVE,0.7248,0.046,0.2292
DIAMONDS TWO DIAMONDS SEVEN,0.6018,0.0086,0.3896
DIAMONDS TWO DIAMONDS SIX,0.6002,0.0086,0.3912
SPADES ACE HEARTS FIVE,0.2314,0.0316,0.737
DIAMONDS TWO DIAMONDS NINE,0.5814,0.0076,0.411
DIAMONDS TWO DIAMONDS EIGHT,0.5964,0.0058,0.3978
DIAMONDS THREE DIAMONDS FOUR,0.5864,0.0086,0.405
SPADES FOUR CLUBS TWO,0.6478,0.0088,0.3434
DIAMONDS THREE DIAMONDS FIVE,0.6564,0.0374,0.3062
CLUBS TWO SPADES TWO,0.4576,0.018,0.5244
CLUBS TWO SPADES THREE,0.653,0.0104,0.3366
DIAMONDS THREE DIAMONDS EIGHT,0.598,0.0078,0.3942
SPADES EIGHT CLUBS TWO,0.629,0.0088,0.3622
DIAMONDS THREE DIAMONDS NINE,0.5982,0.0074,0.3944
SPADES NINE CLUBS TWO,0.6274,0.0072,0.3654
DIAMONDS THREE DIAMONDS SIX,0.5904,0.0086,0.401
SPADES SIX CLUBS TWO,0.623,0.0102,0.3668
DIAMONDS THREE DIAMONDS SEVEN,0.5906,0.0074,0.402
SPADES SEVEN CLUBS TWO,0.6482,0.007,0.3448
CLUBS SIX CLUBS TWO,0.5996,0.0068,0.3936
CLUBS SEVEN CLUBS TWO,0.5982,0.0074,0.3944
CLUBS FOUR CLUBS TWO,0.603,0.0098,0.3872
CLUBS FIVE CLUBS TWO,0.6646,0.0384,0.297
CLUBS TEN CLUBS JACK,0.5208,0.0096,0.4696
DIAMONDS FOUR DIAMONDS SIX,0.5646,0.007,0.4284
CLUBS TEN CLUBS QUEEN,0.5212,0.0068,0.472
DIAMONDS FOUR DIAMONDS SEVEN,0.5688,0.0062,0.425
CLUBS TEN CLUBS KING,0.2252,0.115,0.6598
CLUBS TEN CLUBS ACE,0.327,0.0028,0.6702
CLUBS EIGHT CLUBS TWO,0.591,0.0084,0.4006
DIAMONDS FIVE DIAMONDS FOUR,0.635,0.0402,0.3248
CLUBS NINE CLUBS TWO,0.5858,0.0088,0.4054
DIAMONDS NINE DIAMONDS FOUR,0.593,0.0084,0.3986
DIAMONDS EIGHT DIAMONDS FOUR,0.5942,0.0078,0.398
CLUBS THREE CLUBS TWO,0.6144,0.0092,0.3764
DIAMONDS NINE DIAMONDS FIVE,0.6616,0.0352,0.3032
DIAMONDS TWO CLUBS JACK,0.6362,0.0074,0.3564
DIAMONDS EIGHT DIAMONDS FIVE,0.65,0.0374,0.3126
CLUBS TEN DIAMONDS TWO,0.6338,0.0064,0.3598
DIAMONDS FIVE DIAMONDS SEVEN,0.634,0.0364,0.3296
DIAMONDS FIVE DIAMONDS SIX,0.6304,0.034,0.3356
DIAMONDS TWO CLUBS ACE,0.388,0.0048,0.6072
DIAMONDS TWO CLUBS KING,0.3224,0.4496,0.228
DIAMONDS TWO CLUBS QUEEN,0.6376,0.0064,0.356
