opposingHand,winningChance,drawChance,lostChance
SPADES FIVE HEARTS NINE
HEARTS FIVE SPADES TEN,0.2492,0.0884,0.6624
SPADES JACK HEARTS FIVE,0.252,0.0642,0.6838
CLUBS EIGHT CLUBS JACK,0.3278,0.0148,0.6574
CLUBS TEN CLUBS EIGHT,0.3086,0.0248,0.6666
CLUBS EIGHT CLUBS KING,0.3446,0.0092,0.6462
CLUBS EIGHT CLUBS QUEEN,0.3406,0.012,0.6474
CLUBS EIGHT CLUBS ACE,0.3416,0.0038,0.6546
DIAMONDS TWO DIAMONDS THREE,0.5678,0.041,0.3912
DIAMONDS TWO DIAMONDS FIVE,0.594,0.1124,0.2936
SPADES KING HEARTS FIVE,0.2472,0.0394,0.7134
DIAMONDS TWO DIAMONDS FOUR,0.566,0.0456,0.3884
SPADES QUEEN HEARTS FIVE,0.2506,0.0456,0.7038
DIAMONDS TWO DIAMONDS SEVEN,0.5762,0.044,0.3798
DIAMONDS TWO DIAMONDS SIX,0.565,0.044,0.391
SPADES ACE HEARTS FIVE,0.246,0.0232,0.7308
DIAMONDS TWO DIAMONDS NINE,0.304,0.417,0.279
DIAMONDS TWO DIAMONDS EIGHT,0.5716,0.0418,0.3866
DIAMONDS THREE DIAMONDS FOUR,0.5526,0.0448,0.4026
SPADES FOUR CLUBS TWO,0.615,0.0476,0.3374
DIAMONDS THREE DIAMONDS FIVE,0.5734,0.113,0.3136
CLUBS TWO SPADES TWO,0.3998,0.0846,0.5156
CLUBS TWO SPADES THREE,0.6274,0.0478,0.3248
DIAMONDS THREE DIAMONDS EIGHT,0.5738,0.0442,0.382
SPADES EIGHT CLUBS TWO,0.609,0.044,0.347
DIAMONDS THREE DIAMONDS NINE,0.3152,0.4268,0.258
SPADES NINE CLUBS TWO,0.3334,0.4556,0.211
DIAMONDS THREE DIAMONDS SIX,0.5586,0.0426,0.3988
SPADES SIX CLUBS TWO,0.613,0.0426,0.3444
DIAMONDS THREE DIAMONDS SEVEN,0.574,0.0446,0.3814
SPADES SEVEN CLUBS TWO,0.6258,0.0374,0.3368
CLUBS SIX CLUBS TWO,0.5708,0.0396,0.3896
CLUBS SEVEN CLUBS TWO,0.5752,0.0426,0.3822
CLUBS FOUR CLUBS TWO,0.5794,0.042,0.3786
CLUBS FIVE CLUBS TWO,0.5874,0.1082,0.3044
CLUBS TEN CLUBS JACK,0.279,0.0122,0.7088
DIAMONDS FOUR DIAMONDS SIX,0.549,0.0432,0.4078
CLUBS TEN CLUBS QUEEN,0.3166,0.0108,0.6726
DIAMONDS FOUR DIAMONDS SEVEN,0.5558,0.042,0.4022
CLUBS TEN CLUBS KING,0.3144,0.0064,0.6792
CLUBS TEN CLUBS ACE,0.3212,0.0046,0.6742
CLUBS EIGHT CLUBS TWO,0.5844,0.0356,0.38
DIAMONDS FIVE DIAMONDS FOUR,0.581,0.101,0.318
CLUBS NINE CLUBS TWO,0.3094,0.4238,0.2668
DIAMONDS NINE DIAMONDS FOUR,0.3132,0.437,0.2498
DIAMONDS EIGHT DIAMONDS FOUR,0.5602,0.0402,0.3996
CLUBS THREE CLUBS TWO,0.5792,0.0474,0.3734
DIAMONDS NINE DIAMONDS FIVE,0.0212,0.9064,0.0724
DIAMONDS TWO CLUBS JACK,0.4104,0.018,0.5716
DIAMONDS EIGHT DIAMONDS FIVE,0.606,0.0962,0.2978
CLUBS TEN DIAMONDS TWO,0.4182,0.0246,0.5572
DIAMONDS FIVE DIAMONDS SEVEN,0.579,0.1042,0.3168
DIAMONDS FIVE DIAMONDS SIX,0.5798,0.1062,0.314
DIAMONDS TWO CLUBS ACE,0.386,0.0044,0.6096
DIAMONDS TWO CLUBS KING,0.4092,0.0064,0.5844
DIAMONDS TWO CLUBS QUEEN,0.402,0.0126,0.5854
DIAMONDS EIGHT DIAMONDS SIX,0.517,0.0418,0.4412
DIAMONDS NINE DIAMONDS SIX,0.2002,0.3618,0.438
HEARTS ACE SPADES THREE,0.3956,0.0056,0.5988
SPADES THREE HEARTS KING,0.4024,0.0076,0.59
DIAMONDS SEVEN DIAMONDS SIX,0.5168,0.039,0.4442
SPADES THREE HEARTS QUEEN,0.3968,0.0096,0.5936
SPADES THREE HEARTS JACK,0.4156,0.0228,0.5616
SPADES THREE HEARTS TEN,0.3982,0.0308,0.571
DIAMONDS EIGHT DIAMONDS SEVEN,0.51,0.0344,0.4556
DIAMONDS NINE DIAMONDS SEVEN,0.202,0.2682,0.5298
DIAMONDS NINE DIAMONDS EIGHT,0.2296,0.2134,0.557
DIAMONDS KING HEARTS TEN,0.3266,0.0052,0.6682
HEARTS THREE HEARTS TEN,0.3782,0.0276,0.5942
SPADES JACK CLUBS SIX,0.3574,0.021,0.6216
DIAMONDS KING HEARTS JACK,0.3186,0.0064,0.675
HEARTS THREE HEARTS JACK,0.3782,0.0184,0.6034
SPADES TEN CLUBS SIX,0.3626,0.028,0.6094
DIAMONDS KING HEARTS ACE,0.3378,0.003,0.6592
HEARTS THREE HEARTS ACE,0.3608,0.0064,0.6328
SPADES ACE CLUBS SIX,0.3516,0.0046,0.6438
DIAMONDS KING HEARTS QUEEN,0.3232,0.0066,0.6702
HEARTS THREE HEARTS QUEEN,0.3804,0.0136,0.606
SPADES KING CLUBS SIX,0.361,0.0082,0.6308
DIAMONDS KING HEARTS KING,0.1452,0.0142,0.8406
HEARTS THREE HEARTS KING,0.3764,0.0102,0.6134
SPADES QUEEN CLUBS SIX,0.369,0.0092,0.6218
SPADES NINE HEARTS TEN,0.2112,0.0756,0.7132
SPADES NINE HEARTS JACK,0.2324,0.0628,0.7048
SPADES NINE HEARTS QUEEN,0.2392,0.0456,0.7152
SPADES NINE HEARTS KING,0.2352,0.0368,0.728
SPADES NINE HEARTS ACE,0.2378,0.0278,0.7344
CLUBS TEN SPADES JACK,0.3174,0.017,0.6656
CLUBS TEN SPADES TEN,0.1566,0.0388,0.8046
SPADES ACE CLUBS TEN,0.3366,0.005,0.6584
SPADES KING CLUBS TEN,0.3266,0.0076,0.6658
CLUBS TEN SPADES QUEEN,0.3268,0.0096,0.6636
CLUBS EIGHT SPADES TEN,0.3458,0.0234,0.6308
HEARTS THREE SPADES JACK,0.401,0.0194,0.5796
SPADES JACK DIAMONDS KING,0.3282,0.0072,0.6646
SPADES TEN DIAMONDS KING,0.3228,0.0054,0.6718
HEARTS THREE SPADES TEN,0.3918,0.029,0.5792
SPADES JACK CLUBS EIGHT,0.3402,0.0146,0.6452
CLUBS SIX HEARTS ACE,0.3734,0.0042,0.6224
SPADES ACE CLUBS EIGHT,0.3564,0.004,0.6396
HEARTS FIVE CLUBS JACK,0.2464,0.0644,0.6892
CLUBS TEN HEARTS FIVE,0.254,0.0838,0.6622
CLUBS SIX HEARTS QUEEN,0.3712,0.0122,0.6166
SPADES QUEEN CLUBS EIGHT,0.3648,0.0106,0.6246
CLUBS TEN SPADES THREE,0.4058,0.0238,0.5704
CLUBS SIX HEARTS KING,0.3564,0.0084,0.6352
SPADES KING CLUBS EIGHT,0.3626,0.0056,0.6318
SPADES THREE CLUBS JACK,0.4166,0.02,0.5634
DIAMONDS TWO HEARTS JACK,0.397,0.0166,0.5864
SPADES THREE CLUBS QUEEN,0.4112,0.0132,0.5756
DIAMONDS TWO HEARTS TEN,0.4028,0.0296,0.5676
SPADES THREE CLUBS KING,0.4032,0.0086,0.5882
HEARTS FIVE CLUBS ACE,0.2552,0.0244,0.7204
SPADES THREE CLUBS ACE,0.3934,0.0044,0.6022
HEARTS FIVE CLUBS KING,0.2514,0.0388,0.7098
HEARTS FIVE CLUBS QUEEN,0.2582,0.0506,0.6912
HEARTS THREE CLUBS KING,0.407,0.0088,0.5842
DIAMONDS KING CLUBS KING,0.1512,0.0106,0.8382
HEARTS THREE CLUBS QUEEN,0.4042,0.013,0.5828
DIAMONDS KING CLUBS QUEEN,0.3434,0.0052,0.6514
HEARTS FIVE HEARTS JACK,0.2316,0.064,0.7044
