opposingHand,winningChance,drawChance,lostChance
SPADES FIVE SPADES FOUR
HEARTS FIVE SPADES TEN,0.3192,0.081,0.5998
SPADES JACK HEARTS FIVE,0.3288,0.0662,0.605
CLUBS EIGHT CLUBS JACK,0.3936,0.0134,0.593
CLUBS EIGHT CLUBS TEN,0.3828,0.0228,0.5944
CLUBS EIGHT CLUBS KING,0.392,0.0094,0.5986
CLUBS EIGHT CLUBS QUEEN,0.3918,0.0128,0.5954
CLUBS EIGHT CLUBS ACE,0.3948,0.0054,0.5998
DIAMONDS TWO DIAMONDS THREE,0.4722,0.2066,0.3212
DIAMONDS TWO DIAMONDS FIVE,0.3154,0.4398,0.2448
SPADES KING HEARTS FIVE,0.32,0.04,0.64
DIAMONDS TWO DIAMONDS FOUR,0.4236,0.333,0.2434
SPADES QUEEN HEARTS FIVE,0.312,0.0452,0.6428
DIAMONDS TWO DIAMONDS SEVEN,0.4486,0.0912,0.4602
DIAMONDS TWO DIAMONDS SIX,0.4386,0.1356,0.4258
SPADES ACE HEARTS FIVE,0.302,0.026,0.672
DIAMONDS TWO DIAMONDS NINE,0.4254,0.0406,0.534
DIAMONDS TWO DIAMONDS EIGHT,0.4266,0.058,0.5154
DIAMONDS THREE DIAMONDS FOUR,0.4216,0.3152,0.2632
DIAMONDS THREE DIAMONDS FIVE,0.282,0.4624,0.2556
CLUBS TWO SPADES TWO,0.395,0.1432,0.4618
CLUBS TWO SPADES THREE,0.5046,0.2258,0.2696
DIAMONDS THREE DIAMONDS EIGHT,0.4314,0.0584,0.5102
SPADES EIGHT CLUBS TWO,0.456,0.0662,0.4778
DIAMONDS THREE DIAMONDS NINE,0.4236,0.042,0.5344
SPADES NINE CLUBS TWO,0.4516,0.0498,0.4986
DIAMONDS THREE DIAMONDS SIX,0.4212,0.1376,0.4412
CLUBS TWO SPADES SIX,0.4482,0.147,0.4048
DIAMONDS THREE DIAMONDS SEVEN,0.4196,0.0874,0.493
CLUBS TWO SPADES SEVEN,0.441,0.0996,0.4594
CLUBS SIX CLUBS TWO,0.4228,0.135,0.4422
CLUBS SEVEN CLUBS TWO,0.4464,0.0894,0.4642
CLUBS FOUR CLUBS TWO,0.4214,0.3244,0.2542
CLUBS FIVE CLUBS TWO,0.3198,0.4306,0.2496
CLUBS JACK CLUBS TEN,0.393,0.0116,0.5954
DIAMONDS FOUR DIAMONDS SIX,0.2776,0.2538,0.4686
CLUBS QUEEN CLUBS TEN,0.3928,0.009,0.5982
DIAMONDS FOUR DIAMONDS SEVEN,0.2856,0.1806,0.5338
CLUBS KING CLUBS TEN,0.375,0.0106,0.6144
CLUBS ACE CLUBS TEN,0.3826,0.0062,0.6112
CLUBS EIGHT CLUBS TWO,0.4368,0.0582,0.505
DIAMONDS FIVE DIAMONDS FOUR,0.0766,0.8492,0.0742
CLUBS NINE CLUBS TWO,0.4334,0.044,0.5226
DIAMONDS NINE DIAMONDS FOUR,0.3094,0.097,0.5936
DIAMONDS EIGHT DIAMONDS FOUR,0.308,0.1338,0.5582
CLUBS TWO CLUBS THREE,0.4738,0.2042,0.322
DIAMONDS NINE DIAMONDS FIVE,0.295,0.0904,0.6146
DIAMONDS TWO CLUBS JACK,0.4646,0.0206,0.5148
DIAMONDS EIGHT DIAMONDS FIVE,0.2854,0.1416,0.573
DIAMONDS TWO CLUBS TEN,0.476,0.029,0.495
DIAMONDS FIVE DIAMONDS SEVEN,0.287,0.1798,0.5332
DIAMONDS FIVE DIAMONDS SIX,0.2694,0.2402,0.4904
DIAMONDS TWO CLUBS ACE,0.4566,0.0058,0.5376
DIAMONDS TWO CLUBS KING,0.4616,0.0102,0.5282
DIAMONDS TWO CLUBS QUEEN,0.4696,0.0164,0.514
DIAMONDS EIGHT DIAMONDS SIX,0.3704,0.0518,0.5778
DIAMONDS NINE DIAMONDS SIX,0.3762,0.0416,0.5822
SPADES THREE HEARTS ACE,0.44,0.0064,0.5536
HEARTS KING SPADES THREE,0.4532,0.0066,0.5402
DIAMONDS SEVEN DIAMONDS SIX,0.3684,0.09,0.5416
SPADES THREE HEARTS QUEEN,0.4476,0.0142,0.5382
SPADES THREE HEARTS JACK,0.455,0.0244,0.5206
SPADES THREE HEARTS TEN,0.4468,0.0284,0.5248
DIAMONDS EIGHT DIAMONDS SEVEN,0.3742,0.0528,0.573
DIAMONDS NINE DIAMONDS SEVEN,0.3692,0.038,0.5928
DIAMONDS NINE DIAMONDS EIGHT,0.3616,0.0392,0.5992
DIAMONDS KING HEARTS TEN,0.404,0.0068,0.5892
HEARTS THREE HEARTS TEN,0.436,0.0332,0.5308
CLUBS SIX SPADES JACK,0.402,0.0186,0.5794
DIAMONDS KING HEARTS JACK,0.4234,0.0056,0.571
HEARTS THREE HEARTS JACK,0.4292,0.017,0.5538
CLUBS SIX SPADES TEN,0.4078,0.03,0.5622
DIAMONDS KING HEARTS ACE,0.4106,0.0058,0.5836
HEARTS THREE HEARTS ACE,0.4296,0.0066,0.5638
SPADES ACE CLUBS SIX,0.4048,0.0046,0.5906
DIAMONDS KING HEARTS QUEEN,0.428,0.0088,0.5632
HEARTS THREE HEARTS QUEEN,0.4348,0.0142,0.551
SPADES KING CLUBS SIX,0.4042,0.0084,0.5874
DIAMONDS KING HEARTS KING,0.2314,0.02,0.7486
HEARTS THREE HEARTS KING,0.432,0.0092,0.5588
SPADES QUEEN CLUBS SIX,0.4162,0.0106,0.5732
SPADES NINE HEARTS TEN,0.367,0.0258,0.6072
SPADES NINE HEARTS JACK,0.3884,0.0172,0.5944
SPADES NINE HEARTS QUEEN,0.391,0.0122,0.5968
SPADES NINE HEARTS KING,0.393,0.0078,0.5992
SPADES NINE HEARTS ACE,0.3908,0.0068,0.6024
SPADES JACK CLUBS TEN,0.395,0.017,0.588
SPADES TEN CLUBS TEN,0.2106,0.068,0.7214
SPADES ACE CLUBS TEN,0.3928,0.0052,0.602
SPADES KING CLUBS TEN,0.387,0.006,0.607
SPADES QUEEN CLUBS TEN,0.387,0.0114,0.6016
CLUBS EIGHT SPADES TEN,0.3794,0.0242,0.5964
HEARTS THREE SPADES JACK,0.4416,0.0232,0.5352
SPADES JACK DIAMONDS KING,0.3966,0.0086,0.5948
SPADES TEN DIAMONDS KING,0.4006,0.0102,0.5892
HEARTS THREE SPADES TEN,0.4406,0.0284,0.531
CLUBS EIGHT SPADES JACK,0.3954,0.0182,0.5864
SPADES ACE CLUBS EIGHT,0.4012,0.006,0.5928
HEARTS FIVE CLUBS JACK,0.33,0.0604,0.6096
CLUBS SIX HEARTS ACE,0.4152,0.0056,0.5792
HEARTS FIVE CLUBS TEN,0.3316,0.077,0.5914
CLUBS EIGHT SPADES QUEEN,0.4028,0.0104,0.5868
SPADES THREE CLUBS TEN,0.4402,0.0274,0.5324
