opposingHand,winningChance,drawChance,lostChance
SPADES FOUR DIAMONDS EIGHT
HEARTS FIVE SPADES TEN,0.3592,0.0268,0.614
HEARTS FIVE SPADES JACK,0.3674,0.0206,0.612
SPADES FIVE CLUBS JACK,0.3532,0.0188,0.628
CLUBS TEN SPADES FIVE,0.36,0.0246,0.6154
CLUBS EIGHT CLUBS JACK,0.2268,0.0624,0.7108
CLUBS TEN CLUBS EIGHT,0.2256,0.0742,0.7002
CLUBS EIGHT CLUBS KING,0.2272,0.0286,0.7442
SPADES FIVE CLUBS ACE,0.3438,0.0036,0.6526
CLUBS EIGHT CLUBS QUEEN,0.2336,0.0446,0.7218
SPADES FIVE CLUBS KING,0.3546,0.0082,0.6372
SPADES FIVE CLUBS QUEEN,0.3676,0.014,0.6184
CLUBS EIGHT CLUBS ACE,0.2342,0.0252,0.7406
DIAMONDS TWO DIAMONDS THREE,0.551,0.0752,0.3738
DIAMONDS TWO DIAMONDS FIVE,0.5404,0.0652,0.3944
HEARTS FIVE SPADES KING,0.3706,0.0086,0.6208
DIAMONDS TWO DIAMONDS FOUR,0.5746,0.1426,0.2828
HEARTS FIVE SPADES QUEEN,0.3534,0.0122,0.6344
DIAMONDS TWO DIAMONDS SEVEN,0.5702,0.0682,0.3616
DIAMONDS TWO DIAMONDS SIX,0.5728,0.0656,0.3616
SPADES ACE HEARTS FIVE,0.3536,0.0072,0.6392
DIAMONDS TWO DIAMONDS NINE,0.375,0.0444,0.5806
DIAMONDS THREE DIAMONDS FOUR,0.5662,0.1502,0.2836
DIAMONDS THREE DIAMONDS FIVE,0.5284,0.0708,0.4008
SPADES FIVE CLUBS TWO,0.5622,0.0678,0.37
CLUBS TWO SPADES TWO,0.3514,0.0994,0.5492
CLUBS TWO SPADES THREE,0.5912,0.0698,0.339
SPADES EIGHT CLUBS TWO,0.2728,0.5114,0.2158
DIAMONDS THREE DIAMONDS NINE,0.3832,0.0368,0.58
SPADES NINE CLUBS TWO,0.4072,0.0452,0.5476
DIAMONDS THREE DIAMONDS SIX,0.5508,0.0678,0.3814
SPADES SIX CLUBS TWO,0.5826,0.063,0.3544
DIAMONDS THREE DIAMONDS SEVEN,0.561,0.0658,0.3732
SPADES SEVEN CLUBS TWO,0.5814,0.0704,0.3482
CLUBS SIX CLUBS TWO,0.5374,0.064,0.3986
CLUBS SEVEN CLUBS TWO,0.562,0.065,0.373
CLUBS FOUR CLUBS TWO,0.5744,0.134,0.2916
CLUBS FIVE CLUBS TWO,0.5382,0.0648,0.397
CLUBS TEN CLUBS JACK,0.3086,0.014,0.6774
DIAMONDS FOUR DIAMONDS SIX,0.5716,0.1336,0.2948
CLUBS TEN CLUBS QUEEN,0.3144,0.01,0.6756
DIAMONDS FOUR DIAMONDS SEVEN,0.585,0.1442,0.2708
CLUBS TEN CLUBS KING,0.306,0.007,0.687
CLUBS TEN CLUBS ACE,0.3114,0.0026,0.686
CLUBS EIGHT CLUBS TWO,0.2558,0.4712,0.273
DIAMONDS FIVE DIAMONDS FOUR,0.556,0.1432,0.3008
CLUBS NINE CLUBS TWO,0.376,0.039,0.585
DIAMONDS NINE DIAMONDS FOUR,0.2558,0.1036,0.6406
CLUBS THREE CLUBS TWO,0.5448,0.0784,0.3768
DIAMONDS NINE DIAMONDS FIVE,0.3342,0.0408,0.625
DIAMONDS TWO CLUBS JACK,0.3894,0.019,0.5916
CLUBS TEN DIAMONDS TWO,0.392,0.0264,0.5816
DIAMONDS FIVE DIAMONDS SEVEN,0.4978,0.0636,0.4386
DIAMONDS FIVE DIAMONDS SIX,0.494,0.063,0.443
DIAMONDS TWO CLUBS ACE,0.3894,0.003,0.6076
DIAMONDS TWO CLUBS KING,0.4062,0.007,0.5868
DIAMONDS TWO CLUBS QUEEN,0.4132,0.0126,0.5742
DIAMONDS NINE DIAMONDS SIX,0.3216,0.0424,0.636
HEARTS ACE SPADES THREE,0.4016,0.0056,0.5928
SPADES THREE HEARTS KING,0.4162,0.0098,0.574
DIAMONDS SEVEN DIAMONDS SIX,0.4982,0.0618,0.44
SPADES THREE HEARTS QUEEN,0.4102,0.0122,0.5776
SPADES THREE HEARTS JACK,0.4078,0.0172,0.575
SPADES THREE HEARTS TEN,0.3954,0.027,0.5776
DIAMONDS NINE DIAMONDS SEVEN,0.3116,0.0386,0.6498
DIAMONDS KING HEARTS TEN,0.3374,0.0064,0.6562
HEARTS THREE HEARTS TEN,0.3668,0.0278,0.6054
SPADES JACK CLUBS SIX,0.3542,0.0216,0.6242
DIAMONDS KING HEARTS JACK,0.3418,0.0076,0.6506
HEARTS THREE HEARTS JACK,0.379,0.0142,0.6068
SPADES TEN CLUBS SIX,0.3576,0.0266,0.6158
SPADES JACK SPADES FIVE,0.3458,0.017,0.6372
SPADES TEN SPADES FIVE,0.3536,0.0248,0.6216
DIAMONDS KING HEARTS ACE,0.3304,0.0032,0.6664
HEARTS THREE HEARTS ACE,0.3718,0.0042,0.624
SPADES ACE CLUBS SIX,0.3586,0.0036,0.6378
DIAMONDS KING HEARTS QUEEN,0.3264,0.0058,0.6678
HEARTS THREE HEARTS QUEEN,0.3852,0.013,0.6018
SPADES KING CLUBS SIX,0.3566,0.0082,0.6352
DIAMONDS KING HEARTS KING,0.1402,0.0154,0.8444
HEARTS THREE HEARTS KING,0.3698,0.0072,0.623
SPADES QUEEN CLUBS SIX,0.3598,0.0118,0.6284
SPADES NINE HEARTS TEN,0.3176,0.0232,0.6592
SPADES NINE HEARTS JACK,0.307,0.017,0.676
SPADES QUEEN SPADES FIVE,0.3508,0.011,0.6382
SPADES KING SPADES FIVE,0.3416,0.01,0.6484
SPADES ACE SPADES FIVE,0.337,0.0032,0.6598
SPADES NINE HEARTS QUEEN,0.3288,0.0126,0.6586
SPADES NINE HEARTS KING,0.3416,0.0084,0.65
SPADES NINE HEARTS ACE,0.3274,0.0022,0.6704
CLUBS TEN SPADES JACK,0.3042,0.0162,0.6796
CLUBS TEN SPADES TEN,0.1414,0.0488,0.8098
SPADES ACE CLUBS TEN,0.3352,0.0026,0.6622
SPADES KING CLUBS TEN,0.3198,0.0092,0.671
CLUBS TEN SPADES QUEEN,0.3228,0.007,0.6702
SPADES FIVE HEARTS QUEEN,0.3538,0.0116,0.6346
SPADES FIVE HEARTS KING,0.3584,0.0128,0.6288
HEARTS ACE SPADES FIVE,0.355,0.0054,0.6396
