opposingHand,winningChance,drawChance,lostChance
SPADES FOUR DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.3774,0.0346,0.588
HEARTS FIVE SPADES JACK,0.3746,0.017,0.6084
SPADES FIVE CLUBS JACK,0.372,0.0178,0.6102
CLUBS TEN SPADES FIVE,0.3658,0.0302,0.604
CLUBS EIGHT CLUBS JACK,0.3176,0.0148,0.6676
CLUBS TEN CLUBS EIGHT,0.325,0.0256,0.6494
CLUBS EIGHT CLUBS KING,0.335,0.008,0.657
SPADES FIVE CLUBS ACE,0.3612,0.0028,0.636
CLUBS EIGHT CLUBS QUEEN,0.3274,0.0086,0.664
SPADES FIVE CLUBS KING,0.3616,0.007,0.6314
SPADES FIVE CLUBS QUEEN,0.3724,0.0128,0.6148
CLUBS EIGHT CLUBS ACE,0.3184,0.0038,0.6778
DIAMONDS TWO DIAMONDS THREE,0.5492,0.0934,0.3574
DIAMONDS TWO DIAMONDS FIVE,0.5244,0.1064,0.3692
HEARTS FIVE SPADES KING,0.3766,0.0072,0.6162
DIAMONDS TWO DIAMONDS FOUR,0.5334,0.2024,0.2642
HEARTS FIVE SPADES QUEEN,0.382,0.0138,0.6042
DIAMONDS TWO DIAMONDS SIX,0.5256,0.1054,0.369
SPADES ACE HEARTS FIVE,0.352,0.0034,0.6446
DIAMONDS TWO DIAMONDS NINE,0.3928,0.0436,0.5636
DIAMONDS TWO DIAMONDS EIGHT,0.3932,0.0692,0.5376
DIAMONDS THREE DIAMONDS FOUR,0.5244,0.1952,0.2804
DIAMONDS THREE DIAMONDS FIVE,0.5176,0.1026,0.3798
SPADES FIVE CLUBS TWO,0.5372,0.1076,0.3552
CLUBS TWO SPADES TWO,0.3774,0.1246,0.498
CLUBS TWO SPADES THREE,0.5622,0.11,0.3278
DIAMONDS THREE DIAMONDS EIGHT,0.3806,0.0648,0.5546
SPADES EIGHT CLUBS TWO,0.405,0.0656,0.5294
DIAMONDS THREE DIAMONDS NINE,0.3838,0.048,0.5682
SPADES NINE CLUBS TWO,0.4032,0.0428,0.554
DIAMONDS THREE DIAMONDS SIX,0.516,0.0992,0.3848
SPADES SIX CLUBS TWO,0.5574,0.1046,0.338
SPADES SEVEN CLUBS TWO,0.2968,0.4858,0.2174
CLUBS SIX CLUBS TWO,0.5354,0.0978,0.3668
CLUBS SEVEN CLUBS TWO,0.278,0.4674,0.2546
CLUBS FOUR CLUBS TWO,0.5268,0.1898,0.2834
CLUBS FIVE CLUBS TWO,0.5068,0.0984,0.3948
CLUBS TEN CLUBS JACK,0.318,0.0138,0.6682
DIAMONDS FOUR DIAMONDS SIX,0.5314,0.191,0.2776
CLUBS TEN CLUBS QUEEN,0.3104,0.011,0.6786
CLUBS TEN CLUBS KING,0.3168,0.007,0.6762
CLUBS TEN CLUBS ACE,0.3158,0.0038,0.6804
CLUBS EIGHT CLUBS TWO,0.3738,0.0634,0.5628
DIAMONDS FIVE DIAMONDS FOUR,0.5094,0.1946,0.296
