opposingHand,winningChance,drawChance,lostChance
SPADES FOUR DIAMONDS TEN
CLUBS SEVEN SPADES THREE,0.5968,0.027,0.3762
HEARTS THREE DIAMONDS KING,0.3834,0.0096,0.607
CLUBS EIGHT CLUBS KING,0.3476,0.0072,0.6452
HEARTS FIVE HEARTS FOUR,0.5976,0.0784,0.324
SPADES THREE HEARTS NINE,0.6228,0.0298,0.3474
HEARTS SEVEN DIAMONDS SEVEN,0.2778,0.0518,0.6704
HEARTS SIX DIAMONDS NINE,0.5566,0.0266,0.4168
CLUBS SEVEN DIAMONDS NINE,0.5532,0.025,0.4218
DIAMONDS TWO CLUBS TWO,0.3982,0.069,0.5328
CLUBS SEVEN HEARTS KING,0.363,0.007,0.63
DIAMONDS JACK DIAMONDS SEVEN,0.3368,0.0198,0.6434
CLUBS EIGHT CLUBS ACE,0.3454,0.0036,0.651
HEARTS TWO HEARTS TEN,0.2582,0.4802,0.2616
SPADES QUEEN DIAMONDS KING,0.3112,0.006,0.6828
HEARTS TWO CLUBS THREE,0.618,0.033,0.349
DIAMONDS TWO CLUBS QUEEN,0.4018,0.0102,0.588
HEARTS TWO DIAMONDS KING,0.4062,0.008,0.5858
DIAMONDS KING CLUBS KING,0.136,0.0072,0.8568
CLUBS TEN CLUBS THREE,0.2398,0.4898,0.2704
HEARTS ACE DIAMONDS SIX,0.3666,0.0034,0.63
HEARTS FOUR DIAMONDS KING,0.232,0.0334,0.7346
SPADES NINE DIAMONDS KING,0.3412,0.01,0.6488
SPADES EIGHT CLUBS JACK,0.3448,0.016,0.6392
SPADES SEVEN CLUBS KING,0.348,0.0072,0.6448
HEARTS FIVE HEARTS KING,0.3448,0.0078,0.6474
SPADES QUEEN SPADES EIGHT,0.3322,0.0124,0.6554
SPADES TEN DIAMONDS SIX,0.2202,0.394,0.3858
SPADES JACK SPADES EIGHT,0.3308,0.0162,0.653
CLUBS TEN HEARTS TWO,0.2598,0.5198,0.2204
DIAMONDS ACE DIAMONDS SIX,0.346,0.006,0.648
CLUBS KING HEARTS NINE,0.3584,0.0064,0.6352
DIAMONDS THREE SPADES THREE,0.4114,0.0662,0.5224
HEARTS SEVEN SPADES TEN,0.2254,0.2888,0.4858
DIAMONDS KING CLUBS ACE,0.3216,0.0036,0.6748
CLUBS NINE CLUBS THREE,0.5688,0.0258,0.4054
HEARTS ACE DIAMONDS SEVEN,0.3598,0.0042,0.636
SPADES FIVE DIAMONDS SEVEN,0.555,0.031,0.414
HEARTS TWO HEARTS KING,0.379,0.0086,0.6124
SPADES ACE DIAMONDS KING,0.3264,0.006,0.6676
SPADES QUEEN HEARTS QUEEN,0.1412,0.017,0.8418
CLUBS FIVE CLUBS KING,0.3378,0.0066,0.6556
CLUBS TEN HEARTS KING,0.2354,0.0358,0.7288
SPADES SIX HEARTS EIGHT,0.5542,0.0256,0.4202
HEARTS JACK CLUBS JACK,0.1498,0.0188,0.8314
SPADES SIX DIAMONDS EIGHT,0.5514,0.0294,0.4192
SPADES QUEEN DIAMONDS FOUR,0.2348,0.0486,0.7166
DIAMONDS EIGHT CLUBS ACE,0.3724,0.0046,0.623
CLUBS EIGHT CLUBS FOUR,0.6314,0.0792,0.2894
HEARTS SEVEN CLUBS FOUR,0.6554,0.0762,0.2684
HEARTS ACE DIAMONDS JACK,0.3178,0.004,0.6782
DIAMONDS QUEEN CLUBS ACE,0.3122,0.004,0.6838
CLUBS FOUR CLUBS JACK,0.2208,0.0604,0.7188
DIAMONDS JACK CLUBS JACK,0.1456,0.025,0.8294
DIAMONDS ACE DIAMONDS KING,0.3032,0.006,0.6908
DIAMONDS ACE CLUBS QUEEN,0.3136,0.0044,0.682
SPADES KING DIAMONDS NINE,0.3504,0.0094,0.6402
CLUBS SIX DIAMONDS QUEEN,0.3536,0.0092,0.6372
SPADES KING CLUBS FIVE,0.3596,0.0072,0.6332
SPADES THREE HEARTS TEN,0.2572,0.5286,0.2142
HEARTS FOUR HEARTS JACK,0.2226,0.056,0.7214
DIAMONDS SIX HEARTS NINE,0.571,0.0272,0.4018
HEARTS FOUR HEARTS THREE,0.6036,0.0804,0.316
DIAMONDS QUEEN DIAMONDS EIGHT,0.3336,0.013,0.6534
CLUBS TWO DIAMONDS NINE,0.6184,0.0314,0.3502
DIAMONDS EIGHT DIAMONDS SIX,0.525,0.0264,0.4486
CLUBS EIGHT CLUBS JACK,0.3206,0.0172,0.6622
HEARTS SIX DIAMONDS QUEEN,0.3568,0.0132,0.63
HEARTS TWO DIAMONDS SIX,0.6042,0.0322,0.3636
DIAMONDS JACK CLUBS KING,0.304,0.0062,0.6898
SPADES NINE DIAMONDS SEVEN,0.5438,0.0294,0.4268
SPADES TEN CLUBS SIX,0.2104,0.3764,0.4132
SPADES ACE HEARTS NINE,0.3578,0.0056,0.6366
HEARTS QUEEN HEARTS NINE,0.3298,0.0098,0.6604
CLUBS TEN CLUBS FIVE,0.2138,0.4344,0.3518
SPADES SIX DIAMONDS JACK,0.34,0.0172,0.6428
CLUBS FIVE CLUBS JACK,0.3318,0.0172,0.651
CLUBS FOUR HEARTS EIGHT,0.6642,0.0806,0.2552
DIAMONDS NINE CLUBS QUEEN,0.3468,0.011,0.6422
HEARTS FIVE DIAMONDS EIGHT,0.5694,0.0318,0.3988
CLUBS EIGHT SPADES NINE,0.5224,0.0268,0.4508
HEARTS THREE HEARTS NINE,0.5742,0.0296,0.3962
CLUBS NINE SPADES QUEEN,0.3562,0.0106,0.6332
HEARTS SIX DIAMONDS SEVEN,0.5484,0.0326,0.419
DIAMONDS TWO CLUBS JACK,0.3906,0.0188,0.5906
DIAMONDS THREE HEARTS NINE,0.6222,0.0268,0.351
HEARTS SIX SPADES SEVEN,0.543,0.0264,0.4306
SPADES TWO CLUBS JACK,0.3984,0.0204,0.5812
HEARTS SIX HEARTS ACE,0.3422,0.0046,0.6532
SPADES TEN CLUBS ACE,0.2216,0.0262,0.7522
DIAMONDS ACE HEARTS NINE,0.3682,0.0036,0.6282
