opposingHand,winningChance,drawChance,lostChance
SPADES FOUR HEARTS JACK
HEARTS FIVE SPADES TEN,0.5872,0.0204,0.3924
SPADES JACK HEARTS FIVE,0.212,0.47,0.318
SPADES FIVE CLUBS JACK,0.2146,0.4672,0.3182
CLUBS TEN SPADES FIVE,0.5846,0.0176,0.3978
CLUBS EIGHT CLUBS JACK,0.2096,0.2124,0.578
CLUBS TEN CLUBS EIGHT,0.5176,0.0198,0.4626
CLUBS EIGHT CLUBS KING,0.3454,0.0088,0.6458
SPADES FIVE CLUBS ACE,0.3412,0.0048,0.654
CLUBS EIGHT CLUBS QUEEN,0.3294,0.0118,0.6588
SPADES FIVE CLUBS KING,0.3538,0.0082,0.638
SPADES FIVE CLUBS QUEEN,0.3524,0.0128,0.6348
CLUBS EIGHT CLUBS ACE,0.3412,0.0034,0.6554
DIAMONDS TWO DIAMONDS THREE,0.6048,0.0244,0.3708
DIAMONDS TWO DIAMONDS FIVE,0.565,0.0208,0.4142
SPADES KING HEARTS FIVE,0.3598,0.0082,0.632
DIAMONDS TWO DIAMONDS FOUR,0.645,0.0572,0.2978
SPADES QUEEN HEARTS FIVE,0.346,0.014,0.64
DIAMONDS TWO DIAMONDS SEVEN,0.588,0.0208,0.3912
DIAMONDS TWO DIAMONDS SIX,0.5976,0.021,0.3814
SPADES ACE HEARTS FIVE,0.3314,0.006,0.6626
DIAMONDS TWO DIAMONDS NINE,0.579,0.0188,0.4022
DIAMONDS TWO DIAMONDS EIGHT,0.5812,0.0198,0.399
DIAMONDS THREE DIAMONDS FOUR,0.6202,0.06,0.3198
DIAMONDS THREE DIAMONDS FIVE,0.554,0.0206,0.4254
SPADES FIVE CLUBS TWO,0.6056,0.0204,0.374
CLUBS TWO SPADES TWO,0.4144,0.053,0.5326
CLUBS TWO SPADES THREE,0.634,0.0212,0.3448
DIAMONDS THREE DIAMONDS EIGHT,0.5882,0.016,0.3958
SPADES EIGHT CLUBS TWO,0.624,0.0216,0.3544
DIAMONDS THREE DIAMONDS NINE,0.5774,0.0196,0.403
SPADES NINE CLUBS TWO,0.6326,0.0192,0.3482
DIAMONDS THREE DIAMONDS SIX,0.5666,0.0204,0.413
SPADES SIX CLUBS TWO,0.6184,0.0192,0.3624
DIAMONDS THREE DIAMONDS SEVEN,0.5666,0.0198,0.4136
SPADES SEVEN CLUBS TWO,0.6214,0.017,0.3616
CLUBS SIX CLUBS TWO,0.5858,0.021,0.3932
CLUBS SEVEN CLUBS TWO,0.597,0.022,0.381
CLUBS FOUR CLUBS TWO,0.6322,0.0598,0.308
CLUBS FIVE CLUBS TWO,0.5668,0.0182,0.415
CLUBS TEN CLUBS JACK,0.2216,0.1122,0.6662
DIAMONDS FOUR DIAMONDS SIX,0.6302,0.0612,0.3086
CLUBS TEN CLUBS QUEEN,0.3094,0.0096,0.681
DIAMONDS FOUR DIAMONDS SEVEN,0.6268,0.0546,0.3186
CLUBS TEN CLUBS KING,0.3242,0.0056,0.6702
CLUBS TEN CLUBS ACE,0.3284,0.0042,0.6674
CLUBS EIGHT CLUBS TWO,0.5798,0.0214,0.3988
DIAMONDS FIVE DIAMONDS FOUR,0.6062,0.0572,0.3366
CLUBS NINE CLUBS TWO,0.5794,0.0202,0.4004
DIAMONDS NINE DIAMONDS FOUR,0.6602,0.054,0.2858
DIAMONDS EIGHT DIAMONDS FOUR,0.6434,0.0614,0.2952
CLUBS THREE CLUBS TWO,0.5932,0.0186,0.3882
DIAMONDS NINE DIAMONDS FIVE,0.5428,0.0202,0.437
DIAMONDS TWO CLUBS JACK,0.2728,0.5152,0.212
DIAMONDS EIGHT DIAMONDS FIVE,0.5272,0.022,0.4508
CLUBS TEN DIAMONDS TWO,0.6198,0.0188,0.3614
DIAMONDS FIVE DIAMONDS SEVEN,0.5386,0.0198,0.4416
DIAMONDS FIVE DIAMONDS SIX,0.5276,0.0178,0.4546
DIAMONDS TWO CLUBS ACE,0.393,0.0042,0.6028
DIAMONDS TWO CLUBS KING,0.3896,0.0098,0.6006
DIAMONDS TWO CLUBS QUEEN,0.381,0.012,0.607
DIAMONDS EIGHT DIAMONDS SIX,0.5178,0.0182,0.464
DIAMONDS NINE DIAMONDS SIX,0.5254,0.015,0.4596
HEARTS ACE SPADES THREE,0.3864,0.0074,0.6062
SPADES THREE HEARTS KING,0.3888,0.0118,0.5994
DIAMONDS SEVEN DIAMONDS SIX,0.5318,0.017,0.4512
SPADES THREE HEARTS QUEEN,0.3894,0.0132,0.5974
SPADES THREE HEARTS TEN,0.6364,0.0194,0.3442
DIAMONDS EIGHT DIAMONDS SEVEN,0.514,0.0176,0.4684
DIAMONDS NINE DIAMONDS SEVEN,0.5166,0.017,0.4664
DIAMONDS NINE DIAMONDS EIGHT,0.506,0.0154,0.4786
DIAMONDS KING HEARTS TEN,0.3324,0.005,0.6626
HEARTS THREE HEARTS TEN,0.6014,0.0198,0.3788
SPADES JACK CLUBS SIX,0.22,0.3816,0.3984
SPADES TEN CLUBS SIX,0.5768,0.0146,0.4086
SPADES JACK SPADES FIVE,0.2028,0.4434,0.3538
SPADES TEN SPADES FIVE,0.5606,0.0198,0.4196
DIAMONDS KING HEARTS ACE,0.3154,0.0054,0.6792
HEARTS THREE HEARTS ACE,0.3626,0.0066,0.6308
SPADES ACE CLUBS SIX,0.358,0.0044,0.6376
DIAMONDS KING HEARTS QUEEN,0.3084,0.0058,0.6858
HEARTS THREE HEARTS QUEEN,0.3732,0.0122,0.6146
SPADES KING CLUBS SIX,0.3556,0.0098,0.6346
DIAMONDS KING HEARTS KING,0.1304,0.0072,0.8624
HEARTS THREE HEARTS KING,0.3746,0.0086,0.6168
SPADES QUEEN CLUBS SIX,0.3596,0.0112,0.6292
SPADES NINE HEARTS TEN,0.5276,0.0152,0.4572
SPADES QUEEN SPADES FIVE,0.3292,0.0124,0.6584
SPADES KING SPADES FIVE,0.3462,0.0072,0.6466
SPADES ACE SPADES FIVE,0.327,0.0044,0.6686
SPADES NINE HEARTS QUEEN,0.3354,0.0132,0.6514
SPADES NINE HEARTS KING,0.339,0.0056,0.6554
SPADES NINE HEARTS ACE,0.3496,0.0034,0.647
CLUBS TEN SPADES JACK,0.2332,0.1184,0.6484
CLUBS TEN SPADES TEN,0.2678,0.0232,0.709
SPADES ACE CLUBS TEN,0.3548,0.0052,0.64
SPADES KING CLUBS TEN,0.3348,0.007,0.6582
CLUBS TEN SPADES QUEEN,0.3218,0.0104,0.6678
SPADES FIVE HEARTS QUEEN,0.3526,0.0138,0.6336
SPADES FIVE HEARTS KING,0.3508,0.0088,0.6404
HEARTS ACE SPADES FIVE,0.3474,0.0054,0.6472
CLUBS EIGHT SPADES TEN,0.5528,0.0174,0.4298
HEARTS THREE SPADES JACK,0.2626,0.5298,0.2076
SPADES JACK DIAMONDS KING,0.2372,0.0344,0.7284
SPADES TEN DIAMONDS KING,0.3246,0.0056,0.6698
HEARTS THREE SPADES TEN,0.6254,0.0202,0.3544
SPADES JACK CLUBS EIGHT,0.2192,0.2262,0.5546
CLUBS SIX HEARTS ACE,0.358,0.0038,0.6382
SPADES ACE CLUBS EIGHT,0.3572,0.0044,0.6384
HEARTS FIVE CLUBS JACK,0.2186,0.4626,0.3188
CLUBS TEN HEARTS FIVE,0.58,0.0186,0.4014
CLUBS SIX HEARTS QUEEN,0.352,0.01,0.638
SPADES QUEEN CLUBS EIGHT,0.3528,0.0084,0.6388
CLUBS TEN SPADES THREE,0.6162,0.0192,0.3646
CLUBS SIX HEARTS KING,0.3638,0.005,0.6312
SPADES KING CLUBS EIGHT,0.3598,0.0062,0.634
SPADES THREE CLUBS JACK,0.2838,0.5114,0.2048
SPADES THREE CLUBS QUEEN,0.3816,0.0122,0.6062
DIAMONDS TWO HEARTS TEN,0.6168,0.0168,0.3664
SPADES THREE CLUBS KING,0.3956,0.0092,0.5952
HEARTS FIVE CLUBS ACE,0.3442,0.0052,0.6506
SPADES FIVE HEARTS TEN,0.6002,0.0184,0.3814
SPADES THREE CLUBS ACE,0.3738,0.005,0.6212
HEARTS FIVE CLUBS KING,0.3672,0.0078,0.625
HEARTS FIVE CLUBS QUEEN,0.3532,0.0128,0.634
HEARTS THREE CLUBS KING,0.3928,0.0078,0.5994
DIAMONDS KING CLUBS KING,0.1326,0.006,0.8614
HEARTS THREE CLUBS QUEEN,0.389,0.0142,0.5968
DIAMONDS KING CLUBS QUEEN,0.325,0.005,0.67
HEARTS FIVE HEARTS TEN,0.567,0.018,0.415
HEARTS THREE CLUBS ACE,0.3958,0.0048,0.5994
DIAMONDS KING CLUBS ACE,0.3264,0.0042,0.6694
SPADES ACE CLUBS QUEEN,0.3258,0.0032,0.671
SPADES KING CLUBS QUEEN,0.3096,0.0078,0.6826
HEARTS THREE CLUBS JACK,0.2622,0.526,0.2118
DIAMONDS KING CLUBS JACK,0.2388,0.0344,0.7268
SPADES QUEEN CLUBS QUEEN,0.1406,0.0106,0.8488
CLUBS TEN HEARTS THREE,0.6212,0.0196,0.3592
