opposingHand,winningChance,drawChance,lostChance
SPADES FOUR SPADES THREE
HEARTS FIVE SPADES TEN,0.3826,0.0264,0.591
SPADES JACK HEARTS FIVE,0.3952,0.0194,0.5854
SPADES FIVE CLUBS JACK,0.3882,0.0188,0.593
SPADES FIVE CLUBS TEN,0.3906,0.0258,0.5836
CLUBS EIGHT CLUBS JACK,0.3636,0.019,0.6174
CLUBS EIGHT CLUBS TEN,0.366,0.0222,0.6118
CLUBS EIGHT CLUBS KING,0.3594,0.0106,0.63
SPADES FIVE CLUBS ACE,0.3662,0.0034,0.6304
CLUBS EIGHT CLUBS QUEEN,0.3674,0.0138,0.6188
SPADES FIVE CLUBS KING,0.3832,0.0102,0.6066
SPADES FIVE CLUBS QUEEN,0.3904,0.0144,0.5952
CLUBS EIGHT CLUBS ACE,0.3732,0.0064,0.6204
DIAMONDS TWO DIAMONDS THREE,0.3284,0.429,0.2426
DIAMONDS TWO DIAMONDS FIVE,0.4064,0.208,0.3856
SPADES KING HEARTS FIVE,0.3796,0.0122,0.6082
DIAMONDS TWO DIAMONDS FOUR,0.2912,0.4588,0.25
SPADES QUEEN HEARTS FIVE,0.3894,0.0154,0.5952
DIAMONDS TWO DIAMONDS SEVEN,0.4316,0.0884,0.48
DIAMONDS TWO DIAMONDS SIX,0.417,0.1352,0.4478
SPADES ACE HEARTS FIVE,0.375,0.0068,0.6182
DIAMONDS TWO DIAMONDS NINE,0.411,0.0406,0.5484
DIAMONDS TWO DIAMONDS EIGHT,0.4056,0.0678,0.5266
DIAMONDS THREE DIAMONDS FOUR,0.068,0.858,0.074
DIAMONDS THREE DIAMONDS FIVE,0.2574,0.3304,0.4122
CLUBS TWO SPADES FIVE,0.4202,0.2272,0.3526
CLUBS TWO SPADES TWO,0.3504,0.1666,0.483
DIAMONDS THREE DIAMONDS EIGHT,0.3088,0.123,0.5682
SPADES EIGHT CLUBS TWO,0.4358,0.0706,0.4936
DIAMONDS THREE DIAMONDS NINE,0.2968,0.0988,0.6044
SPADES NINE CLUBS TWO,0.4322,0.0476,0.5202
DIAMONDS THREE DIAMONDS SIX,0.2828,0.239,0.4782
CLUBS TWO SPADES SIX,0.4296,0.1572,0.4132
DIAMONDS THREE DIAMONDS SEVEN,0.281,0.179,0.54
CLUBS TWO SPADES SEVEN,0.4328,0.0984,0.4688
CLUBS SIX CLUBS TWO,0.416,0.1452,0.4388
CLUBS SEVEN CLUBS TWO,0.4038,0.1014,0.4948
CLUBS FOUR CLUBS TWO,0.3052,0.4508,0.244
CLUBS FIVE CLUBS TWO,0.4016,0.2158,0.3826
CLUBS JACK CLUBS TEN,0.3744,0.0152,0.6104
DIAMONDS FOUR DIAMONDS SIX,0.275,0.2496,0.4754
CLUBS QUEEN CLUBS TEN,0.3638,0.0106,0.6256
DIAMONDS FOUR DIAMONDS SEVEN,0.2792,0.168,0.5528
CLUBS KING CLUBS TEN,0.3646,0.0068,0.6286
CLUBS ACE CLUBS TEN,0.38,0.0042,0.6158
CLUBS EIGHT CLUBS TWO,0.4202,0.0676,0.5122
DIAMONDS FIVE DIAMONDS FOUR,0.2582,0.3256,0.4162
CLUBS NINE CLUBS TWO,0.4202,0.042,0.5378
DIAMONDS NINE DIAMONDS FOUR,0.3084,0.0928,0.5988
DIAMONDS EIGHT DIAMONDS FOUR,0.276,0.1384,0.5856
CLUBS TWO CLUBS THREE,0.3142,0.4374,0.2484
DIAMONDS NINE DIAMONDS FIVE,0.369,0.044,0.587
DIAMONDS TWO CLUBS JACK,0.457,0.0188,0.5242
DIAMONDS EIGHT DIAMONDS FIVE,0.3576,0.0644,0.578
DIAMONDS TWO CLUBS TEN,0.4558,0.0264,0.5178
DIAMONDS FIVE DIAMONDS SEVEN,0.3566,0.0918,0.5516
DIAMONDS FIVE DIAMONDS SIX,0.3418,0.141,0.5172
DIAMONDS TWO CLUBS ACE,0.4384,0.007,0.5546
DIAMONDS TWO CLUBS KING,0.4486,0.0092,0.5422
DIAMONDS TWO CLUBS QUEEN,0.4634,0.0136,0.523
DIAMONDS EIGHT DIAMONDS SIX,0.3498,0.0614,0.5888
DIAMONDS NINE DIAMONDS SIX,0.374,0.042,0.584
DIAMONDS SEVEN DIAMONDS SIX,0.3618,0.088,0.5502
DIAMONDS EIGHT DIAMONDS SEVEN,0.3684,0.0536,0.578
DIAMONDS NINE DIAMONDS SEVEN,0.3724,0.0354,0.5922
DIAMONDS NINE DIAMONDS EIGHT,0.3472,0.033,0.6198
DIAMONDS KING HEARTS TEN,0.3936,0.007,0.5994
HEARTS THREE HEARTS TEN,0.3018,0.0676,0.6306
CLUBS SIX SPADES JACK,0.3966,0.0202,0.5832
DIAMONDS KING HEARTS JACK,0.4058,0.01,0.5842
HEARTS THREE HEARTS JACK,0.3072,0.0556,0.6372
CLUBS SIX SPADES TEN,0.3922,0.0264,0.5814
SPADES JACK SPADES FIVE,0.3492,0.0234,0.6274
SPADES TEN SPADES FIVE,0.3476,0.032,0.6204
DIAMONDS KING HEARTS ACE,0.4002,0.0032,0.5966
HEARTS THREE HEARTS ACE,0.2834,0.0196,0.697
SPADES ACE CLUBS SIX,0.3846,0.0044,0.611
DIAMONDS KING HEARTS QUEEN,0.4076,0.0068,0.5856
HEARTS THREE HEARTS QUEEN,0.3112,0.0402,0.6486
SPADES KING CLUBS SIX,0.3896,0.0126,0.5978
DIAMONDS KING HEARTS KING,0.213,0.0176,0.7694
HEARTS THREE HEARTS KING,0.3006,0.0304,0.669
SPADES QUEEN CLUBS SIX,0.3844,0.0136,0.602
SPADES NINE HEARTS TEN,0.386,0.026,0.588
SPADES NINE HEARTS JACK,0.381,0.0184,0.6006
SPADES QUEEN SPADES FIVE,0.3408,0.0128,0.6464
SPADES KING SPADES FIVE,0.3524,0.0122,0.6354
SPADES ACE SPADES FIVE,0.3238,0.0058,0.6704
SPADES NINE HEARTS QUEEN,0.3782,0.0142,0.6076
SPADES NINE HEARTS KING,0.3808,0.0102,0.609
SPADES NINE HEARTS ACE,0.387,0.0054,0.6076
SPADES JACK CLUBS TEN,0.38,0.0146,0.6054
SPADES TEN CLUBS TEN,0.1974,0.066,0.7366
SPADES ACE CLUBS TEN,0.388,0.0058,0.6062
SPADES KING CLUBS TEN,0.3882,0.0116,0.6002
SPADES QUEEN CLUBS TEN,0.3786,0.0148,0.6066
SPADES FIVE HEARTS QUEEN,0.3844,0.0134,0.6022
HEARTS KING SPADES FIVE,0.3868,0.0096,0.6036
SPADES FIVE HEARTS ACE,0.3652,0.0056,0.6292
CLUBS EIGHT SPADES TEN,0.3688,0.0256,0.6056
HEARTS THREE SPADES JACK,0.3076,0.0592,0.6332
SPADES JACK DIAMONDS KING,0.3782,0.0082,0.6136
SPADES TEN DIAMONDS KING,0.3838,0.0066,0.6096
HEARTS THREE SPADES TEN,0.3018,0.0792,0.619
CLUBS EIGHT SPADES JACK,0.3666,0.0188,0.6146
SPADES ACE CLUBS EIGHT,0.3754,0.004,0.6206
HEARTS FIVE CLUBS JACK,0.3982,0.0174,0.5844
CLUBS SIX HEARTS ACE,0.3982,0.0042,0.5976
HEARTS FIVE CLUBS TEN,0.4092,0.028,0.5628
CLUBS EIGHT SPADES QUEEN,0.3756,0.0118,0.6126
CLUBS SIX HEARTS QUEEN,0.4054,0.0122,0.5824
CLUBS EIGHT SPADES KING,0.3824,0.0096,0.608
CLUBS SIX HEARTS KING,0.3906,0.0084,0.601
DIAMONDS TWO HEARTS JACK,0.4522,0.0212,0.5266
DIAMONDS TWO HEARTS TEN,0.4466,0.0354,0.518
HEARTS FIVE CLUBS ACE,0.3826,0.0048,0.6126
SPADES FIVE HEARTS TEN,0.3788,0.0312,0.59
HEARTS FIVE CLUBS KING,0.3992,0.01,0.5908
SPADES FIVE HEARTS JACK,0.3788,0.0214,0.5998
HEARTS FIVE CLUBS QUEEN,0.4022,0.0138,0.584
HEARTS THREE CLUBS KING,0.3146,0.0298,0.6556
DIAMONDS KING CLUBS KING,0.2094,0.0202,0.7704
HEARTS THREE CLUBS QUEEN,0.3052,0.0366,0.6582
DIAMONDS KING CLUBS QUEEN,0.3902,0.006,0.6038
HEARTS FIVE HEARTS JACK,0.3656,0.0172,0.6172
HEARTS FIVE HEARTS TEN,0.3898,0.0262,0.584
HEARTS THREE CLUBS ACE,0.304,0.0192,0.6768
DIAMONDS KING CLUBS ACE,0.394,0.0056,0.6004
SPADES ACE CLUBS QUEEN,0.3772,0.0062,0.6166
SPADES KING CLUBS QUEEN,0.3796,0.0078,0.6126
HEARTS THREE CLUBS JACK,0.3032,0.056,0.6408
DIAMONDS KING CLUBS JACK,0.3942,0.0058,0.6
SPADES QUEEN CLUBS QUEEN,0.1996,0.033,0.7674
HEARTS THREE CLUBS TEN,0.3244,0.0722,0.6034
DIAMONDS KING CLUBS TEN,0.395,0.009,0.596
SPADES JACK CLUBS QUEEN,0.3846,0.01,0.6054
CLUBS SIX CLUBS QUEEN,0.3806,0.0124,0.607
SPADES TEN CLUBS QUEEN,0.3812,0.0094,0.6094
CLUBS SIX CLUBS KING,0.3836,0.0098,0.6066
CLUBS SIX CLUBS ACE,0.3728,0.0042,0.623
HEARTS FIVE HEARTS KING,0.362,0.0112,0.6268
HEARTS FIVE HEARTS QUEEN,0.3826,0.0164,0.601
CLUBS SIX CLUBS TEN,0.368,0.0276,0.6044
HEARTS FIVE HEARTS ACE,0.3592,0.005,0.6358
CLUBS SIX CLUBS JACK,0.3858,0.0204,0.5938
SPADES SEVEN HEARTS JACK,0.3912,0.0158,0.593
SPADES SEVEN HEARTS TEN,0.3866,0.0258,0.5876
DIAMONDS TWO CLUBS TWO,0.3548,0.1608,0.4844
DIAMONDS TWO CLUBS THREE,0.3334,0.4602,0.2064
HEARTS SIX DIAMONDS TWO,0.4282,0.1458,0.426
DIAMONDS TWO HEARTS QUEEN,0.444,0.014,0.542
DIAMONDS TWO HEARTS SEVEN,0.4414,0.0892,0.4694
DIAMONDS TWO HEARTS KING,0.4356,0.0108,0.5536
DIAMONDS TWO HEARTS EIGHT,0.4526,0.0648,0.4826
DIAMONDS TWO HEARTS ACE,0.422,0.007,0.571
DIAMONDS TWO HEARTS NINE,0.4396,0.0436,0.5168
DIAMONDS TWO DIAMONDS QUEEN,0.4354,0.016,0.5486
DIAMONDS TWO HEARTS TWO,0.366,0.1698,0.4642
DIAMONDS TWO DIAMONDS KING,0.4318,0.0082,0.56
HEARTS THREE DIAMONDS TWO,0.3256,0.473,0.2014
DIAMONDS TWO DIAMONDS ACE,0.3972,0.0066,0.5962
HEARTS FOUR DIAMONDS TWO,0.3192,0.4758,0.205
DIAMONDS TWO HEARTS FIVE,0.4286,0.2442,0.3272
SPADES SEVEN HEARTS ACE,0.3768,0.0072,0.616
DIAMONDS TWO DIAMONDS TEN,0.4242,0.0298,0.546
SPADES SEVEN HEARTS KING,0.3908,0.0104,0.5988
DIAMONDS TWO DIAMONDS JACK,0.4182,0.0192,0.5626
SPADES SEVEN HEARTS QUEEN,0.3832,0.014,0.6028
DIAMONDS TWO SPADES NINE,0.4464,0.0444,0.5092
DIAMONDS TWO SPADES EIGHT,0.434,0.0704,0.4956
DIAMONDS TWO SPADES SEVEN,0.4324,0.1094,0.4582
DIAMONDS TWO SPADES SIX,0.4284,0.1528,0.4188
DIAMONDS TWO SPADES FIVE,0.4186,0.2342,0.3472
DIAMONDS TWO SPADES TWO,0.3498,0.169,0.4812
CLUBS NINE DIAMONDS TWO,0.446,0.0472,0.5068
CLUBS EIGHT DIAMONDS TWO,0.4462,0.0682,0.4856
DIAMONDS TWO CLUBS SEVEN,0.4568,0.098,0.4452
CLUBS SIX DIAMONDS TWO,0.4404,0.1486,0.411
DIAMONDS TWO CLUBS FIVE,0.4272,0.238,0.3348
DIAMONDS TWO CLUBS FOUR,0.3096,0.4786,0.2118
CLUBS FOUR SPADES FIVE,0.2582,0.3466,0.3952
CLUBS FOUR SPADES TWO,0.307,0.4924,0.2006
CLUBS FOUR SPADES NINE,0.2952,0.1008,0.604
CLUBS FOUR SPADES EIGHT,0.275,0.1386,0.5864
CLUBS FOUR SPADES SEVEN,0.2782,0.1912,0.5306
CLUBS FOUR SPADES SIX,0.2702,0.2686,0.4612
SPADES ACE DIAMONDS SIX,0.39,0.0054,0.6046
SPADES QUEEN DIAMONDS SIX,0.4014,0.0142,0.5844
SPADES KING DIAMONDS SIX,0.3866,0.0098,0.6036
SPADES TEN DIAMONDS SIX,0.3782,0.0298,0.592
SPADES JACK DIAMONDS SIX,0.394,0.0244,0.5816
SPADES QUEEN SPADES TWO,0.399,0.018,0.583
SPADES KING SPADES TWO,0.4048,0.0108,0.5844
SPADES ACE SPADES TWO,0.3808,0.0068,0.6124
DIAMONDS JACK CLUBS JACK,0.2152,0.0464,0.7384
DIAMONDS JACK CLUBS TEN,0.3846,0.0156,0.5998
DIAMONDS JACK CLUBS KING,0.3972,0.0074,0.5954
DIAMONDS JACK CLUBS QUEEN,0.3832,0.0098,0.607
DIAMONDS THREE DIAMONDS JACK,0.2998,0.0518,0.6484
DIAMONDS THREE DIAMONDS TEN,0.3,0.0764,0.6236
DIAMONDS JACK CLUBS ACE,0.394,0.0064,0.5996
DIAMONDS THREE DIAMONDS KING,0.297,0.0302,0.6728
HEARTS THREE DIAMONDS THREE,0.296,0.1242,0.5798
DIAMONDS THREE DIAMONDS QUEEN,0.302,0.0362,0.6618
DIAMONDS THREE HEARTS TWO,0.3238,0.4696,0.2066
HEARTS FIVE DIAMONDS THREE,0.2668,0.3556,0.3776
DIAMONDS THREE DIAMONDS ACE,0.2912,0.0162,0.6926
HEARTS FOUR DIAMONDS THREE,0.0792,0.899,0.0218
DIAMONDS THREE HEARTS SEVEN,0.3058,0.1868,0.5074
SPADES TEN SPADES NINE,0.3326,0.0264,0.641
HEARTS SIX DIAMONDS THREE,0.3028,0.2438,0.4534
SPADES JACK SPADES NINE,0.3334,0.0184,0.6482
DIAMONDS THREE HEARTS NINE,0.317,0.0984,0.5846
HEARTS JACK DIAMONDS FOUR,0.3224,0.06,0.6176
HEARTS KING HEARTS ACE,0.3762,0.0054,0.6184
SPADES TEN SPADES TWO,0.3922,0.0358,0.572
DIAMONDS THREE HEARTS EIGHT,0.319,0.1328,0.5482
HEARTS TEN DIAMONDS FOUR,0.3258,0.076,0.5982
SPADES JACK SPADES TWO,0.3966,0.023,0.5804
HEARTS QUEEN DIAMONDS FOUR,0.3156,0.0468,0.6376
HEARTS KING DIAMONDS FOUR,0.3202,0.0364,0.6434
SPADES ACE SPADES NINE,0.3484,0.0038,0.6478
HEARTS ACE DIAMONDS FOUR,0.294,0.0238,0.6822
SPADES KING SPADES NINE,0.3468,0.0066,0.6466
SPADES QUEEN SPADES NINE,0.3326,0.013,0.6544
DIAMONDS THREE SPADES NINE,0.2906,0.1068,0.6026
DIAMONDS THREE SPADES EIGHT,0.3058,0.1384,0.5558
DIAMONDS THREE SPADES SEVEN,0.2894,0.1908,0.5198
DIAMONDS THREE SPADES SIX,0.272,0.264,0.464
CLUBS SIX DIAMONDS THREE,0.2974,0.2596,0.443
CLUBS ACE DIAMONDS FOUR,0.3064,0.0244,0.6692
CLUBS SIX CLUBS FIVE,0.3378,0.138,0.5242
CLUBS SEVEN CLUBS FIVE,0.3532,0.0948,0.552
CLUBS SEVEN DIAMONDS THREE,0.307,0.205,0.488
DIAMONDS THREE CLUBS FOUR,0.0692,0.9046,0.0262
CLUBS QUEEN DIAMONDS FOUR,0.3194,0.0434,0.6372
DIAMONDS THREE CLUBS FIVE,0.2596,0.3664,0.374
CLUBS KING DIAMONDS FOUR,0.3178,0.0326,0.6496
DIAMONDS THREE CLUBS TWO,0.333,0.467,0.2
DIAMONDS FOUR CLUBS TEN,0.3168,0.082,0.6012
DIAMONDS THREE CLUBS THREE,0.2962,0.127,0.5768
DIAMONDS FOUR CLUBS JACK,0.3106,0.0602,0.6292
DIAMONDS THREE SPADES FIVE,0.2468,0.3624,0.3908
