opposingHand,winningChance,drawChance,lostChance
SPADES FOUR SPADES TWO
HEARTS FIVE SPADES TEN,0.3744,0.0278,0.5978
SPADES JACK HEARTS FIVE,0.3824,0.0232,0.5944
SPADES FIVE CLUBS JACK,0.3784,0.0188,0.6028
SPADES FIVE CLUBS TEN,0.3754,0.0278,0.5968
CLUBS EIGHT CLUBS JACK,0.3574,0.02,0.6226
CLUBS EIGHT CLUBS TEN,0.3536,0.0258,0.6206
CLUBS EIGHT CLUBS KING,0.3656,0.008,0.6264
SPADES FIVE CLUBS ACE,0.3518,0.0048,0.6434
CLUBS EIGHT CLUBS QUEEN,0.3708,0.0136,0.6156
SPADES FIVE CLUBS KING,0.3626,0.0082,0.6292
SPADES FIVE CLUBS QUEEN,0.3636,0.012,0.6244
CLUBS EIGHT CLUBS ACE,0.3674,0.0036,0.629
DIAMONDS TWO DIAMONDS THREE,0.2978,0.4428,0.2594
DIAMONDS TWO DIAMONDS FIVE,0.2608,0.3444,0.3948
SPADES KING HEARTS FIVE,0.3728,0.0088,0.6184
DIAMONDS TWO DIAMONDS FOUR,0.064,0.8614,0.0746
SPADES QUEEN HEARTS FIVE,0.3784,0.0094,0.6122
DIAMONDS TWO DIAMONDS SEVEN,0.2942,0.1772,0.5286
DIAMONDS TWO DIAMONDS SIX,0.2746,0.2506,0.4748
SPADES ACE HEARTS FIVE,0.35,0.0056,0.6444
DIAMONDS TWO DIAMONDS NINE,0.2858,0.1004,0.6138
DIAMONDS TWO DIAMONDS EIGHT,0.299,0.13,0.571
DIAMONDS THREE DIAMONDS FOUR,0.2502,0.454,0.2958
DIAMONDS THREE DIAMONDS FIVE,0.3504,0.215,0.4346
CLUBS TWO SPADES FIVE,0.25,0.3602,0.3898
CLUBS TWO SPADES THREE,0.3032,0.487,0.2098
DIAMONDS THREE DIAMONDS EIGHT,0.3888,0.0584,0.5528
SPADES EIGHT CLUBS TWO,0.294,0.1398,0.5662
DIAMONDS THREE DIAMONDS NINE,0.384,0.0456,0.5704
SPADES NINE CLUBS TWO,0.2818,0.1062,0.612
DIAMONDS THREE DIAMONDS SIX,0.3614,0.1384,0.5002
CLUBS TWO SPADES SIX,0.2754,0.2638,0.4608
DIAMONDS THREE DIAMONDS SEVEN,0.3842,0.0892,0.5266
CLUBS TWO SPADES SEVEN,0.296,0.1946,0.5094
CLUBS SIX CLUBS TWO,0.2824,0.2384,0.4792
CLUBS SEVEN CLUBS TWO,0.2796,0.174,0.5464
CLUBS FOUR CLUBS TWO,0.0752,0.8578,0.067
CLUBS FIVE CLUBS TWO,0.256,0.3362,0.4078
CLUBS JACK CLUBS TEN,0.3586,0.0158,0.6256
DIAMONDS FOUR DIAMONDS SIX,0.2776,0.2396,0.4828
CLUBS QUEEN CLUBS TEN,0.3604,0.0128,0.6268
DIAMONDS FOUR DIAMONDS SEVEN,0.2668,0.1886,0.5446
CLUBS KING CLUBS TEN,0.368,0.0078,0.6242
CLUBS ACE CLUBS TEN,0.3544,0.0044,0.6412
CLUBS EIGHT CLUBS TWO,0.2852,0.137,0.5778
DIAMONDS FIVE DIAMONDS FOUR,0.2526,0.3158,0.4316
CLUBS NINE CLUBS TWO,0.288,0.0972,0.6148
DIAMONDS NINE DIAMONDS FOUR,0.2708,0.1082,0.621
DIAMONDS EIGHT DIAMONDS FOUR,0.286,0.1426,0.5714
CLUBS TWO CLUBS THREE,0.296,0.4642,0.2398
DIAMONDS NINE DIAMONDS FIVE,0.3656,0.0384,0.596
DIAMONDS TWO CLUBS JACK,0.3204,0.0502,0.6294
DIAMONDS EIGHT DIAMONDS FIVE,0.3466,0.0634,0.59
DIAMONDS TWO CLUBS TEN,0.3014,0.0724,0.6262
