opposingHand,winningChance,drawChance,lostChance
SPADES JACK CLUBS ACE
SPADES TEN HEARTS FIVE,0.6728,0.0054,0.3218
SPADES FIVE CLUBS JACK,0.7548,0.0206,0.2246
SPADES FIVE CLUBS TEN,0.6906,0.005,0.3044
CLUBS EIGHT CLUBS JACK,0.707,0.02,0.273
CLUBS EIGHT CLUBS TEN,0.6178,0.003,0.3792
CLUBS EIGHT CLUBS KING,0.6188,0.0038,0.3774
CLUBS EIGHT CLUBS QUEEN,0.6086,0.0058,0.3856
SPADES FIVE CLUBS KING,0.6588,0.007,0.3342
SPADES FIVE CLUBS QUEEN,0.6506,0.0048,0.3446
DIAMONDS TWO DIAMONDS THREE,0.604,0.0094,0.3866
DIAMONDS TWO DIAMONDS FIVE,0.6,0.0054,0.3946
SPADES KING HEARTS FIVE,0.6524,0.0046,0.343
DIAMONDS TWO DIAMONDS FOUR,0.6154,0.0046,0.38
SPADES QUEEN HEARTS FIVE,0.6302,0.0032,0.3666
DIAMONDS TWO DIAMONDS SEVEN,0.624,0.0026,0.3734
DIAMONDS TWO DIAMONDS SIX,0.6112,0.0042,0.3846
SPADES ACE HEARTS FIVE,0.6548,0.0928,0.2524
DIAMONDS TWO DIAMONDS NINE,0.6208,0.0042,0.375
DIAMONDS TWO DIAMONDS EIGHT,0.6388,0.0042,0.357
DIAMONDS THREE DIAMONDS FOUR,0.5948,0.0048,0.4004
CLUBS TWO SPADES FOUR,0.6576,0.0048,0.3376
DIAMONDS THREE DIAMONDS FIVE,0.595,0.004,0.401
CLUBS TWO SPADES FIVE,0.6624,0.0074,0.3302
CLUBS TWO SPADES TWO,0.4908,0.0058,0.5034
CLUBS TWO SPADES THREE,0.6656,0.005,0.3294
DIAMONDS THREE DIAMONDS EIGHT,0.6218,0.0034,0.3748
SPADES EIGHT CLUBS TWO,0.6816,0.0058,0.3126
DIAMONDS THREE DIAMONDS NINE,0.6438,0.0038,0.3524
SPADES NINE CLUBS TWO,0.69,0.0068,0.3032
DIAMONDS THREE DIAMONDS SIX,0.5986,0.004,0.3974
CLUBS TWO SPADES SIX,0.6868,0.0052,0.308
DIAMONDS THREE DIAMONDS SEVEN,0.6226,0.0036,0.3738
SPADES SEVEN CLUBS TWO,0.6834,0.0078,0.3088
CLUBS SIX CLUBS TWO,0.6394,0.0052,0.3554
CLUBS SEVEN CLUBS TWO,0.6282,0.0062,0.3656
CLUBS FOUR CLUBS TWO,0.6216,0.0052,0.3732
CLUBS FIVE CLUBS TWO,0.6116,0.0062,0.3822
CLUBS JACK CLUBS TEN,0.6806,0.019,0.3004
DIAMONDS FOUR DIAMONDS SIX,0.5902,0.0034,0.4064
CLUBS QUEEN CLUBS TEN,0.5896,0.0066,0.4038
DIAMONDS FOUR DIAMONDS SEVEN,0.6114,0.0042,0.3844
CLUBS KING CLUBS TEN,0.5956,0.0054,0.399
CLUBS EIGHT CLUBS TWO,0.6444,0.0042,0.3514
DIAMONDS FIVE DIAMONDS FOUR,0.5846,0.0066,0.4088
