opposingHand,winningChance,drawChance,lostChance
SPADES JACK CLUBS KING
SPADES TEN HEARTS FIVE,0.6844,0.0064,0.3092
SPADES FIVE CLUBS JACK,0.7432,0.0278,0.229
SPADES FIVE CLUBS TEN,0.6862,0.0086,0.3052
CLUBS EIGHT CLUBS JACK,0.7008,0.0298,0.2694
CLUBS EIGHT CLUBS TEN,0.611,0.0092,0.3798
SPADES FIVE CLUBS ACE,0.4096,0.005,0.5854
CLUBS EIGHT CLUBS QUEEN,0.6114,0.0076,0.381
SPADES FIVE CLUBS QUEEN,0.6538,0.0058,0.3404
CLUBS EIGHT CLUBS ACE,0.4054,0.0056,0.589
DIAMONDS TWO DIAMONDS THREE,0.6078,0.0074,0.3848
DIAMONDS TWO DIAMONDS FIVE,0.6064,0.0072,0.3864
SPADES KING HEARTS FIVE,0.6506,0.087,0.2624
DIAMONDS TWO DIAMONDS FOUR,0.6092,0.0062,0.3846
SPADES QUEEN HEARTS FIVE,0.6488,0.0064,0.3448
DIAMONDS TWO DIAMONDS SEVEN,0.61,0.0092,0.3808
DIAMONDS TWO DIAMONDS SIX,0.626,0.0066,0.3674
SPADES ACE HEARTS FIVE,0.4184,0.0058,0.5758
DIAMONDS TWO DIAMONDS NINE,0.6348,0.0074,0.3578
DIAMONDS TWO DIAMONDS EIGHT,0.6142,0.0052,0.3806
DIAMONDS THREE DIAMONDS FOUR,0.5964,0.0082,0.3954
CLUBS TWO SPADES FOUR,0.665,0.0094,0.3256
DIAMONDS THREE DIAMONDS FIVE,0.5936,0.007,0.3994
CLUBS TWO SPADES FIVE,0.6546,0.0066,0.3388
CLUBS TWO SPADES TWO,0.4742,0.011,0.5148
CLUBS TWO SPADES THREE,0.6634,0.0088,0.3278
DIAMONDS THREE DIAMONDS EIGHT,0.631,0.0062,0.3628
SPADES EIGHT CLUBS TWO,0.6774,0.0086,0.314
DIAMONDS THREE DIAMONDS NINE,0.62,0.007,0.373
SPADES NINE CLUBS TWO,0.6872,0.0058,0.307
DIAMONDS THREE DIAMONDS SIX,0.6218,0.0064,0.3718
CLUBS TWO SPADES SIX,0.677,0.007,0.316
DIAMONDS THREE DIAMONDS SEVEN,0.6208,0.0064,0.3728
SPADES SEVEN CLUBS TWO,0.673,0.01,0.317
CLUBS SIX CLUBS TWO,0.633,0.01,0.357
CLUBS SEVEN CLUBS TWO,0.633,0.011,0.356
CLUBS FOUR CLUBS TWO,0.6194,0.0086,0.372
CLUBS FIVE CLUBS TWO,0.6216,0.0074,0.371
CLUBS JACK CLUBS TEN,0.6884,0.0282,0.2834
DIAMONDS FOUR DIAMONDS SIX,0.5912,0.0076,0.4012
CLUBS QUEEN CLUBS TEN,0.607,0.0074,0.3856
DIAMONDS FOUR DIAMONDS SEVEN,0.6078,0.0056,0.3866
CLUBS ACE CLUBS TEN,0.3948,0.005,0.6002
CLUBS EIGHT CLUBS TWO,0.6386,0.0078,0.3536
DIAMONDS FIVE DIAMONDS FOUR,0.585,0.0068,0.4082
CLUBS NINE CLUBS TWO,0.6402,0.0078,0.352
DIAMONDS NINE DIAMONDS FOUR,0.6406,0.005,0.3544
DIAMONDS EIGHT DIAMONDS FOUR,0.6176,0.0066,0.3758
CLUBS TWO CLUBS THREE,0.6232,0.0084,0.3684
DIAMONDS NINE DIAMONDS FIVE,0.6228,0.0082,0.369
DIAMONDS TWO CLUBS JACK,0.748,0.0316,0.2204
DIAMONDS EIGHT DIAMONDS FIVE,0.6004,0.0062,0.3934
DIAMONDS TWO CLUBS TEN,0.695,0.0056,0.2994
DIAMONDS FIVE DIAMONDS SEVEN,0.585,0.0048,0.4102
DIAMONDS FIVE DIAMONDS SIX,0.5874,0.005,0.4076
DIAMONDS TWO CLUBS ACE,0.4196,0.004,0.5764
DIAMONDS TWO CLUBS QUEEN,0.6524,0.0074,0.3402
DIAMONDS EIGHT DIAMONDS SIX,0.602,0.0052,0.3928
DIAMONDS NINE DIAMONDS SIX,0.6084,0.007,0.3846
HEARTS ACE SPADES THREE,0.4206,0.004,0.5754
HEARTS KING SPADES THREE,0.6874,0.0876,0.225
DIAMONDS SEVEN DIAMONDS SIX,0.5816,0.0064,0.412
SPADES THREE HEARTS QUEEN,0.667,0.0052,0.3278
SPADES THREE HEARTS JACK,0.7542,0.0306,0.2152
SPADES THREE HEARTS TEN,0.6866,0.0098,0.3036
DIAMONDS EIGHT DIAMONDS SEVEN,0.5918,0.0052,0.403
DIAMONDS NINE DIAMONDS SEVEN,0.5892,0.007,0.4038
DIAMONDS NINE DIAMONDS EIGHT,0.595,0.0046,0.4004
DIAMONDS KING HEARTS TEN,0.6738,0.0888,0.2374
HEARTS THREE HEARTS TEN,0.643,0.0056,0.3514
DIAMONDS KING HEARTS JACK,0.0216,0.9554,0.023
HEARTS THREE HEARTS JACK,0.6936,0.0288,0.2776
CLUBS SIX SPADES TEN,0.6722,0.0076,0.3202
SPADES TEN SPADES FIVE,0.6494,0.0068,0.3438
DIAMONDS KING HEARTS ACE,0.2596,0.009,0.7314
HEARTS THREE HEARTS ACE,0.403,0.0044,0.5926
SPADES ACE CLUBS SIX,0.4178,0.0046,0.5776
DIAMONDS KING HEARTS QUEEN,0.2454,0.0584,0.6962
HEARTS THREE HEARTS QUEEN,0.6124,0.0064,0.3812
SPADES KING CLUBS SIX,0.6816,0.0894,0.229
DIAMONDS KING HEARTS KING,0.1134,0.0092,0.8774
HEARTS THREE HEARTS KING,0.6352,0.082,0.2828
SPADES QUEEN CLUBS SIX,0.6536,0.0078,0.3386
SPADES NINE HEARTS TEN,0.6354,0.0076,0.357
SPADES NINE HEARTS JACK,0.7142,0.0308,0.255
SPADES QUEEN SPADES FIVE,0.615,0.007,0.378
SPADES KING SPADES FIVE,0.649,0.0846,0.2664
SPADES ACE SPADES FIVE,0.3958,0.0056,0.5986
SPADES NINE HEARTS QUEEN,0.6358,0.0044,0.3598
SPADES NINE HEARTS KING,0.6778,0.0882,0.234
SPADES NINE HEARTS ACE,0.4206,0.0034,0.576
SPADES TEN CLUBS TEN,0.4318,0.005,0.5632
SPADES ACE CLUBS TEN,0.3918,0.0048,0.6034
SPADES KING CLUBS TEN,0.6888,0.08,0.2312
SPADES QUEEN CLUBS TEN,0.6316,0.0072,0.3612
SPADES FIVE HEARTS QUEEN,0.6532,0.0058,0.341
SPADES FIVE HEARTS KING,0.6766,0.0802,0.2432
SPADES FIVE HEARTS ACE,0.4232,0.005,0.5718
CLUBS EIGHT SPADES TEN,0.6612,0.0058,0.333
HEARTS THREE SPADES TEN,0.6828,0.0086,0.3086
SPADES TEN DIAMONDS KING,0.6808,0.0844,0.2348
SPADES ACE CLUBS EIGHT,0.4178,0.0052,0.577
HEARTS FIVE CLUBS JACK,0.7486,0.0314,0.22
CLUBS SIX HEARTS ACE,0.4326,0.004,0.5634
HEARTS FIVE CLUBS TEN,0.6874,0.0064,0.3062
CLUBS EIGHT SPADES QUEEN,0.636,0.0068,0.3572
SPADES THREE CLUBS TEN,0.7014,0.007,0.2916
CLUBS SIX HEARTS QUEEN,0.6514,0.0084,0.3402
CLUBS EIGHT SPADES KING,0.6836,0.089,0.2274
SPADES THREE CLUBS JACK,0.7522,0.0342,0.2136
CLUBS SIX HEARTS KING,0.6796,0.0852,0.2352
DIAMONDS TWO HEARTS JACK,0.7478,0.0326,0.2196
SPADES THREE CLUBS QUEEN,0.6582,0.0078,0.334
DIAMONDS TWO HEARTS TEN,0.681,0.0076,0.3114
HEARTS FIVE CLUBS ACE,0.4164,0.0048,0.5788
SPADES FIVE HEARTS TEN,0.6838,0.0048,0.3114
SPADES THREE CLUBS ACE,0.4254,0.0056,0.569
SPADES FIVE HEARTS JACK,0.7288,0.0346,0.2366
HEARTS FIVE CLUBS QUEEN,0.6418,0.009,0.3492
HEARTS THREE CLUBS QUEEN,0.6596,0.0054,0.335
DIAMONDS KING CLUBS QUEEN,0.2398,0.0644,0.6958
