opposingHand,winningChance,drawChance,lostChance
SPADES JACK CLUBS QUEEN
SPADES TEN HEARTS FIVE,0.6906,0.0128,0.2966
SPADES FIVE CLUBS JACK,0.7388,0.0394,0.2218
SPADES FIVE CLUBS TEN,0.6912,0.0116,0.2972
CLUBS EIGHT CLUBS JACK,0.6888,0.043,0.2682
CLUBS EIGHT CLUBS TEN,0.6264,0.0086,0.365
CLUBS EIGHT CLUBS KING,0.4136,0.0076,0.5788
SPADES FIVE CLUBS ACE,0.4306,0.0062,0.5632
SPADES FIVE CLUBS KING,0.4422,0.0082,0.5496
CLUBS EIGHT CLUBS ACE,0.4078,0.0054,0.5868
DIAMONDS TWO DIAMONDS THREE,0.615,0.0084,0.3766
DIAMONDS TWO DIAMONDS FIVE,0.6038,0.0086,0.3876
SPADES KING HEARTS FIVE,0.4338,0.007,0.5592
DIAMONDS TWO DIAMONDS FOUR,0.6036,0.0098,0.3866
SPADES QUEEN HEARTS FIVE,0.668,0.0898,0.2422
DIAMONDS TWO DIAMONDS SEVEN,0.6208,0.0098,0.3694
DIAMONDS TWO DIAMONDS SIX,0.6146,0.0062,0.3792
SPADES ACE HEARTS FIVE,0.4292,0.0044,0.5664
DIAMONDS TWO DIAMONDS NINE,0.6436,0.009,0.3474
DIAMONDS TWO DIAMONDS EIGHT,0.6248,0.0148,0.3604
DIAMONDS THREE DIAMONDS FOUR,0.5916,0.0116,0.3968
CLUBS TWO SPADES FOUR,0.652,0.0114,0.3366
DIAMONDS THREE DIAMONDS FIVE,0.591,0.0116,0.3974
CLUBS TWO SPADES FIVE,0.652,0.013,0.335
CLUBS TWO SPADES TWO,0.5034,0.0142,0.4824
CLUBS TWO SPADES THREE,0.6624,0.0088,0.3288
DIAMONDS THREE DIAMONDS EIGHT,0.6192,0.0084,0.3724
SPADES EIGHT CLUBS TWO,0.6744,0.0122,0.3134
DIAMONDS THREE DIAMONDS NINE,0.6266,0.0114,0.362
SPADES NINE CLUBS TWO,0.6846,0.011,0.3044
DIAMONDS THREE DIAMONDS SIX,0.6166,0.0086,0.3748
CLUBS TWO SPADES SIX,0.6748,0.0078,0.3174
DIAMONDS THREE DIAMONDS SEVEN,0.6268,0.0076,0.3656
SPADES SEVEN CLUBS TWO,0.6906,0.0124,0.297
CLUBS SIX CLUBS TWO,0.6338,0.011,0.3552
CLUBS SEVEN CLUBS TWO,0.6432,0.0096,0.3472
CLUBS FOUR CLUBS TWO,0.6366,0.0096,0.3538
CLUBS FIVE CLUBS TWO,0.6086,0.0094,0.382
CLUBS JACK CLUBS TEN,0.6926,0.0328,0.2746
DIAMONDS FOUR DIAMONDS SIX,0.5998,0.0094,0.3908
DIAMONDS FOUR DIAMONDS SEVEN,0.6092,0.0084,0.3824
CLUBS KING CLUBS TEN,0.3738,0.007,0.6192
CLUBS ACE CLUBS TEN,0.3948,0.006,0.5992
CLUBS EIGHT CLUBS TWO,0.6424,0.0118,0.3458
DIAMONDS FIVE DIAMONDS FOUR,0.5744,0.0102,0.4154
CLUBS NINE CLUBS TWO,0.6336,0.0104,0.356
DIAMONDS NINE DIAMONDS FOUR,0.6322,0.0102,0.3576
DIAMONDS EIGHT DIAMONDS FOUR,0.61,0.0096,0.3804
CLUBS TWO CLUBS THREE,0.634,0.0104,0.3556
DIAMONDS NINE DIAMONDS FIVE,0.62,0.0084,0.3716
