opposingHand,winningChance,drawChance,lostChance
SPADES JACK DIAMONDS EIGHT
HEARTS FIVE SPADES TEN,0.6434,0.017,0.3396
SPADES FIVE CLUBS JACK,0.5446,0.2282,0.2272
CLUBS TEN SPADES FIVE,0.6482,0.0176,0.3342
CLUBS EIGHT CLUBS JACK,0.024,0.9054,0.0706
CLUBS TEN CLUBS EIGHT,0.6546,0.0516,0.2938
CLUBS EIGHT CLUBS KING,0.2598,0.0308,0.7094
SPADES FIVE CLUBS ACE,0.425,0.005,0.57
CLUBS EIGHT CLUBS QUEEN,0.238,0.0366,0.7254
SPADES FIVE CLUBS KING,0.4256,0.008,0.5664
SPADES FIVE CLUBS QUEEN,0.4206,0.0108,0.5686
CLUBS EIGHT CLUBS ACE,0.2532,0.0192,0.7276
DIAMONDS TWO DIAMONDS THREE,0.6134,0.0158,0.3708
DIAMONDS TWO DIAMONDS FIVE,0.6062,0.0214,0.3724
HEARTS FIVE SPADES KING,0.4156,0.0072,0.5772
DIAMONDS TWO DIAMONDS FOUR,0.6104,0.0182,0.3714
HEARTS FIVE SPADES QUEEN,0.4126,0.0108,0.5766
DIAMONDS TWO DIAMONDS SEVEN,0.625,0.0202,0.3548
DIAMONDS TWO DIAMONDS SIX,0.6326,0.0156,0.3518
SPADES ACE HEARTS FIVE,0.3888,0.0046,0.6066
DIAMONDS TWO DIAMONDS NINE,0.6042,0.0194,0.3764
DIAMONDS THREE DIAMONDS FOUR,0.607,0.0168,0.3762
SPADES FOUR CLUBS TWO,0.6414,0.0174,0.3412
DIAMONDS THREE DIAMONDS FIVE,0.5908,0.0202,0.389
SPADES FIVE CLUBS TWO,0.6336,0.0182,0.3482
CLUBS TWO SPADES TWO,0.4544,0.0356,0.51
CLUBS TWO SPADES THREE,0.6334,0.019,0.3476
SPADES EIGHT CLUBS TWO,0.7222,0.0604,0.2174
DIAMONDS THREE DIAMONDS NINE,0.6178,0.0144,0.3678
SPADES NINE CLUBS TWO,0.6636,0.0176,0.3188
DIAMONDS THREE DIAMONDS SIX,0.6154,0.0194,0.3652
SPADES SIX CLUBS TWO,0.6618,0.0218,0.3164
DIAMONDS THREE DIAMONDS SEVEN,0.6322,0.0186,0.3492
SPADES SEVEN CLUBS TWO,0.669,0.0182,0.3128
CLUBS SIX CLUBS TWO,0.6032,0.0158,0.381
CLUBS SEVEN CLUBS TWO,0.6172,0.0168,0.366
CLUBS FOUR CLUBS TWO,0.5958,0.0204,0.3838
CLUBS FIVE CLUBS TWO,0.6002,0.0188,0.381
CLUBS TEN CLUBS JACK,0.2218,0.1098,0.6684
DIAMONDS FOUR DIAMONDS SIX,0.6054,0.0162,0.3784
CLUBS TEN CLUBS QUEEN,0.334,0.011,0.655
DIAMONDS FOUR DIAMONDS SEVEN,0.617,0.017,0.366
CLUBS TEN CLUBS KING,0.3304,0.008,0.6616
CLUBS TEN CLUBS ACE,0.352,0.0028,0.6452
CLUBS EIGHT CLUBS TWO,0.676,0.059,0.265
DIAMONDS FIVE DIAMONDS FOUR,0.5776,0.019,0.4034
CLUBS NINE CLUBS TWO,0.6042,0.0148,0.381
DIAMONDS NINE DIAMONDS FOUR,0.622,0.0192,0.3588
CLUBS THREE CLUBS TWO,0.6106,0.0196,0.3698
DIAMONDS NINE DIAMONDS FIVE,0.6054,0.0184,0.3762
DIAMONDS TWO CLUBS JACK,0.559,0.2218,0.2192
CLUBS TEN DIAMONDS TWO,0.6568,0.0168,0.3264
DIAMONDS FIVE DIAMONDS SEVEN,0.6012,0.0192,0.3796
DIAMONDS FIVE DIAMONDS SIX,0.5886,0.0176,0.3938
DIAMONDS TWO CLUBS ACE,0.4234,0.0042,0.5724
DIAMONDS TWO CLUBS KING,0.4306,0.005,0.5644
DIAMONDS TWO CLUBS QUEEN,0.4246,0.0098,0.5656
DIAMONDS NINE DIAMONDS SIX,0.5796,0.016,0.4044
HEARTS ACE SPADES THREE,0.4204,0.004,0.5756
SPADES THREE HEARTS KING,0.4192,0.0086,0.5722
DIAMONDS SEVEN DIAMONDS SIX,0.602,0.0158,0.3822
SPADES THREE HEARTS QUEEN,0.4342,0.0076,0.5582
SPADES THREE HEARTS JACK,0.556,0.222,0.222
SPADES THREE HEARTS TEN,0.6632,0.0198,0.317
DIAMONDS NINE DIAMONDS SEVEN,0.5796,0.016,0.4044
DIAMONDS KING HEARTS TEN,0.3534,0.0064,0.6402
HEARTS THREE HEARTS TEN,0.5976,0.0124,0.39
DIAMONDS KING HEARTS JACK,0.2334,0.028,0.7386
HEARTS THREE HEARTS JACK,0.5116,0.2074,0.281
SPADES TEN CLUBS SIX,0.6316,0.0166,0.3518
SPADES TEN SPADES FIVE,0.6036,0.0174,0.379
DIAMONDS KING HEARTS ACE,0.343,0.004,0.653
HEARTS THREE HEARTS ACE,0.3826,0.0038,0.6136
SPADES ACE CLUBS SIX,0.4192,0.005,0.5758
DIAMONDS KING HEARTS QUEEN,0.3366,0.0072,0.6562
HEARTS THREE HEARTS QUEEN,0.389,0.0102,0.6008
SPADES KING CLUBS SIX,0.4116,0.0048,0.5836
DIAMONDS KING HEARTS KING,0.1542,0.0076,0.8382
HEARTS THREE HEARTS KING,0.3948,0.0072,0.598
SPADES QUEEN CLUBS SIX,0.4164,0.0122,0.5714
SPADES NINE HEARTS TEN,0.5718,0.0196,0.4086
