opposingHand,winningChance,drawChance,lostChance
SPADES JACK DIAMONDS FIVE
HEARTS FIVE SPADES TEN,0.6976,0.0714,0.231
SPADES FIVE CLUBS JACK,0.0166,0.9732,0.0102
CLUBS TEN SPADES FIVE,0.6972,0.0642,0.2386
CLUBS EIGHT CLUBS JACK,0.2214,0.2204,0.5582
CLUBS TEN CLUBS EIGHT,0.5138,0.0152,0.471
CLUBS EIGHT CLUBS KING,0.3482,0.0042,0.6476
SPADES FIVE CLUBS ACE,0.2276,0.03,0.7424
CLUBS EIGHT CLUBS QUEEN,0.3198,0.0102,0.67
SPADES FIVE CLUBS KING,0.2378,0.0438,0.7184
SPADES FIVE CLUBS QUEEN,0.235,0.0494,0.7156
CLUBS EIGHT CLUBS ACE,0.3348,0.0032,0.662
DIAMONDS TWO DIAMONDS THREE,0.6008,0.024,0.3752
HEARTS FIVE SPADES KING,0.2368,0.0416,0.7216
DIAMONDS TWO DIAMONDS FOUR,0.6138,0.0214,0.3648
HEARTS FIVE SPADES QUEEN,0.2258,0.05,0.7242
DIAMONDS TWO DIAMONDS SEVEN,0.5982,0.0174,0.3844
DIAMONDS TWO DIAMONDS SIX,0.602,0.0192,0.3788
SPADES ACE HEARTS FIVE,0.2248,0.0294,0.7458
DIAMONDS TWO DIAMONDS NINE,0.5832,0.0194,0.3974
DIAMONDS TWO DIAMONDS EIGHT,0.5882,0.0146,0.3972
DIAMONDS THREE DIAMONDS FOUR,0.5924,0.0206,0.387
SPADES FOUR CLUBS TWO,0.6178,0.025,0.3572
SPADES FIVE CLUBS TWO,0.6806,0.0662,0.2532
CLUBS TWO SPADES TWO,0.4136,0.0482,0.5382
CLUBS TWO SPADES THREE,0.6406,0.0198,0.3396
DIAMONDS THREE DIAMONDS EIGHT,0.6056,0.0184,0.376
SPADES EIGHT CLUBS TWO,0.6234,0.0242,0.3524
DIAMONDS THREE DIAMONDS NINE,0.579,0.0228,0.3982
SPADES NINE CLUBS TWO,0.637,0.0192,0.3438
DIAMONDS THREE DIAMONDS SIX,0.582,0.0212,0.3968
SPADES SIX CLUBS TWO,0.633,0.0196,0.3474
DIAMONDS THREE DIAMONDS SEVEN,0.581,0.02,0.399
SPADES SEVEN CLUBS TWO,0.6282,0.0212,0.3506
CLUBS SIX CLUBS TWO,0.585,0.0188,0.3962
CLUBS SEVEN CLUBS TWO,0.6058,0.0162,0.378
CLUBS FOUR CLUBS TWO,0.596,0.0208,0.3832
CLUBS FIVE CLUBS TWO,0.6552,0.0628,0.282
CLUBS TEN CLUBS JACK,0.2264,0.1178,0.6558
DIAMONDS SIX DIAMONDS FOUR,0.5672,0.0192,0.4136
CLUBS TEN CLUBS QUEEN,0.3176,0.008,0.6744
DIAMONDS FOUR DIAMONDS SEVEN,0.5774,0.0178,0.4048
CLUBS TEN CLUBS KING,0.3172,0.0072,0.6756
CLUBS TEN CLUBS ACE,0.3292,0.0028,0.668
CLUBS EIGHT CLUBS TWO,0.5738,0.0212,0.405
CLUBS NINE CLUBS TWO,0.594,0.0196,0.3864
DIAMONDS NINE DIAMONDS FOUR,0.5896,0.0196,0.3908
DIAMONDS FOUR DIAMONDS EIGHT,0.5978,0.0168,0.3854
CLUBS THREE CLUBS TWO,0.5992,0.0194,0.3814
DIAMONDS TWO CLUBS JACK,0.3184,0.472,0.2096
CLUBS TEN DIAMONDS TWO,0.6254,0.018,0.3566
DIAMONDS TWO CLUBS ACE,0.3976,0.0048,0.5976
DIAMONDS TWO CLUBS KING,0.4044,0.0076,0.588
DIAMONDS TWO CLUBS QUEEN,0.4022,0.0108,0.587
DIAMONDS SIX DIAMONDS EIGHT,0.5344,0.0196,0.446
DIAMONDS NINE DIAMONDS SIX,0.549,0.0186,0.4324
HEARTS ACE SPADES THREE,0.3802,0.0054,0.6144
SPADES THREE HEARTS KING,0.4032,0.0086,0.5882
DIAMONDS SIX DIAMONDS SEVEN,0.513,0.0202,0.4668
SPADES THREE HEARTS QUEEN,0.3908,0.0114,0.5978
SPADES THREE HEARTS JACK,0.3214,0.4692,0.2094
SPADES THREE HEARTS TEN,0.6294,0.017,0.3536
DIAMONDS EIGHT DIAMONDS SEVEN,0.5192,0.0158,0.465
DIAMONDS NINE DIAMONDS SEVEN,0.5264,0.0168,0.4568
DIAMONDS NINE DIAMONDS EIGHT,0.5084,0.0182,0.4734
DIAMONDS KING HEARTS TEN,0.3432,0.006,0.6508
HEARTS THREE HEARTS TEN,0.5702,0.0202,0.4096
DIAMONDS KING HEARTS JACK,0.2266,0.0294,0.744
HEARTS THREE HEARTS JACK,0.2966,0.4324,0.271
SPADES TEN CLUBS SIX,0.5908,0.0132,0.396
SPADES TEN SPADES FIVE,0.6742,0.0622,0.2636
DIAMONDS KING HEARTS ACE,0.3136,0.0048,0.6816
HEARTS THREE HEARTS ACE,0.3492,0.0036,0.6472
SPADES ACE CLUBS SIX,0.3586,0.0044,0.637
DIAMONDS KING HEARTS QUEEN,0.3192,0.0066,0.6742
HEARTS THREE HEARTS QUEEN,0.3642,0.0128,0.623
SPADES KING CLUBS SIX,0.3626,0.0062,0.6312
DIAMONDS KING HEARTS KING,0.1372,0.0076,0.8552
HEARTS THREE HEARTS KING,0.3736,0.0078,0.6186
SPADES QUEEN CLUBS SIX,0.356,0.0134,0.6306
SPADES NINE HEARTS TEN,0.5308,0.0134,0.4558
SPADES NINE HEARTS JACK,0.232,0.1672,0.6008
SPADES QUEEN SPADES FIVE,0.221,0.0476,0.7314
SPADES KING SPADES FIVE,0.2148,0.04,0.7452
SPADES ACE SPADES FIVE,0.237,0.026,0.737
SPADES NINE HEARTS QUEEN,0.344,0.0128,0.6432
SPADES NINE HEARTS KING,0.3504,0.007,0.6426
SPADES NINE HEARTS ACE,0.3624,0.0036,0.634
CLUBS TEN SPADES TEN,0.291,0.023,0.686
SPADES ACE CLUBS TEN,0.3464,0.0022,0.6514
SPADES KING CLUBS TEN,0.3362,0.0062,0.6576
CLUBS TEN SPADES QUEEN,0.3238,0.0098,0.6664
SPADES FIVE HEARTS QUEEN,0.235,0.052,0.713
SPADES FIVE HEARTS KING,0.2272,0.044,0.7288
SPADES FIVE HEARTS ACE,0.2352,0.0292,0.7356
SPADES TEN CLUBS EIGHT,0.5578,0.0198,0.4224
SPADES TEN HEARTS THREE,0.6388,0.017,0.3442
SPADES TEN DIAMONDS KING,0.3334,0.0074,0.6592
CLUBS SIX HEARTS ACE,0.3664,0.0052,0.6284
SPADES ACE CLUBS EIGHT,0.366,0.0034,0.6306
HEARTS FIVE CLUBS JACK,0.0244,0.954,0.0216
HEARTS FIVE CLUBS TEN,0.6992,0.06,0.2408
CLUBS SIX HEARTS QUEEN,0.3684,0.0084,0.6232
SPADES QUEEN CLUBS EIGHT,0.3428,0.0104,0.6468
CLUBS TEN SPADES THREE,0.6294,0.0188,0.3518
CLUBS SIX HEARTS KING,0.3592,0.007,0.6338
SPADES KING CLUBS EIGHT,0.3648,0.0064,0.6288
SPADES THREE CLUBS JACK,0.3206,0.4698,0.2096
DIAMONDS TWO HEARTS JACK,0.3188,0.473,0.2082
SPADES THREE CLUBS QUEEN,0.405,0.0128,0.5822
DIAMONDS TWO HEARTS TEN,0.631,0.019,0.35
SPADES THREE CLUBS KING,0.3966,0.0078,0.5956
HEARTS FIVE CLUBS ACE,0.238,0.0302,0.7318
SPADES FIVE HEARTS TEN,0.708,0.0672,0.2248
SPADES THREE CLUBS ACE,0.3958,0.0044,0.5998
HEARTS FIVE CLUBS KING,0.237,0.0376,0.7254
SPADES FIVE HEARTS JACK,0.0156,0.9762,0.0082
HEARTS FIVE CLUBS QUEEN,0.2418,0.0536,0.7046
HEARTS THREE CLUBS KING,0.3936,0.0098,0.5966
DIAMONDS KING CLUBS KING,0.1284,0.0074,0.8642
HEARTS THREE CLUBS QUEEN,0.3986,0.011,0.5904
DIAMONDS KING CLUBS QUEEN,0.314,0.0054,0.6806
HEARTS FIVE HEARTS JACK,0.0212,0.9066,0.0722
HEARTS FIVE HEARTS TEN,0.6628,0.0658,0.2714
HEARTS THREE CLUBS ACE,0.3902,0.0036,0.6062
DIAMONDS KING CLUBS ACE,0.3096,0.0042,0.6862
SPADES ACE CLUBS QUEEN,0.3098,0.0044,0.6858
SPADES KING CLUBS QUEEN,0.319,0.0064,0.6746
HEARTS THREE CLUBS JACK,0.3208,0.4612,0.218
DIAMONDS KING CLUBS JACK,0.225,0.035,0.74
SPADES QUEEN CLUBS QUEEN,0.1438,0.0096,0.8466
CLUBS TEN HEARTS THREE,0.6286,0.0194,0.352
CLUBS TEN DIAMONDS KING,0.3372,0.0078,0.655
CLUBS SIX CLUBS QUEEN,0.342,0.0088,0.6492
SPADES TEN CLUBS QUEEN,0.3396,0.0084,0.652
CLUBS SIX CLUBS KING,0.344,0.008,0.648
CLUBS SIX CLUBS ACE,0.3522,0.0036,0.6442
HEARTS FIVE HEARTS KING,0.2258,0.0406,0.7336
HEARTS FIVE HEARTS QUEEN,0.22,0.0486,0.7314
CLUBS TEN CLUBS SIX,0.5394,0.017,0.4436
HEARTS FIVE HEARTS ACE,0.226,0.0258,0.7482
CLUBS SIX CLUBS JACK,0.2122,0.3586,0.4292
SPADES SEVEN HEARTS JACK,0.2216,0.2934,0.485
SPADES SEVEN HEARTS TEN,0.5684,0.0172,0.4144
DIAMONDS TWO CLUBS TWO,0.4206,0.047,0.5324
DIAMONDS TWO CLUBS THREE,0.6338,0.0244,0.3418
DIAMONDS TWO HEARTS SIX,0.6392,0.0216,0.3392
DIAMONDS TWO HEARTS QUEEN,0.3854,0.0098,0.6048
HEARTS SEVEN DIAMONDS TWO,0.6332,0.0166,0.3502
DIAMONDS TWO HEARTS KING,0.4104,0.0102,0.5794
DIAMONDS TWO HEARTS EIGHT,0.6378,0.02,0.3422
DIAMONDS TWO HEARTS ACE,0.396,0.004,0.6
DIAMONDS TWO HEARTS NINE,0.6312,0.02,0.3488
DIAMONDS TWO DIAMONDS QUEEN,0.3818,0.0128,0.6054
DIAMONDS TWO HEARTS TWO,0.4276,0.0532,0.5192
