opposingHand,winningChance,drawChance,lostChance
SPADES JACK DIAMONDS QUEEN
HEARTS FIVE SPADES TEN,0.6792,0.0104,0.3104
SPADES FIVE CLUBS JACK,0.7408,0.0344,0.2248
CLUBS TEN SPADES FIVE,0.6822,0.0114,0.3064
CLUBS EIGHT CLUBS JACK,0.6682,0.0378,0.294
CLUBS TEN CLUBS EIGHT,0.6126,0.0092,0.3782
CLUBS EIGHT CLUBS KING,0.4238,0.0062,0.57
SPADES FIVE CLUBS ACE,0.4278,0.0046,0.5676
CLUBS EIGHT CLUBS QUEEN,0.635,0.0824,0.2826
SPADES FIVE CLUBS KING,0.4512,0.0076,0.5412
SPADES FIVE CLUBS QUEEN,0.6838,0.0814,0.2348
CLUBS EIGHT CLUBS ACE,0.4,0.0044,0.5956
DIAMONDS TWO DIAMONDS THREE,0.629,0.0118,0.3592
DIAMONDS TWO DIAMONDS FIVE,0.6166,0.0124,0.371
HEARTS FIVE SPADES KING,0.4328,0.007,0.5602
DIAMONDS TWO DIAMONDS FOUR,0.6168,0.0116,0.3716
HEARTS FIVE SPADES QUEEN,0.6614,0.0912,0.2474
DIAMONDS TWO DIAMONDS SEVEN,0.6642,0.01,0.3258
DIAMONDS TWO DIAMONDS SIX,0.639,0.0116,0.3494
SPADES ACE HEARTS FIVE,0.4402,0.0044,0.5554
DIAMONDS TWO DIAMONDS NINE,0.6544,0.0116,0.334
DIAMONDS TWO DIAMONDS EIGHT,0.6432,0.008,0.3488
DIAMONDS THREE DIAMONDS FOUR,0.6018,0.0124,0.3858
SPADES FOUR CLUBS TWO,0.6536,0.0126,0.3338
DIAMONDS THREE DIAMONDS FIVE,0.6058,0.0092,0.385
SPADES FIVE CLUBS TWO,0.6482,0.0088,0.343
CLUBS TWO SPADES TWO,0.4746,0.0168,0.5086
CLUBS TWO SPADES THREE,0.668,0.0122,0.3198
DIAMONDS THREE DIAMONDS EIGHT,0.6446,0.01,0.3454
SPADES EIGHT CLUBS TWO,0.6716,0.01,0.3184
DIAMONDS THREE DIAMONDS NINE,0.6476,0.0112,0.3412
SPADES NINE CLUBS TWO,0.6836,0.0096,0.3068
DIAMONDS THREE DIAMONDS SIX,0.6218,0.0098,0.3684
SPADES SIX CLUBS TWO,0.6736,0.011,0.3154
DIAMONDS THREE DIAMONDS SEVEN,0.6358,0.0096,0.3546
SPADES SEVEN CLUBS TWO,0.6808,0.0102,0.309
CLUBS SIX CLUBS TWO,0.6226,0.012,0.3654
CLUBS SEVEN CLUBS TWO,0.626,0.0084,0.3656
CLUBS FOUR CLUBS TWO,0.6128,0.009,0.3782
CLUBS FIVE CLUBS TWO,0.6062,0.0134,0.3804
CLUBS TEN CLUBS JACK,0.677,0.0368,0.2862
DIAMONDS FOUR DIAMONDS SIX,0.605,0.01,0.385
CLUBS TEN CLUBS QUEEN,0.6352,0.0954,0.2694
DIAMONDS FOUR DIAMONDS SEVEN,0.6316,0.0092,0.3592
CLUBS TEN CLUBS KING,0.3754,0.0056,0.619
CLUBS TEN CLUBS ACE,0.3732,0.0064,0.6204
CLUBS EIGHT CLUBS TWO,0.626,0.0106,0.3634
DIAMONDS FIVE DIAMONDS FOUR,0.5854,0.0112,0.4034
CLUBS NINE CLUBS TWO,0.6334,0.0088,0.3578
DIAMONDS NINE DIAMONDS FOUR,0.6566,0.0114,0.332
DIAMONDS EIGHT DIAMONDS FOUR,0.6272,0.0124,0.3604
CLUBS THREE CLUBS TWO,0.6122,0.0106,0.3772
DIAMONDS NINE DIAMONDS FIVE,0.6402,0.009,0.3508
DIAMONDS TWO CLUBS JACK,0.7406,0.0424,0.217
DIAMONDS EIGHT DIAMONDS FIVE,0.6232,0.0102,0.3666
CLUBS TEN DIAMONDS TWO,0.691,0.0092,0.2998
DIAMONDS FIVE DIAMONDS SEVEN,0.6046,0.0106,0.3848
DIAMONDS FIVE DIAMONDS SIX,0.598,0.0102,0.3918
DIAMONDS TWO CLUBS ACE,0.4438,0.0052,0.551
DIAMONDS TWO CLUBS KING,0.4406,0.008,0.5514
DIAMONDS TWO CLUBS QUEEN,0.6822,0.0942,0.2236
DIAMONDS EIGHT DIAMONDS SIX,0.6054,0.011,0.3836
DIAMONDS NINE DIAMONDS SIX,0.6354,0.0108,0.3538
HEARTS ACE SPADES THREE,0.444,0.0054,0.5506
SPADES THREE HEARTS KING,0.4406,0.0078,0.5516
DIAMONDS SEVEN DIAMONDS SIX,0.629,0.0104,0.3606
SPADES THREE HEARTS QUEEN,0.68,0.0856,0.2344
SPADES THREE HEARTS JACK,0.7254,0.0442,0.2304
SPADES THREE HEARTS TEN,0.6974,0.0088,0.2938
DIAMONDS EIGHT DIAMONDS SEVEN,0.6038,0.0108,0.3854
DIAMONDS NINE DIAMONDS SEVEN,0.609,0.0118,0.3792
DIAMONDS NINE DIAMONDS EIGHT,0.6074,0.0104,0.3822
DIAMONDS KING HEARTS TEN,0.3982,0.0072,0.5946
HEARTS THREE HEARTS TEN,0.6456,0.008,0.3464
DIAMONDS KING HEARTS JACK,0.251,0.0218,0.7272
HEARTS THREE HEARTS JACK,0.684,0.0404,0.2756
SPADES TEN CLUBS SIX,0.6762,0.0128,0.311
SPADES TEN SPADES FIVE,0.653,0.0106,0.3364
DIAMONDS KING HEARTS ACE,0.3528,0.005,0.6422
HEARTS THREE HEARTS ACE,0.411,0.0056,0.5834
SPADES ACE CLUBS SIX,0.429,0.0046,0.5664
DIAMONDS KING HEARTS QUEEN,0.2408,0.029,0.7302
HEARTS THREE HEARTS QUEEN,0.6376,0.0882,0.2742
SPADES KING CLUBS SIX,0.4382,0.0062,0.5556
DIAMONDS KING HEARTS KING,0.155,0.0032,0.8418
HEARTS THREE HEARTS KING,0.4126,0.007,0.5804
SPADES QUEEN CLUBS SIX,0.6718,0.0854,0.2428
SPADES NINE HEARTS TEN,0.6456,0.009,0.3454
SPADES NINE HEARTS JACK,0.7096,0.0412,0.2492
SPADES QUEEN SPADES FIVE,0.6356,0.0862,0.2782
SPADES KING SPADES FIVE,0.405,0.007,0.588
SPADES ACE SPADES FIVE,0.4164,0.0044,0.5792
SPADES NINE HEARTS QUEEN,0.691,0.0802,0.2288
SPADES NINE HEARTS KING,0.4176,0.0066,0.5758
SPADES NINE HEARTS ACE,0.4266,0.0046,0.5688
CLUBS TEN SPADES TEN,0.4238,0.0112,0.565
SPADES ACE CLUBS TEN,0.4006,0.0058,0.5936
SPADES KING CLUBS TEN,0.406,0.0066,0.5874
CLUBS TEN SPADES QUEEN,0.6756,0.0884,0.236
SPADES FIVE HEARTS QUEEN,0.6734,0.0964,0.2302
SPADES FIVE HEARTS KING,0.4446,0.0062,0.5492
SPADES FIVE HEARTS ACE,0.4348,0.0042,0.561
SPADES TEN CLUBS EIGHT,0.669,0.0064,0.3246
SPADES TEN HEARTS THREE,0.687,0.0108,0.3022
SPADES TEN DIAMONDS KING,0.3954,0.0088,0.5958
CLUBS SIX HEARTS ACE,0.4256,0.0044,0.57
SPADES ACE CLUBS EIGHT,0.432,0.0036,0.5644
HEARTS FIVE CLUBS JACK,0.7288,0.038,0.2332
HEARTS FIVE CLUBS TEN,0.688,0.009,0.303
CLUBS SIX HEARTS QUEEN,0.6782,0.085,0.2368
SPADES QUEEN CLUBS EIGHT,0.667,0.0884,0.2446
CLUBS TEN SPADES THREE,0.6986,0.0106,0.2908
CLUBS SIX HEARTS KING,0.4292,0.0056,0.5652
SPADES KING CLUBS EIGHT,0.4308,0.0048,0.5644
SPADES THREE CLUBS JACK,0.747,0.045,0.208
DIAMONDS TWO HEARTS JACK,0.7388,0.0414,0.2198
SPADES THREE CLUBS QUEEN,0.674,0.094,0.232
DIAMONDS TWO HEARTS TEN,0.7064,0.0068,0.2868
SPADES THREE CLUBS KING,0.4438,0.0074,0.5488
HEARTS FIVE CLUBS ACE,0.4512,0.0034,0.5454
SPADES FIVE HEARTS TEN,0.6856,0.0108,0.3036
SPADES THREE CLUBS ACE,0.433,0.0056,0.5614
HEARTS FIVE CLUBS KING,0.4374,0.0066,0.556
SPADES FIVE HEARTS JACK,0.731,0.0404,0.2286
HEARTS FIVE CLUBS QUEEN,0.6742,0.0872,0.2386
HEARTS THREE CLUBS KING,0.4348,0.0062,0.559
DIAMONDS KING CLUBS KING,0.1514,0.0034,0.8452
HEARTS THREE CLUBS QUEEN,0.6798,0.0898,0.2304
DIAMONDS KING CLUBS QUEEN,0.2446,0.0254,0.73
HEARTS FIVE HEARTS JACK,0.6844,0.0408,0.2748
HEARTS FIVE HEARTS TEN,0.6344,0.0096,0.356
HEARTS THREE CLUBS ACE,0.4298,0.0056,0.5646
DIAMONDS KING CLUBS ACE,0.3604,0.0052,0.6344
SPADES ACE CLUBS QUEEN,0.2574,0.0174,0.7252
SPADES KING CLUBS QUEEN,0.2392,0.026,0.7348
HEARTS THREE CLUBS JACK,0.7344,0.0364,0.2292
DIAMONDS KING CLUBS JACK,0.262,0.0208,0.7172
SPADES QUEEN CLUBS QUEEN,0.117,0.0216,0.8614
CLUBS TEN HEARTS THREE,0.6752,0.0094,0.3154
CLUBS TEN DIAMONDS KING,0.4002,0.005,0.5948
CLUBS SIX CLUBS QUEEN,0.6386,0.093,0.2684
SPADES TEN CLUBS QUEEN,0.6862,0.0902,0.2236
CLUBS SIX CLUBS KING,0.4094,0.007,0.5836
CLUBS SIX CLUBS ACE,0.4246,0.0046,0.5708
HEARTS FIVE HEARTS KING,0.4036,0.0068,0.5896
HEARTS FIVE HEARTS QUEEN,0.6194,0.0926,0.288
CLUBS TEN CLUBS SIX,0.6264,0.0102,0.3634
HEARTS FIVE HEARTS ACE,0.4182,0.0034,0.5784
CLUBS SIX CLUBS JACK,0.6864,0.0408,0.2728
SPADES SEVEN HEARTS JACK,0.7502,0.0374,0.2124
SPADES SEVEN HEARTS TEN,0.6622,0.012,0.3258
DIAMONDS TWO CLUBS TWO,0.4798,0.0174,0.5028
DIAMONDS TWO CLUBS THREE,0.651,0.0116,0.3374
DIAMONDS TWO HEARTS SIX,0.6616,0.01,0.3284
DIAMONDS TWO HEARTS QUEEN,0.695,0.0872,0.2178
HEARTS SEVEN DIAMONDS TWO,0.678,0.0092,0.3128
DIAMONDS TWO HEARTS KING,0.4382,0.007,0.5548
DIAMONDS TWO HEARTS EIGHT,0.6632,0.0104,0.3264
DIAMONDS TWO HEARTS ACE,0.435,0.005,0.56
DIAMONDS TWO HEARTS NINE,0.6792,0.0088,0.312
DIAMONDS TWO HEARTS TWO,0.481,0.0154,0.5036
DIAMONDS TWO DIAMONDS KING,0.4214,0.0072,0.5714
DIAMONDS TWO HEARTS THREE,0.6414,0.013,0.3456
DIAMONDS TWO DIAMONDS ACE,0.4062,0.0052,0.5886
HEARTS FOUR DIAMONDS TWO,0.6504,0.0126,0.337
HEARTS FIVE DIAMONDS TWO,0.66,0.012,0.328
SPADES SEVEN HEARTS ACE,0.438,0.0044,0.5576
DIAMONDS TWO DIAMONDS TEN,0.6652,0.0126,0.3222
SPADES SEVEN HEARTS KING,0.438,0.0058,0.5562
DIAMONDS TWO DIAMONDS JACK,0.7032,0.0456,0.2512
SPADES SEVEN HEARTS QUEEN,0.6868,0.0926,0.2206
DIAMONDS TWO SPADES NINE,0.6906,0.012,0.2974
DIAMONDS TWO SPADES EIGHT,0.691,0.0106,0.2984
DIAMONDS TWO SPADES SEVEN,0.6882,0.0106,0.3012
DIAMONDS TWO SPADES SIX,0.6652,0.0102,0.3246
DIAMONDS TWO SPADES FIVE,0.646,0.0102,0.3438
DIAMONDS TWO SPADES FOUR,0.6596,0.0108,0.3296
DIAMONDS TWO SPADES THREE,0.6644,0.0152,0.3204
DIAMONDS TWO SPADES TWO,0.4912,0.0162,0.4926
CLUBS NINE DIAMONDS TWO,0.678,0.0112,0.3108
DIAMONDS TWO CLUBS EIGHT,0.6854,0.0094,0.3052
CLUBS SEVEN DIAMONDS TWO,0.6796,0.0106,0.3098
DIAMONDS TWO CLUBS SIX,0.6714,0.0106,0.318
DIAMONDS TWO CLUBS FIVE,0.6534,0.0112,0.3354
DIAMONDS TWO CLUBS FOUR,0.657,0.009,0.334
CLUBS FOUR SPADES FIVE,0.6208,0.012,0.3672
CLUBS FOUR SPADES FOUR,0.4766,0.015,0.5084
CLUBS FOUR SPADES THREE,0.6396,0.0084,0.352
CLUBS FOUR SPADES TWO,0.6576,0.012,0.3304
SPADES NINE CLUBS FOUR,0.6692,0.0098,0.321
SPADES EIGHT CLUBS FOUR,0.6594,0.0124,0.3282
SPADES SEVEN CLUBS FOUR,0.6512,0.012,0.3368
SPADES SIX CLUBS FOUR,0.6376,0.0088,0.3536
SPADES ACE DIAMONDS SIX,0.4376,0.0042,0.5582
SPADES QUEEN DIAMONDS SIX,0.6764,0.0866,0.237
SPADES KING DIAMONDS SIX,0.4294,0.009,0.5616
SPADES TEN DIAMONDS SIX,0.6836,0.007,0.3094
SPADES QUEEN SPADES TWO,0.6632,0.0852,0.2516
SPADES KING SPADES TWO,0.4212,0.0068,0.572
SPADES ACE SPADES TWO,0.416,0.007,0.577
DIAMONDS JACK CLUBS JACK,0.3234,0.0198,0.6568
CLUBS TEN DIAMONDS JACK,0.7146,0.037,0.2484
