opposingHand,winningChance,drawChance,lostChance
SPADES JACK HEARTS FIVE
SPADES TWO CLUBS ACE,0.383,0.006,0.611
HEARTS TWO DIAMONDS JACK,0.3162,0.469,0.2148
SPADES ACE SPADES FIVE,0.2356,0.0278,0.7366
CLUBS FOUR HEARTS QUEEN,0.3794,0.0108,0.6098
DIAMONDS SIX DIAMONDS FIVE,0.622,0.055,0.323
SPADES FOUR DIAMONDS SEVEN,0.6248,0.0196,0.3556
CLUBS TEN CLUBS SIX,0.544,0.0198,0.4362
HEARTS TWO HEARTS JACK,0.3122,0.444,0.2438
HEARTS FOUR DIAMONDS JACK,0.3266,0.4618,0.2116
SPADES TWO DIAMONDS FIVE,0.697,0.0702,0.2328
DIAMONDS KING SPADES THREE,0.3948,0.007,0.5982
SPADES FOUR DIAMONDS FIVE,0.6486,0.0652,0.2862
SPADES SEVEN SPADES TWO,0.6094,0.0196,0.371
CLUBS KING DIAMONDS FOUR,0.3928,0.0086,0.5986
SPADES ACE HEARTS KING,0.3138,0.0038,0.6824
DIAMONDS EIGHT CLUBS KING,0.3768,0.007,0.6162
HEARTS JACK DIAMONDS FIVE,0.0096,0.9708,0.0196
SPADES KING HEARTS SIX,0.3546,0.0088,0.6366
SPADES TEN HEARTS THREE,0.6248,0.0218,0.3534
SPADES FIVE HEARTS NINE,0.6956,0.0604,0.244
HEARTS JACK CLUBS KING,0.2272,0.0326,0.7402
SPADES TEN CLUBS TWO,0.6338,0.0224,0.3438
HEARTS SEVEN SPADES QUEEN,0.364,0.0122,0.6238
DIAMONDS SEVEN HEARTS EIGHT,0.5422,0.0206,0.4372
DIAMONDS QUEEN HEARTS ACE,0.3144,0.0036,0.682
DIAMONDS THREE HEARTS JACK,0.308,0.4714,0.2206
SPADES KING SPADES TWO,0.3802,0.0078,0.612
SPADES NINE SPADES TWO,0.6044,0.0202,0.3754
DIAMONDS NINE HEARTS TEN,0.5214,0.0202,0.4584
CLUBS TEN DIAMONDS SIX,0.5818,0.0166,0.4016
DIAMONDS TWO SPADES TEN,0.618,0.0186,0.3634
SPADES FOUR HEARTS JACK,0.321,0.4634,0.2156
