opposingHand,winningChance,drawChance,lostChance
SPADES JACK HEARTS JACK
SPADES TEN HEARTS FIVE,0.8404,0.0244,0.1352
SPADES FIVE CLUBS JACK,0.876,0.0368,0.0872
CLUBS TEN SPADES FIVE,0.8398,0.0202,0.14
CLUBS EIGHT CLUBS JACK,0.8098,0.034,0.1562
CLUBS TEN CLUBS EIGHT,0.7656,0.0258,0.2086
CLUBS EIGHT CLUBS KING,0.6676,0.0046,0.3278
SPADES FIVE CLUBS ACE,0.6814,0.0034,0.3152
CLUBS EIGHT CLUBS QUEEN,0.6602,0.01,0.3298
SPADES FIVE CLUBS KING,0.7038,0.0058,0.2904
SPADES FIVE CLUBS QUEEN,0.7148,0.0102,0.275
CLUBS EIGHT CLUBS ACE,0.6494,0.0038,0.3468
DIAMONDS TWO DIAMONDS THREE,0.7522,0.0524,0.1954
DIAMONDS TWO DIAMONDS FIVE,0.7566,0.0488,0.1946
SPADES KING HEARTS FIVE,0.6958,0.0062,0.298
DIAMONDS TWO DIAMONDS FOUR,0.7478,0.053,0.1992
SPADES QUEEN HEARTS FIVE,0.7126,0.0098,0.2776
DIAMONDS TWO DIAMONDS SEVEN,0.7802,0.0392,0.1806
DIAMONDS TWO DIAMONDS SIX,0.7552,0.0502,0.1946
SPADES ACE HEARTS FIVE,0.67,0.0062,0.3238
DIAMONDS TWO DIAMONDS NINE,0.7874,0.0324,0.1802
DIAMONDS TWO DIAMONDS EIGHT,0.7866,0.0338,0.1796
DIAMONDS THREE DIAMONDS FOUR,0.7404,0.0438,0.2158
SPADES FOUR CLUBS TWO,0.8014,0.0518,0.1468
DIAMONDS THREE DIAMONDS FIVE,0.7304,0.0482,0.2214
SPADES FIVE CLUBS TWO,0.7996,0.0546,0.1458
CLUBS TWO SPADES TWO,0.7286,0.093,0.1784
CLUBS TWO SPADES THREE,0.798,0.0552,0.1468
DIAMONDS THREE DIAMONDS EIGHT,0.7896,0.0366,0.1738
SPADES EIGHT CLUBS TWO,0.8336,0.0364,0.13
DIAMONDS THREE DIAMONDS NINE,0.7892,0.028,0.1828
SPADES NINE CLUBS TWO,0.8382,0.031,0.1308
DIAMONDS THREE DIAMONDS SIX,0.7468,0.048,0.2052
SPADES SIX CLUBS TWO,0.8248,0.0434,0.1318
DIAMONDS THREE DIAMONDS SEVEN,0.769,0.0392,0.1918
SPADES SEVEN CLUBS TWO,0.8302,0.0502,0.1196
CLUBS SIX CLUBS TWO,0.7772,0.047,0.1758
CLUBS SEVEN CLUBS TWO,0.7902,0.0384,0.1714
CLUBS FOUR CLUBS TWO,0.7664,0.0524,0.1812
CLUBS FIVE CLUBS TWO,0.7436,0.0534,0.203
CLUBS TEN CLUBS JACK,0.7776,0.028,0.1944
DIAMONDS FOUR DIAMONDS SIX,0.7496,0.0454,0.205
CLUBS TEN CLUBS QUEEN,0.6438,0.0118,0.3444
DIAMONDS FOUR DIAMONDS SEVEN,0.759,0.042,0.199
CLUBS TEN CLUBS KING,0.6514,0.0062,0.3424
CLUBS TEN CLUBS ACE,0.6622,0.0036,0.3342
CLUBS EIGHT CLUBS TWO,0.7846,0.037,0.1784
DIAMONDS FIVE DIAMONDS FOUR,0.7276,0.047,0.2254
CLUBS NINE CLUBS TWO,0.7918,0.0274,0.1808
DIAMONDS NINE DIAMONDS FOUR,0.7914,0.031,0.1776
DIAMONDS EIGHT DIAMONDS FOUR,0.7718,0.0354,0.1928
CLUBS THREE CLUBS TWO,0.7702,0.0494,0.1804
DIAMONDS NINE DIAMONDS FIVE,0.768,0.0298,0.2022
DIAMONDS TWO CLUBS JACK,0.8736,0.041,0.0854
DIAMONDS EIGHT DIAMONDS FIVE,0.7472,0.0368,0.216
CLUBS TEN DIAMONDS TWO,0.8274,0.0214,0.1512
DIAMONDS FIVE DIAMONDS SEVEN,0.7356,0.0442,0.2202
DIAMONDS FIVE DIAMONDS SIX,0.7208,0.049,0.2302
DIAMONDS TWO CLUBS ACE,0.6906,0.0024,0.307
DIAMONDS TWO CLUBS KING,0.7048,0.0068,0.2884
DIAMONDS TWO CLUBS QUEEN,0.7038,0.0116,0.2846
DIAMONDS EIGHT DIAMONDS SIX,0.7466,0.0354,0.218
DIAMONDS NINE DIAMONDS SIX,0.761,0.029,0.21
HEARTS ACE SPADES THREE,0.6814,0.0038,0.3148
SPADES THREE HEARTS KING,0.7152,0.0062,0.2786
DIAMONDS SEVEN DIAMONDS SIX,0.733,0.0398,0.2272
SPADES THREE HEARTS QUEEN,0.7186,0.0128,0.2686
SPADES THREE HEARTS TEN,0.8438,0.025,0.1312
DIAMONDS EIGHT DIAMONDS SEVEN,0.7444,0.0352,0.2204
DIAMONDS NINE DIAMONDS SEVEN,0.7566,0.0302,0.2132
DIAMONDS NINE DIAMONDS EIGHT,0.751,0.0314,0.2176
DIAMONDS KING HEARTS TEN,0.6978,0.0058,0.2964
HEARTS THREE HEARTS TEN,0.8048,0.0202,0.175
SPADES TEN CLUBS SIX,0.8272,0.0226,0.1502
SPADES TEN SPADES FIVE,0.7994,0.0226,0.178
DIAMONDS KING HEARTS ACE,0.5536,0.0034,0.443
HEARTS THREE HEARTS ACE,0.6418,0.0052,0.353
SPADES ACE CLUBS SIX,0.6982,0.004,0.2978
DIAMONDS KING HEARTS QUEEN,0.5604,0.0042,0.4354
HEARTS THREE HEARTS QUEEN,0.6776,0.014,0.3084
SPADES KING CLUBS SIX,0.6856,0.0052,0.3092
DIAMONDS KING HEARTS KING,0.1826,0.0386,0.7788
HEARTS THREE HEARTS KING,0.6772,0.0078,0.315
SPADES QUEEN CLUBS SIX,0.701,0.0106,0.2884
SPADES NINE HEARTS TEN,0.8288,0.0214,0.1498
SPADES QUEEN SPADES FIVE,0.6586,0.0114,0.33
SPADES KING SPADES FIVE,0.6712,0.0042,0.3246
SPADES ACE SPADES FIVE,0.648,0.004,0.348
SPADES NINE HEARTS QUEEN,0.6976,0.01,0.2924
SPADES NINE HEARTS KING,0.7058,0.007,0.2872
SPADES NINE HEARTS ACE,0.7022,0.0046,0.2932
CLUBS TEN SPADES TEN,0.7228,0.1002,0.177
SPADES ACE CLUBS TEN,0.6912,0.0042,0.3046
SPADES KING CLUBS TEN,0.696,0.006,0.298
CLUBS TEN SPADES QUEEN,0.704,0.0126,0.2834
SPADES FIVE HEARTS QUEEN,0.7056,0.013,0.2814
SPADES FIVE HEARTS KING,0.706,0.0074,0.2866
SPADES FIVE HEARTS ACE,0.6862,0.0046,0.3092
SPADES TEN CLUBS EIGHT,0.815,0.021,0.164
HEARTS THREE SPADES TEN,0.8416,0.0226,0.1358
SPADES TEN DIAMONDS KING,0.7042,0.0056,0.2902
CLUBS SIX HEARTS ACE,0.6912,0.0034,0.3054
SPADES ACE CLUBS EIGHT,0.684,0.0032,0.3128
HEARTS FIVE CLUBS JACK,0.8662,0.0448,0.089
CLUBS TEN HEARTS FIVE,0.8414,0.0226,0.136
CLUBS SIX HEARTS QUEEN,0.6936,0.0084,0.298
SPADES QUEEN CLUBS EIGHT,0.709,0.0108,0.2802
CLUBS TEN SPADES THREE,0.836,0.025,0.139
CLUBS SIX HEARTS KING,0.6982,0.0054,0.2964
SPADES KING CLUBS EIGHT,0.6896,0.0054,0.305
SPADES THREE CLUBS JACK,0.873,0.0376,0.0894
SPADES THREE CLUBS QUEEN,0.7218,0.0122,0.266
DIAMONDS TWO HEARTS TEN,0.836,0.024,0.14
SPADES THREE CLUBS KING,0.7106,0.0048,0.2846
HEARTS FIVE CLUBS ACE,0.6786,0.0028,0.3186
SPADES FIVE HEARTS TEN,0.841,0.0222,0.1368
SPADES THREE CLUBS ACE,0.6774,0.004,0.3186
HEARTS FIVE CLUBS KING,0.6926,0.0072,0.3002
HEARTS FIVE CLUBS QUEEN,0.706,0.0108,0.2832
HEARTS THREE CLUBS KING,0.6974,0.0058,0.2968
DIAMONDS KING CLUBS KING,0.1854,0.0398,0.7748
HEARTS THREE CLUBS QUEEN,0.708,0.0116,0.2804
DIAMONDS KING CLUBS QUEEN,0.567,0.0026,0.4304
HEARTS FIVE HEARTS TEN,0.8072,0.0236,0.1692
HEARTS THREE CLUBS ACE,0.6868,0.0034,0.3098
DIAMONDS KING CLUBS ACE,0.5594,0.0042,0.4364
SPADES ACE CLUBS QUEEN,0.555,0.0036,0.4414
SPADES KING CLUBS QUEEN,0.5598,0.0042,0.436
HEARTS THREE CLUBS JACK,0.8806,0.0366,0.0828
DIAMONDS KING CLUBS JACK,0.677,0.0134,0.3096
SPADES QUEEN CLUBS QUEEN,0.182,0.0642,0.7538
CLUBS TEN HEARTS THREE,0.8338,0.0234,0.1428
CLUBS TEN DIAMONDS KING,0.6972,0.0038,0.299
CLUBS SIX CLUBS QUEEN,0.674,0.0074,0.3186
SPADES TEN CLUBS QUEEN,0.6994,0.0126,0.288
CLUBS SIX CLUBS KING,0.6624,0.007,0.3306
CLUBS SIX CLUBS ACE,0.6594,0.0016,0.339
HEARTS FIVE HEARTS KING,0.6588,0.007,0.3342
HEARTS FIVE HEARTS QUEEN,0.6718,0.0112,0.317
CLUBS TEN CLUBS SIX,0.7768,0.0206,0.2026
HEARTS FIVE HEARTS ACE,0.645,0.0046,0.3504
CLUBS SIX CLUBS JACK,0.8232,0.0366,0.1402
SPADES SEVEN HEARTS TEN,0.8256,0.0228,0.1516
DIAMONDS TWO CLUBS TWO,0.7146,0.0936,0.1918
DIAMONDS TWO CLUBS THREE,0.7854,0.055,0.1596
HEARTS SIX DIAMONDS TWO,0.812,0.0534,0.1346
DIAMONDS TWO HEARTS QUEEN,0.7068,0.0134,0.2798
DIAMONDS TWO HEARTS SEVEN,0.842,0.0434,0.1146
DIAMONDS TWO HEARTS KING,0.7104,0.0078,0.2818
DIAMONDS TWO HEARTS EIGHT,0.836,0.0392,0.1248
DIAMONDS TWO HEARTS ACE,0.6696,0.0042,0.3262
DIAMONDS TWO HEARTS NINE,0.8372,0.0306,0.1322
DIAMONDS TWO DIAMONDS QUEEN,0.6726,0.0102,0.3172
DIAMONDS TWO HEARTS TWO,0.7266,0.0924,0.181
DIAMONDS TWO DIAMONDS KING,0.6738,0.0086,0.3176
HEARTS THREE DIAMONDS TWO,0.8064,0.0572,0.1364
DIAMONDS TWO DIAMONDS ACE,0.657,0.0038,0.3392
HEARTS FOUR DIAMONDS TWO,0.8056,0.05,0.1444
DIAMONDS TWO HEARTS FIVE,0.806,0.0522,0.1418
SPADES SEVEN HEARTS ACE,0.6856,0.0042,0.3102
DIAMONDS TWO DIAMONDS TEN,0.8,0.0234,0.1766
SPADES SEVEN HEARTS KING,0.709,0.0068,0.2842
DIAMONDS TWO DIAMONDS JACK,0.8298,0.0408,0.1294
SPADES SEVEN HEARTS QUEEN,0.7302,0.012,0.2578
DIAMONDS TWO SPADES NINE,0.842,0.032,0.126
DIAMONDS TWO SPADES EIGHT,0.835,0.0392,0.1258
DIAMONDS TWO SPADES SEVEN,0.8324,0.0424,0.1252
DIAMONDS TWO SPADES SIX,0.8264,0.0434,0.1302
DIAMONDS TWO SPADES FIVE,0.7976,0.0532,0.1492
DIAMONDS TWO SPADES FOUR,0.7906,0.0524,0.157
DIAMONDS TWO SPADES THREE,0.7934,0.0626,0.144
DIAMONDS TWO SPADES TWO,0.712,0.1004,0.1876
CLUBS NINE DIAMONDS TWO,0.8286,0.0312,0.1402
DIAMONDS TWO CLUBS EIGHT,0.8282,0.0358,0.136
CLUBS SEVEN DIAMONDS TWO,0.828,0.0422,0.1298
DIAMONDS TWO CLUBS SIX,0.8108,0.0482,0.141
DIAMONDS TWO CLUBS FIVE,0.7904,0.0482,0.1614
DIAMONDS TWO CLUBS FOUR,0.7948,0.0526,0.1526
CLUBS FOUR SPADES FIVE,0.7536,0.0552,0.1912
CLUBS FOUR SPADES FOUR,0.7076,0.098,0.1944
CLUBS FOUR SPADES THREE,0.776,0.0538,0.1702
CLUBS FOUR SPADES TWO,0.8022,0.0546,0.1432
SPADES NINE CLUBS FOUR,0.8344,0.031,0.1346
SPADES EIGHT CLUBS FOUR,0.8284,0.0366,0.135
SPADES SEVEN CLUBS FOUR,0.8092,0.0418,0.149
SPADES SIX CLUBS FOUR,0.7808,0.0482,0.171
SPADES ACE DIAMONDS SIX,0.7024,0.0042,0.2934
SPADES QUEEN DIAMONDS SIX,0.707,0.0086,0.2844
SPADES KING DIAMONDS SIX,0.6926,0.0054,0.302
SPADES TEN DIAMONDS SIX,0.8216,0.0222,0.1562
SPADES QUEEN SPADES TWO,0.682,0.0118,0.3062
SPADES KING SPADES TWO,0.6754,0.0078,0.3168
SPADES ACE SPADES TWO,0.6618,0.0042,0.334
DIAMONDS JACK CLUBS JACK,0.0222,0.9568,0.021
CLUBS TEN DIAMONDS JACK,0.8042,0.0314,0.1644
DIAMONDS JACK CLUBS KING,0.6776,0.0126,0.3098
DIAMONDS JACK CLUBS QUEEN,0.6554,0.0164,0.3282
DIAMONDS THREE DIAMONDS JACK,0.833,0.0386,0.1284
DIAMONDS THREE DIAMONDS TEN,0.789,0.0216,0.1894
DIAMONDS JACK CLUBS ACE,0.6742,0.0152,0.3106
DIAMONDS THREE DIAMONDS KING,0.6814,0.004,0.3146
HEARTS THREE DIAMONDS THREE,0.7138,0.0894,0.1968
DIAMONDS THREE DIAMONDS QUEEN,0.6638,0.013,0.3232
DIAMONDS THREE HEARTS TWO,0.8132,0.052,0.1348
HEARTS FIVE DIAMONDS THREE,0.783,0.0472,0.1698
DIAMONDS THREE DIAMONDS ACE,0.6434,0.0042,0.3524
HEARTS FOUR DIAMONDS THREE,0.784,0.0496,0.1664
DIAMONDS THREE HEARTS SEVEN,0.8076,0.046,0.1464
SPADES TEN SPADES NINE,0.7764,0.024,0.1996
HEARTS SIX DIAMONDS THREE,0.808,0.0466,0.1454
DIAMONDS THREE HEARTS NINE,0.8266,0.032,0.1414
HEARTS ACE HEARTS KING,0.533,0.0052,0.4618
SPADES TEN SPADES TWO,0.8082,0.0212,0.1706
DIAMONDS THREE HEARTS EIGHT,0.828,0.0378,0.1342
HEARTS TEN DIAMONDS FOUR,0.8386,0.0234,0.138
HEARTS QUEEN DIAMONDS FOUR,0.7026,0.0112,0.2862
HEARTS KING DIAMONDS FOUR,0.6968,0.007,0.2962
SPADES ACE SPADES NINE,0.6626,0.004,0.3334
HEARTS ACE DIAMONDS FOUR,0.6792,0.0042,0.3166
SPADES KING SPADES NINE,0.6646,0.0074,0.328
SPADES QUEEN SPADES NINE,0.6694,0.0116,0.319
DIAMONDS THREE SPADES NINE,0.834,0.0316,0.1344
