opposingHand,winningChance,drawChance,lostChance
SPADES JACK HEARTS SEVEN
SPADES TEN HEARTS FIVE,0.6482,0.0166,0.3352
SPADES FIVE CLUBS JACK,0.4818,0.2968,0.2214
CLUBS TEN SPADES FIVE,0.6342,0.016,0.3498
CLUBS EIGHT CLUBS JACK,0.2114,0.2038,0.5848
CLUBS TEN CLUBS EIGHT,0.5408,0.0152,0.444
CLUBS EIGHT CLUBS KING,0.3348,0.0048,0.6604
SPADES FIVE CLUBS ACE,0.4028,0.0036,0.5936
CLUBS EIGHT CLUBS QUEEN,0.342,0.0104,0.6476
SPADES FIVE CLUBS KING,0.4124,0.0056,0.582
SPADES FIVE CLUBS QUEEN,0.407,0.0096,0.5834
CLUBS EIGHT CLUBS ACE,0.3394,0.0038,0.6568
DIAMONDS TWO DIAMONDS THREE,0.5956,0.018,0.3864
DIAMONDS TWO DIAMONDS FIVE,0.601,0.017,0.382
SPADES KING HEARTS FIVE,0.403,0.0056,0.5914
DIAMONDS TWO DIAMONDS FOUR,0.5914,0.015,0.3936
SPADES QUEEN HEARTS FIVE,0.393,0.0134,0.5936
DIAMONDS TWO DIAMONDS SEVEN,0.6692,0.0572,0.2736
DIAMONDS TWO DIAMONDS SIX,0.6008,0.0198,0.3794
SPADES ACE HEARTS FIVE,0.3958,0.0042,0.6
DIAMONDS TWO DIAMONDS NINE,0.6058,0.017,0.3772
DIAMONDS TWO DIAMONDS EIGHT,0.613,0.017,0.37
DIAMONDS THREE DIAMONDS FOUR,0.5944,0.0176,0.388
SPADES FOUR CLUBS TWO,0.625,0.022,0.353
DIAMONDS THREE DIAMONDS FIVE,0.5888,0.0184,0.3928
SPADES FIVE CLUBS TWO,0.6404,0.0188,0.3408
CLUBS TWO SPADES TWO,0.4422,0.0438,0.514
CLUBS TWO SPADES THREE,0.6454,0.018,0.3366
DIAMONDS THREE DIAMONDS EIGHT,0.582,0.0178,0.4002
SPADES EIGHT CLUBS TWO,0.6406,0.0182,0.3412
DIAMONDS THREE DIAMONDS NINE,0.5848,0.0192,0.396
SPADES NINE CLUBS TWO,0.6406,0.0198,0.3396
DIAMONDS THREE DIAMONDS SIX,0.599,0.0134,0.3876
SPADES SIX CLUBS TWO,0.6602,0.0184,0.3214
DIAMONDS THREE DIAMONDS SEVEN,0.6482,0.0628,0.289
SPADES SEVEN CLUBS TWO,0.712,0.0594,0.2286
CLUBS SIX CLUBS TWO,0.6008,0.0156,0.3836
CLUBS SEVEN CLUBS TWO,0.6766,0.059,0.2644
CLUBS FOUR CLUBS TWO,0.6,0.0188,0.3812
CLUBS FIVE CLUBS TWO,0.6102,0.0144,0.3754
CLUBS TEN CLUBS JACK,0.2172,0.124,0.6588
DIAMONDS FOUR DIAMONDS SIX,0.5798,0.0166,0.4036
CLUBS TEN CLUBS QUEEN,0.3182,0.0078,0.674
DIAMONDS FOUR DIAMONDS SEVEN,0.6302,0.0626,0.3072
CLUBS TEN CLUBS KING,0.3328,0.0062,0.661
CLUBS TEN CLUBS ACE,0.3472,0.0042,0.6486
CLUBS EIGHT CLUBS TWO,0.597,0.0154,0.3876
DIAMONDS FIVE DIAMONDS FOUR,0.5696,0.0174,0.413
CLUBS NINE CLUBS TWO,0.5864,0.0132,0.4004
DIAMONDS NINE DIAMONDS FOUR,0.5998,0.0166,0.3836
DIAMONDS EIGHT DIAMONDS FOUR,0.5904,0.017,0.3926
CLUBS THREE CLUBS TWO,0.5918,0.0174,0.3908
DIAMONDS NINE DIAMONDS FIVE,0.5952,0.015,0.3898
DIAMONDS TWO CLUBS JACK,0.4808,0.2998,0.2194
DIAMONDS EIGHT DIAMONDS FIVE,0.5624,0.0168,0.4208
CLUBS TEN DIAMONDS TWO,0.6476,0.0182,0.3342
DIAMONDS FIVE DIAMONDS SEVEN,0.6204,0.0564,0.3232
DIAMONDS FIVE DIAMONDS SIX,0.5658,0.0192,0.415
DIAMONDS TWO CLUBS ACE,0.4054,0.0038,0.5908
DIAMONDS TWO CLUBS KING,0.4146,0.0048,0.5806
DIAMONDS TWO CLUBS QUEEN,0.4228,0.0112,0.566
DIAMONDS EIGHT DIAMONDS SIX,0.5674,0.0162,0.4164
DIAMONDS NINE DIAMONDS SIX,0.5784,0.0162,0.4054
HEARTS ACE SPADES THREE,0.4086,0.0056,0.5858
SPADES THREE HEARTS KING,0.4134,0.0076,0.579
DIAMONDS SEVEN DIAMONDS SIX,0.6096,0.0604,0.33
SPADES THREE HEARTS QUEEN,0.4168,0.0092,0.574
SPADES THREE HEARTS JACK,0.4684,0.3024,0.2292
SPADES THREE HEARTS TEN,0.6364,0.0174,0.3462
DIAMONDS EIGHT DIAMONDS SEVEN,0.6296,0.0502,0.3202
DIAMONDS NINE DIAMONDS SEVEN,0.6484,0.0516,0.3
DIAMONDS NINE DIAMONDS EIGHT,0.5328,0.016,0.4512
DIAMONDS KING HEARTS TEN,0.3322,0.0066,0.6612
HEARTS THREE HEARTS TEN,0.6012,0.0166,0.3822
DIAMONDS KING HEARTS JACK,0.2458,0.03,0.7242
HEARTS THREE HEARTS JACK,0.4578,0.2812,0.261
SPADES TEN CLUBS SIX,0.6226,0.0202,0.3572
SPADES TEN SPADES FIVE,0.5994,0.0166,0.384
DIAMONDS KING HEARTS ACE,0.3222,0.004,0.6738
HEARTS THREE HEARTS ACE,0.3822,0.0032,0.6146
SPADES ACE CLUBS SIX,0.4076,0.0032,0.5892
DIAMONDS KING HEARTS QUEEN,0.3234,0.0066,0.67
HEARTS THREE HEARTS QUEEN,0.4008,0.0144,0.5848
SPADES KING CLUBS SIX,0.4078,0.0066,0.5856
DIAMONDS KING HEARTS KING,0.1376,0.0068,0.8556
HEARTS THREE HEARTS KING,0.3892,0.0078,0.603
SPADES QUEEN CLUBS SIX,0.3964,0.0122,0.5914
SPADES NINE HEARTS TEN,0.5574,0.017,0.4256
SPADES NINE HEARTS JACK,0.229,0.1624,0.6086
SPADES QUEEN SPADES FIVE,0.3816,0.0132,0.6052
SPADES KING SPADES FIVE,0.3874,0.0066,0.606
SPADES ACE SPADES FIVE,0.3878,0.0062,0.606
SPADES NINE HEARTS QUEEN,0.3486,0.0112,0.6402
SPADES NINE HEARTS KING,0.3632,0.0072,0.6296
SPADES NINE HEARTS ACE,0.3646,0.005,0.6304
CLUBS TEN SPADES TEN,0.2784,0.0214,0.7002
SPADES ACE CLUBS TEN,0.353,0.0036,0.6434
SPADES KING CLUBS TEN,0.3438,0.0076,0.6486
CLUBS TEN SPADES QUEEN,0.3224,0.0112,0.6664
SPADES FIVE HEARTS QUEEN,0.3984,0.0108,0.5908
SPADES FIVE HEARTS KING,0.4082,0.0086,0.5832
SPADES FIVE HEARTS ACE,0.3908,0.004,0.6052
SPADES TEN CLUBS EIGHT,0.5836,0.0164,0.4
HEARTS THREE SPADES TEN,0.6372,0.0166,0.3462
SPADES TEN DIAMONDS KING,0.3576,0.0048,0.6376
CLUBS SIX HEARTS ACE,0.4102,0.0046,0.5852
SPADES ACE CLUBS EIGHT,0.372,0.0036,0.6244
HEARTS FIVE CLUBS JACK,0.4836,0.2954,0.221
CLUBS TEN HEARTS FIVE,0.6424,0.0152,0.3424
CLUBS SIX HEARTS QUEEN,0.4048,0.0128,0.5824
SPADES QUEEN CLUBS EIGHT,0.3452,0.0108,0.644
CLUBS TEN SPADES THREE,0.6332,0.0142,0.3526
CLUBS SIX HEARTS KING,0.3934,0.0068,0.5998
SPADES KING CLUBS EIGHT,0.3704,0.0042,0.6254
SPADES THREE CLUBS JACK,0.4776,0.301,0.2214
DIAMONDS TWO HEARTS JACK,0.4812,0.2882,0.2306
SPADES THREE CLUBS QUEEN,0.4058,0.0142,0.58
DIAMONDS TWO HEARTS TEN,0.6328,0.0184,0.3488
SPADES THREE CLUBS KING,0.4214,0.0092,0.5694
