opposingHand,winningChance,drawChance,lostChance
SPADES JACK HEARTS TEN
SPADES TEN HEARTS FIVE,0.7314,0.0622,0.2064
SPADES FIVE CLUBS JACK,0.6502,0.1248,0.225
CLUBS TEN SPADES FIVE,0.731,0.0516,0.2174
CLUBS EIGHT CLUBS JACK,0.6066,0.117,0.2764
CLUBS TEN CLUBS EIGHT,0.667,0.0468,0.2862
CLUBS EIGHT CLUBS KING,0.4152,0.005,0.5798
SPADES FIVE CLUBS ACE,0.4482,0.0046,0.5472
CLUBS EIGHT CLUBS QUEEN,0.4146,0.0094,0.576
SPADES FIVE CLUBS KING,0.4402,0.0068,0.553
SPADES FIVE CLUBS QUEEN,0.4608,0.0094,0.5298
CLUBS EIGHT CLUBS ACE,0.4072,0.0026,0.5902
DIAMONDS TWO DIAMONDS THREE,0.596,0.0156,0.3884
DIAMONDS TWO DIAMONDS FIVE,0.6016,0.0134,0.385
SPADES KING HEARTS FIVE,0.4528,0.0064,0.5408
DIAMONDS TWO DIAMONDS FOUR,0.6054,0.0172,0.3774
SPADES QUEEN HEARTS FIVE,0.4482,0.009,0.5428
DIAMONDS TWO DIAMONDS SEVEN,0.6332,0.011,0.3558
DIAMONDS TWO DIAMONDS SIX,0.6216,0.017,0.3614
SPADES ACE HEARTS FIVE,0.4422,0.0054,0.5524
DIAMONDS TWO DIAMONDS NINE,0.6444,0.0156,0.34
DIAMONDS TWO DIAMONDS EIGHT,0.6368,0.0156,0.3476
DIAMONDS THREE DIAMONDS FOUR,0.6006,0.0166,0.3828
SPADES FOUR CLUBS TWO,0.647,0.0154,0.3376
DIAMONDS THREE DIAMONDS FIVE,0.5898,0.0122,0.398
SPADES FIVE CLUBS TWO,0.6428,0.0134,0.3438
CLUBS TWO SPADES TWO,0.4832,0.0304,0.4864
CLUBS TWO SPADES THREE,0.653,0.0158,0.3312
DIAMONDS THREE DIAMONDS EIGHT,0.6284,0.0134,0.3582
SPADES EIGHT CLUBS TWO,0.671,0.0166,0.3124
DIAMONDS THREE DIAMONDS NINE,0.6222,0.0156,0.3622
SPADES NINE CLUBS TWO,0.6862,0.0144,0.2994
DIAMONDS THREE DIAMONDS SIX,0.624,0.0134,0.3626
SPADES SIX CLUBS TWO,0.6732,0.016,0.3108
DIAMONDS THREE DIAMONDS SEVEN,0.6198,0.0168,0.3634
SPADES SEVEN CLUBS TWO,0.6714,0.0158,0.3128
CLUBS SIX CLUBS TWO,0.6298,0.0134,0.3568
CLUBS SEVEN CLUBS TWO,0.6302,0.0138,0.356
CLUBS FOUR CLUBS TWO,0.6078,0.0156,0.3766
CLUBS FIVE CLUBS TWO,0.6128,0.0152,0.372
CLUBS TEN CLUBS JACK,0.0244,0.9034,0.0722
DIAMONDS FOUR DIAMONDS SIX,0.6056,0.0128,0.3816
CLUBS TEN CLUBS QUEEN,0.2544,0.037,0.7086
DIAMONDS FOUR DIAMONDS SEVEN,0.5986,0.0126,0.3888
CLUBS TEN CLUBS KING,0.256,0.0322,0.7118
CLUBS TEN CLUBS ACE,0.2742,0.0134,0.7124
CLUBS EIGHT CLUBS TWO,0.6396,0.014,0.3464
DIAMONDS FIVE DIAMONDS FOUR,0.5822,0.012,0.4058
CLUBS NINE CLUBS TWO,0.6536,0.0164,0.33
DIAMONDS NINE DIAMONDS FOUR,0.641,0.0168,0.3422
DIAMONDS EIGHT DIAMONDS FOUR,0.6158,0.0168,0.3674
CLUBS THREE CLUBS TWO,0.6122,0.0128,0.375
DIAMONDS NINE DIAMONDS FIVE,0.6168,0.0124,0.3708
DIAMONDS TWO CLUBS JACK,0.6498,0.1278,0.2224
DIAMONDS EIGHT DIAMONDS FIVE,0.6166,0.012,0.3714
CLUBS TEN DIAMONDS TWO,0.726,0.0544,0.2196
DIAMONDS FIVE DIAMONDS SEVEN,0.6068,0.015,0.3782
DIAMONDS FIVE DIAMONDS SIX,0.6,0.012,0.388
DIAMONDS TWO CLUBS ACE,0.4418,0.0032,0.555
DIAMONDS TWO CLUBS KING,0.4556,0.0058,0.5386
DIAMONDS TWO CLUBS QUEEN,0.4578,0.01,0.5322
DIAMONDS EIGHT DIAMONDS SIX,0.5974,0.0126,0.39
DIAMONDS NINE DIAMONDS SIX,0.6152,0.0128,0.372
HEARTS ACE SPADES THREE,0.4544,0.005,0.5406
SPADES THREE HEARTS KING,0.4522,0.0094,0.5384
DIAMONDS SEVEN DIAMONDS SIX,0.5984,0.013,0.3886
SPADES THREE HEARTS QUEEN,0.4456,0.014,0.5404
SPADES THREE HEARTS JACK,0.6616,0.1204,0.218
DIAMONDS EIGHT DIAMONDS SEVEN,0.5958,0.012,0.3922
DIAMONDS NINE DIAMONDS SEVEN,0.6116,0.0138,0.3746
DIAMONDS NINE DIAMONDS EIGHT,0.6112,0.0156,0.3732
DIAMONDS KING HEARTS JACK,0.2534,0.0252,0.7214
HEARTS THREE HEARTS JACK,0.6178,0.1214,0.2608
SPADES TEN CLUBS SIX,0.7208,0.0534,0.2258
SPADES TEN SPADES FIVE,0.692,0.0586,0.2494
DIAMONDS KING HEARTS ACE,0.3742,0.0044,0.6214
HEARTS THREE HEARTS ACE,0.423,0.004,0.573
SPADES ACE CLUBS SIX,0.438,0.0052,0.5568
DIAMONDS KING HEARTS QUEEN,0.3572,0.0092,0.6336
HEARTS THREE HEARTS QUEEN,0.444,0.0108,0.5452
SPADES KING CLUBS SIX,0.4398,0.007,0.5532
DIAMONDS KING HEARTS KING,0.1586,0.0084,0.833
