opposingHand,winningChance,drawChance,lostChance
SPADES JACK SPADES SIX
SPADES TEN HEARTS FIVE,0.6398,0.0172,0.343
SPADES FIVE CLUBS JACK,0.4196,0.3678,0.2126
SPADES FIVE CLUBS TEN,0.6384,0.0202,0.3414
CLUBS EIGHT CLUBS JACK,0.244,0.2056,0.5504
CLUBS EIGHT CLUBS TEN,0.5582,0.016,0.4258
CLUBS EIGHT CLUBS KING,0.3698,0.0078,0.6224
SPADES FIVE CLUBS ACE,0.417,0.0066,0.5764
CLUBS EIGHT CLUBS QUEEN,0.3554,0.0088,0.6358
SPADES FIVE CLUBS KING,0.4372,0.007,0.5558
SPADES FIVE CLUBS QUEEN,0.4196,0.0116,0.5688
CLUBS EIGHT CLUBS ACE,0.376,0.0048,0.6192
DIAMONDS TWO DIAMONDS THREE,0.6186,0.0174,0.364
DIAMONDS TWO DIAMONDS FIVE,0.62,0.0196,0.3604
SPADES KING HEARTS FIVE,0.4192,0.0092,0.5716
DIAMONDS TWO DIAMONDS FOUR,0.609,0.02,0.371
SPADES QUEEN HEARTS FIVE,0.4036,0.0122,0.5842
DIAMONDS TWO DIAMONDS SEVEN,0.6066,0.0196,0.3738
DIAMONDS TWO DIAMONDS SIX,0.6732,0.059,0.2678
SPADES ACE HEARTS FIVE,0.4098,0.0056,0.5846
DIAMONDS TWO DIAMONDS NINE,0.6066,0.019,0.3744
DIAMONDS TWO DIAMONDS EIGHT,0.6116,0.0164,0.372
DIAMONDS THREE DIAMONDS FOUR,0.6076,0.018,0.3744
CLUBS TWO SPADES FOUR,0.644,0.0234,0.3326
DIAMONDS THREE DIAMONDS FIVE,0.594,0.018,0.388
CLUBS TWO SPADES FIVE,0.6388,0.0182,0.343
CLUBS TWO SPADES TWO,0.4458,0.0394,0.5148
CLUBS TWO SPADES THREE,0.6582,0.0232,0.3186
DIAMONDS THREE DIAMONDS EIGHT,0.6012,0.0186,0.3802
SPADES EIGHT CLUBS TWO,0.6508,0.0212,0.328
DIAMONDS THREE DIAMONDS NINE,0.6054,0.0176,0.377
SPADES NINE CLUBS TWO,0.6386,0.018,0.3434
DIAMONDS THREE DIAMONDS SIX,0.6536,0.0616,0.2848
DIAMONDS THREE DIAMONDS SEVEN,0.6054,0.0178,0.3768
SPADES SEVEN CLUBS TWO,0.663,0.0174,0.3196
CLUBS SIX CLUBS TWO,0.6656,0.0558,0.2786
CLUBS SEVEN CLUBS TWO,0.613,0.0174,0.3696
CLUBS FOUR CLUBS TWO,0.6128,0.0188,0.3684
CLUBS FIVE CLUBS TWO,0.6156,0.0186,0.3658
CLUBS JACK CLUBS TEN,0.2534,0.1074,0.6392
DIAMONDS FOUR DIAMONDS SIX,0.641,0.06,0.299
CLUBS QUEEN CLUBS TEN,0.3464,0.0078,0.6458
DIAMONDS FOUR DIAMONDS SEVEN,0.5892,0.0168,0.394
CLUBS KING CLUBS TEN,0.3632,0.0066,0.6302
CLUBS ACE CLUBS TEN,0.3602,0.0046,0.6352
CLUBS EIGHT CLUBS TWO,0.5996,0.0206,0.3798
DIAMONDS FIVE DIAMONDS FOUR,0.588,0.017,0.395
CLUBS NINE CLUBS TWO,0.606,0.0162,0.3778
DIAMONDS NINE DIAMONDS FOUR,0.6092,0.0182,0.3726
DIAMONDS EIGHT DIAMONDS FOUR,0.5982,0.0174,0.3844
CLUBS TWO CLUBS THREE,0.6146,0.0182,0.3672
DIAMONDS NINE DIAMONDS FIVE,0.606,0.0196,0.3744
DIAMONDS TWO CLUBS JACK,0.4326,0.3616,0.2058
DIAMONDS EIGHT DIAMONDS FIVE,0.5734,0.018,0.4086
DIAMONDS TWO CLUBS TEN,0.6266,0.0178,0.3556
DIAMONDS FIVE DIAMONDS SEVEN,0.5688,0.0182,0.413
DIAMONDS FIVE DIAMONDS SIX,0.6264,0.0544,0.3192
DIAMONDS TWO CLUBS ACE,0.4376,0.0062,0.5562
DIAMONDS TWO CLUBS KING,0.4502,0.0074,0.5424
DIAMONDS TWO CLUBS QUEEN,0.4466,0.0092,0.5442
DIAMONDS EIGHT DIAMONDS SIX,0.636,0.0464,0.3176
DIAMONDS NINE DIAMONDS SIX,0.6512,0.055,0.2938
SPADES THREE HEARTS ACE,0.4222,0.004,0.5738
HEARTS KING SPADES THREE,0.4324,0.0064,0.5612
DIAMONDS SEVEN DIAMONDS SIX,0.6232,0.0548,0.322
SPADES THREE HEARTS QUEEN,0.4106,0.0126,0.5768
SPADES THREE HEARTS JACK,0.423,0.3668,0.2102
SPADES THREE HEARTS TEN,0.6288,0.0204,0.3508
DIAMONDS EIGHT DIAMONDS SEVEN,0.5504,0.0142,0.4354
DIAMONDS NINE DIAMONDS SEVEN,0.5498,0.0174,0.4328
DIAMONDS NINE DIAMONDS EIGHT,0.5484,0.0134,0.4382
DIAMONDS KING HEARTS TEN,0.3828,0.007,0.6102
HEARTS THREE HEARTS TEN,0.5984,0.0202,0.3814
DIAMONDS KING HEARTS JACK,0.2792,0.0308,0.69
HEARTS THREE HEARTS JACK,0.4036,0.3494,0.247
CLUBS SIX SPADES TEN,0.691,0.0648,0.2442
SPADES TEN SPADES FIVE,0.6368,0.0212,0.342
DIAMONDS KING HEARTS ACE,0.3676,0.0024,0.63
HEARTS THREE HEARTS ACE,0.3982,0.0058,0.596
SPADES ACE CLUBS SIX,0.2658,0.0244,0.7098
DIAMONDS KING HEARTS QUEEN,0.3536,0.005,0.6414
HEARTS THREE HEARTS QUEEN,0.4106,0.0126,0.5768
SPADES KING CLUBS SIX,0.2548,0.031,0.7142
DIAMONDS KING HEARTS KING,0.1836,0.0074,0.809
HEARTS THREE HEARTS KING,0.4214,0.0044,0.5742
SPADES QUEEN CLUBS SIX,0.2638,0.0482,0.688
SPADES NINE HEARTS TEN,0.5614,0.016,0.4226
SPADES NINE HEARTS JACK,0.2654,0.1626,0.572
SPADES QUEEN SPADES FIVE,0.376,0.011,0.613
SPADES KING SPADES FIVE,0.3704,0.0118,0.6178
SPADES ACE SPADES FIVE,0.3692,0.0072,0.6236
SPADES NINE HEARTS QUEEN,0.3672,0.011,0.6218
SPADES NINE HEARTS KING,0.3938,0.0062,0.6
SPADES NINE HEARTS ACE,0.3912,0.004,0.6048
SPADES TEN CLUBS TEN,0.299,0.0242,0.6768
SPADES ACE CLUBS TEN,0.3648,0.005,0.6302
SPADES KING CLUBS TEN,0.367,0.0076,0.6254
SPADES QUEEN CLUBS TEN,0.3594,0.0088,0.6318
SPADES FIVE HEARTS QUEEN,0.42,0.0108,0.5692
SPADES FIVE HEARTS KING,0.425,0.0072,0.5678
SPADES FIVE HEARTS ACE,0.4124,0.0064,0.5812
CLUBS EIGHT SPADES TEN,0.5728,0.016,0.4112
HEARTS THREE SPADES TEN,0.628,0.019,0.353
SPADES TEN DIAMONDS KING,0.3632,0.007,0.6298
SPADES ACE CLUBS EIGHT,0.389,0.0056,0.6054
HEARTS FIVE CLUBS JACK,0.4314,0.35,0.2186
CLUBS SIX HEARTS ACE,0.2892,0.0232,0.6876
HEARTS FIVE CLUBS TEN,0.6376,0.0162,0.3462
CLUBS EIGHT SPADES QUEEN,0.3716,0.011,0.6174
SPADES THREE CLUBS TEN,0.6318,0.0192,0.349
CLUBS SIX HEARTS QUEEN,0.2866,0.0452,0.6682
CLUBS EIGHT SPADES KING,0.3922,0.0068,0.601
