opposingHand,winningChance,drawChance,lostChance
SPADES JACK SPADES THREE
SPADES TEN HEARTS FIVE,0.6148,0.0168,0.3684
SPADES FIVE CLUBS JACK,0.2364,0.4608,0.3028
SPADES FIVE CLUBS TEN,0.6206,0.0178,0.3616
CLUBS EIGHT CLUBS JACK,0.2406,0.205,0.5544
CLUBS EIGHT CLUBS TEN,0.553,0.0176,0.4294
CLUBS EIGHT CLUBS KING,0.384,0.0088,0.6072
SPADES FIVE CLUBS ACE,0.3782,0.0056,0.6162
CLUBS EIGHT CLUBS QUEEN,0.3666,0.0124,0.621
SPADES FIVE CLUBS KING,0.3922,0.0054,0.6024
SPADES FIVE CLUBS QUEEN,0.3986,0.0082,0.5932
CLUBS EIGHT CLUBS ACE,0.3768,0.004,0.6192
DIAMONDS TWO DIAMONDS THREE,0.6436,0.0532,0.3032
DIAMONDS TWO DIAMONDS FIVE,0.594,0.0206,0.3854
SPADES KING HEARTS FIVE,0.377,0.0082,0.6148
DIAMONDS TWO DIAMONDS FOUR,0.5942,0.019,0.3868
SPADES QUEEN HEARTS FIVE,0.3728,0.011,0.6162
DIAMONDS TWO DIAMONDS SEVEN,0.5988,0.0208,0.3804
DIAMONDS TWO DIAMONDS SIX,0.611,0.018,0.371
SPADES ACE HEARTS FIVE,0.3868,0.005,0.6082
DIAMONDS TWO DIAMONDS NINE,0.5996,0.0196,0.3808
DIAMONDS TWO DIAMONDS EIGHT,0.5984,0.0208,0.3808
DIAMONDS THREE DIAMONDS FOUR,0.6594,0.0534,0.2872
CLUBS TWO SPADES FOUR,0.6164,0.0242,0.3594
DIAMONDS THREE DIAMONDS FIVE,0.6356,0.0544,0.31
CLUBS TWO SPADES FIVE,0.6128,0.0172,0.37
CLUBS TWO SPADES TWO,0.4432,0.0548,0.502
DIAMONDS THREE DIAMONDS EIGHT,0.6872,0.0508,0.262
SPADES EIGHT CLUBS TWO,0.6342,0.0208,0.345
DIAMONDS THREE DIAMONDS NINE,0.6842,0.0508,0.265
SPADES NINE CLUBS TWO,0.638,0.0214,0.3406
DIAMONDS THREE DIAMONDS SIX,0.664,0.0488,0.2872
CLUBS TWO SPADES SIX,0.643,0.023,0.334
DIAMONDS THREE DIAMONDS SEVEN,0.66,0.049,0.291
SPADES SEVEN CLUBS TWO,0.6368,0.0234,0.3398
CLUBS SIX CLUBS TWO,0.6066,0.0188,0.3746
CLUBS SEVEN CLUBS TWO,0.6154,0.0184,0.3662
CLUBS FOUR CLUBS TWO,0.5924,0.0206,0.387
CLUBS FIVE CLUBS TWO,0.5788,0.017,0.4042
CLUBS JACK CLUBS TEN,0.2558,0.1074,0.6368
DIAMONDS FOUR DIAMONDS SIX,0.5598,0.022,0.4182
CLUBS QUEEN CLUBS TEN,0.3542,0.0096,0.6362
DIAMONDS FOUR DIAMONDS SEVEN,0.5546,0.019,0.4264
CLUBS KING CLUBS TEN,0.3612,0.0056,0.6332
CLUBS ACE CLUBS TEN,0.3696,0.0062,0.6242
CLUBS EIGHT CLUBS TWO,0.5966,0.0198,0.3836
DIAMONDS FIVE DIAMONDS FOUR,0.5412,0.0216,0.4372
CLUBS NINE CLUBS TWO,0.6086,0.0168,0.3746
DIAMONDS NINE DIAMONDS FOUR,0.5788,0.0178,0.4034
DIAMONDS EIGHT DIAMONDS FOUR,0.5516,0.016,0.4324
CLUBS TWO CLUBS THREE,0.6674,0.0574,0.2752
DIAMONDS NINE DIAMONDS FIVE,0.5726,0.0176,0.4098
DIAMONDS TWO CLUBS JACK,0.3004,0.4984,0.2012
DIAMONDS EIGHT DIAMONDS FIVE,0.5604,0.0164,0.4232
DIAMONDS TWO CLUBS TEN,0.629,0.0196,0.3514
DIAMONDS FIVE DIAMONDS SEVEN,0.5498,0.0164,0.4338
DIAMONDS FIVE DIAMONDS SIX,0.552,0.0166,0.4314
DIAMONDS TWO CLUBS ACE,0.4158,0.0056,0.5786
DIAMONDS TWO CLUBS KING,0.4226,0.0086,0.5688
DIAMONDS TWO CLUBS QUEEN,0.4294,0.0116,0.559
DIAMONDS EIGHT DIAMONDS SIX,0.5522,0.0174,0.4304
DIAMONDS NINE DIAMONDS SIX,0.5636,0.0152,0.4212
DIAMONDS SEVEN DIAMONDS SIX,0.5612,0.0196,0.4192
DIAMONDS EIGHT DIAMONDS SEVEN,0.5234,0.0186,0.458
DIAMONDS NINE DIAMONDS SEVEN,0.5302,0.0186,0.4512
DIAMONDS NINE DIAMONDS EIGHT,0.5248,0.0168,0.4584
DIAMONDS KING HEARTS TEN,0.382,0.0062,0.6118
HEARTS THREE HEARTS TEN,0.6752,0.0562,0.2686
DIAMONDS KING HEARTS JACK,0.2672,0.0288,0.704
HEARTS THREE HEARTS JACK,0.0698,0.8518,0.0784
CLUBS SIX SPADES TEN,0.6004,0.0218,0.3778
SPADES TEN SPADES FIVE,0.5996,0.0208,0.3796
DIAMONDS KING HEARTS ACE,0.3594,0.005,0.6356
HEARTS THREE HEARTS ACE,0.2612,0.0188,0.72
SPADES ACE CLUBS SIX,0.3952,0.0058,0.599
DIAMONDS KING HEARTS QUEEN,0.3568,0.0066,0.6366
HEARTS THREE HEARTS QUEEN,0.2652,0.0374,0.6974
SPADES KING CLUBS SIX,0.3944,0.0064,0.5992
DIAMONDS KING HEARTS KING,0.1764,0.0078,0.8158
HEARTS THREE HEARTS KING,0.2728,0.0294,0.6978
SPADES QUEEN CLUBS SIX,0.3768,0.0138,0.6094
SPADES NINE HEARTS TEN,0.554,0.0166,0.4294
SPADES NINE HEARTS JACK,0.2616,0.156,0.5824
SPADES QUEEN SPADES FIVE,0.3338,0.011,0.6552
SPADES KING SPADES FIVE,0.3414,0.009,0.6496
SPADES ACE SPADES FIVE,0.3332,0.0072,0.6596
SPADES NINE HEARTS QUEEN,0.3734,0.01,0.6166
SPADES NINE HEARTS KING,0.3798,0.0078,0.6124
SPADES NINE HEARTS ACE,0.3836,0.006,0.6104
SPADES TEN CLUBS TEN,0.3128,0.0264,0.6608
SPADES ACE CLUBS TEN,0.3554,0.0034,0.6412
SPADES KING CLUBS TEN,0.3622,0.0072,0.6306
SPADES QUEEN CLUBS TEN,0.3596,0.0114,0.629
SPADES FIVE HEARTS QUEEN,0.3988,0.0102,0.591
SPADES FIVE HEARTS KING,0.3954,0.0066,0.598
SPADES FIVE HEARTS ACE,0.3868,0.0058,0.6074
CLUBS EIGHT SPADES TEN,0.561,0.015,0.424
HEARTS THREE SPADES TEN,0.7066,0.0602,0.2332
SPADES TEN DIAMONDS KING,0.371,0.0056,0.6234
SPADES ACE CLUBS EIGHT,0.3762,0.0054,0.6184
HEARTS FIVE CLUBS JACK,0.2578,0.4346,0.3076
CLUBS SIX HEARTS ACE,0.4054,0.0054,0.5892
HEARTS FIVE CLUBS TEN,0.6036,0.019,0.3774
CLUBS EIGHT SPADES QUEEN,0.3676,0.0144,0.618
CLUBS SIX HEARTS QUEEN,0.3952,0.0094,0.5954
CLUBS EIGHT SPADES KING,0.3924,0.0108,0.5968
CLUBS SIX HEARTS KING,0.4054,0.0052,0.5894
DIAMONDS TWO HEARTS JACK,0.3284,0.4736,0.198
DIAMONDS TWO HEARTS TEN,0.639,0.0192,0.3418
HEARTS FIVE CLUBS ACE,0.3984,0.0044,0.5972
SPADES FIVE HEARTS TEN,0.6052,0.0204,0.3744
HEARTS FIVE CLUBS KING,0.4082,0.0092,0.5826
SPADES FIVE HEARTS JACK,0.2486,0.4486,0.3028
HEARTS FIVE CLUBS QUEEN,0.3986,0.0114,0.59
HEARTS THREE CLUBS KING,0.2958,0.028,0.6762
DIAMONDS KING CLUBS KING,0.1842,0.005,0.8108
HEARTS THREE CLUBS QUEEN,0.2842,0.0476,0.6682
DIAMONDS KING CLUBS QUEEN,0.3516,0.009,0.6394
HEARTS FIVE HEARTS JACK,0.2416,0.4136,0.3448
HEARTS FIVE HEARTS TEN,0.5762,0.0156,0.4082
HEARTS THREE CLUBS ACE,0.2756,0.0208,0.7036
DIAMONDS KING CLUBS ACE,0.3584,0.0042,0.6374
SPADES ACE CLUBS QUEEN,0.3304,0.004,0.6656
SPADES KING CLUBS QUEEN,0.3322,0.0066,0.6612
HEARTS THREE CLUBS JACK,0.0666,0.916,0.0174
DIAMONDS KING CLUBS JACK,0.2648,0.0298,0.7054
SPADES QUEEN CLUBS QUEEN,0.171,0.0106,0.8184
HEARTS THREE CLUBS TEN,0.7114,0.0678,0.2208
DIAMONDS KING CLUBS TEN,0.3816,0.0054,0.613
CLUBS SIX CLUBS QUEEN,0.3736,0.0108,0.6156
SPADES TEN CLUBS QUEEN,0.3664,0.0114,0.6222
CLUBS SIX CLUBS KING,0.3784,0.0072,0.6144
CLUBS SIX CLUBS ACE,0.3746,0.0046,0.6208
HEARTS FIVE HEARTS KING,0.3682,0.006,0.6258
HEARTS FIVE HEARTS QUEEN,0.3774,0.0096,0.613
CLUBS SIX CLUBS TEN,0.5546,0.0178,0.4276
HEARTS FIVE HEARTS ACE,0.3726,0.0044,0.623
CLUBS SIX CLUBS JACK,0.257,0.341,0.402
SPADES SEVEN HEARTS JACK,0.2612,0.2866,0.4522
SPADES SEVEN HEARTS TEN,0.5816,0.0186,0.3998
DIAMONDS TWO CLUBS TWO,0.4338,0.052,0.5142
DIAMONDS TWO CLUBS THREE,0.7036,0.0538,0.2426
HEARTS SIX DIAMONDS TWO,0.6272,0.0218,0.351
DIAMONDS TWO HEARTS QUEEN,0.4254,0.0132,0.5614
DIAMONDS TWO HEARTS SEVEN,0.6588,0.0166,0.3246
DIAMONDS TWO HEARTS KING,0.4198,0.0074,0.5728
DIAMONDS TWO HEARTS EIGHT,0.6378,0.0192,0.343
DIAMONDS TWO HEARTS ACE,0.426,0.0052,0.5688
DIAMONDS TWO HEARTS NINE,0.6486,0.0156,0.3358
DIAMONDS TWO DIAMONDS QUEEN,0.3974,0.0134,0.5892
DIAMONDS TWO HEARTS TWO,0.448,0.0506,0.5014
DIAMONDS TWO DIAMONDS KING,0.4014,0.007,0.5916
HEARTS THREE DIAMONDS TWO,0.704,0.0552,0.2408
DIAMONDS TWO DIAMONDS ACE,0.3834,0.006,0.6106
HEARTS FOUR DIAMONDS TWO,0.6288,0.0222,0.349
DIAMONDS TWO HEARTS FIVE,0.6206,0.0232,0.3562
SPADES SEVEN HEARTS ACE,0.3858,0.0048,0.6094
DIAMONDS TWO DIAMONDS TEN,0.6058,0.0166,0.3776
SPADES SEVEN HEARTS KING,0.3904,0.007,0.6026
DIAMONDS TWO DIAMONDS JACK,0.2824,0.471,0.2466
SPADES SEVEN HEARTS QUEEN,0.4022,0.0116,0.5862
DIAMONDS TWO SPADES NINE,0.6338,0.0184,0.3478
DIAMONDS TWO SPADES EIGHT,0.6364,0.0192,0.3444
DIAMONDS TWO SPADES SEVEN,0.633,0.0216,0.3454
DIAMONDS TWO SPADES SIX,0.6368,0.0234,0.3398
DIAMONDS TWO SPADES FIVE,0.6186,0.0204,0.361
DIAMONDS TWO SPADES FOUR,0.6282,0.0228,0.349
DIAMONDS TWO SPADES TWO,0.4266,0.051,0.5224
CLUBS NINE DIAMONDS TWO,0.6476,0.0204,0.332
CLUBS EIGHT DIAMONDS TWO,0.6326,0.0186,0.3488
DIAMONDS TWO CLUBS SEVEN,0.655,0.0236,0.3214
CLUBS SIX DIAMONDS TWO,0.6422,0.018,0.3398
DIAMONDS TWO CLUBS FIVE,0.6132,0.0246,0.3622
DIAMONDS TWO CLUBS FOUR,0.6188,0.0236,0.3576
CLUBS FOUR SPADES FIVE,0.5722,0.026,0.4018
CLUBS FOUR SPADES FOUR,0.331,0.056,0.613
CLUBS FOUR SPADES TWO,0.6174,0.024,0.3586
SPADES NINE CLUBS FOUR,0.611,0.0208,0.3682
CLUBS FOUR SPADES EIGHT,0.6088,0.0182,0.373
CLUBS FOUR SPADES SEVEN,0.5904,0.0208,0.3888
CLUBS FOUR SPADES SIX,0.6028,0.0208,0.3764
SPADES ACE DIAMONDS SIX,0.3944,0.0048,0.6008
