opposingHand,winningChance,drawChance,lostChance
SPADES KING CLUBS ACE
SPADES TEN HEARTS FIVE,0.669,0.0058,0.3252
SPADES JACK HEARTS FIVE,0.6744,0.003,0.3226
SPADES FIVE CLUBS JACK,0.681,0.0074,0.3116
SPADES FIVE CLUBS TEN,0.6662,0.0058,0.328
CLUBS EIGHT CLUBS JACK,0.6328,0.0032,0.364
CLUBS EIGHT CLUBS TEN,0.6098,0.0048,0.3854
CLUBS EIGHT CLUBS KING,0.723,0.0134,0.2636
CLUBS EIGHT CLUBS QUEEN,0.6394,0.0062,0.3544
SPADES FIVE CLUBS KING,0.7668,0.0146,0.2186
SPADES FIVE CLUBS QUEEN,0.678,0.0046,0.3174
DIAMONDS TWO DIAMONDS THREE,0.6072,0.0046,0.3882
DIAMONDS TWO DIAMONDS FIVE,0.597,0.0052,0.3978
DIAMONDS TWO DIAMONDS FOUR,0.6172,0.006,0.3768
SPADES QUEEN HEARTS FIVE,0.6816,0.0026,0.3158
DIAMONDS TWO DIAMONDS SEVEN,0.626,0.003,0.371
DIAMONDS TWO DIAMONDS SIX,0.6198,0.005,0.3752
SPADES ACE HEARTS FIVE,0.6784,0.05,0.2716
DIAMONDS TWO DIAMONDS NINE,0.6282,0.0048,0.367
DIAMONDS TWO DIAMONDS EIGHT,0.6228,0.0048,0.3724
DIAMONDS THREE DIAMONDS FOUR,0.589,0.0038,0.4072
CLUBS TWO SPADES FOUR,0.6558,0.0054,0.3388
DIAMONDS THREE DIAMONDS FIVE,0.5888,0.004,0.4072
CLUBS TWO SPADES FIVE,0.6496,0.0056,0.3448
CLUBS TWO SPADES TWO,0.467,0.0066,0.5264
CLUBS TWO SPADES THREE,0.6656,0.0072,0.3272
DIAMONDS THREE DIAMONDS EIGHT,0.63,0.006,0.364
SPADES EIGHT CLUBS TWO,0.6636,0.0044,0.332
DIAMONDS THREE DIAMONDS NINE,0.625,0.0034,0.3716
SPADES NINE CLUBS TWO,0.682,0.0038,0.3142
DIAMONDS THREE DIAMONDS SIX,0.5956,0.0054,0.399
CLUBS TWO SPADES SIX,0.675,0.0048,0.3202
DIAMONDS THREE DIAMONDS SEVEN,0.614,0.0052,0.3808
SPADES SEVEN CLUBS TWO,0.6752,0.004,0.3208
CLUBS SIX CLUBS TWO,0.632,0.0054,0.3626
CLUBS SEVEN CLUBS TWO,0.6436,0.0046,0.3518
CLUBS FOUR CLUBS TWO,0.6136,0.008,0.3784
CLUBS FIVE CLUBS TWO,0.6228,0.0044,0.3728
CLUBS JACK CLUBS TEN,0.5926,0.0052,0.4022
DIAMONDS FOUR DIAMONDS SIX,0.593,0.0046,0.4024
CLUBS QUEEN CLUBS TEN,0.6136,0.0042,0.3822
