opposingHand,winningChance,drawChance,lostChance
SPADES KING CLUBS EIGHT
SPADES TEN HEARTS FIVE,0.6364,0.01,0.3536
SPADES JACK HEARTS FIVE,0.6378,0.0074,0.3548
SPADES FIVE CLUBS JACK,0.617,0.009,0.374
CLUBS TEN SPADES FIVE,0.629,0.0076,0.3634
SPADES FIVE CLUBS ACE,0.3808,0.0052,0.614
SPADES FIVE CLUBS KING,0.5246,0.24,0.2354
SPADES FIVE CLUBS QUEEN,0.6232,0.0092,0.3676
DIAMONDS TWO DIAMONDS THREE,0.6074,0.0074,0.3852
DIAMONDS TWO DIAMONDS FIVE,0.606,0.0066,0.3874
DIAMONDS TWO DIAMONDS FOUR,0.5966,0.0076,0.3958
SPADES QUEEN HEARTS FIVE,0.628,0.0068,0.3652
DIAMONDS TWO DIAMONDS SEVEN,0.614,0.008,0.378
DIAMONDS TWO DIAMONDS SIX,0.6196,0.005,0.3754
SPADES ACE HEARTS FIVE,0.3918,0.0044,0.6038
DIAMONDS TWO DIAMONDS NINE,0.5812,0.006,0.4128
DIAMONDS TWO DIAMONDS EIGHT,0.6922,0.036,0.2718
DIAMONDS THREE DIAMONDS FOUR,0.5878,0.0072,0.405
CLUBS TWO SPADES FOUR,0.6436,0.0086,0.3478
DIAMONDS THREE DIAMONDS FIVE,0.5926,0.009,0.3984
CLUBS TWO SPADES FIVE,0.6594,0.0094,0.3312
CLUBS TWO SPADES TWO,0.4544,0.0152,0.5304
CLUBS TWO SPADES THREE,0.6506,0.0088,0.3406
DIAMONDS THREE DIAMONDS EIGHT,0.6816,0.036,0.2824
SPADES EIGHT CLUBS TWO,0.7458,0.0422,0.212
DIAMONDS THREE DIAMONDS NINE,0.585,0.0092,0.4058
SPADES NINE CLUBS TWO,0.6488,0.0076,0.3436
DIAMONDS THREE DIAMONDS SIX,0.5912,0.0064,0.4024
CLUBS TWO SPADES SIX,0.6556,0.0086,0.3358
DIAMONDS THREE DIAMONDS SEVEN,0.6158,0.006,0.3782
SPADES SEVEN CLUBS TWO,0.675,0.0082,0.3168
CLUBS SIX CLUBS TWO,0.6304,0.007,0.3626
CLUBS SEVEN CLUBS TWO,0.647,0.0084,0.3446
CLUBS FOUR CLUBS TWO,0.6284,0.0072,0.3644
CLUBS FIVE CLUBS TWO,0.6136,0.0086,0.3778
CLUBS TEN CLUBS JACK,0.5102,0.0064,0.4834
DIAMONDS FOUR DIAMONDS SIX,0.585,0.009,0.406
CLUBS TEN CLUBS QUEEN,0.5322,0.0082,0.4596
DIAMONDS FOUR DIAMONDS SEVEN,0.6022,0.007,0.3908
CLUBS TEN CLUBS KING,0.2144,0.1144,0.6712
CLUBS TEN CLUBS ACE,0.3272,0.0038,0.669
DIAMONDS FIVE DIAMONDS FOUR,0.5776,0.008,0.4144
CLUBS NINE CLUBS TWO,0.6048,0.0062,0.389
DIAMONDS NINE DIAMONDS FOUR,0.5892,0.0068,0.404
DIAMONDS EIGHT DIAMONDS FOUR,0.6772,0.0344,0.2884
CLUBS TWO CLUBS THREE,0.6194,0.0082,0.3724
DIAMONDS NINE DIAMONDS FIVE,0.588,0.0064,0.4056
DIAMONDS TWO CLUBS JACK,0.6356,0.0084,0.356
DIAMONDS EIGHT DIAMONDS FIVE,0.6584,0.037,0.3046
CLUBS TEN DIAMONDS TWO,0.6354,0.0074,0.3572
DIAMONDS FIVE DIAMONDS SEVEN,0.5836,0.0068,0.4096
DIAMONDS FIVE DIAMONDS SIX,0.5792,0.008,0.4128
DIAMONDS TWO CLUBS ACE,0.3864,0.006,0.6076
DIAMONDS TWO CLUBS KING,0.5328,0.2218,0.2454
DIAMONDS TWO CLUBS QUEEN,0.6362,0.0092,0.3546
DIAMONDS EIGHT DIAMONDS SIX,0.6524,0.0342,0.3134
DIAMONDS NINE DIAMONDS SIX,0.5726,0.0074,0.42
HEARTS ACE SPADES THREE,0.3994,0.0044,0.5962
HEARTS KING SPADES THREE,0.5426,0.232,0.2254
DIAMONDS SEVEN DIAMONDS SIX,0.5846,0.0082,0.4072
SPADES THREE HEARTS QUEEN,0.6452,0.0068,0.348
SPADES THREE HEARTS JACK,0.6406,0.0082,0.3512
SPADES THREE HEARTS TEN,0.634,0.0072,0.3588
DIAMONDS EIGHT DIAMONDS SEVEN,0.6362,0.0324,0.3314
DIAMONDS NINE DIAMONDS SEVEN,0.5646,0.0088,0.4266
DIAMONDS NINE DIAMONDS EIGHT,0.6356,0.0286,0.3358
DIAMONDS KING HEARTS TEN,0.2306,0.121,0.6484
HEARTS THREE HEARTS TEN,0.5944,0.0074,0.3982
SPADES JACK CLUBS SIX,0.6354,0.0112,0.3534
DIAMONDS KING HEARTS JACK,0.237,0.0924,0.6706
HEARTS THREE HEARTS JACK,0.5854,0.007,0.4076
CLUBS SIX SPADES TEN,0.6346,0.0078,0.3576
SPADES JACK SPADES FIVE,0.617,0.0066,0.3764
SPADES TEN SPADES FIVE,0.6004,0.008,0.3916
DIAMONDS KING HEARTS ACE,0.2294,0.0096,0.761
HEARTS THREE HEARTS ACE,0.3688,0.0038,0.6274
SPADES ACE CLUBS SIX,0.399,0.0026,0.5984
DIAMONDS KING HEARTS QUEEN,0.2332,0.0582,0.7086
HEARTS THREE HEARTS QUEEN,0.5822,0.006,0.4118
DIAMONDS KING HEARTS KING,0.0784,0.0128,0.9088
HEARTS THREE HEARTS KING,0.5022,0.2192,0.2786
SPADES QUEEN CLUBS SIX,0.632,0.0092,0.3588
SPADES NINE HEARTS TEN,0.5656,0.0074,0.427
SPADES NINE HEARTS JACK,0.5738,0.0056,0.4206
SPADES QUEEN SPADES FIVE,0.5946,0.0056,0.3998
SPADES ACE SPADES FIVE,0.3622,0.0042,0.6336
SPADES NINE HEARTS QUEEN,0.5892,0.0048,0.406
SPADES NINE HEARTS KING,0.2396,0.1696,0.5908
SPADES NINE HEARTS ACE,0.3606,0.0026,0.6368
CLUBS TEN SPADES JACK,0.555,0.0084,0.4366
CLUBS TEN SPADES TEN,0.2946,0.008,0.6974
SPADES ACE CLUBS TEN,0.3388,0.004,0.6572
SPADES QUEEN CLUBS TEN,0.5634,0.0062,0.4304
SPADES FIVE HEARTS QUEEN,0.6264,0.0082,0.3654
SPADES FIVE HEARTS KING,0.5408,0.231,0.2282
SPADES FIVE HEARTS ACE,0.3926,0.0044,0.603
HEARTS THREE SPADES JACK,0.636,0.0072,0.3568
SPADES JACK DIAMONDS KING,0.2294,0.0886,0.682
HEARTS THREE SPADES TEN,0.6276,0.0068,0.3656
SPADES TEN DIAMONDS KING,0.2384,0.1224,0.6392
HEARTS FIVE CLUBS JACK,0.6104,0.008,0.3816
CLUBS SIX HEARTS ACE,0.3952,0.0032,0.6016
CLUBS TEN HEARTS FIVE,0.6274,0.0072,0.3654
CLUBS TEN SPADES THREE,0.6374,0.009,0.3536
CLUBS SIX HEARTS QUEEN,0.6352,0.0068,0.358
SPADES THREE CLUBS JACK,0.63,0.0104,0.3596
CLUBS SIX HEARTS KING,0.541,0.2312,0.2278
DIAMONDS TWO HEARTS JACK,0.6354,0.0074,0.3572
SPADES THREE CLUBS QUEEN,0.6304,0.0072,0.3624
DIAMONDS TWO HEARTS TEN,0.6196,0.0078,0.3726
SPADES THREE CLUBS KING,0.5468,0.222,0.2312
HEARTS FIVE CLUBS ACE,0.3876,0.0036,0.6088
SPADES FIVE HEARTS TEN,0.6412,0.008,0.3508
SPADES THREE CLUBS ACE,0.4006,0.006,0.5934
HEARTS FIVE CLUBS KING,0.5348,0.23,0.2352
SPADES FIVE HEARTS JACK,0.6292,0.0068,0.364
HEARTS FIVE CLUBS QUEEN,0.617,0.009,0.374
HEARTS THREE CLUBS KING,0.5328,0.2378,0.2294
DIAMONDS KING CLUBS KING,0.0774,0.0128,0.9098
HEARTS THREE CLUBS QUEEN,0.6292,0.0066,0.3642
DIAMONDS KING CLUBS QUEEN,0.2406,0.0658,0.6936
HEARTS FIVE HEARTS JACK,0.5964,0.007,0.3966
HEARTS FIVE HEARTS TEN,0.5906,0.009,0.4004
HEARTS THREE CLUBS ACE,0.3964,0.0032,0.6004
DIAMONDS KING CLUBS ACE,0.2322,0.0136,0.7542
SPADES ACE CLUBS QUEEN,0.3416,0.0046,0.6538
HEARTS THREE CLUBS JACK,0.6244,0.0064,0.3692
DIAMONDS KING CLUBS JACK,0.2358,0.0806,0.6836
SPADES QUEEN CLUBS QUEEN,0.2762,0.0056,0.7182
