opposingHand,winningChance,drawChance,lostChance
SPADES KING CLUBS TWO
SPADES TEN HEARTS FIVE,0.589,0.0082,0.4028
SPADES JACK HEARTS FIVE,0.5968,0.0104,0.3928
SPADES FIVE CLUBS JACK,0.6014,0.0072,0.3914
CLUBS TEN SPADES FIVE,0.5976,0.01,0.3924
CLUBS EIGHT CLUBS JACK,0.5404,0.0062,0.4534
CLUBS TEN CLUBS EIGHT,0.5224,0.0074,0.4702
CLUBS EIGHT CLUBS KING,0.2288,0.2202,0.551
SPADES FIVE CLUBS ACE,0.3446,0.0068,0.6486
CLUBS EIGHT CLUBS QUEEN,0.5498,0.0082,0.442
SPADES FIVE CLUBS KING,0.2118,0.4648,0.3234
SPADES FIVE CLUBS QUEEN,0.583,0.009,0.408
CLUBS EIGHT CLUBS ACE,0.3502,0.004,0.6458
DIAMONDS TWO DIAMONDS THREE,0.6692,0.025,0.3058
DIAMONDS TWO DIAMONDS FIVE,0.6532,0.0298,0.317
DIAMONDS TWO DIAMONDS FOUR,0.6756,0.0268,0.2976
SPADES QUEEN HEARTS FIVE,0.595,0.0076,0.3974
DIAMONDS TWO DIAMONDS SEVEN,0.6876,0.0284,0.284
DIAMONDS TWO DIAMONDS SIX,0.699,0.0192,0.2818
SPADES ACE HEARTS FIVE,0.349,0.0056,0.6454
DIAMONDS TWO DIAMONDS NINE,0.6826,0.031,0.2864
DIAMONDS TWO DIAMONDS EIGHT,0.6826,0.0288,0.2886
DIAMONDS THREE DIAMONDS FOUR,0.5376,0.0104,0.452
DIAMONDS THREE DIAMONDS FIVE,0.5448,0.0102,0.445
DIAMONDS THREE DIAMONDS EIGHT,0.568,0.009,0.423
DIAMONDS THREE DIAMONDS NINE,0.5576,0.01,0.4324
DIAMONDS THREE DIAMONDS SIX,0.5414,0.0092,0.4494
DIAMONDS THREE DIAMONDS SEVEN,0.5412,0.0114,0.4474
CLUBS TEN CLUBS JACK,0.5012,0.007,0.4918
DIAMONDS FOUR DIAMONDS SIX,0.5272,0.0094,0.4634
CLUBS TEN CLUBS QUEEN,0.5204,0.0098,0.4698
DIAMONDS FOUR DIAMONDS SEVEN,0.5416,0.0082,0.4502
CLUBS TEN CLUBS KING,0.2074,0.1134,0.6792
CLUBS TEN CLUBS ACE,0.3338,0.0046,0.6616
DIAMONDS FIVE DIAMONDS FOUR,0.5194,0.0088,0.4718
DIAMONDS NINE DIAMONDS FOUR,0.547,0.0084,0.4446
DIAMONDS EIGHT DIAMONDS FOUR,0.5512,0.012,0.4368
DIAMONDS NINE DIAMONDS FIVE,0.5516,0.0074,0.441
DIAMONDS TWO CLUBS JACK,0.7396,0.0286,0.2318
DIAMONDS EIGHT DIAMONDS FIVE,0.5298,0.008,0.4622
CLUBS TEN DIAMONDS TWO,0.7292,0.026,0.2448
DIAMONDS FIVE DIAMONDS SEVEN,0.5344,0.0084,0.4572
DIAMONDS FIVE DIAMONDS SIX,0.5292,0.0082,0.4626
DIAMONDS TWO CLUBS ACE,0.2214,0.0166,0.762
DIAMONDS TWO CLUBS KING,0.0108,0.974,0.0152
DIAMONDS TWO CLUBS QUEEN,0.7318,0.0264,0.2418
DIAMONDS EIGHT DIAMONDS SIX,0.5138,0.0054,0.4808
DIAMONDS NINE DIAMONDS SIX,0.5336,0.007,0.4594
HEARTS ACE SPADES THREE,0.3348,0.007,0.6582
HEARTS KING SPADES THREE,0.2132,0.523,0.2638
DIAMONDS SEVEN DIAMONDS SIX,0.533,0.0084,0.4586
SPADES THREE HEARTS QUEEN,0.6022,0.01,0.3878
SPADES THREE HEARTS JACK,0.6072,0.009,0.3838
SPADES THREE HEARTS TEN,0.6068,0.011,0.3822
DIAMONDS EIGHT DIAMONDS SEVEN,0.5064,0.008,0.4856
DIAMONDS NINE DIAMONDS SEVEN,0.5178,0.0066,0.4756
DIAMONDS NINE DIAMONDS EIGHT,0.5224,0.008,0.4696
DIAMONDS KING HEARTS TEN,0.2264,0.1172,0.6564
HEARTS THREE HEARTS TEN,0.5578,0.0072,0.435
SPADES JACK CLUBS SIX,0.5872,0.0078,0.405
DIAMONDS KING HEARTS JACK,0.2268,0.0862,0.687
HEARTS THREE HEARTS JACK,0.5616,0.0062,0.4322
SPADES TEN CLUBS SIX,0.5886,0.0086,0.4028
SPADES JACK SPADES FIVE,0.563,0.0082,0.4288
SPADES TEN SPADES FIVE,0.5692,0.0116,0.4192
DIAMONDS KING HEARTS ACE,0.2264,0.0132,0.7604
HEARTS THREE HEARTS ACE,0.3244,0.0058,0.6698
SPADES ACE CLUBS SIX,0.35,0.0046,0.6454
DIAMONDS KING HEARTS QUEEN,0.2308,0.0628,0.7064
HEARTS THREE HEARTS QUEEN,0.5614,0.0064,0.4322
DIAMONDS KING HEARTS KING,0.0732,0.0132,0.9136
HEARTS THREE HEARTS KING,0.2162,0.4806,0.3032
SPADES QUEEN CLUBS SIX,0.5836,0.0094,0.407
SPADES NINE HEARTS TEN,0.5412,0.009,0.4498
SPADES NINE HEARTS JACK,0.5508,0.0064,0.4428
SPADES QUEEN SPADES FIVE,0.5742,0.0104,0.4154
SPADES ACE SPADES FIVE,0.3328,0.0066,0.6606
SPADES NINE HEARTS QUEEN,0.5612,0.0088,0.43
SPADES NINE HEARTS KING,0.2352,0.169,0.5958
SPADES NINE HEARTS ACE,0.3592,0.0054,0.6354
CLUBS TEN SPADES JACK,0.5394,0.0088,0.4518
CLUBS TEN SPADES TEN,0.284,0.0076,0.7084
SPADES ACE CLUBS TEN,0.334,0.0088,0.6572
SPADES QUEEN CLUBS TEN,0.5448,0.009,0.4462
SPADES FIVE HEARTS QUEEN,0.606,0.0086,0.3854
SPADES FIVE HEARTS KING,0.2214,0.4548,0.3238
SPADES FIVE HEARTS ACE,0.347,0.005,0.648
HEARTS THREE SPADES JACK,0.6046,0.0096,0.3858
SPADES JACK DIAMONDS KING,0.225,0.086,0.689
SPADES TEN CLUBS EIGHT,0.5572,0.009,0.4338
SPADES JACK CLUBS EIGHT,0.5668,0.0086,0.4246
HEARTS THREE SPADES TEN,0.6036,0.0096,0.3868
SPADES TEN DIAMONDS KING,0.2266,0.1222,0.6512
CLUBS SIX HEARTS ACE,0.3352,0.0048,0.66
SPADES ACE CLUBS EIGHT,0.3422,0.0046,0.6532
HEARTS FIVE CLUBS JACK,0.5844,0.0092,0.4064
CLUBS TEN HEARTS FIVE,0.593,0.0082,0.3988
CLUBS SIX HEARTS QUEEN,0.5982,0.0076,0.3942
SPADES QUEEN CLUBS EIGHT,0.581,0.006,0.413
CLUBS TEN SPADES THREE,0.6032,0.0102,0.3866
CLUBS SIX HEARTS KING,0.2138,0.3744,0.4118
SPADES THREE CLUBS JACK,0.5904,0.0082,0.4014
DIAMONDS TWO HEARTS JACK,0.7296,0.0314,0.239
SPADES THREE CLUBS QUEEN,0.6066,0.0074,0.386
DIAMONDS TWO HEARTS TEN,0.7346,0.0278,0.2376
SPADES THREE CLUBS KING,0.2222,0.514,0.2638
HEARTS FIVE CLUBS ACE,0.3384,0.0048,0.6568
SPADES FIVE HEARTS TEN,0.6018,0.0082,0.39
SPADES THREE CLUBS ACE,0.336,0.0064,0.6576
HEARTS FIVE CLUBS KING,0.2086,0.4702,0.3212
SPADES FIVE HEARTS JACK,0.5836,0.0064,0.41
HEARTS FIVE CLUBS QUEEN,0.6,0.0094,0.3906
HEARTS THREE CLUBS KING,0.2116,0.5302,0.2582
DIAMONDS KING CLUBS KING,0.0554,0.0178,0.9268
HEARTS THREE CLUBS QUEEN,0.6014,0.0096,0.389
DIAMONDS KING CLUBS QUEEN,0.2286,0.0684,0.703
HEARTS FIVE HEARTS JACK,0.5534,0.0096,0.437
HEARTS FIVE HEARTS TEN,0.5464,0.007,0.4466
HEARTS THREE CLUBS ACE,0.3358,0.0068,0.6574
DIAMONDS KING CLUBS ACE,0.2156,0.0132,0.7712
SPADES ACE CLUBS QUEEN,0.3362,0.006,0.6578
HEARTS THREE CLUBS JACK,0.5924,0.0076,0.4
DIAMONDS KING CLUBS JACK,0.2282,0.0814,0.6904
SPADES QUEEN CLUBS QUEEN,0.278,0.0042,0.7178
CLUBS TEN HEARTS THREE,0.6016,0.0092,0.3892
CLUBS TEN DIAMONDS KING,0.2206,0.1074,0.672
SPADES JACK CLUBS QUEEN,0.5558,0.0064,0.4378
CLUBS SIX CLUBS QUEEN,0.5608,0.0092,0.43
SPADES TEN CLUBS QUEEN,0.5548,0.0096,0.4356
