opposingHand,winningChance,drawChance,lostChance
SPADES KING DIAMONDS EIGHT
HEARTS FIVE SPADES TEN,0.643,0.0072,0.3498
HEARTS FIVE SPADES JACK,0.6216,0.0092,0.3692
SPADES FIVE CLUBS JACK,0.6288,0.0072,0.364
CLUBS TEN SPADES FIVE,0.6334,0.0078,0.3588
CLUBS EIGHT CLUBS JACK,0.658,0.0282,0.3138
CLUBS TEN CLUBS EIGHT,0.6458,0.0302,0.324
CLUBS EIGHT CLUBS KING,0.0196,0.9054,0.075
SPADES FIVE CLUBS ACE,0.3802,0.004,0.6158
CLUBS EIGHT CLUBS QUEEN,0.6664,0.0302,0.3034
SPADES FIVE CLUBS KING,0.545,0.2328,0.2222
SPADES FIVE CLUBS QUEEN,0.6174,0.0064,0.3762
CLUBS EIGHT CLUBS ACE,0.2194,0.0224,0.7582
DIAMONDS TWO DIAMONDS THREE,0.6228,0.0068,0.3704
DIAMONDS TWO DIAMONDS FIVE,0.6096,0.0092,0.3812
DIAMONDS TWO DIAMONDS FOUR,0.6106,0.0078,0.3816
HEARTS FIVE SPADES QUEEN,0.6342,0.0092,0.3566
DIAMONDS TWO DIAMONDS SEVEN,0.6362,0.0094,0.3544
DIAMONDS TWO DIAMONDS SIX,0.6364,0.0074,0.3562
SPADES ACE HEARTS FIVE,0.3808,0.0048,0.6144
DIAMONDS TWO DIAMONDS NINE,0.6098,0.0102,0.38
DIAMONDS THREE DIAMONDS FOUR,0.6056,0.0082,0.3862
SPADES FOUR CLUBS TWO,0.6458,0.009,0.3452
DIAMONDS THREE DIAMONDS FIVE,0.612,0.0078,0.3802
SPADES FIVE CLUBS TWO,0.6458,0.0098,0.3444
CLUBS TWO SPADES TWO,0.45,0.0142,0.5358
CLUBS TWO SPADES THREE,0.6468,0.008,0.3452
SPADES EIGHT CLUBS TWO,0.7354,0.0396,0.225
DIAMONDS THREE DIAMONDS NINE,0.6028,0.0088,0.3884
SPADES NINE CLUBS TWO,0.6222,0.0088,0.369
DIAMONDS THREE DIAMONDS SIX,0.607,0.009,0.384
SPADES SIX CLUBS TWO,0.6488,0.0096,0.3416
DIAMONDS THREE DIAMONDS SEVEN,0.6242,0.0096,0.3662
SPADES SEVEN CLUBS TWO,0.6752,0.0076,0.3172
CLUBS SIX CLUBS TWO,0.6112,0.0072,0.3816
CLUBS SEVEN CLUBS TWO,0.627,0.0082,0.3648
CLUBS FOUR CLUBS TWO,0.592,0.0094,0.3986
CLUBS FIVE CLUBS TWO,0.6048,0.0066,0.3886
CLUBS TEN CLUBS JACK,0.5308,0.0064,0.4628
DIAMONDS FOUR DIAMONDS SIX,0.5988,0.0108,0.3904
CLUBS TEN CLUBS QUEEN,0.5302,0.006,0.4638
DIAMONDS FOUR DIAMONDS SEVEN,0.615,0.0068,0.3782
CLUBS TEN CLUBS KING,0.2216,0.12,0.6584
CLUBS TEN CLUBS ACE,0.3252,0.005,0.6698
CLUBS EIGHT CLUBS TWO,0.6886,0.0382,0.2732
DIAMONDS FIVE DIAMONDS FOUR,0.5966,0.0098,0.3936
CLUBS NINE CLUBS TWO,0.594,0.0082,0.3978
DIAMONDS NINE DIAMONDS FOUR,0.5912,0.0104,0.3984
CLUBS THREE CLUBS TWO,0.601,0.009,0.39
DIAMONDS NINE DIAMONDS FIVE,0.5886,0.0084,0.403
DIAMONDS TWO CLUBS JACK,0.6382,0.0096,0.3522
CLUBS TEN DIAMONDS TWO,0.6344,0.0082,0.3574
DIAMONDS FIVE DIAMONDS SEVEN,0.602,0.0086,0.3894
DIAMONDS FIVE DIAMONDS SIX,0.5952,0.0072,0.3976
DIAMONDS TWO CLUBS ACE,0.41,0.0038,0.5862
DIAMONDS TWO CLUBS KING,0.55,0.2342,0.2158
DIAMONDS TWO CLUBS QUEEN,0.6332,0.0066,0.3602
DIAMONDS NINE DIAMONDS SIX,0.5844,0.007,0.4086
HEARTS ACE SPADES THREE,0.4054,0.0052,0.5894
SPADES THREE HEARTS KING,0.546,0.231,0.223
DIAMONDS SEVEN DIAMONDS SIX,0.5886,0.0078,0.4036
SPADES THREE HEARTS QUEEN,0.6372,0.007,0.3558
SPADES THREE HEARTS JACK,0.636,0.0054,0.3586
SPADES THREE HEARTS TEN,0.624,0.006,0.37
DIAMONDS NINE DIAMONDS SEVEN,0.5826,0.0084,0.409
DIAMONDS KING HEARTS TEN,0.2294,0.1194,0.6512
HEARTS THREE HEARTS TEN,0.59,0.0072,0.4028
SPADES JACK CLUBS SIX,0.6382,0.0074,0.3544
DIAMONDS KING HEARTS JACK,0.2424,0.0888,0.6688
HEARTS THREE HEARTS JACK,0.6028,0.0074,0.3898
SPADES TEN CLUBS SIX,0.6182,0.007,0.3748
SPADES JACK SPADES FIVE,0.593,0.0076,0.3994
SPADES TEN SPADES FIVE,0.6084,0.0082,0.3834
DIAMONDS KING HEARTS ACE,0.2248,0.0146,0.7606
HEARTS THREE HEARTS ACE,0.3716,0.0036,0.6248
SPADES ACE CLUBS SIX,0.3948,0.0026,0.6026
DIAMONDS KING HEARTS QUEEN,0.2288,0.06,0.7112
HEARTS THREE HEARTS QUEEN,0.606,0.005,0.389
DIAMONDS KING HEARTS KING,0.0686,0.0136,0.9178
HEARTS THREE HEARTS KING,0.5066,0.213,0.2804
SPADES QUEEN CLUBS SIX,0.6268,0.006,0.3672
SPADES NINE HEARTS TEN,0.5702,0.0046,0.4252
SPADES NINE HEARTS JACK,0.5846,0.0072,0.4082
SPADES QUEEN SPADES FIVE,0.6028,0.0086,0.3886
SPADES ACE SPADES FIVE,0.3688,0.0046,0.6266
SPADES NINE HEARTS QUEEN,0.5954,0.0054,0.3992
SPADES NINE HEARTS KING,0.2408,0.159,0.6002
SPADES NINE HEARTS ACE,0.3602,0.0044,0.6354
CLUBS TEN SPADES JACK,0.5564,0.0052,0.4384
CLUBS TEN SPADES TEN,0.3068,0.0062,0.687
SPADES ACE CLUBS TEN,0.3332,0.0028,0.664
SPADES QUEEN CLUBS TEN,0.577,0.0076,0.4154
SPADES FIVE HEARTS QUEEN,0.6362,0.0084,0.3554
SPADES FIVE HEARTS KING,0.5346,0.2276,0.2378
SPADES FIVE HEARTS ACE,0.3906,0.0036,0.6058
SPADES JACK HEARTS THREE,0.6266,0.007,0.3664
SPADES JACK DIAMONDS KING,0.2272,0.0898,0.683
SPADES TEN CLUBS EIGHT,0.7,0.0256,0.2744
SPADES JACK CLUBS EIGHT,0.714,0.0268,0.2592
SPADES TEN HEARTS THREE,0.633,0.0072,0.3598
SPADES TEN DIAMONDS KING,0.2218,0.1132,0.665
CLUBS SIX HEARTS ACE,0.3934,0.0022,0.6044
SPADES ACE CLUBS EIGHT,0.2318,0.0212,0.747
HEARTS FIVE CLUBS JACK,0.6288,0.0066,0.3646
HEARTS FIVE CLUBS TEN,0.6238,0.0082,0.368
CLUBS SIX HEARTS QUEEN,0.6368,0.0056,0.3576
SPADES QUEEN CLUBS EIGHT,0.7238,0.0324,0.2438
CLUBS TEN SPADES THREE,0.6462,0.0064,0.3474
CLUBS SIX HEARTS KING,0.538,0.2314,0.2306
SPADES THREE CLUBS JACK,0.635,0.0088,0.3562
DIAMONDS TWO HEARTS JACK,0.634,0.0078,0.3582
SPADES THREE CLUBS QUEEN,0.6336,0.0092,0.3572
DIAMONDS TWO HEARTS TEN,0.6202,0.0084,0.3714
SPADES THREE CLUBS KING,0.5448,0.2304,0.2248
HEARTS FIVE CLUBS ACE,0.3808,0.0042,0.615
SPADES FIVE HEARTS TEN,0.635,0.0082,0.3568
SPADES THREE CLUBS ACE,0.4028,0.0034,0.5938
HEARTS FIVE CLUBS KING,0.5408,0.2266,0.2326
SPADES FIVE HEARTS JACK,0.631,0.0064,0.3626
HEARTS FIVE CLUBS QUEEN,0.6402,0.0066,0.3532
HEARTS THREE CLUBS KING,0.532,0.2394,0.2286
DIAMONDS KING CLUBS KING,0.0674,0.0138,0.9188
HEARTS THREE CLUBS QUEEN,0.6358,0.0082,0.356
DIAMONDS KING CLUBS QUEEN,0.2342,0.0602,0.7056
HEARTS FIVE HEARTS JACK,0.57,0.0082,0.4218
HEARTS FIVE HEARTS TEN,0.5898,0.0042,0.406
HEARTS THREE CLUBS ACE,0.3986,0.0052,0.5962
DIAMONDS KING CLUBS ACE,0.227,0.0108,0.7622
SPADES ACE CLUBS QUEEN,0.3416,0.0036,0.6548
HEARTS THREE CLUBS JACK,0.6326,0.0082,0.3592
DIAMONDS KING CLUBS JACK,0.2332,0.0882,0.6786
SPADES QUEEN CLUBS QUEEN,0.2856,0.0042,0.7102
CLUBS TEN HEARTS THREE,0.6376,0.0072,0.3552
CLUBS TEN DIAMONDS KING,0.2312,0.1158,0.653
SPADES JACK CLUBS QUEEN,0.5632,0.0064,0.4304
CLUBS SIX CLUBS QUEEN,0.5912,0.007,0.4018
