opposingHand,winningChance,drawChance,lostChance
SPADES KING DIAMONDS FIVE
HEARTS FIVE SPADES TEN,0.7196,0.0362,0.2442
HEARTS FIVE SPADES JACK,0.7184,0.0412,0.2404
SPADES FIVE CLUBS JACK,0.7208,0.0412,0.238
CLUBS TEN SPADES FIVE,0.73,0.0348,0.2352
CLUBS EIGHT CLUBS JACK,0.5362,0.0056,0.4582
CLUBS TEN CLUBS EIGHT,0.5078,0.0074,0.4848
CLUBS EIGHT CLUBS KING,0.2228,0.213,0.5642
SPADES FIVE CLUBS ACE,0.2294,0.0312,0.7394
CLUBS EIGHT CLUBS QUEEN,0.5494,0.0072,0.4434
SPADES FIVE CLUBS KING,0.017,0.974,0.009
SPADES FIVE CLUBS QUEEN,0.7246,0.041,0.2344
CLUBS EIGHT CLUBS ACE,0.3348,0.005,0.6602
DIAMONDS TWO DIAMONDS THREE,0.6176,0.0098,0.3726
DIAMONDS TWO DIAMONDS FOUR,0.6262,0.0084,0.3654
HEARTS FIVE SPADES QUEEN,0.7302,0.0418,0.228
DIAMONDS TWO DIAMONDS SEVEN,0.6178,0.0098,0.3724
DIAMONDS TWO DIAMONDS SIX,0.5976,0.0088,0.3936
SPADES ACE HEARTS FIVE,0.2224,0.0262,0.7514
DIAMONDS TWO DIAMONDS NINE,0.5994,0.0068,0.3938
DIAMONDS TWO DIAMONDS EIGHT,0.5994,0.01,0.3906
DIAMONDS THREE DIAMONDS FOUR,0.5988,0.0098,0.3914
SPADES FOUR CLUBS TWO,0.6468,0.0118,0.3414
SPADES FIVE CLUBS TWO,0.7184,0.0364,0.2452
CLUBS TWO SPADES TWO,0.4674,0.018,0.5146
CLUBS TWO SPADES THREE,0.6458,0.0088,0.3454
DIAMONDS THREE DIAMONDS EIGHT,0.6132,0.0102,0.3766
SPADES EIGHT CLUBS TWO,0.647,0.0098,0.3432
DIAMONDS THREE DIAMONDS NINE,0.5918,0.009,0.3992
SPADES NINE CLUBS TWO,0.647,0.0074,0.3456
DIAMONDS THREE DIAMONDS SIX,0.587,0.0074,0.4056
SPADES SIX CLUBS TWO,0.6286,0.0102,0.3612
DIAMONDS THREE DIAMONDS SEVEN,0.588,0.01,0.402
SPADES SEVEN CLUBS TWO,0.6436,0.0094,0.347
CLUBS SIX CLUBS TWO,0.5974,0.0104,0.3922
CLUBS SEVEN CLUBS TWO,0.6024,0.0078,0.3898
CLUBS FOUR CLUBS TWO,0.604,0.009,0.387
CLUBS FIVE CLUBS TWO,0.668,0.0376,0.2944
CLUBS TEN CLUBS JACK,0.514,0.0076,0.4784
DIAMONDS SIX DIAMONDS FOUR,0.5724,0.009,0.4186
CLUBS TEN CLUBS QUEEN,0.5154,0.0064,0.4782
DIAMONDS FOUR DIAMONDS SEVEN,0.5758,0.0098,0.4144
CLUBS TEN CLUBS KING,0.2212,0.1188,0.66
CLUBS TEN CLUBS ACE,0.3252,0.0024,0.6724
CLUBS EIGHT CLUBS TWO,0.5982,0.0098,0.392
CLUBS NINE CLUBS TWO,0.5838,0.007,0.4092
DIAMONDS NINE DIAMONDS FOUR,0.622,0.0078,0.3702
DIAMONDS FOUR DIAMONDS EIGHT,0.5974,0.0096,0.393
CLUBS THREE CLUBS TWO,0.6128,0.0088,0.3784
DIAMONDS TWO CLUBS JACK,0.6398,0.009,0.3512
CLUBS TEN DIAMONDS TWO,0.6344,0.0066,0.359
DIAMONDS TWO CLUBS ACE,0.392,0.0048,0.6032
DIAMONDS TWO CLUBS KING,0.3142,0.4706,0.2152
DIAMONDS TWO CLUBS QUEEN,0.6384,0.0074,0.3542
DIAMONDS SIX DIAMONDS EIGHT,0.5518,0.0074,0.4408
DIAMONDS NINE DIAMONDS SIX,0.5516,0.009,0.4394
HEARTS ACE SPADES THREE,0.3782,0.0052,0.6166
SPADES THREE HEARTS KING,0.3242,0.4628,0.213
DIAMONDS SIX DIAMONDS SEVEN,0.551,0.0094,0.4396
SPADES THREE HEARTS QUEEN,0.6438,0.0098,0.3464
SPADES THREE HEARTS JACK,0.6342,0.0084,0.3574
SPADES THREE HEARTS TEN,0.6426,0.008,0.3494
DIAMONDS EIGHT DIAMONDS SEVEN,0.5306,0.0088,0.4606
DIAMONDS NINE DIAMONDS SEVEN,0.5312,0.0068,0.462
DIAMONDS NINE DIAMONDS EIGHT,0.5012,0.0072,0.4916
