opposingHand,winningChance,drawChance,lostChance
SPADES KING DIAMONDS SIX
HEARTS FIVE SPADES TEN,0.637,0.0066,0.3564
HEARTS FIVE SPADES JACK,0.6378,0.0074,0.3548
SPADES FIVE CLUBS JACK,0.6268,0.0072,0.366
CLUBS TEN SPADES FIVE,0.6398,0.0086,0.3516
CLUBS EIGHT CLUBS JACK,0.5346,0.0044,0.461
CLUBS TEN CLUBS EIGHT,0.527,0.0092,0.4638
CLUBS EIGHT CLUBS KING,0.2032,0.2182,0.5786
SPADES FIVE CLUBS ACE,0.3794,0.0056,0.615
CLUBS EIGHT CLUBS QUEEN,0.5492,0.0066,0.4442
SPADES FIVE CLUBS KING,0.397,0.3838,0.2192
SPADES FIVE CLUBS QUEEN,0.6424,0.006,0.3516
CLUBS EIGHT CLUBS ACE,0.3356,0.0024,0.662
DIAMONDS TWO DIAMONDS THREE,0.6258,0.0084,0.3658
DIAMONDS TWO DIAMONDS FIVE,0.6,0.0078,0.3922
DIAMONDS TWO DIAMONDS FOUR,0.6146,0.008,0.3774
HEARTS FIVE SPADES QUEEN,0.6322,0.009,0.3588
DIAMONDS TWO DIAMONDS SEVEN,0.6102,0.0116,0.3782
SPADES ACE HEARTS FIVE,0.3708,0.0036,0.6256
DIAMONDS TWO DIAMONDS NINE,0.5922,0.0084,0.3994
DIAMONDS TWO DIAMONDS EIGHT,0.6002,0.008,0.3918
DIAMONDS THREE DIAMONDS FOUR,0.6064,0.0108,0.3828
SPADES FOUR CLUBS TWO,0.648,0.0088,0.3432
DIAMONDS THREE DIAMONDS FIVE,0.6084,0.0092,0.3824
SPADES FIVE CLUBS TWO,0.6422,0.0126,0.3452
CLUBS TWO SPADES TWO,0.4662,0.0138,0.52
CLUBS TWO SPADES THREE,0.6306,0.0106,0.3588
DIAMONDS THREE DIAMONDS EIGHT,0.6162,0.0072,0.3766
SPADES EIGHT CLUBS TWO,0.641,0.007,0.352
DIAMONDS THREE DIAMONDS NINE,0.5938,0.0066,0.3996
SPADES NINE CLUBS TWO,0.6398,0.007,0.3532
SPADES SIX CLUBS TWO,0.727,0.046,0.227
