opposingHand,winningChance,drawChance,lostChance
SPADES KING DIAMONDS THREE
HEARTS FIVE SPADES TEN,0.6086,0.009,0.3824
HEARTS FIVE SPADES JACK,0.602,0.007,0.391
SPADES FIVE CLUBS JACK,0.6066,0.0066,0.3868
CLUBS TEN SPADES FIVE,0.5908,0.0066,0.4026
CLUBS EIGHT CLUBS JACK,0.535,0.0088,0.4562
CLUBS TEN CLUBS EIGHT,0.515,0.0082,0.4768
CLUBS EIGHT CLUBS KING,0.2112,0.2224,0.5664
SPADES FIVE CLUBS ACE,0.3542,0.005,0.6408
CLUBS EIGHT CLUBS QUEEN,0.5478,0.0058,0.4464
SPADES FIVE CLUBS KING,0.211,0.4574,0.3316
SPADES FIVE CLUBS QUEEN,0.5944,0.008,0.3976
CLUBS EIGHT CLUBS ACE,0.3288,0.005,0.6662
DIAMONDS TWO DIAMONDS FIVE,0.5836,0.0074,0.409
DIAMONDS TWO DIAMONDS FOUR,0.586,0.0122,0.4018
HEARTS FIVE SPADES QUEEN,0.5962,0.0084,0.3954
DIAMONDS TWO DIAMONDS SEVEN,0.605,0.0094,0.3856
DIAMONDS TWO DIAMONDS SIX,0.593,0.0078,0.3992
SPADES ACE HEARTS FIVE,0.3344,0.0048,0.6608
DIAMONDS TWO DIAMONDS NINE,0.5948,0.0092,0.396
DIAMONDS TWO DIAMONDS EIGHT,0.6038,0.011,0.3852
SPADES FOUR CLUBS TWO,0.6216,0.0108,0.3676
SPADES FIVE CLUBS TWO,0.6092,0.01,0.3808
CLUBS TWO SPADES TWO,0.4416,0.0214,0.537
CLUBS TWO SPADES THREE,0.7148,0.0318,0.2534
SPADES EIGHT CLUBS TWO,0.6396,0.0098,0.3506
SPADES NINE CLUBS TWO,0.6444,0.0114,0.3442
SPADES SIX CLUBS TWO,0.6412,0.0106,0.3482
SPADES SEVEN CLUBS TWO,0.6308,0.0114,0.3578
CLUBS SIX CLUBS TWO,0.5974,0.0076,0.395
CLUBS SEVEN CLUBS TWO,0.599,0.0088,0.3922
CLUBS FOUR CLUBS TWO,0.5832,0.0112,0.4056
CLUBS FIVE CLUBS TWO,0.579,0.009,0.412
CLUBS TEN CLUBS JACK,0.5184,0.0056,0.476
DIAMONDS FOUR DIAMONDS SIX,0.551,0.0092,0.4398
CLUBS TEN CLUBS QUEEN,0.5144,0.0042,0.4814
DIAMONDS FOUR DIAMONDS SEVEN,0.5528,0.0104,0.4368
CLUBS TEN CLUBS KING,0.2312,0.115,0.6538
CLUBS TEN CLUBS ACE,0.3308,0.0044,0.6648
CLUBS EIGHT CLUBS TWO,0.593,0.0076,0.3994
DIAMONDS FOUR DIAMONDS FIVE,0.5324,0.0124,0.4552
CLUBS NINE CLUBS TWO,0.5884,0.0078,0.4038
DIAMONDS FOUR DIAMONDS NINE,0.5792,0.011,0.4098
DIAMONDS FOUR DIAMONDS EIGHT,0.5542,0.0086,0.4372
CLUBS THREE CLUBS TWO,0.6714,0.0338,0.2948
DIAMONDS NINE DIAMONDS FIVE,0.561,0.0106,0.4284
DIAMONDS TWO CLUBS JACK,0.6294,0.008,0.3626
DIAMONDS FIVE DIAMONDS EIGHT,0.5512,0.0078,0.441
CLUBS TEN DIAMONDS TWO,0.6258,0.0106,0.3636
DIAMONDS FIVE DIAMONDS SEVEN,0.535,0.0102,0.4548
DIAMONDS SIX DIAMONDS FIVE,0.5122,0.0086,0.4792
DIAMONDS TWO CLUBS ACE,0.3868,0.0048,0.6084
DIAMONDS TWO CLUBS KING,0.252,0.534,0.214
DIAMONDS TWO CLUBS QUEEN,0.6472,0.008,0.3448
DIAMONDS SIX DIAMONDS EIGHT,0.5352,0.0078,0.457
DIAMONDS NINE DIAMONDS SIX,0.5378,0.0068,0.4554
HEARTS ACE SPADES THREE,0.2424,0.0236,0.734
SPADES THREE HEARTS KING,0.0208,0.9684,0.0108
DIAMONDS SIX DIAMONDS SEVEN,0.5298,0.0084,0.4618
SPADES THREE HEARTS QUEEN,0.7384,0.0316,0.23
SPADES THREE HEARTS JACK,0.7218,0.036,0.2422
SPADES THREE HEARTS TEN,0.744,0.0334,0.2226
DIAMONDS EIGHT DIAMONDS SEVEN,0.519,0.007,0.474
DIAMONDS NINE DIAMONDS SEVEN,0.5376,0.0094,0.453
DIAMONDS NINE DIAMONDS EIGHT,0.527,0.0076,0.4654
DIAMONDS KING HEARTS TEN,0.2292,0.1162,0.6546
HEARTS THREE HEARTS TEN,0.6702,0.0354,0.2944
SPADES JACK CLUBS SIX,0.6056,0.0078,0.3866
DIAMONDS KING HEARTS JACK,0.2348,0.0862,0.679
HEARTS THREE HEARTS JACK,0.6824,0.0316,0.286
SPADES TEN CLUBS SIX,0.5876,0.0078,0.4046
SPADES JACK SPADES FIVE,0.5708,0.0084,0.4208
SPADES TEN SPADES FIVE,0.5712,0.0092,0.4196
DIAMONDS KING HEARTS ACE,0.2206,0.0126,0.7668
HEARTS THREE HEARTS ACE,0.2216,0.0212,0.7572
SPADES ACE CLUBS SIX,0.3504,0.0056,0.644
DIAMONDS KING HEARTS QUEEN,0.2298,0.063,0.7072
HEARTS THREE HEARTS QUEEN,0.6838,0.0304,0.2858
DIAMONDS KING HEARTS KING,0.0652,0.0166,0.9182
HEARTS THREE HEARTS KING,0.0222,0.9058,0.072
SPADES QUEEN CLUBS SIX,0.6116,0.0086,0.3798
SPADES NINE HEARTS TEN,0.5608,0.0062,0.433
SPADES NINE HEARTS JACK,0.5704,0.0086,0.421
SPADES QUEEN SPADES FIVE,0.5668,0.0096,0.4236
SPADES ACE SPADES FIVE,0.3362,0.0062,0.6576
SPADES NINE HEARTS QUEEN,0.5746,0.0086,0.4168
SPADES NINE HEARTS KING,0.2266,0.1672,0.6062
SPADES NINE HEARTS ACE,0.3548,0.0054,0.6398
CLUBS TEN SPADES JACK,0.5442,0.007,0.4488
CLUBS TEN SPADES TEN,0.3042,0.0094,0.6864
SPADES ACE CLUBS TEN,0.3372,0.0042,0.6586
SPADES QUEEN CLUBS TEN,0.5702,0.0064,0.4234
SPADES FIVE HEARTS QUEEN,0.6002,0.0064,0.3934
SPADES FIVE HEARTS KING,0.2152,0.458,0.3268
SPADES FIVE HEARTS ACE,0.3544,0.0054,0.6402
SPADES JACK HEARTS THREE,0.7312,0.0342,0.2346
SPADES JACK DIAMONDS KING,0.2248,0.0944,0.6808
SPADES TEN CLUBS EIGHT,0.569,0.0048,0.4262
SPADES JACK CLUBS EIGHT,0.5798,0.0086,0.4116
SPADES TEN HEARTS THREE,0.7418,0.033,0.2252
SPADES TEN DIAMONDS KING,0.225,0.1176,0.6574
CLUBS SIX HEARTS ACE,0.3608,0.0046,0.6346
SPADES ACE CLUBS EIGHT,0.3604,0.006,0.6336
HEARTS FIVE CLUBS JACK,0.589,0.0076,0.4034
HEARTS FIVE CLUBS TEN,0.5994,0.0076,0.393
CLUBS SIX HEARTS QUEEN,0.5932,0.0062,0.4006
SPADES QUEEN CLUBS EIGHT,0.5786,0.0096,0.4118
CLUBS TEN SPADES THREE,0.7314,0.0352,0.2334
