opposingHand,winningChance,drawChance,lostChance
SPADES KING HEARTS JACK
SPADES TEN HEARTS FIVE,0.6912,0.0084,0.3004
SPADES JACK HEARTS FIVE,0.7406,0.034,0.2254
SPADES FIVE CLUBS JACK,0.7448,0.0312,0.224
CLUBS TEN SPADES FIVE,0.688,0.0072,0.3048
CLUBS EIGHT CLUBS JACK,0.6918,0.0274,0.2808
CLUBS TEN CLUBS EIGHT,0.6106,0.0056,0.3838
CLUBS EIGHT CLUBS KING,0.6348,0.0798,0.2854
SPADES FIVE CLUBS ACE,0.4288,0.0036,0.5676
CLUBS EIGHT CLUBS QUEEN,0.6028,0.0056,0.3916
SPADES FIVE CLUBS KING,0.6862,0.0874,0.2264
SPADES FIVE CLUBS QUEEN,0.638,0.0062,0.3558
CLUBS EIGHT CLUBS ACE,0.401,0.0056,0.5934
DIAMONDS TWO DIAMONDS THREE,0.5992,0.0106,0.3902
DIAMONDS TWO DIAMONDS FIVE,0.6016,0.0098,0.3886
DIAMONDS TWO DIAMONDS FOUR,0.6148,0.0066,0.3786
SPADES QUEEN HEARTS FIVE,0.6578,0.0074,0.3348
DIAMONDS TWO DIAMONDS SEVEN,0.6166,0.007,0.3764
DIAMONDS TWO DIAMONDS SIX,0.6242,0.0076,0.3682
SPADES ACE HEARTS FIVE,0.4148,0.0048,0.5804
DIAMONDS TWO DIAMONDS NINE,0.6262,0.006,0.3678
DIAMONDS TWO DIAMONDS EIGHT,0.62,0.0062,0.3738
DIAMONDS THREE DIAMONDS FOUR,0.5988,0.0092,0.392
SPADES FOUR CLUBS TWO,0.6406,0.0094,0.35
DIAMONDS THREE DIAMONDS FIVE,0.5852,0.0078,0.407
SPADES FIVE CLUBS TWO,0.6548,0.0074,0.3378
CLUBS TWO SPADES TWO,0.4722,0.0086,0.5192
CLUBS TWO SPADES THREE,0.6624,0.0046,0.333
DIAMONDS THREE DIAMONDS EIGHT,0.6246,0.0084,0.367
SPADES EIGHT CLUBS TWO,0.6842,0.0078,0.308
DIAMONDS THREE DIAMONDS NINE,0.6238,0.0056,0.3706
SPADES NINE CLUBS TWO,0.6858,0.0074,0.3068
DIAMONDS THREE DIAMONDS SIX,0.6148,0.007,0.3782
SPADES SIX CLUBS TWO,0.66,0.0072,0.3328
DIAMONDS THREE DIAMONDS SEVEN,0.6142,0.0066,0.3792
SPADES SEVEN CLUBS TWO,0.668,0.0088,0.3232
CLUBS SIX CLUBS TWO,0.6334,0.0084,0.3582
CLUBS SEVEN CLUBS TWO,0.6358,0.0042,0.36
CLUBS FOUR CLUBS TWO,0.6072,0.0078,0.385
CLUBS FIVE CLUBS TWO,0.6068,0.008,0.3852
CLUBS TEN CLUBS JACK,0.6544,0.0256,0.32
DIAMONDS FOUR DIAMONDS SIX,0.5954,0.0062,0.3984
CLUBS TEN CLUBS QUEEN,0.578,0.0034,0.4186
DIAMONDS FOUR DIAMONDS SEVEN,0.5948,0.007,0.3982
CLUBS TEN CLUBS KING,0.6392,0.0782,0.2826
CLUBS TEN CLUBS ACE,0.3874,0.003,0.6096
CLUBS EIGHT CLUBS TWO,0.6226,0.0062,0.3712
DIAMONDS FIVE DIAMONDS FOUR,0.5644,0.0076,0.428
CLUBS NINE CLUBS TWO,0.6474,0.007,0.3456
DIAMONDS NINE DIAMONDS FOUR,0.6266,0.008,0.3654
DIAMONDS EIGHT DIAMONDS FOUR,0.6176,0.0068,0.3756
CLUBS THREE CLUBS TWO,0.6122,0.0076,0.3802
DIAMONDS NINE DIAMONDS FIVE,0.6146,0.007,0.3784
DIAMONDS TWO CLUBS JACK,0.7436,0.0326,0.2238
DIAMONDS EIGHT DIAMONDS FIVE,0.6078,0.0054,0.3868
CLUBS TEN DIAMONDS TWO,0.6888,0.0074,0.3038
DIAMONDS FIVE DIAMONDS SEVEN,0.5928,0.0064,0.4008
DIAMONDS FIVE DIAMONDS SIX,0.5908,0.0076,0.4016
DIAMONDS TWO CLUBS ACE,0.424,0.0042,0.5718
DIAMONDS TWO CLUBS KING,0.6876,0.078,0.2344
DIAMONDS TWO CLUBS QUEEN,0.6554,0.0086,0.336
DIAMONDS EIGHT DIAMONDS SIX,0.595,0.0068,0.3982
DIAMONDS NINE DIAMONDS SIX,0.6024,0.0076,0.39
HEARTS ACE SPADES THREE,0.4302,0.0074,0.5624
SPADES THREE HEARTS KING,0.6768,0.0878,0.2354
DIAMONDS SEVEN DIAMONDS SIX,0.5866,0.0062,0.4072
SPADES THREE HEARTS QUEEN,0.664,0.0058,0.3302
SPADES THREE HEARTS TEN,0.6802,0.0078,0.312
DIAMONDS EIGHT DIAMONDS SEVEN,0.5924,0.0052,0.4024
DIAMONDS NINE DIAMONDS SEVEN,0.599,0.0056,0.3954
DIAMONDS NINE DIAMONDS EIGHT,0.597,0.0056,0.3974
DIAMONDS KING HEARTS TEN,0.673,0.0918,0.2352
HEARTS THREE HEARTS TEN,0.656,0.0086,0.3354
SPADES JACK CLUBS SIX,0.7396,0.0336,0.2268
SPADES TEN CLUBS SIX,0.6694,0.0056,0.325
SPADES JACK SPADES FIVE,0.7178,0.0262,0.256
SPADES TEN SPADES FIVE,0.6474,0.0092,0.3434
DIAMONDS KING HEARTS ACE,0.252,0.0118,0.7362
HEARTS THREE HEARTS ACE,0.4002,0.0046,0.5952
SPADES ACE CLUBS SIX,0.4218,0.0032,0.575
DIAMONDS KING HEARTS QUEEN,0.2286,0.0606,0.7108
HEARTS THREE HEARTS QUEEN,0.6166,0.0074,0.376
DIAMONDS KING HEARTS KING,0.0956,0.0134,0.891
HEARTS THREE HEARTS KING,0.6538,0.0848,0.2614
SPADES QUEEN CLUBS SIX,0.6506,0.009,0.3404
SPADES NINE HEARTS TEN,0.6432,0.0052,0.3516
SPADES QUEEN SPADES FIVE,0.6162,0.0064,0.3774
SPADES ACE SPADES FIVE,0.4064,0.0042,0.5894
SPADES NINE HEARTS QUEEN,0.6352,0.0086,0.3562
SPADES NINE HEARTS KING,0.6898,0.0854,0.2248
SPADES NINE HEARTS ACE,0.4184,0.0058,0.5758
CLUBS TEN SPADES JACK,0.7142,0.0272,0.2586
CLUBS TEN SPADES TEN,0.4308,0.0054,0.5638
SPADES ACE CLUBS TEN,0.4064,0.005,0.5886
SPADES QUEEN CLUBS TEN,0.6328,0.0074,0.3598
SPADES FIVE HEARTS QUEEN,0.6512,0.0072,0.3416
SPADES FIVE HEARTS KING,0.6812,0.0908,0.228
SPADES FIVE HEARTS ACE,0.4218,0.0046,0.5736
HEARTS THREE SPADES JACK,0.7452,0.0342,0.2206
SPADES JACK DIAMONDS KING,0.0198,0.9692,0.011
SPADES TEN CLUBS EIGHT,0.6538,0.0062,0.34
SPADES JACK CLUBS EIGHT,0.735,0.0318,0.2332
HEARTS THREE SPADES TEN,0.6812,0.0058,0.313
SPADES TEN DIAMONDS KING,0.6916,0.0862,0.2222
CLUBS SIX HEARTS ACE,0.4206,0.0044,0.575
SPADES ACE CLUBS EIGHT,0.4292,0.003,0.5678
HEARTS FIVE CLUBS JACK,0.7334,0.0284,0.2382
CLUBS TEN HEARTS FIVE,0.6696,0.0068,0.3236
CLUBS SIX HEARTS QUEEN,0.6388,0.0058,0.3554
SPADES QUEEN CLUBS EIGHT,0.6452,0.0082,0.3466
CLUBS TEN SPADES THREE,0.6958,0.008,0.2962
CLUBS SIX HEARTS KING,0.67,0.0888,0.2412
SPADES THREE CLUBS JACK,0.7338,0.0328,0.2334
SPADES THREE CLUBS QUEEN,0.6538,0.0062,0.34
DIAMONDS TWO HEARTS TEN,0.6878,0.0068,0.3054
SPADES THREE CLUBS KING,0.6866,0.0886,0.2248
HEARTS FIVE CLUBS ACE,0.434,0.0042,0.5618
SPADES FIVE HEARTS TEN,0.6888,0.0086,0.3026
SPADES THREE CLUBS ACE,0.427,0.0056,0.5674
HEARTS FIVE CLUBS KING,0.6762,0.0832,0.2406
HEARTS FIVE CLUBS QUEEN,0.6502,0.006,0.3438
HEARTS THREE CLUBS KING,0.6916,0.0762,0.2322
DIAMONDS KING CLUBS KING,0.1088,0.013,0.8782
HEARTS THREE CLUBS QUEEN,0.6496,0.008,0.3424
DIAMONDS KING CLUBS QUEEN,0.2416,0.0572,0.7012
HEARTS FIVE HEARTS TEN,0.6606,0.0072,0.3322
HEARTS THREE CLUBS ACE,0.42,0.0052,0.5748
DIAMONDS KING CLUBS ACE,0.2498,0.0104,0.7398
SPADES ACE CLUBS QUEEN,0.373,0.0046,0.6224
HEARTS THREE CLUBS JACK,0.7478,0.0334,0.2188
DIAMONDS KING CLUBS JACK,0.0188,0.9644,0.0168
SPADES QUEEN CLUBS QUEEN,0.2934,0.0042,0.7024
CLUBS TEN HEARTS THREE,0.6848,0.0082,0.307
CLUBS TEN DIAMONDS KING,0.6692,0.0926,0.2382
SPADES JACK CLUBS QUEEN,0.7308,0.0224,0.2468
CLUBS SIX CLUBS QUEEN,0.613,0.006,0.381
SPADES TEN CLUBS QUEEN,0.6266,0.0078,0.3656
CLUBS SIX CLUBS KING,0.6366,0.0822,0.2812
CLUBS SIX CLUBS ACE,0.41,0.0042,0.5858
HEARTS FIVE HEARTS KING,0.6294,0.0878,0.2828
HEARTS FIVE HEARTS QUEEN,0.618,0.0056,0.3764
CLUBS TEN CLUBS SIX,0.6182,0.0058,0.376
HEARTS FIVE HEARTS ACE,0.3948,0.005,0.6002
CLUBS SIX CLUBS JACK,0.6956,0.0304,0.274
SPADES SEVEN HEARTS TEN,0.6688,0.0086,0.3226
DIAMONDS TWO CLUBS TWO,0.4742,0.0084,0.5174
DIAMONDS TWO CLUBS THREE,0.6582,0.0072,0.3346
HEARTS SIX DIAMONDS TWO,0.6554,0.0068,0.3378
DIAMONDS TWO HEARTS QUEEN,0.6426,0.0072,0.3502
DIAMONDS TWO HEARTS SEVEN,0.656,0.0084,0.3356
DIAMONDS TWO HEARTS KING,0.6794,0.088,0.2326
DIAMONDS TWO HEARTS EIGHT,0.681,0.0076,0.3114
DIAMONDS TWO HEARTS ACE,0.4276,0.0042,0.5682
DIAMONDS TWO HEARTS NINE,0.6786,0.007,0.3144
DIAMONDS TWO DIAMONDS QUEEN,0.6044,0.0052,0.3904
DIAMONDS TWO HEARTS TWO,0.4852,0.0092,0.5056
DIAMONDS TWO DIAMONDS KING,0.6448,0.084,0.2712
HEARTS THREE DIAMONDS TWO,0.6712,0.0086,0.3202
