opposingHand,winningChance,drawChance,lostChance
SPADES KING HEARTS NINE
SPADES TEN HEARTS FIVE,0.645,0.009,0.346
SPADES JACK HEARTS FIVE,0.6282,0.0076,0.3642
SPADES FIVE CLUBS JACK,0.6442,0.0066,0.3492
CLUBS TEN SPADES FIVE,0.638,0.0094,0.3526
CLUBS EIGHT CLUBS JACK,0.5822,0.0066,0.4112
CLUBS TEN CLUBS EIGHT,0.5722,0.0082,0.4196
CLUBS EIGHT CLUBS KING,0.5714,0.1646,0.264
SPADES FIVE CLUBS ACE,0.4132,0.005,0.5818
CLUBS EIGHT CLUBS QUEEN,0.5848,0.0048,0.4104
SPADES FIVE CLUBS KING,0.5924,0.1688,0.2388
SPADES FIVE CLUBS QUEEN,0.6414,0.0086,0.35
CLUBS EIGHT CLUBS ACE,0.3726,0.0028,0.6246
DIAMONDS TWO DIAMONDS THREE,0.6106,0.0082,0.3812
DIAMONDS TWO DIAMONDS FIVE,0.6094,0.0098,0.3808
DIAMONDS TWO DIAMONDS FOUR,0.5998,0.0074,0.3928
SPADES QUEEN HEARTS FIVE,0.6418,0.0092,0.349
DIAMONDS TWO DIAMONDS SEVEN,0.6248,0.008,0.3672
DIAMONDS TWO DIAMONDS SIX,0.6148,0.006,0.3792
SPADES ACE HEARTS FIVE,0.395,0.0034,0.6016
DIAMONDS TWO DIAMONDS NINE,0.6918,0.0344,0.2738
DIAMONDS TWO DIAMONDS EIGHT,0.6256,0.0068,0.3676
DIAMONDS THREE DIAMONDS FOUR,0.598,0.0052,0.3968
SPADES FOUR CLUBS TWO,0.651,0.0088,0.3402
DIAMONDS THREE DIAMONDS FIVE,0.592,0.0088,0.3992
SPADES FIVE CLUBS TWO,0.6558,0.006,0.3382
CLUBS TWO SPADES TWO,0.4698,0.013,0.5172
CLUBS TWO SPADES THREE,0.6482,0.0092,0.3426
DIAMONDS THREE DIAMONDS EIGHT,0.6262,0.0072,0.3666
SPADES EIGHT CLUBS TWO,0.6772,0.0088,0.314
DIAMONDS THREE DIAMONDS NINE,0.6898,0.0378,0.2724
SPADES NINE CLUBS TWO,0.7394,0.0388,0.2218
DIAMONDS THREE DIAMONDS SIX,0.6074,0.0078,0.3848
SPADES SIX CLUBS TWO,0.6524,0.0074,0.3402
DIAMONDS THREE DIAMONDS SEVEN,0.6176,0.0078,0.3746
SPADES SEVEN CLUBS TWO,0.669,0.0086,0.3224
CLUBS SIX CLUBS TWO,0.6086,0.0072,0.3842
CLUBS SEVEN CLUBS TWO,0.6324,0.0078,0.3598
CLUBS FOUR CLUBS TWO,0.6024,0.0058,0.3918
CLUBS FIVE CLUBS TWO,0.604,0.0082,0.3878
CLUBS TEN CLUBS JACK,0.5222,0.007,0.4708
DIAMONDS FOUR DIAMONDS SIX,0.5822,0.0068,0.411
CLUBS TEN CLUBS QUEEN,0.5508,0.0072,0.442
DIAMONDS FOUR DIAMONDS SEVEN,0.5892,0.0064,0.4044
CLUBS TEN CLUBS KING,0.215,0.104,0.681
CLUBS TEN CLUBS ACE,0.3278,0.0036,0.6686
CLUBS EIGHT CLUBS TWO,0.6244,0.0064,0.3692
DIAMONDS FIVE DIAMONDS FOUR,0.585,0.0082,0.4068
CLUBS NINE CLUBS TWO,0.6892,0.0328,0.278
DIAMONDS NINE DIAMONDS FOUR,0.6876,0.0404,0.272
DIAMONDS EIGHT DIAMONDS FOUR,0.6164,0.0078,0.3758
CLUBS THREE CLUBS TWO,0.5914,0.0068,0.4018
DIAMONDS NINE DIAMONDS FIVE,0.666,0.0346,0.2994
DIAMONDS TWO CLUBS JACK,0.6418,0.008,0.3502
DIAMONDS EIGHT DIAMONDS FIVE,0.5932,0.0084,0.3984
CLUBS TEN DIAMONDS TWO,0.6528,0.007,0.3402
DIAMONDS FIVE DIAMONDS SEVEN,0.5852,0.0062,0.4086
DIAMONDS FIVE DIAMONDS SIX,0.5714,0.0062,0.4224
DIAMONDS TWO CLUBS ACE,0.4102,0.0042,0.5856
DIAMONDS TWO CLUBS KING,0.6024,0.1682,0.2294
DIAMONDS TWO CLUBS QUEEN,0.6374,0.0078,0.3548
DIAMONDS EIGHT DIAMONDS SIX,0.592,0.0102,0.3978
DIAMONDS NINE DIAMONDS SIX,0.6604,0.033,0.3066
HEARTS ACE SPADES THREE,0.4058,0.0064,0.5878
SPADES THREE HEARTS KING,0.5906,0.1712,0.2382
DIAMONDS SEVEN DIAMONDS SIX,0.584,0.0078,0.4082
SPADES THREE HEARTS QUEEN,0.6416,0.0078,0.3506
SPADES THREE HEARTS JACK,0.645,0.0062,0.3488
