opposingHand,winningChance,drawChance,lostChance
SPADES KING HEARTS QUEEN
SPADES TEN HEARTS FIVE,0.6924,0.0068,0.3008
SPADES JACK HEARTS FIVE,0.6858,0.0074,0.3068
SPADES FIVE CLUBS JACK,0.6848,0.0074,0.3078
CLUBS TEN SPADES FIVE,0.6848,0.0072,0.308
CLUBS EIGHT CLUBS JACK,0.6082,0.0052,0.3866
CLUBS TEN CLUBS EIGHT,0.606,0.0054,0.3886
CLUBS EIGHT CLUBS KING,0.6584,0.061,0.2806
SPADES FIVE CLUBS ACE,0.4224,0.004,0.5736
CLUBS EIGHT CLUBS QUEEN,0.686,0.0264,0.2876
SPADES FIVE CLUBS KING,0.6986,0.0566,0.2448
SPADES FIVE CLUBS QUEEN,0.7386,0.0294,0.232
CLUBS EIGHT CLUBS ACE,0.3988,0.0038,0.5974
DIAMONDS TWO DIAMONDS THREE,0.6046,0.0078,0.3876
DIAMONDS TWO DIAMONDS FIVE,0.593,0.0076,0.3994
DIAMONDS TWO DIAMONDS FOUR,0.6066,0.0074,0.386
SPADES QUEEN HEARTS FIVE,0.7438,0.0286,0.2276
DIAMONDS TWO DIAMONDS SEVEN,0.6244,0.0064,0.3692
DIAMONDS TWO DIAMONDS SIX,0.6196,0.008,0.3724
SPADES ACE HEARTS FIVE,0.4166,0.0046,0.5788
DIAMONDS TWO DIAMONDS NINE,0.6292,0.007,0.3638
DIAMONDS TWO DIAMONDS EIGHT,0.6146,0.0064,0.379
DIAMONDS THREE DIAMONDS FOUR,0.592,0.0072,0.4008
SPADES FOUR CLUBS TWO,0.6468,0.006,0.3472
DIAMONDS THREE DIAMONDS FIVE,0.5768,0.0068,0.4164
SPADES FIVE CLUBS TWO,0.6462,0.0074,0.3464
CLUBS TWO SPADES TWO,0.4672,0.008,0.5248
CLUBS TWO SPADES THREE,0.6578,0.009,0.3332
DIAMONDS THREE DIAMONDS EIGHT,0.6266,0.0056,0.3678
SPADES EIGHT CLUBS TWO,0.6676,0.0076,0.3248
DIAMONDS THREE DIAMONDS NINE,0.6214,0.0056,0.373
SPADES NINE CLUBS TWO,0.6792,0.0068,0.314
DIAMONDS THREE DIAMONDS SIX,0.5958,0.0062,0.398
SPADES SIX CLUBS TWO,0.6784,0.0054,0.3162
DIAMONDS THREE DIAMONDS SEVEN,0.6182,0.007,0.3748
SPADES SEVEN CLUBS TWO,0.6802,0.008,0.3118
CLUBS SIX CLUBS TWO,0.6188,0.0052,0.376
CLUBS SEVEN CLUBS TWO,0.6236,0.0086,0.3678
CLUBS FOUR CLUBS TWO,0.604,0.0086,0.3874
CLUBS FIVE CLUBS TWO,0.603,0.0076,0.3894
CLUBS TEN CLUBS JACK,0.5978,0.0048,0.3974
DIAMONDS FOUR DIAMONDS SIX,0.589,0.0062,0.4048
CLUBS TEN CLUBS QUEEN,0.6916,0.027,0.2814
DIAMONDS FOUR DIAMONDS SEVEN,0.6076,0.006,0.3864
CLUBS TEN CLUBS KING,0.642,0.0624,0.2956
CLUBS TEN CLUBS ACE,0.3878,0.0036,0.6086
CLUBS EIGHT CLUBS TWO,0.616,0.006,0.378
DIAMONDS FIVE DIAMONDS FOUR,0.5862,0.01,0.4038
CLUBS NINE CLUBS TWO,0.6256,0.007,0.3674
DIAMONDS NINE DIAMONDS FOUR,0.6286,0.0066,0.3648
DIAMONDS EIGHT DIAMONDS FOUR,0.6122,0.008,0.3798
CLUBS THREE CLUBS TWO,0.6194,0.0084,0.3722
DIAMONDS NINE DIAMONDS FIVE,0.6192,0.005,0.3758
DIAMONDS TWO CLUBS JACK,0.6872,0.005,0.3078
DIAMONDS EIGHT DIAMONDS FIVE,0.5992,0.0048,0.396
CLUBS TEN DIAMONDS TWO,0.6712,0.004,0.3248
DIAMONDS FIVE DIAMONDS SEVEN,0.5884,0.0084,0.4032
DIAMONDS FIVE DIAMONDS SIX,0.5778,0.0054,0.4168
DIAMONDS TWO CLUBS ACE,0.4266,0.0032,0.5702
DIAMONDS TWO CLUBS KING,0.6972,0.0638,0.239
DIAMONDS TWO CLUBS QUEEN,0.7512,0.0248,0.224
DIAMONDS EIGHT DIAMONDS SIX,0.5934,0.0076,0.399
DIAMONDS NINE DIAMONDS SIX,0.6064,0.0062,0.3874
HEARTS ACE SPADES THREE,0.422,0.006,0.572
SPADES THREE HEARTS KING,0.6984,0.0662,0.2354
DIAMONDS SEVEN DIAMONDS SIX,0.5828,0.0052,0.412
SPADES THREE HEARTS JACK,0.6966,0.007,0.2964
SPADES THREE HEARTS TEN,0.68,0.0078,0.3122
DIAMONDS EIGHT DIAMONDS SEVEN,0.604,0.007,0.389
DIAMONDS NINE DIAMONDS SEVEN,0.5982,0.0072,0.3946
DIAMONDS NINE DIAMONDS EIGHT,0.5948,0.007,0.3982
DIAMONDS KING HEARTS TEN,0.701,0.0622,0.2368
HEARTS THREE HEARTS TEN,0.6582,0.0082,0.3336
SPADES JACK CLUBS SIX,0.6858,0.0072,0.307
DIAMONDS KING HEARTS JACK,0.7042,0.0646,0.2312
HEARTS THREE HEARTS JACK,0.6462,0.006,0.3478
SPADES TEN CLUBS SIX,0.6734,0.0074,0.3192
SPADES JACK SPADES FIVE,0.6416,0.0106,0.3478
SPADES TEN SPADES FIVE,0.642,0.0076,0.3504
DIAMONDS KING HEARTS ACE,0.2312,0.0122,0.7566
HEARTS THREE HEARTS ACE,0.4096,0.0046,0.5858
SPADES ACE CLUBS SIX,0.4192,0.0034,0.5774
DIAMONDS KING HEARTS KING,0.0924,0.0124,0.8952
