opposingHand,winningChance,drawChance,lostChance
SPADES KING HEARTS SIX
SPADES ACE DIAMONDS SEVEN,0.3542,0.0032,0.6426
HEARTS QUEEN HEARTS TEN,0.5222,0.0054,0.4724
CLUBS SEVEN HEARTS KING,0.2186,0.3002,0.4812
SPADES ACE CLUBS KING,0.228,0.0142,0.7578
SPADES FOUR HEARTS ACE,0.385,0.0058,0.6092
SPADES SEVEN CLUBS FOUR,0.6118,0.0084,0.3798
DIAMONDS TWO HEARTS THREE,0.6474,0.0134,0.3392
CLUBS FOUR CLUBS ACE,0.3632,0.0054,0.6314
SPADES TEN DIAMONDS JACK,0.5414,0.0072,0.4514
SPADES FIVE HEARTS JACK,0.6308,0.0076,0.3616
SPADES QUEEN HEARTS THREE,0.6352,0.0072,0.3576
SPADES QUEEN HEARTS EIGHT,0.5928,0.0062,0.401
SPADES TEN CLUBS JACK,0.54,0.0072,0.4528
SPADES SEVEN DIAMONDS KING,0.2258,0.3106,0.4636
CLUBS KING HEARTS TEN,0.2218,0.1204,0.6578
DIAMONDS ACE HEARTS TEN,0.3448,0.004,0.6512
HEARTS SEVEN DIAMONDS JACK,0.5778,0.008,0.4142
DIAMONDS ACE SPADES SEVEN,0.3472,0.0034,0.6494
CLUBS TWO CLUBS JACK,0.5734,0.0062,0.4204
SPADES ACE SPADES QUEEN,0.3194,0.0056,0.675
DIAMONDS QUEEN CLUBS ACE,0.3544,0.0036,0.642
HEARTS SEVEN CLUBS JACK,0.5894,0.0078,0.4028
DIAMONDS THREE CLUBS NINE,0.6278,0.0062,0.366
SPADES NINE DIAMONDS QUEEN,0.581,0.0074,0.4116
CLUBS ACE CLUBS QUEEN,0.3262,0.0054,0.6684
SPADES SIX SPADES FOUR,0.661,0.0422,0.2968
CLUBS TWO HEARTS ACE,0.3846,0.0042,0.6112
DIAMONDS NINE HEARTS QUEEN,0.5856,0.0064,0.408
DIAMONDS TWO DIAMONDS ACE,0.364,0.0054,0.6306
SPADES ACE DIAMONDS ACE,0.1178,0.0036,0.8786
DIAMONDS TEN HEARTS QUEEN,0.5602,0.006,0.4338
DIAMONDS QUEEN DIAMONDS NINE,0.5364,0.0062,0.4574
HEARTS FOUR CLUBS ACE,0.3734,0.0026,0.624
DIAMONDS ACE SPADES SIX,0.233,0.0254,0.7416
