opposingHand,winningChance,drawChance,lostChance
SPADES KING HEARTS TWO
HEARTS FIVE SPADES TEN,0.5934,0.0076,0.399
HEARTS FIVE SPADES JACK,0.6,0.0064,0.3936
SPADES FIVE CLUBS JACK,0.5982,0.0074,0.3944
CLUBS TEN SPADES FIVE,0.5938,0.0082,0.398
CLUBS EIGHT CLUBS JACK,0.5302,0.0064,0.4634
CLUBS TEN CLUBS EIGHT,0.5218,0.0076,0.4706
CLUBS EIGHT CLUBS KING,0.217,0.2172,0.5658
SPADES FIVE CLUBS ACE,0.346,0.006,0.648
CLUBS EIGHT CLUBS QUEEN,0.5274,0.0086,0.464
SPADES FIVE CLUBS KING,0.2164,0.4686,0.315
SPADES FIVE CLUBS QUEEN,0.596,0.0078,0.3962
CLUBS EIGHT CLUBS ACE,0.3358,0.0052,0.659
DIAMONDS TWO DIAMONDS THREE,0.6734,0.0236,0.303
DIAMONDS TWO DIAMONDS FIVE,0.6656,0.025,0.3094
DIAMONDS TWO DIAMONDS FOUR,0.6682,0.0248,0.307
HEARTS FIVE SPADES QUEEN,0.5886,0.007,0.4044
DIAMONDS TWO DIAMONDS SEVEN,0.6792,0.0204,0.3004
DIAMONDS TWO DIAMONDS SIX,0.6884,0.023,0.2886
SPADES ACE HEARTS FIVE,0.3356,0.005,0.6594
DIAMONDS TWO DIAMONDS NINE,0.6914,0.0288,0.2798
DIAMONDS TWO DIAMONDS EIGHT,0.689,0.0272,0.2838
DIAMONDS THREE DIAMONDS FOUR,0.5426,0.0092,0.4482
SPADES FOUR CLUBS TWO,0.7186,0.0274,0.254
DIAMONDS THREE DIAMONDS FIVE,0.5438,0.0096,0.4466
SPADES FIVE CLUBS TWO,0.711,0.0286,0.2604
CLUBS TWO SPADES TWO,0.3108,0.0196,0.6696
CLUBS TWO SPADES THREE,0.7206,0.0298,0.2496
DIAMONDS THREE DIAMONDS EIGHT,0.5618,0.0126,0.4256
SPADES EIGHT CLUBS TWO,0.7316,0.0274,0.241
DIAMONDS THREE DIAMONDS NINE,0.543,0.0104,0.4466
SPADES NINE CLUBS TWO,0.7424,0.0338,0.2238
DIAMONDS THREE DIAMONDS SIX,0.5482,0.0112,0.4406
SPADES SIX CLUBS TWO,0.7268,0.024,0.2492
DIAMONDS THREE DIAMONDS SEVEN,0.5482,0.01,0.4418
SPADES SEVEN CLUBS TWO,0.7412,0.0236,0.2352
CLUBS SIX CLUBS TWO,0.681,0.023,0.296
CLUBS SEVEN CLUBS TWO,0.6916,0.0258,0.2826
CLUBS FOUR CLUBS TWO,0.657,0.0286,0.3144
CLUBS FIVE CLUBS TWO,0.6642,0.0256,0.3102
